Dataset C->C,
Energy Ion (eV),Cross section (A^2/atom)
7.867855819270716,0.00503144639521786
7.9469293852551015,0.16745601938557753
10.11067785792625,0.757727388135518
12.826452565048902,1.245593273452321
15.839997373507966,1.6526906833854629
20.611409289133004,1.989626723445825
25.777764612992655,2.2155859285057966
33.53430127278409,2.4435060968752413
47.822050558508664,2.5924433857840308
63.02050233408545,2.6449613548480184
80.89303430069377,2.6722488457917657
108.0027390221633,2.647975399345228
144.18971571291206,2.5733228909255406
185.06116676932618,2.5005666181592217
263.82106132662307,2.3604457275291804
417.7735250573875,2.2070784205570364
688.0858334193024,1.9850172251751488
1075.3648473552946,1.8380088822142104
1941.7291631840317,1.6373827554000469
4104.376932818198,1.4034086941575128
6498.939563472705,1.274450118060611
10022.803825143204,1.1239638093486137
