#grain	nu/um	abs+scat*(1-g)	abs	scat*(1-g)	scat	scat*(1-g)/[abs+scat*(1-g)]
2.42608e+07	8.57e-36	8.57e-36	9.79e-52	9.79e-52	1.14e-16
2.41800e+07	8.63e-36	8.63e-36	9.92e-52	9.92e-52	1.15e-16
2.40996e+07	8.68e-36	8.68e-36	1.01e-51	1.01e-51	1.16e-16
2.40194e+07	8.74e-36	8.74e-36	1.02e-51	1.02e-51	1.17e-16
2.39395e+07	8.80e-36	8.80e-36	1.03e-51	1.03e-51	1.17e-16
2.38598e+07	8.86e-36	8.86e-36	1.05e-51	1.05e-51	1.18e-16
2.37804e+07	8.92e-36	8.92e-36	1.06e-51	1.06e-51	1.19e-16
2.37013e+07	8.98e-36	8.98e-36	1.07e-51	1.07e-51	1.20e-16
2.36224e+07	9.04e-36	9.04e-36	1.09e-51	1.09e-51	1.20e-16
2.35438e+07	9.10e-36	9.10e-36	1.10e-51	1.10e-51	1.21e-16
2.34655e+07	9.16e-36	9.16e-36	1.12e-51	1.12e-51	1.22e-16
2.33874e+07	9.23e-36	9.23e-36	1.13e-51	1.13e-51	1.23e-16
2.33096e+07	9.29e-36	9.29e-36	1.15e-51	1.15e-51	1.24e-16
2.32320e+07	9.35e-36	9.35e-36	1.16e-51	1.16e-51	1.24e-16
2.31547e+07	9.41e-36	9.41e-36	1.18e-51	1.18e-51	1.25e-16
2.30777e+07	9.48e-36	9.48e-36	1.20e-51	1.20e-51	1.26e-16
2.30009e+07	9.54e-36	9.54e-36	1.21e-51	1.21e-51	1.27e-16
2.29244e+07	9.61e-36	9.61e-36	1.23e-51	1.23e-51	1.28e-16
2.28481e+07	9.67e-36	9.67e-36	1.24e-51	1.24e-51	1.29e-16
2.27720e+07	9.74e-36	9.74e-36	1.26e-51	1.26e-51	1.30e-16
2.26963e+07	9.80e-36	9.80e-36	1.28e-51	1.28e-51	1.30e-16
2.26208e+07	9.87e-36	9.87e-36	1.29e-51	1.29e-51	1.31e-16
2.25455e+07	9.93e-36	9.93e-36	1.31e-51	1.31e-51	1.32e-16
2.24705e+07	1.00e-35	1.00e-35	1.33e-51	1.33e-51	1.33e-16
2.23957e+07	1.01e-35	1.01e-35	1.35e-51	1.35e-51	1.34e-16
2.23212e+07	1.01e-35	1.01e-35	1.37e-51	1.37e-51	1.35e-16
2.22469e+07	1.02e-35	1.02e-35	1.38e-51	1.38e-51	1.36e-16
2.21729e+07	1.03e-35	1.03e-35	1.40e-51	1.40e-51	1.37e-16
2.20991e+07	1.03e-35	1.03e-35	1.42e-51	1.42e-51	1.37e-16
2.20256e+07	1.04e-35	1.04e-35	1.44e-51	1.44e-51	1.38e-16
2.19523e+07	1.05e-35	1.05e-35	1.46e-51	1.46e-51	1.39e-16
2.18792e+07	1.06e-35	1.06e-35	1.48e-51	1.48e-51	1.40e-16
2.18064e+07	1.06e-35	1.06e-35	1.50e-51	1.50e-51	1.41e-16
2.17339e+07	1.07e-35	1.07e-35	1.52e-51	1.52e-51	1.42e-16
2.16616e+07	1.08e-35	1.08e-35	1.54e-51	1.54e-51	1.43e-16
2.15895e+07	1.08e-35	1.08e-35	1.56e-51	1.56e-51	1.44e-16
2.15176e+07	1.09e-35	1.09e-35	1.58e-51	1.58e-51	1.45e-16
2.14460e+07	1.10e-35	1.10e-35	1.60e-51	1.60e-51	1.46e-16
2.13747e+07	1.11e-35	1.11e-35	1.62e-51	1.62e-51	1.47e-16
2.13036e+07	1.11e-35	1.11e-35	1.65e-51	1.65e-51	1.48e-16
2.12327e+07	1.12e-35	1.12e-35	1.67e-51	1.67e-51	1.49e-16
2.11620e+07	1.13e-35	1.13e-35	1.69e-51	1.69e-51	1.50e-16
2.10916e+07	1.14e-35	1.14e-35	1.71e-51	1.71e-51	1.51e-16
2.10214e+07	1.14e-35	1.14e-35	1.74e-51	1.74e-51	1.52e-16
2.09515e+07	1.15e-35	1.15e-35	1.76e-51	1.76e-51	1.53e-16
2.08818e+07	1.16e-35	1.16e-35	1.78e-51	1.78e-51	1.54e-16
2.08123e+07	1.17e-35	1.17e-35	1.81e-51	1.81e-51	1.55e-16
2.07430e+07	1.18e-35	1.18e-35	1.83e-51	1.83e-51	1.56e-16
2.06740e+07	1.18e-35	1.18e-35	1.86e-51	1.86e-51	1.57e-16
2.06052e+07	1.19e-35	1.19e-35	1.88e-51	1.88e-51	1.58e-16
2.05367e+07	1.20e-35	1.20e-35	1.91e-51	1.91e-51	1.59e-16
2.04683e+07	1.21e-35	1.21e-35	1.93e-51	1.93e-51	1.60e-16
2.04002e+07	1.22e-35	1.22e-35	1.96e-51	1.96e-51	1.61e-16
2.03323e+07	1.22e-35	1.22e-35	1.98e-51	1.98e-51	1.62e-16
2.02647e+07	1.23e-35	1.23e-35	2.01e-51	2.01e-51	1.63e-16
2.01973e+07	1.24e-35	1.24e-35	2.04e-51	2.04e-51	1.64e-16
2.01301e+07	1.25e-35	1.25e-35	2.06e-51	2.06e-51	1.65e-16
2.00631e+07	1.26e-35	1.26e-35	2.09e-51	2.09e-51	1.66e-16
1.99963e+07	1.27e-35	1.27e-35	2.12e-51	2.12e-51	1.68e-16
