x, y
4.047689658572672e-8, 230.89180630041926
6.388595708458554e-8, 149.77474763452
1.1805165285688055e-7, 82.89844151388557
2.0244465099768018e-7, 43.93970560760786
3.679304789284281e-7, 21.05272272765707
6.68690610778613e-7, 9.521310799578144
9.474942358291719e-7, 5.58299408744192
0.0000011953015356992672, 3.6215729951180746
0.000001483102514336103, 2.2824222375040977
0.0000017508270317357234, 1.5685151643735462
0.0000021544346900318822, 0.9604088212505378
0.0000026954459686163363, 0.6505537850461921
0.00000394817501985032, 0.3549157834567433
0.000006441826283073629, 0.1827699369019217
0.000008829699955494083, 0.11855908450490893
0.000011903527392207193, 0.07802442493165049
0.00001618113603459442, 0.04777470290335773
0.000021455148831974933, 0.03144081059567051
0.000029653234502847705, 0.021920584507173258
