Default Dataset,
X,Y
5.051546391752588,1.293788729546254e-10
5.567010309278352,4.7840630188127724e-8
6.185567010309278,0.000008899729917722642
7.216494845360835,0.003782519687173286
8.865979381443303,2.12085887569921
10.618556701030933,345.2095343249156
12.577319587628871,21480.83131970001
14.84536082474228,1166217.367020501
17.938144329896907,36638097.39093166
21.23711340206186,579277416.9758698
26.494845360824762,13927343512.4561
30.000000000000007,63946426424.91871
35.05154639175259,445837707008.2709
38.659793814432994,1784749075712.2483
40.103092783505154,2709167274549.709
