3A,,3.67A,,4.48A,,5.67A,
X,Y,X,Y,X,Y,X,Y
0.01,0.00031361936973156774,0.010476157527896662,156.40282901548161,39.44206059437648,7930134.906384913,236448.94126453975,8758828.910048772
0.02535364493970106,0.00011607754154953931,0.02535364493970106,57.88818432690925,72.20809018385457,2657421.4222349385,343046.9286314912,3580608.4689216902
0.1176811952434999,0.000026137628867390973,0.09770099572992247,15.901527657025662,319.92671377973716,148820.19542594318,497702.35643320734,1463752.419345098
0.2477076355991714,0.000013034906300958646,0.45348785081285914,3.2418384349210023,1176.8119524349943,11229.481712787296,756463.3275546198,490509.5666006939
1.0476157527896661,0.0000029351202538198946,3.351602650938848,0.49050956660069395,7924.828983539153,232.75899579254303,1097498.7654930456,134739.95652185025
4.862601580065333,6.609123767732911e-7,23.644894126453977,0.06719518121434198,64280.731172842665,3.2418384349210023,1917910.261672485,27469.384023561244
20.565123083486515,1.488201954259438e-7,83.02175681319736,0.018458102373095447,475081.0162102754,0.04987027081565481,2782559.402207103,6831.756428094671
191.79102616724848,1.6711736630290606e-8,335.160265093882,0.004590611111980671,3853528.593710504,0.0003463923924099254,3678379.7718286044,694.5869487863109
849.7534359086403,3.763046356264346e-9,2983.647240283322,0.0005155018353250488,8902150.854450319,0.00003889807036015883,4862601.580065314,47.452488522415436
3764.9358067924404,7.671708387550616e-10,50941.38014816344,0.00001939857303067516,,,6135907.273413113,7.179845648236813
16681.00537200049,1.9079875633964805e-10,196304.06500402684,0.0000029351202538198946,,,8111308.307896856,1.325263259981784
26560.87782946684,1.1607754154953931e-10,432876.1281083044,7.299772955980997e-7,,,9326033.468832143,0.49050956660069395
,,1450828.7784959252,7.421703448730459e-8,,,,
,,4037017.258596533,8.334188315524877e-9,,,,
,,9326033.468832143,1.5383330112461343e-9,,,,
