x, y
4.047689658572672e-8, 173.01957388458945
6.388595708458554e-8, 105.94065571188499
1e-7, 60.35340185482205
1.5268057392300675e-7, 31.98987413381393
2.0927662397774994e-7, 19.306977288832496
3.0149442039320913e-7, 9.942457296427408
3.8671176722250614e-7, 6.087810885914762
5.127550070091764e-7, 3.0458553406742843
6.205728806776501e-7, 1.5913085124195103
8.026098855031388e-7, 0.5315742189874173
9.794696670695385e-7, 0.1908542144006686
0.000001146725471845963, 0.06754200285605587
0.00000127733939397716, 0.02721680192977706
0.0000014346856576799364, 0.010655379505623053
0.0000015459277364194786, 0.0044836228384119055
0.0000016796748720926532, 0.0018866408039732582
0.000001765415140485116, 0.001
