CNM,gra,,CNM,sil,,WNM,gra,,WNAM,sil,,WIM,gra,,WIM,sil,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
4.049709266708692e-8,179.00846282355397,4.0503814183956396e-8,230.180731302247,4.040734365293065e-8,6.210169418915623,4.072091550923301e-8,7.573739175895017,5.036491946629762e-8,5.368896816822087,4.102796049609076e-8,6.634971786198316
1.0462398878668183e-7,55.86328066431627,1.0152703253083983e-7,94.84435649458955,5.152497070147913e-8,5.159928433650856,5.688054805326043e-8,5.968456995122317,6.57037836431508e-8,4.52035365636025,5.4345749862312375e-8,6.047963972190499
2.3752139905466093e-7,15.682030668618248,1.9806069584494117e-7,45.2035365636025,7.19701838012253e-8,3.9079952122756025,8.904222303308738e-8,4.402285060364764,8.004924354996481e-8,3.9079952122756025,8.572839476360732e-8,4.893900918477499
4.702475515749627e-7,3.8059210068157645,3.635934589065257e-7,21.8313433378156,9.038376675076337e-8,3.039195382313201,1.4152607519063575e-7,3.3341758825141934,1.3315863466287105e-7,2.662486144039853,1.2629455331796698e-7,4.01280703194278
6.870170097951268e-7,1.0268198434168887,5.734098604324396e-7,12.035378976219032,1.233993648653475e-7,2.2122162910704524,2.6384090878971843e-7,2.18313433378156,1.9764247223774085e-7,1.8380944176677942,1.874756554695959e-7,3.2903445623126744
9.024492402591388e-7,0.2959813643842186,9.7555792938186e-7,5.298316906283715,1.6341231282994165e-7,1.3557634077034961,3.770383876788908e-7,1.6977942463585616,2.8456057374050904e-7,1.2035378976219038,3.0718361725932186e-7,2.59294379740467
0.000001115427367401742,0.07573739175895017,0.0000017902253583208767,1.4485034710121494,2.180447220553248e-7,0.7985439994341754,5.3469941324135e-7,1.235816595582412,4.034985361687512e-7,0.7183264183956252,4.0380175582586413e-7,2.2416856547716124
0.000001277970994406995,0.02426931235654259,0.000002264949948582069,0.830883682163997,2.716991228878424e-7,0.4460928756319691,7.244891156751991e-7,0.8995451958872773,5.678176254029419e-7,0.42873003366545204,5.64080382508634e-7,1.938011375271077
0.0000014862871653569204,0.005512889788770678,0.0000030453338875276305,0.5159928433650857,3.3854742405205404e-7,0.23950266199874884,9.890717522301048e-7,0.5968456995122317,8.175078636420632e-7,0.2697953640073002,7.643721977281881e-7,1.6317126413801704
0.000001728318435121528,0.0010133211945957158,0.0000013215863909024888,2.920903717032253,4.1866401578424125e-7,0.1355763407703496,0.0000013503150635003467,0.4120429888201671,0.0000012042003789272046,0.18380944176677924,0.0000010516640185267198,1.410669534971247
,,0.000004125868145145391,0.324708945185482,5.418932435985017e-7,0.07674630429274303,0.00000197423344708283,0.34235979576075837,0.000001828662060950567,0.13738237958832653,0.0000013512825798540168,1.2195704601594428
,,0.000005940163711214688,0.2043359717856946,7.121850379507507e-7,0.04829565338786796,0.000002821868540229894,0.370651291092216,0.0000022449384109119967,0.12035378976219038,0.0000017495680727233326,1.1116728815539278
,,0.000008487081899208124,0.11877161003250096,9.946251146143922e-7,0.028825053029682333,0.000004095456002904178,0.44022850603647634,0.000002798378237913642,0.11721022975334805,0.0000021975216317522025,1.0826367338740552
,,0.000010821356482855423,0.08760496806274351,0.0000013171724969978982,0.018380944176677943,0.000005943952614777331,0.536889681682209,0.000003435790749965624,0.12195704601594427,0.000002718581766457764,1.0826367338740552
,,0.000015460875956936378,0.0495909352494469,0.0000015566165083701998,0.01448503471012151,0.000008496502027773083,0.6376725190323284,0.000004348778470585859,0.1355763407703496,0.0000034935315627383146,1.1264816923358878
,,0.000022090495379047096,0.0299924189735886,0.000002157692767614038,0.01000000000000001,0.000012144784648468974,0.7183264183956252,0.000006506641111891976,0.1743328822199989,0.000004663330328819433,1.2035378976219038
,,0.00002903580556887226,0.022416856547716125,0.0000026489158921599124,0.008995451958872764,0.000017097594690618096,0.7985439994341754,0.000010036315271029457,0.24592608589148302,0.000006272317280050318,1.285865079625498
,,,,0.000003873636032183044,0.010133211945957158,0.000025385313269416116,0.887719708898587,0.000015016987895359697,0.33785910882615044,0.000008565653799916538,1.373823795883265
,,,,0.000005622357282126998,0.013557634077034975,,,0.00002263960968403096,0.42873003366545204,0.000011609044599008362,1.4873521072935134
,,,,0.0000066973331138441915,0.01766552044684837,,,0.00002865509991426284,0.4641588833612782,0.00001491827989883001,1.5475873545578909
,,,,0.000009217526449390192,0.024920211513780568,,,,,0.000019612566351148546,1.5682030668618239
,,,,0.00001288090899464752,0.03755888090680087,,,,,0.00002934021541213839,1.6317126413801704
,,,,0.00001827528327529368,0.05368896816822084,,,,,,
,,,,0.00002713812944862306,0.07573739175895017,,,,,,
