-1.693059528324e+01 -1.693059549142e+01 -1.693059575412e+01 -1.693059608561e+01 -1.693059650390e+01 -1.693059703172e+01 -1.693059769774e+01 -1.693059853814e+01 -1.693059959860e+01 -1.693060093671e+01 -1.693060262517e+01 -1.693060475568e+01 -1.693060744396e+01 -1.693061083598e+01 -1.693061511591e+01 -1.693062051606e+01 -1.693062732948e+01 -1.693063592575e+01 -1.693064677099e+01 -1.693066045287e+01 -1.693067771230e+01 -1.693069948301e+01 -1.693072694146e+01 -1.693076156930e+01 -1.693080523161e+01 -1.693086027461e+01 -1.693092964740e+01 -1.693101705310e+01 -1.693112713566e+01 -1.693126570938e+01 -1.693144003888e+01 -1.693165917728e+01 -1.693193436934e+01 -1.693227952378e+01 -1.693271175345e+01 -1.693325197210e+01 -1.693392552020e+01 -1.693476276707e+01 -1.693579960007e+01 -1.693707766233e+01 -1.693864414077e+01 -1.694055084400e+01 -1.694285226540e+01 -1.694560233500e+01 -1.694884967727e+01 -1.695263146391e+01 -1.695696641269e+01 -1.696184808669e+01 -1.696724022123e+01 -1.697307605211e+01 -1.697926322636e+01 -1.698569473003e+01 -1.699226464158e+01 -1.699888606567e+01 -1.700550801835e+01 -1.701212862950e+01 -1.701880350021e+01 -1.702564969703e+01 -1.703284700888e+01 -1.704063842015e+01 -1.704933132593e+01 -1.705930006930e+01 -1.707098912823e+01 -1.708491483117e+01 -1.710166194855e+01 -1.712187024391e+01 -1.714620593673e+01 -1.717531541486e+01 -1.720976457773e+01 -1.724997595759e+01 -1.729618256757e+01 -1.734841543930e+01 -1.740652857314e+01 -1.747024805036e+01 -1.753922412295e+01 -1.761307127019e+01 -1.769139369832e+01 -1.777380158123e+01 -1.785992332984e+01 -1.794941562629e+01 -1.804197049331e+01 -1.813731842398e+01 -1.823522743887e+01 -1.833549874548e+01 -1.843796012556e+01 -1.854245838332e+01 -1.864885221981e+01 -1.875700668528e+01 -1.886678985825e+01 -1.897807173632e+01 -1.909072475754e+01 -1.920462511386e+01 -1.931965410577e+01 -1.943569908630e+01 -1.955265386774e+01 -1.967041868457e+01 -1.978889988853e+01 -1.990800954128e+01 -2.002766503430e+01 -2.014778883275e+01
-1.693059519145e+01 -1.693059537560e+01 -1.693059560797e+01 -1.693059590119e+01 -1.693059627119e+01 -1.693059673807e+01 -1.693059732720e+01 -1.693059807059e+01 -1.693059900862e+01 -1.693060019226e+01 -1.693060168581e+01 -1.693060357039e+01 -1.693060594837e+01 -1.693060894888e+01 -1.693061273485e+01 -1.693061751181e+01 -1.693062353902e+01 -1.693063114352e+01 -1.693064073772e+01 -1.693065284171e+01 -1.693066811122e+01 -1.693068737278e+01 -1.693071166798e+01 -1.693074230892e+01 -1.693078094774e+01 -1.693082966359e+01 -1.693089107116e+01 -1.693096845561e+01 -1.693106593993e+01 -1.693118869118e+01 -1.693134317323e+01 -1.693153745383e+01 -1.693178157357e+01 -1.693208798275e+01 -1.693247204846e+01 -1.693295262675e+01 -1.693355268267e+01 -1.693429992059e+01 -1.693522735742e+01 -1.693637372933e+01 -1.693778356797e+01 -1.693950671996e+01 -1.694159702634e+01 -1.694410985298e+01 -1.694709821232e+01 -1.695060739619e+01 -1.695466839758e+01 -1.695929093837e+01 -1.696445753964e+01 -1.697012053860e+01 -1.697620394609e+01 -1.698261129953e+01 -1.698923924317e+01 -1.699599492739e+01 -1.700281418811e+01 -1.700967741580e+01 -1.701662108289e+01 -1.702374453436e+01 -1.703121310915e+01 -1.703925940887e+01 -1.704818442347e+01 -1.705835942064e+01 -1.707022824426e+01 -1.708430813594e+01 -1.710118556775e+01 -1.712150224311e+01 -1.714592625175e+01 -1.717510572195e+01 -1.720960831083e+01 -1.724985856755e+01 -1.729609194172e+01 -1.734834224572e+01 -1.740646628295e+01 -1.747019255702e+01 -1.753917309640e+01 -1.761302348562e+01 -1.769134851826e+01 -1.777375863939e+01 -1.785988237332e+01 -1.794937644961e+01 -1.804193291495e+01 -1.813728227908e+01 -1.823519257742e+01 -1.833546503199e+01 -1.843792743902e+01 -1.854242661700e+01 -1.864882128070e+01 -1.875697649303e+01 -1.886676034370e+01 -1.897804283984e+01 -1.909069642735e+01 -1.920459730457e+01 -1.931962677718e+01 -1.943567220254e+01 -1.955262739664e+01 -1.967039259721e+01 -1.978887415891e+01 -1.990798414600e+01 -2.002763995230e+01 -2.014776404505e+01
-1.693059510987e+01 -1.693059527266e+01 -1.693059547808e+01 -1.693059573729e+01 -1.693059606437e+01 -1.693059647709e+01 -1.693059699789e+01 -1.693059765505e+01 -1.693059848429e+01 -1.693059953064e+01 -1.693060085096e+01 -1.693060251697e+01 -1.693060461916e+01 -1.693060727171e+01 -1.693061061865e+01 -1.693061484170e+01 -1.693062017012e+01 -1.693062689304e+01 -1.693063537519e+01 -1.693064607650e+01 -1.693065957693e+01 -1.693067660761e+01 -1.693069809006e+01 -1.693072518535e+01 -1.693075935587e+01 -1.693080244261e+01 -1.693085676170e+01 -1.693092522479e+01 -1.693101148859e+01 -1.693112013974e+01 -1.693125692228e+01 -1.693142901542e+01 -1.693164536950e+01 -1.693191710751e+01 -1.693225799677e+01 -1.693268499068e+01 -1.693321883085e+01 -1.693388468477e+01 -1.693471276975e+01 -1.693573887918e+01 -1.693700467911e+01 -1.693855758471e+01 -1.694044996398e+01 -1.694273736901e+01 -1.694547549744e+01 -1.694871568712e+01 -1.695249900282e+01 -1.695684941807e+01 -1.696176719093e+01 -1.696722412107e+01 -1.697316267113e+01 -1.697950061786e+01 -1.698614182442e+01 -1.699299212573e+01 -1.699997781680e+01 -1.700706354205e+01 -1.701426686059e+01 -1.702166815973e+01 -1.702941621521e+01 -1.703773084378e+01 -1.704690438562e+01 -1.705730319643e+01 -1.706936913664e+01 -1.708361946337e+01 -1.710064181365e+01 -1.712107955338e+01 -1.714560253985e+01 -1.717486065884e+01 -1.720942343674e+01 -1.724971763727e+01 -1.729598141993e+01 -1.734825169849e+01 -1.740638840081e+01 -1.747012272775e+01 -1.753910868498e+01 -1.761296308806e+01 -1.769129138658e+01 -1.777370433050e+01 -1.785983057336e+01 -1.794932690027e+01 -1.804188538697e+01 -1.813723656404e+01 -1.823514848560e+01 -1.833542239203e+01 -1.843788609787e+01 -1.854238643970e+01 -1.864878214960e+01 -1.875693830650e+01 -1.886672301427e+01 -1.897800629211e+01 -1.909066059583e+01 -1.920456213184e+01 -1.931959221241e+01 -1.943563820035e+01 -1.955259391636e+01 -1.967035960227e+01 -1.978884161641e+01 -1.990795202634e+01 -2.002760822886e+01 -2.014773269382e+01
-1.693059503738e+01 -1.693059518119e+01 -1.693059536266e+01 -1.693059559164e+01 -1.693059588059e+01 -1.693059624519e+01 -1.693059670526e+01 -1.693059728580e+01 -1.693059801835e+01 -1.693059894271e+01 -1.693060010910e+01 -1.693060158087e+01 -1.693060343798e+01 -1.693060578130e+01 -1.693060873808e+01 -1.693061246889e+01 -1.693061717626e+01 -1.693062311569e+01 -1.693063060947e+01 -1.693064006404e+01 -1.693065199197e+01 -1.693066703951e+01 -1.693068602130e+01 -1.693070996398e+01 -1.693074016091e+01 -1.693077824074e+01 -1.693082625330e+01 -1.693088677667e+01 -1.693096305059e+01 -1.693105914181e+01 -1.693118014823e+01 -1.693133244924e+01 -1.693152401039e+01 -1.693176475018e+01 -1.693206697563e+01 -1.693244588967e+01 -1.693292016697e+01 -1.693351258293e+01 -1.693425066190e+01 -1.693516728209e+01 -1.693630113399e+01 -1.693769687665e+01 -1.693940477449e+01 -1.694147953906e+01 -1.694397807023e+01 -1.694695583019e+01 -1.695046174691e+01 -1.695453188179e+01 -1.695918261891e+01 -1.696440475429e+01 -1.697016036439e+01 -1.697638439338e+01 -1.698299224734e+01 -1.698989332400e+01 -1.699700875942e+01 -1.700429045212e+01 -1.701173823652e+01 -1.701941301667e+01 -1.702744524524e+01 -1.703603957995e+01 -1.704547727153e+01 -1.705611762458e+01 -1.706839884764e+01 -1.708283703530e+01 -1.710002023410e+01 -1.712059304038e+01 -1.714522687750e+01 -1.717457335198e+01 -1.720920395136e+01 -1.724954785716e+01 -1.729584623442e+01 -1.734813944976e+01 -1.740629090865e+01 -1.747003481133e+01 -1.753902736133e+01 -1.761288674409e+01 -1.769121914153e+01 -1.777363564653e+01 -1.785976506026e+01 -1.794926423306e+01 -1.804182527609e+01 -1.813717874597e+01 -1.823509272043e+01 -1.833536846302e+01 -1.843783381147e+01 -1.854233562521e+01 -1.864873265824e+01 -1.875689000973e+01 -1.886667580148e+01 -1.897796006792e+01 -1.909061527743e+01 -1.920451764661e+01 -1.931954849606e+01 -1.943559519551e+01 -1.955255157157e+01 -1.967031787129e+01 -1.978880045764e+01 -1.990791140235e+01 -2.002756810597e+01 -2.014769304167e+01
-1.693059497298e+01 -1.693059509992e+01 -1.693059526011e+01 -1.693059546224e+01 -1.693059571730e+01 -1.693059603914e+01 -1.693059644526e+01 -1.693059695773e+01 -1.693059760437e+01 -1.693059842034e+01 -1.693059944995e+01 -1.693060074914e+01 -1.693060238850e+01 -1.693060445706e+01 -1.693060706717e+01 -1.693061036058e+01 -1.693061451610e+01 -1.693061975933e+01 -1.693062637480e+01 -1.693063472143e+01 -1.693064525185e+01 -1.693065853681e+01 -1.693067529587e+01 -1.693069643602e+01 -1.693072310008e+01 -1.693075672758e+01 -1.693079913088e+01 -1.693085259038e+01 -1.693091997330e+01 -1.693100488120e+01 -1.693111183272e+01 -1.693124648848e+01 -1.693141592629e+01 -1.693162897454e+01 -1.693189661172e+01 -1.693223243745e+01 -1.693265321613e+01 -1.693317948566e+01 -1.693383620929e+01 -1.693465342599e+01 -1.693566682153e+01 -1.693691809640e+01 -1.693845494977e+01 -1.694033043689e+01 -1.694260140732e+01 -1.694532572620e+01 -1.694855806688e+01 -1.695234429801e+01 -1.695671491068e+01 -1.696167851465e+01 -1.696721703760e+01 -1.697328461213e+01 -1.697981191031e+01 -1.698671670342e+01 -1.699391986568e+01 -1.700136448656e+01 -1.700903492977e+01 -1.701697299469e+01 -1.702528961718e+01 -1.703417211764e+01 -1.704388811851e+01 -1.705478746000e+01 -1.706730269295e+01 -1.708194724887e+01 -1.709930856206e+01 -1.712003182989e+01 -1.714478970877e+01 -1.717423541287e+01 -1.720894244987e+01 -1.724934262137e+01 -1.729568041397e+01 -1.734800002972e+01 -1.740616873808e+01 -1.746992406939e+01 -1.753892466714e+01 -1.761279023945e+01 -1.769112778552e+01 -1.777354878415e+01 -1.785968220552e+01 -1.794918497690e+01 -1.804174925273e+01 -1.813710562222e+01 -1.823502219289e+01 -1.833530025760e+01 -1.843776768340e+01 -1.854227135859e+01 -1.864867006493e+01 -1.875682892717e+01 -1.886661608978e+01 -1.897790160646e+01 -1.909055796147e+01 -1.920446138433e+01 -1.931949320614e+01 -1.943554080540e+01 -1.955249801622e+01 -1.967026509221e+01 -1.978874840220e+01 -1.990786002323e+01 -2.002751736058e+01 -2.014764289162e+01
-1.693059491577e+01 -1.693059502773e+01 -1.693059516901e+01 -1.693059534729e+01 -1.693059557224e+01 -1.693059585611e+01 -1.693059621430e+01 -1.693059666629e+01 -1.693059723662e+01 -1.693059795629e+01 -1.693059886440e+01 -1.693060001029e+01 -1.693060145620e+01 -1.693060328067e+01 -1.693060558281e+01 -1.693060848764e+01 -1.693061215291e+01 -1.693061677760e+01 -1.693062261274e+01 -1.693062997498e+01 -1.693063926366e+01 -1.693065098241e+01 -1.693066576623e+01 -1.693068441564e+01 -1.693070793950e+01 -1.693073760890e+01 -1.693077502461e+01 -1.693082220158e+01 -1.693088167444e+01 -1.693095662893e+01 -1.693105106499e+01 -1.693116999835e+01 -1.693131970800e+01 -1.693150803804e+01 -1.693174476194e+01 -1.693204201647e+01 -1.693241480959e+01 -1.693288160058e+01 -1.693346493988e+01 -1.693419213886e+01 -1.693509591278e+01 -1.693621490177e+01 -1.693759392412e+01 -1.693928375582e+01 -1.694134017125e+01 -1.694382194465e+01 -1.694678753926e+01 -1.695029035502e+01 -1.695437271835e+01 -1.695905929855e+01 -1.696435125398e+01 -1.697022294810e+01 -1.697662321798e+01 -1.698348263647e+01 -1.699072693408e+01 -1.699829510146e+01 -1.700615936526e+01 -1.701434386394e+01 -1.702293961538e+01 -1.703211482955e+01 -1.704212100521e+01 -1.705329589504e+01 -1.706606405066e+01 -1.708093438154e+01 -1.709849237080e+01 -1.711938294026e+01 -1.714427947380e+01 -1.717383657450e+01 -1.720862977775e+01 -1.724909369676e+01 -1.729547647167e+01 -1.734782655300e+01 -1.740601549423e+01 -1.746978451641e+01 -1.753879496760e+01 -1.761266824672e+01 -1.769101226467e+01 -1.777343893497e+01 -1.785957742173e+01 -1.794908474333e+01 -1.804165310729e+01 -1.813701314365e+01 -1.823493299750e+01 -1.833521399880e+01 -1.843768405161e+01 -1.854219008082e+01 -1.864859090322e+01 -1.875675167595e+01 -1.886654057215e+01 -1.897782766987e+01 -1.909048547349e+01 -1.920439022883e+01 -1.931942328031e+01 -1.943547201748e+01 -1.955243028393e+01 -1.967019834159e+01 -1.978868256673e+01 -1.990779504305e+01 -2.002745318183e+01 -2.014757946575e+01
-1.693059486495e+01 -1.693059496361e+01 -1.693059508810e+01 -1.693059524519e+01 -1.693059544342e+01 -1.693059569355e+01 -1.693059600918e+01 -1.693059640745e+01 -1.693059691001e+01 -1.693059754416e+01 -1.693059834436e+01 -1.693059935408e+01 -1.693060062818e+01 -1.693060223587e+01 -1.693060426447e+01 -1.693060682418e+01 -1.693061005399e+01 -1.693061412929e+01 -1.693061927131e+01 -1.693062575914e+01 -1.693063394477e+01 -1.693064427216e+01 -1.693065730113e+01 -1.693067373751e+01 -1.693069447100e+01 -1.693072062275e+01 -1.693075360511e+01 -1.693079519643e+01 -1.693084763469e+01 -1.693091373426e+01 -1.693099703119e+01 -1.693110196327e+01 -1.693123409201e+01 -1.693140037465e+01 -1.693160949459e+01 -1.693187225847e+01 -1.693220206647e+01 -1.693261545818e+01 -1.693313272915e+01 -1.693377859973e+01 -1.693458289715e+01 -1.693558118039e+01 -1.693681519420e+01 -1.693833298340e+01 -1.694018843755e+01 -1.694243998360e+01 -1.694514812975e+01 -1.694837163376e+01 -1.695216227785e+01 -1.695655862664e+01 -1.696157971015e+01 -1.696722019174e+01 -1.697344899500e+01 -1.698021324810e+01 -1.698744854139e+01 -1.699509499599e+01 -1.700311703305e+01 -1.701152373923e+01 -1.702038682403e+01 -1.702985426245e+01 -1.704015917154e+01 -1.705162449479e+01 -1.706466413993e+01 -1.707978025450e+01 -1.709755466413e+01 -1.711863083467e+01 -1.714368214920e+01 -1.717336423721e+01 -1.720825459257e+01 -1.724879080571e+01 -1.729522501107e+01 -1.734761034792e+01 -1.740582310706e+01 -1.746960859129e+01 -1.753863114151e+01 -1.761251403201e+01 -1.769086619044e+01 -1.777330002057e+01 -1.785944490977e+01 -1.794895798471e+01 -1.804153151818e+01 -1.813689619144e+01 -1.823482019702e+01 -1.833510491175e+01 -1.843757828654e+01 -1.854208729249e+01 -1.864849079072e+01 -1.875665397934e+01 -1.886644506771e+01 -1.897773416472e+01 -1.909039380015e+01 -1.920430024046e+01 -1.931933484689e+01 -1.943538502300e+01 -1.955234462435e+01 -1.967011392339e+01 -1.978859930578e+01 -1.990771286366e+01 -2.002737201590e+01 -2.014749925190e+01
-1.693059481979e+01 -1.693059490665e+01 -1.693059501624e+01 -1.693059515452e+01 -1.693059532902e+01 -1.693059554920e+01 -1.693059582704e+01 -1.693059617762e+01 -1.693059662001e+01 -1.693059717823e+01 -1.693059788261e+01 -1.693059877144e+01 -1.693059989298e+01 -1.693060130818e+01 -1.693060309391e+01 -1.693060534716e+01 -1.693060819032e+01 -1.693061177778e+01 -1.693061630431e+01 -1.693062201564e+01 -1.693062922171e+01 -1.693063831344e+01 -1.693064978385e+01 -1.693066425458e+01 -1.693068250936e+01 -1.693070553597e+01 -1.693073457906e+01 -1.693077120626e+01 -1.693081739112e+01 -1.693087561665e+01 -1.693094900445e+01 -1.693104147511e+01 -1.693115794667e+01 -1.693130457884e+01 -1.693148907134e+01 -1.693172102512e+01 -1.693201237440e+01 -1.693237789503e+01 -1.693283578967e+01 -1.693340834050e+01 -1.693412260465e+01 -1.693501110257e+01 -1.693611241404e+01 -1.693747154841e+01 -1.693913989717e+01 -1.694117451762e+01 -1.694363645543e+01 -1.694658782805e+01 -1.695008751140e+01 -1.695418555417e+01 -1.695891691505e+01 -1.696429572831e+01 -1.697031187598e+01 -1.697693188280e+01 -1.698410574283e+01 -1.699178012691e+01 -1.699991679141e+01 -1.700851355701e+01 -1.701762462666e+01 -1.702737752566e+01 -1.703798521378e+01 -1.704975317390e+01 -1.706308179872e+01 -1.707846385485e+01 -1.709647539319e+01 -1.711775687802e+01 -1.714298068068e+01 -1.717280290202e+01 -1.720780281349e+01 -1.724842110060e+01 -1.729491422906e+01 -1.734734048853e+01 -1.740558139124e+01 -1.746938674295e+01 -1.753842419016e+01 -1.761231908480e+01 -1.769068148838e+01 -1.777312435833e+01 -1.785927733990e+01 -1.794879768904e+01 -1.804137775904e+01 -1.813674829547e+01 -1.823467755077e+01 -1.833496696099e+01 -1.843744453628e+01 -1.854195730618e+01 -1.864836418788e+01 -1.875653043125e+01 -1.886632429151e+01 -1.897761591651e+01 -1.909027786816e+01 -1.920418643903e+01 -1.931922301163e+01 -1.943527500722e+01 -1.955223629652e+01 -1.967000716524e+01 -1.978849401094e+01 -1.990760893645e+01 -2.002726937019e+01 -2.014739781008e+01
-1.693059473009e+01 -1.693059481676e+01 -1.693059492129e+01 -1.693059504935e+01 -1.693059520790e+01 -1.693059540557e+01 -1.693059565308e+01 -1.693059596389e+01 -1.693059635488e+01 -1.693059684731e+01 -1.693059746792e+01 -1.693059825043e+01 -1.693059923737e+01 -1.693060048234e+01 -1.693060205299e+01 -1.693060403462e+01 -1.693060653487e+01 -1.693060968953e+01 -1.693061366991e+01 -1.693061869209e+01 -1.693062502868e+01 -1.693063302352e+01 -1.693064311026e+01 -1.693065583578e+01 -1.693067188960e+01 -1.693069214093e+01 -1.693071768523e+01 -1.693074990262e+01 -1.693079053111e+01 -1.693084175833e+01 -1.693090633596e+01 -1.693098772232e+01 -1.693109025922e+01 -1.693121939047e+01 -1.693138193010e+01 -1.693158638917e+01 -1.693184336999e+01 -1.693216603529e+01 -1.693257065674e+01 -1.693307724059e+01 -1.693371021652e+01 -1.693449915726e+01 -1.693547946750e+01 -1.693669294099e+01 -1.693818803171e+01 -1.694001962583e+01 -1.694224804577e+01 -1.694493699438e+01 -1.694815019726e+01 -1.695194668017e+01 -1.695637497586e+01 -1.696146709314e+01 -1.696723370629e+01 -1.697366250355e+01 -1.698072164802e+01 -1.698836959285e+01 -1.699657108612e+01 -1.700531754385e+01 -1.701464876676e+01 -1.702467277864e+01 -1.703558137759e+01 -1.704766023826e+01 -1.706129327677e+01 -1.707696092141e+01 -1.709523089305e+01 -1.711673868212e+01 -1.714215428503e+01 -1.717213346470e+01 -1.720725693076e+01 -1.724796850204e+01 -1.729452928913e+01 -1.734700320422e+01 -1.740527749089e+01 -1.746910690760e+01 -1.753816274403e+01 -1.761207265118e+01 -1.769044795516e+01 -1.777290223986e+01 -1.785906544953e+01 -1.794859499513e+01 -1.804118332954e+01 -1.813656127911e+01 -1.823449717193e+01 -1.833479251892e+01 -1.843727540513e+01 -1.854179293398e+01 -1.864820409354e+01 -1.875637419916e+01 -1.886617156401e+01 -1.897746638524e+01 -1.909013126539e+01 -1.920404253003e+01 -1.931908158855e+01 -1.943513588461e+01 -1.955209930807e+01 -1.966987216147e+01 -1.978836085735e+01 -1.990747751205e+01 -2.002713956611e+01 -2.014726952820e+01
-1.693058165590e+01 -1.693058443866e+01 -1.693058667555e+01 -1.693058848805e+01 -1.693058997459e+01 -1.693059121592e+01 -1.693059227947e+01 -1.693059322301e+01 -1.693059409782e+01 -1.693059495142e+01 -1.693059583020e+01 -1.693059678189e+01 -1.693059785821e+01 -1.693059911763e+01 -1.693060062858e+01 -1.693060247313e+01 -1.693060475149e+01 -1.693060758741e+01 -1.693061113489e+01 -1.693061558655e+01 -1.693062118408e+01 -1.693062823127e+01 -1.693063711048e+01 -1.693064830328e+01 -1.693066241640e+01 -1.693068021438e+01 -1.693070266062e+01 -1.693073096888e+01 -1.693076666793e+01 -1.693081168255e+01 -1.693086843485e+01 -1.693093997061e+01 -1.693103011651e+01 -1.693114367493e+01 -1.693128666415e+01 -1.693146661261e+01 -1.693169291641e+01 -1.693197726891e+01 -1.693233416959e+01 -1.693278151482e+01 -1.693334126563e+01 -1.693404017304e+01 -1.693491052012e+01 -1.693599080692e+01 -1.693732626030e+01 -1.693896899481e+01 -1.694097759137e+01 -1.694341581453e+01 -1.694635018808e+01 -1.694984624266e+01 -1.695396349169e+01 -1.695874962345e+01 -1.696423498704e+01 -1.697042905510e+01 -1.697732088773e+01 -1.698488537870e+01 -1.699309605923e+01 -1.700194364954e+01 -1.701145795847e+01 -1.702172982886e+01 -1.703292997642e+01 -1.704532252415e+01 -1.705927207043e+01 -1.707524350751e+01 -1.709379323733e+01 -1.711554932381e+01 -1.714117759600e+01 -1.717133233941e+01 -1.720659514122e+01 -1.724741286662e+01 -1.729405153153e+01 -1.734658113547e+01 -1.740489517968e+01 -1.746875384992e+01 -1.753783244127e+01 -1.761176114576e+01 -1.769015270046e+01 -1.777262139985e+01 -1.785879753633e+01 -1.794833870760e+01 -1.804093748996e+01 -1.813632481142e+01 -1.823426909557e+01 -1.833457194798e+01 -1.843706154836e+01 -1.854158509355e+01 -1.864800166122e+01 -1.875617664951e+01 -1.886597844487e+01 -1.897727730678e+01 -1.908994588914e+01 -1.920386055925e+01 -1.931890276052e+01 -1.943495996490e+01 -1.955192608643e+01 -1.966970144893e+01 -1.978819248390e+01 -1.990731132476e+01 -2.002697542735e+01 -2.014710731391e+01
