curve,OH_over_solar,DTG,DTM,DTG_low,DTG_high,DTM_low,DTM_high
remy_ruyer14,0.0012761659757919428,1.170340410435064e-10,6.818404389419043e-06,,,,
remy_ruyer14,0.001326092528840983,1.318192594922714e-10,7.390652028371643e-06,,,,
remy_ruyer14,0.0013779723236678448,1.4847233350364277e-10,8.01092664571736e-06,,,,
remy_ruyer14,0.001431881775590835,1.672292341872072e-10,8.68325899754269e-06,,,,
remy_ruyer14,0.001487900289471538,1.883557435039129e-10,9.412018128853298e-06,,,,
remy_ruyer14,0.0015461103766726825,2.1215122034940307e-10,1.0201939765119625e-05,,,,
remy_ruyer14,0.0016065977765915755,2.389528424165374e-10,1.105815708663623e-05,,,,
remy_ruyer14,0.0016694515829483016,2.6914038394360875e-10,1.1986234085679363e-05,,,,
remy_ruyer14,0.0017347643750145125,3.031415970480206e-10,1.2992201723226253e-05,,,,
remy_ruyer14,0.0018026323539762537,3.414382728980468e-10,1.4082597120197483e-05,,,,
remy_ruyer14,0.0018731554846316226,3.8457306860838217e-10,1.526450603789961e-05,,,,
remy_ruyer14,0.0019464376426318903,4.3315719659532136e-10,1.654560892371856e-05,,,,
remy_ruyer14,0.0020225867674831493,4.878790853484896e-10,1.7934230821288025e-05,,,,
remy_ruyer14,0.002101715021533613,5.495141343405901e-10,1.9439395469462534e-05,,,,
remy_ruyer14,0.0021839389551809945,6.189357013006623e-10,2.1070883941652377e-05,,,,
remy_ruyer14,0.0022693796785430423,6.971274775383698e-10,2.2839298206574017e-05,,,,
remy_ruyer14,0.0023581630398443664,7.851974266757298e-10,2.475613002346189e-05,,,,
remy_ruyer14,0.0024504198107820185,8.843934842953441e-10,2.683383561943872e-05,,,,
remy_ruyer14,0.002546285879143155,9.96121240966672e-10,2.9085916634330597e-05,,,,
remy_ruyer14,0.002645902448958189,1.1219638592154088e-09,3.15270078589277e-05,,,,
remy_ruyer14,0.0027494162484845547,1.2637045066562044e-09,3.417297233684989e-05,,,,
remy_ruyer14,0.002856979746327112,1.4233516231618462e-09,3.704100444801351e-05,,,,
remy_ruyer14,0.0029687513760138515,1.60316738010071e-09,4.014974164358114e-05,,,,
remy_ruyer14,0.0030848957693573355,1.8056997349042942e-09,4.3519385558475346e-05,,,,
remy_ruyer14,0.0032055839989459673,2.033818535172948e-09,4.717183328849732e-05,,,,
remy_ruyer14,0.0033309938301218944,2.2907561839079925e-09,5.11308196851238e-05,,,,
remy_ruyer14,0.0034613099828169893,2.580153442089853e-09,5.5422071592670423e-05,,,,
remy_ruyer14,0.003596724403632467,2.9061110176165337e-09,6.007347503010572e-05,,,,
remy_ruyer14,0.003737436548562736,3.273247671608048e-09,6.511525640391208e-05,,,,
remy_ruyer14,0.0038836536767802806,3.686765665433842e-09,7.058017892959214e-05,,,,
remy_ruyer14,0.0040355911559138416,4.152524475834795e-09,7.650375553821689e-05,,,,
remy_ruyer14,0.004193472779270032,4.677123822671306e-09,8.292447965157237e-05,,,,
remy_ruyer14,0.004357531095465137,5.267997185784532e-09,8.98840753255422e-05,,,,
remy_ruyer14,0.00452800775095313,5.933517136089838e-09,9.74277683872648e-05,,,,
remy_ruyer14,0.0047051538459539095,6.683113973423319e-09,0.0001056045803279801,,,,
remy_ruyer14,0.004889230304306542,7.52740935222106e-09,0.00011446764686141228,,,,
remy_ruyer14,0.005080508257791728,8.478366788480824e-09,0.00012407456321775906,,,,
remy_ruyer14,0.005279269445490152,9.549461180665775e-09,0.00013448775841715487,,,,
remy_ruyer14,0.005485806628764354,1.0755869746628698e-08,0.00014577490095473615,,,,
remy_ruyer14,0.005700424022475846,1.2114687082101487e-08,0.0001580093385336132,,,,
remy_ruyer14,0.005923437743072454,1.3645167388089694e-08,0.00017127057470327177,,,,
remy_ruyer14,0.00615517627420563,1.5368997299489975e-08,0.00018564478550075428,,,,
remy_ruyer14,0.0063959809505641394,1.7310603180867396e-08,0.00020122537945196174,,,,
remy_ruyer14,0.006646206460636049,1.949749724371394e-08,0.00021811360457210977,,,,
remy_ruyer14,0.006906221369140331,2.1960667389614827e-08,0.00023641920630988904,,,,
remy_ruyer14,0.007176408659896761,2.4735016303324316e-08,0.0002562611407108188,,,,
remy_ruyer14,0.007457166299934596,2.785985601762986e-08,0.00027776834743423244,,,,
remy_ruyer14,0.007748907825670004,3.137946495789218e-08,0.0003010805876471559,,,,
remy_ruyer14,0.008052062952016601,3.534371535949391e-08,0.000326349352240073,,,,
remy_ruyer14,0.008367078205325286,3.9808779948580195e-08,0.0003537388462663997,,,,
remy_ruyer14,0.00869441758108666,4.4837927899643203e-08,0.0003834270560029613,,,,
remy_ruyer14,0.00903456322736375,5.050242134851654e-08,0.00041560690556552264,,,,
remy_ruyer14,0.00938801615496274,5.688252516422444e-08,0.00045048751059554063,,,,
remy_ruyer14,0.009755296975386647,6.406864428795611e-08,0.0004882955371649168,,,,
remy_ruyer14,0.01013694666766005,7.216260475507791e-08,0.0005292766747294965,,,,
remy_ruyer14,0.010533527375153172,8.127909655201645e-08,0.0005736972327029488,,,,
remy_ruyer14,0.010945623233579962,9.154729875305779e-08,0.0006218458710262093,,,,
remy_ruyer14,0.011373841231389386,1.0311270996495589e-07,0.0006740354759782694,,,,
remy_ruyer14,0.011818812103816752,1.1613921001641604e-07,0.0007306051934179342,,,,
remy_ruyer14,0.012281191261913068,1.3081138210625592e-07,0.0007919226326693696,,,,
remy_ruyer14,0.012761659757919428,1.4733712831463193e-07,0.0008583862553728534,,,,
remy_ruyer14,0.013260925288409829,1.6595061553871016e-07,0.000930427964824518,,,,
remy_ruyer14,0.013779723236678447,1.8691559359611504e-07,0.0010085159126312629,,,,
remy_ruyer14,0.014318817755908349,2.105291325131537e-07,0.0010931575409196873,,,,
remy_ruyer14,0.014879002894715379,2.3712583195445988e-07,0.0011849028798680797,,,,
remy_ruyer14,0.015461103766726825,2.670825624410066e-07,0.0012843481219902476,,,,
remy_ruyer14,0.016065977765915788,3.008238055386283e-07,0.001392139496397818,,,,
remy_ruyer14,0.016694515829483017,3.3882766868664835e-07,0.0015089774682175193,,,,
remy_ruyer14,0.01734764375014509,3.8163265989561894e-07,0.001635621290452545,,,,
remy_ruyer14,0.018026323539762537,4.2984531831046416e-07,0.0017728939378676028,,,,
remy_ruyer14,0.018731554846316226,4.841488087627557e-07,0.0019216874549597386,,,,
remy_ruyer14,0.019464376426318902,5.453126020953715e-07,0.002082968752767762,,,,
remy_ruyer14,0.020225867674831494,6.14203378428107e-07,0.0022577858921901607,,,,
remy_ruyer14,0.021017150215336133,6.917973078614436e-07,0.002447274894642282,,,,
remy_ruyer14,0.021839389551809946,7.79193882634049e-07,0.0026526671243111855,,,,
remy_ruyer14,0.022693796785430424,8.776314967330241e-07,0.0028752972899801074,,,,
remy_ruyer14,0.023581630398443663,9.88504993717467e-07,0.0031166121184216813,,,,
remy_ruyer14,0.024504198107820185,1.1133854314045935e-06,0.003378179755721886,,,,
remy_ruyer14,0.025462858791431554,1.2540423434808832e-06,0.0036616999576285425,,,,
remy_ruyer14,0.02645902448958189,1.4124688134809333e-06,0.0039690151351438555,,,,
remy_ruyer14,0.027494162484845545,1.590909716428309e-06,0.004302122327139948,,,,
remy_ruyer14,0.02856979746327118,1.7918935283169368e-06,0.004663186177798524,,,,
remy_ruyer14,0.029687513760138517,2.0182681541682607e-06,0.005054553003207476,,,,
remy_ruyer14,0.030848957693573417,2.273241282341019e-06,0.005478766038523288,,,,
remy_ruyer14,0.03205583998945967,2.560425836907211e-06,0.005938581964780725,,,,
remy_ruyer14,0.033309938301218874,2.8838911721463844e-06,0.006436988822746748,,,,
remy_ruyer14,0.034613099828169895,3.2482207345751097e-06,0.006977225430228851,,,,
remy_ruyer14,0.03596724403632467,3.6585770095724655e-06,0.007562802429018256,,,,
remy_ruyer14,0.03737436548562736,4.1207746728834656e-06,0.008197525098237788,,,,
remy_ruyer14,0.038836536767802805,4.641362983544892e-06,0.00888551808234427,,,,
remy_ruyer14,0.04035591155913842,5.227718585725673e-06,0.009631252194474992,,,,
remy_ruyer14,0.04193472779270033,5.888150034468778e-06,0.010439573469317268,,,,
remy_ruyer14,0.043575310954651364,6.632015526444314e-06,0.011315734654294632,,,,
remy_ruyer14,0.0452800775095313,7.469855503939656e-06,0.012265429343712423,,,,
remy_ruyer14,0.04705153845953919,8.413542011059367e-06,0.013294828977675328,,,,
remy_ruyer14,0.048892303043065424,9.476446918488174e-06,0.014410622946211293,,,,
remy_ruyer14,0.05080508257791739,1.0673631400530268e-05,0.015620062059209922,,,,
remy_ruyer14,0.05279269445490153,1.2022059349282065e-05,0.016931005664659105,,,,
remy_ruyer14,0.05485806628764343,1.3540837749978891e-05,0.018351972721369465,,,,
remy_ruyer14,0.05700424022475845,1.5251487423592111e-05,0.01989219715807532,,,,
remy_ruyer14,0.05923437743072442,1.717824797305104e-05,0.0215616878786539,,,,
remy_ruyer14,0.0615517627420563,1.9348421254123884e-05,0.02337129380339772,,,,
remy_ruyer14,0.0639598095056414,2.179275823787889e-05,0.025332774368999826,,,,
remy_ruyer14,0.06646206460636049,2.4545894746498192e-05,0.027458875945385323,,,,
remy_ruyer14,0.0690622136914033,2.7646842236745562e-05,0.0297634146659727,,,,
remy_ruyer14,0.07176408659896762,3.113954058539804e-05,0.03226136620962109,,,,
remy_ruyer14,0.07457166299934595,3.507348070952092e-05,0.03496896311770268,,,,
remy_ruyer14,0.07748907825670004,3.950440584399502e-05,0.037903800278692536,,,,
remy_ruyer14,0.08052062952016602,4.449510141328676e-05,0.04108494926575941,,,,
remy_ruyer14,0.08367078205325286,5.0116284689789666e-05,0.04453308227035205,,,,
remy_ruyer14,0.08694417581086661,5.644760684505545e-05,0.048270606437155285,,,,
remy_ruyer14,0.09034563227363769,6.35787815927842e-05,0.05232180947335779,,,,
remy_ruyer14,0.09388016154962739,7.161085641626341e-05,0.0567130174784621,,,,
remy_ruyer14,0.09755296975386667,8.06576443933096e-05,0.0614727660202599,,,,
remy_ruyer14,0.1013694666766005,9.084733690742612e-05,0.06663198556868784,,,,
remy_ruyer14,0.10533527375153172,0.00010232432009700532,0.07222420249257348,,,,
remy_ruyer14,0.10945623233579962,0.00011525122078133695,0.07828575692541732,,,,
remy_ruyer14,0.11373841231389387,0.00012981121085384466,0.08485603891598203,,,,
remy_ruyer14,0.11818812103816752,0.00014621060279536603,0.09197774439826313,,,,
remy_ruyer14,0.12281191261913069,0.0001646817730854824,0.0996971526442407,,,,
remy_ruyer14,0.12761659757919427,0.0001854864549360681,0.1080644270023723,,,,
remy_ruyer14,0.1326092528840983,0.00020891944700456605,0.11713394087615142,,,,
remy_ruyer14,0.13779723236678448,0.00023531279063874035,0.12696463106102832,,,,
remy_ruyer14,0.1431881775590835,0.0002650404748437909,0.13762038073582167,,,,
remy_ruyer14,0.1487900289471538,0.00029852373564030266,0.14917043459740154,,,,
remy_ruyer14,0.15461103766726825,0.00033623702490408604,0.161689848836364,,,,
remy_ruyer14,0.1606597776591579,0.0003787147332652062,0.17525997887775477,,,,
remy_ruyer14,0.16694515829483017,0.0004265587623285965,0.18996900805638609,,,,
remy_ruyer14,0.1734764375014509,0.000480447053513195,0.2059125206622276,,,,
remy_ruyer14,0.18026323539762537,0.0005411431943617961,0.2231941230797355,,,,
remy_ruyer14,0.18731554846316226,0.0006095072384413078,0.24192611705748746,,,,
remy_ruyer14,0.19464376426318902,0.0006865078921494639,0.2622302294832536,,,,
remy_ruyer14,0.20225867674831494,0.0007732362411129744,0.2842384034068563,,,,
remy_ruyer14,0.21017150215336133,0.0008709212106775643,0.3080936554511062,,,,
remy_ruyer14,0.21839389551809946,0.0009809469795625664,0.333951005182631,,,,
remy_ruyer14,0.22693796785430423,0.0011048725934281552,0.3619784824818864,,,,
remy_ruyer14,0.23581630398443665,0.0012444540562763541,0.3923582194586711,,,,
remy_ruyer14,0.24504198107820185,0.0014016692127166532,0.4252876340086891,,,,
remy_ruyer14,0.25462858791431553,0.0015787457736739922,0.4609807127024194,,,,
remy_ruyer14,0.2645902448958189,0.0016314502254406748,0.4584349456219199,,,,
remy_ruyer14,0.27494162484845547,0.0016952763168523234,0.4584349456219199,,,,
remy_ruyer14,0.28569797463271124,0.0017615994320047826,0.4584349456219198,,,,
remy_ruyer14,0.2968751376013852,0.0018305172602195387,0.4584349456219198,,,,
remy_ruyer14,0.3084895769357348,0.0019021313126493726,0.4584349456219199,,,,
remy_ruyer14,0.3205583998945967,0.001976547071797226,0.4584349456219198,,,,
remy_ruyer14,0.33309938301218806,0.0020538741468845868,0.4584349456219199,,,,
remy_ruyer14,0.34613099828169896,0.0021342264352982084,0.4584349456219198,,,,
remy_ruyer14,0.3596724403632467,0.0022177222903529996,0.4584349456219199,,,,
remy_ruyer14,0.3737436548562736,0.0023044846956182118,0.4584349456219199,,,,
remy_ruyer14,0.38836536767802804,0.0023946414460636893,0.4584349456219199,,,,
remy_ruyer14,0.4035591155913842,0.0024883253362928764,0.4584349456219198,,,,
remy_ruyer14,0.41934727792700327,0.0025856743561400806,0.4584349456219198,,,,
remy_ruyer14,0.4357531095465137,0.0026868318939197926,0.4584349456219198,,,,
remy_ruyer14,0.452800775095313,0.002791946947627751,0.4584349456219198,,,,
remy_ruyer14,0.47051538459539094,0.002901174344404511,0.4584349456219199,,,,
remy_ruyer14,0.4889230304306542,0.0030146749685851077,0.4584349456219199,,,,
remy_ruyer14,0.5080508257791728,0.0031326159986703665,0.4584349456219199,,,,
remy_ruyer14,0.5279269445490152,0.0032551711535692665,0.4584349456219199,,,,
remy_ruyer14,0.5485806628764331,0.003382520948474674,0.4584349456219198,,,,
remy_ruyer14,0.5700424022475845,0.0035148529607497317,0.4584349456219199,,,,
remy_ruyer14,0.5923437743072429,0.003652362106216119,0.4584349456219199,,,,
remy_ruyer14,0.615517627420563,0.0037952509262515715,0.4584349456219198,,,,
remy_ruyer14,0.639598095056414,0.0039437298861191,0.4584349456219198,,,,
remy_ruyer14,0.6646206460636049,0.0040980176849676805,0.45843494562191994,,,,
remy_ruyer14,0.6906221369140331,0.004258341577960891,0.4584349456219199,,,,
remy_ruyer14,0.7176408659896761,0.004424937711007801,0.4584349456219199,,,,
remy_ruyer14,0.7457166299934596,0.004598051468589554,0.4584349456219198,,,,
remy_ruyer14,0.7748907825670004,0.00477793783519345,0.4584349456219199,,,,
remy_ruyer14,0.8052062952016602,0.004964861770887449,0.4584349456219199,,,,
remy_ruyer14,0.836707820532532,0.005159098601587734,0.45843494562191994,,,,
remy_ruyer14,0.8694417581086661,0.005360934424594633,0.4584349456219199,,,,
remy_ruyer14,0.903456322736375,0.005570666529994031,0.4584349456219199,,,,
remy_ruyer14,0.938801615496274,0.005788603838544876,0.4584349456219199,,,,
remy_ruyer14,0.9755296975386687,0.006015067356697866,0.4584349456219199,,,,
remy_ruyer14,1.013694666766005,0.006250390649415594,0.4584349456219199,,,,
remy_ruyer14,1.053352737515317,0.006494920331490544,0.4584349456219199,,,,
remy_ruyer14,1.0945623233579962,0.00674901657808432,0.4584349456219199,,,,
remy_ruyer14,1.1373841231389386,0.007013053655240742,0.4584349456219199,,,,
remy_ruyer14,1.1818812103816752,0.007287420471153399,0.4584349456219199,,,,
remy_ruyer14,1.228119126191307,0.007572521149000508,0.4584349456219199,,,,
