galaxy,gas_fraction,zini_zsun,run,output,time_myr,m_gas,m_metals,m_H,m_O,m_dust_smallC,m_dust_largeC,m_dust_smallSil_Si,m_dust_largeSil_Si,m_dust,OH_over_solar,OHgas_over_solar,Z_over_solar,DTG,DTM_metals,DTM
G9,HG,0.003,1d11_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3,21,100.1,296700000.0,406700.0,224800000.0,246800.0,48.92,8804.0,1605.0,1654.0,28846.785030674844,0.14010576638142871,0.13588345215414174,0.10191411599465244,9.722542983038371e-05,0.0709289034440001,0.05159428251715058
G9,HG,0.003,1d11_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3,41,200.1,358800000.0,961500.0,270700000.0,562800.0,301.4,16020.0,7988.0,7060.0,108640.41840490796,0.26532183641511153,0.24913160621306063,0.19923909935223982,0.0003027882341273912,0.11299055476329481,0.08484841153868404
G9,HG,0.003,1d11_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3,61,300.0,280200000.0,1199000.0,210300000.0,675800.0,1030.0,19280.0,9531.0,13270.0,160193.43558282207,0.41009651281036386,0.3785190582420441,0.3181476852699479,0.0005717110477616777,0.13360586787558137,0.10364974164692409
G9,HG,0.003,1d11_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3,81,400.0,281900000.0,1500000.0,210800000.0,821800.0,6374.0,27500.0,11160.0,20970.0,230990.5644171779,0.49751100517353913,0.4531192193898561,0.3956160467143428,0.00081940604617658,0.15399370961145192,0.12245434167653936
G9,HG,0.01,1d11_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3,21,100.1,310300000.0,534700.0,234900000.0,299100.0,64.75,9806.0,4549.0,3623.0,60005.719325153375,0.1624952079009668,0.15236291260822513,0.12811681224669255,0.00019337969489253425,0.11222315190789858,0.08848059378759537
G9,HG,0.01,1d11_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3,41,200.0,319700000.0,1020000.0,240900000.0,569400.0,323.8,15840.0,8879.0,9974.0,131826.37668711654,0.30163923064173187,0.27884598533036864,0.23721123311468814,0.0004123439996469082,0.1292415457716829,0.10163646942384101
G9,HG,0.01,1d11_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3,61,300.0,281500000.0,1334000.0,211100000.0,725500.0,1651.0,20020.0,11020.0,18140.0,200566.70552147238,0.438587596133139,0.39835650760264724,0.3523344800491261,0.0007124927371988362,0.1503498542139973,0.12078188753397819
G9,HG,0.01,1d11_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3,81,400.0,271100000.0,1577000.0,202500000.0,839800.0,11790.0,30130.0,11780.0,25680.0,271735.9509202454,0.5292465118370732,0.4753692838962197,0.4324938053558475,0.0010023458167474932,0.1723119536590015,0.14081123045592023
G9,HG,0.03,1d11_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3,21,100.0,343400000.0,906500.0,259600000.0,462100.0,160.6,11810.0,10130.0,13710.0,158228.26871165645,0.22716344276327377,0.20041712130366243,0.19626607314131808,0.00046076956526399667,0.1745485589759034,0.15080754115166511
G9,HG,0.03,1d11_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3,41,200.1,327800000.0,1328000.0,246700000.0,694900.0,838.5,16970.0,12690.0,20440.0,221060.0337423313,0.3594680731973336,0.32035564458651483,0.3012082351420192,0.0006743747216056476,0.16646086878187596,0.1394821633532711
