#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (D10.3)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- --------- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol            M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0        lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- --------- ----- ---- --------- --------- --------- -----------
 2.10  1.345e-05 0.693    N  6.52e-05  6.60e-05  8.31e-07  1.41e+00
 2.10  1.345e-05 0.693    O  5.71e-04  5.78e-04  7.12e-06  1.41e+00
 2.10  1.345e-05 0.693    F  1.44e-05  1.44e-05  2.84e-10  1.41e+00
 2.10  1.345e-05 0.693   Ne  5.89e-03  5.90e-03  1.24e-06  1.41e+00
 2.10  1.345e-05 0.693   Mg  2.19e-04  2.20e-04  5.06e-07  1.41e+00
 2.10  1.345e-05 0.693   Si  1.03e-06  1.55e-06  5.09e-07  1.41e+00
 2.10  1.345e-05 0.693    S -6.67e-08  3.67e-07  4.29e-07  1.41e+00
 2.10  1.345e-05 0.693   Fe -1.85e-07  7.65e-07  9.47e-07  1.41e+00
 2.25  1.345e-05 0.711    p -2.18e-01  9.65e-01  1.18e+00  1.54e+00
 2.25  1.345e-05 0.711   He  1.60e-01  5.12e-01  3.52e-01  1.54e+00
 2.25  1.345e-05 0.711    C  4.90e-02  4.89e-02  2.51e-06  1.54e+00
 2.25  1.345e-05 0.711    N  6.45e-05  6.54e-05  9.20e-07  1.54e+00
 2.25  1.345e-05 0.711    O  6.41e-04  6.49e-04  7.85e-06  1.54e+00
 2.25  1.345e-05 0.711    F  1.91e-05  1.91e-05  3.16e-10  1.54e+00
 2.25  1.345e-05 0.711   Ne  7.59e-03  7.58e-03  1.34e-06  1.54e+00
 2.25  1.345e-05 0.711   Mg  3.64e-04  3.65e-04  5.55e-07  1.54e+00
 2.25  1.345e-05 0.711   Si  1.98e-06  2.56e-06  5.88e-07  1.54e+00
 2.25  1.345e-05 0.711    S -9.21e-08  4.02e-07  4.72e-07  1.54e+00
 2.25  1.345e-05 0.711   Fe -2.79e-07  7.55e-07  1.04e-06  1.54e+00
 2.50  1.345e-05 0.731    p -2.03e-01  1.16e+00  1.36e+00  1.77e+00
 2.50  1.345e-05 0.731   He  1.46e-01  5.52e-01  4.06e-01  1.77e+00
 2.50  1.345e-05 0.731    C  4.95e-02  4.95e-02  2.85e-06  1.77e+00
 2.50  1.345e-05 0.731    N  3.67e-05  3.76e-05  1.02e-06  1.77e+00
 2.50  1.345e-05 0.731    O  7.04e-04  7.14e-04  8.77e-06  1.77e+00
 2.50  1.345e-05 0.731    F  1.51e-05  1.51e-05  3.75e-10  1.77e+00
 2.50  1.345e-05 0.731   Ne  5.61e-03  5.62e-03  1.60e-06  1.77e+00
 2.50  1.345e-05 0.731   Mg  7.27e-04  7.26e-04  6.11e-07  1.77e+00
 2.50  1.345e-05 0.731   Si  8.44e-06  9.11e-06  6.60e-07  1.77e+00
 2.50  1.345e-05 0.731    S -1.33e-07  4.03e-07  5.24e-07  1.77e+00
 2.50  1.345e-05 0.731   Fe -4.85e-07  7.20e-07  1.11e-06  1.77e+00
 3.00  1.345e-05 0.812    p -1.01e-01  1.58e+00  1.68e+00  2.19e+00
 3.00  1.345e-05 0.812   He  7.57e-02  5.77e-01  5.02e-01  2.19e+00
 3.00  1.345e-05 0.812    C  2.36e-02  2.36e-02  3.28e-06  2.19e+00
 3.00  1.345e-05 0.812    N  6.15e-05  6.27e-05  1.21e-06  2.19e+00
 3.00  1.345e-05 0.812    O  4.26e-04  4.37e-04  1.06e-05  2.19e+00
 3.00  1.345e-05 0.812    F  1.57e-06  1.56e-06  4.45e-10  2.19e+00
