#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 2.00 0.0040 0.640   Ne  4.16e-04  2.80e-03  0.00e+00  1.36e+00
 2.00 0.0040 0.640   Mg  1.20e-06  8.92e-04  0.00e+00  1.36e+00
 2.00 0.0040 0.640   Si  1.23e-07  9.58e-04  0.00e+00  1.36e+00
 2.00 0.0040 0.640    S -6.39e-08  5.00e-04  0.00e+00  1.36e+00
 2.00 0.0040 0.640   Fe -1.18e-07  2.51e-03  0.00e+00  1.36e+00
 2.20 0.0040 0.660    p -1.00e-01  9.88e-01  0.00e+00  1.54e+00
 2.20 0.0040 0.660   He  7.47e-02  4.97e-01  0.00e+00  1.54e+00
 2.20 0.0040 0.660    C  2.29e-02  2.76e-02  0.00e+00  1.54e+00
 2.20 0.0040 0.660    N  4.51e-04  2.16e-03  0.00e+00  1.54e+00
 2.20 0.0040 0.660    O  1.92e-04  1.50e-02  0.00e+00  1.54e+00
 2.20 0.0040 0.660    F  4.03e-06  4.78e-06  0.00e+00  1.54e+00
 2.20 0.0040 0.660   Ne  1.79e-03  4.49e-03  0.00e+00  1.54e+00
 2.20 0.0040 0.660   Mg  1.40e-05  1.02e-03  0.00e+00  1.54e+00
 2.20 0.0040 0.660   Si  5.24e-07  1.09e-03  0.00e+00  1.54e+00
 2.20 0.0040 0.660    S -3.38e-07  5.66e-04  0.00e+00  1.54e+00
 2.20 0.0040 0.660   Fe -5.14e-07  2.84e-03  0.00e+00  1.54e+00
 2.50 0.0040 0.663    p -1.50e-01  1.15e+00  0.00e+00  1.84e+00
 2.50 0.0040 0.663   He  1.12e-01  6.16e-01  0.00e+00  1.84e+00
 2.50 0.0040 0.663    C  3.38e-02  3.95e-02  0.00e+00  1.84e+00
 2.50 0.0040 0.663    N  5.83e-04  2.62e-03  0.00e+00  1.84e+00
 2.50 0.0040 0.663    O  8.48e-05  1.78e-02  0.00e+00  1.84e+00
 2.50 0.0040 0.663    F  8.73e-06  9.63e-06  0.00e+00  1.84e+00
 2.50 0.0040 0.663   Ne  3.58e-03  6.81e-03  0.00e+00  1.84e+00
 2.50 0.0040 0.663   Mg  4.58e-05  1.25e-03  0.00e+00  1.84e+00
 2.50 0.0040 0.663   Si  1.19e-06  1.30e-03  0.00e+00  1.84e+00
 2.50 0.0040 0.663    S -8.12e-07  6.74e-04  0.00e+00  1.84e+00
 2.50 0.0040 0.663   Fe -1.36e-06  3.39e-03  0.00e+00  1.84e+00
 3.00 0.0040 0.681    p -1.60e-01  1.48e+00  0.00e+00  2.32e+00
 3.00 0.0040 0.681   He  1.18e-01  7.54e-01  0.00e+00  2.32e+00
 3.00 0.0040 0.681    C  3.78e-02  4.50e-02  0.00e+00  2.32e+00
 3.00 0.0040 0.681    N  7.15e-04  3.29e-03  0.00e+00  2.32e+00
 3.00 0.0040 0.681    O  5.35e-06  2.23e-02  0.00e+00  2.32e+00
 3.00 0.0040 0.681    F  1.13e-05  1.24e-05  0.00e+00  2.32e+00
 3.00 0.0040 0.681   Ne  3.63e-03  7.69e-03  0.00e+00  2.32e+00
 3.00 0.0040 0.681   Mg  1.52e-04  1.67e-03  0.00e+00  2.32e+00
 3.00 0.0040 0.681   Si  4.37e-06  1.64e-03  0.00e+00  2.32e+00
 3.00 0.0040 0.681    S -2.45e-06  8.50e-04  0.00e+00  2.32e+00
 3.00 0.0040 0.681   Fe -6.95e-06  4.27e-03  0.00e+00  2.32e+00
 3.50 0.0040 0.717    p -9.48e-02  1.87e+00  0.00e+00  2.78e+00
 3.50 0.0040 0.717   He  6.92e-02  8.32e-01  0.00e+00  2.78e+00
 3.50 0.0040 0.717    C  2.32e-02  3.18e-02  0.00e+00  2.78e+00
 3.50 0.0040 0.717    N  1.08e-03  4.17e-03  0.00e+00  2.78e+00
 3.50 0.0040 0.717    O  9.32e-05  2.69e-02  0.00e+00  2.78e+00
 3.50 0.0040 0.717    F  3.07e-06  4.43e-06  0.00e+00  2.78e+00
 3.50 0.0040 0.717   Ne  1.10e-03  5.98e-03  0.00e+00  2.78e+00
 3.50 0.0040 0.717   Mg  1.39e-04  1.96e-03  0.00e+00  2.78e+00
 3.50 0.0040 0.717   Si  9.60e-06  1.97e-03  0.00e+00  2.78e+00
 3.50 0.0040 0.717    S -2.38e-06  1.02e-03  0.00e+00  2.78e+00
 3.50 0.0040 0.717   Fe -9.44e-06  5.13e-03  0.00e+00  2.78e+00
 4.00 0.0040 0.791    p -1.63e-01  2.10e+00  0.00e+00  3.21e+00
 4.00 0.0040 0.791   He  1.30e-01  1.01e+00  0.00e+00  3.21e+00
 4.00 0.0040 0.791    C  9.02e-03  1.89e-02  0.00e+00  3.21e+00
 4.00 0.0040 0.791    N  2.30e-02  2.66e-02  0.00e+00  3.21e+00
 4.00 0.0040 0.791    O  1.31e-05  3.09e-02  0.00e+00  3.21e+00
 4.00 0.0040 0.791    F  2.15e-06  3.72e-06  0.00e+00  3.21e+00
 4.00 0.0040 0.791   Ne  1.11e-03  6.74e-03  0.00e+00  3.21e+00
 4.00 0.0040 0.791   Mg  2.44e-04  2.34e-03  0.00e+00  3.21e+00
 4.00 0.0040 0.791   Si  1.62e-05  2.28e-03  0.00e+00  3.21e+00
 4.00 0.0040 0.791    S -3.31e-06  1.18e-03  0.00e+00  3.21e+00
 4.00 0.0040 0.791   Fe -1.45e-05  5.91e-03  0.00e+00  3.21e+00
 4.50 0.0040 0.851    p -2.67e-01  2.31e+00  0.00e+00  3.65e+00
 4.50 0.0040 0.851   He  2.16e-01  1.22e+00  0.00e+00  3.65e+00
 4.50 0.0040 0.851    C  3.88e-03  1.51e-02  0.00e+00  3.65e+00
 4.50 0.0040 0.851    N  4.51e-02  4.92e-02  0.00e+00  3.65e+00
 4.50 0.0040 0.851    O -8.85e-04  3.42e-02  0.00e+00  3.65e+00
 4.50 0.0040 0.851    F  5.43e-07  2.32e-06  0.00e+00  3.65e+00
