#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 2.00 0.0200 0.640   Ne -7.71e-06  2.38e-03  2.38e-03  1.36e+00
 2.00 0.0200 0.640   Mg -5.08e-09  8.99e-04  8.99e-04  1.36e+00
 2.00 0.0200 0.640   Si  1.01e-10  9.69e-04  9.69e-04  1.36e+00
 2.00 0.0200 0.640    S  8.91e-11  7.98e-04  7.98e-04  1.36e+00
 2.00 0.0200 0.640   Fe  3.59e-10  1.73e-03  1.73e-03  1.36e+00
 2.25 0.0200 0.660    p -1.51e-02  1.08e+00  1.09e+00  1.59e+00
 2.25 0.0200 0.660   He  1.38e-02  4.80e-01  4.66e-01  1.59e+00
 2.25 0.0200 0.660    C -5.68e-04  4.32e-03  4.89e-03  1.59e+00
 2.25 0.0200 0.660    N  1.93e-03  3.69e-03  1.77e-03  1.59e+00
 2.25 0.0200 0.660    O -1.66e-04  1.52e-02  1.53e-02  1.59e+00
 2.25 0.0200 0.660    F  9.11e-08  7.36e-07  6.45e-07  1.59e+00
 2.25 0.0200 0.660   Ne  5.92e-05  2.85e-03  2.79e-03  1.59e+00
 2.25 0.0200 0.660   Mg  1.39e-07  1.05e-03  1.05e-03  1.59e+00
 2.25 0.0200 0.660   Si  1.54e-07  1.13e-03  1.13e-03  1.59e+00
 2.25 0.0200 0.660    S  9.60e-08  9.34e-04  9.34e-04  1.59e+00
 2.25 0.0200 0.660   Fe  2.39e-07  2.03e-03  2.03e-03  1.59e+00
 2.50 0.0200 0.663    p -3.00e-02  1.23e+00  1.26e+00  1.83e+00
 2.50 0.0200 0.663   He  2.38e-02  5.62e-01  5.38e-01  1.83e+00
 2.50 0.0200 0.663    C  3.91e-03  9.55e-03  5.65e-03  1.83e+00
 2.50 0.0200 0.663    N  2.27e-03  4.31e-03  2.04e-03  1.83e+00
 2.50 0.0200 0.663    O -3.79e-04  1.73e-02  1.76e-02  1.83e+00
 2.50 0.0200 0.663    F  7.60e-07  1.50e-06  7.45e-07  1.83e+00
 2.50 0.0200 0.663   Ne  4.71e-04  3.70e-03  3.23e-03  1.83e+00
 2.50 0.0200 0.663   Mg  2.54e-06  1.22e-03  1.21e-03  1.83e+00
 2.50 0.0200 0.663   Si  2.69e-07  1.31e-03  1.31e-03  1.83e+00
 2.50 0.0200 0.663    S -2.46e-08  1.08e-03  1.08e-03  1.83e+00
 2.50 0.0200 0.663   Fe  1.91e-07  2.34e-03  2.34e-03  1.83e+00
 3.00 0.0200 0.682    p -6.95e-02  1.52e+00  1.59e+00  2.31e+00
 3.00 0.0200 0.682   He  5.18e-02  7.31e-01  6.79e-01  2.31e+00
 3.00 0.0200 0.682    C  1.38e-02  2.09e-02  7.12e-03  2.31e+00
 3.00 0.0200 0.682    N  3.08e-03  5.67e-03  2.57e-03  2.31e+00
 3.00 0.0200 0.682    O -1.09e-03  2.12e-02  2.24e-02  2.31e+00
 3.00 0.0200 0.682    F  3.41e-06  4.35e-06  9.40e-07  2.31e+00
 3.00 0.0200 0.682   Ne  1.81e-03  5.88e-03  4.07e-03  2.31e+00
 3.00 0.0200 0.682   Mg  2.42e-05  1.55e-03  1.54e-03  2.31e+00
 3.00 0.0200 0.682   Si  1.14e-06  1.66e-03  1.65e-03  2.31e+00
 3.00 0.0200 0.682    S -4.47e-07  1.36e-03  1.36e-03  2.31e+00
 3.00 0.0200 0.682   Fe  2.73e-07  2.96e-03  2.96e-03  2.31e+00
 3.50 0.0200 0.718    p -9.38e-02  1.82e+00  1.91e+00  2.78e+00
 3.50 0.0200 0.718   He  6.98e-02  8.85e-01  8.15e-01  2.78e+00
 3.50 0.0200 0.718    C  1.88e-02  2.73e-02  8.54e-03  2.78e+00
 3.50 0.0200 0.718    N  4.03e-03  7.12e-03  3.09e-03  2.78e+00
 3.50 0.0200 0.718    O -1.66e-03  2.51e-02  2.68e-02  2.78e+00
 3.50 0.0200 0.718    F  5.72e-06  6.85e-06  1.13e-06  2.78e+00
 3.50 0.0200 0.718   Ne  2.61e-03  7.48e-03  4.88e-03  2.78e+00
 3.50 0.0200 0.718   Mg  8.11e-05  1.92e-03  1.84e-03  2.78e+00
 3.50 0.0200 0.718   Si  2.77e-06  1.98e-03  1.98e-03  2.78e+00
 3.50 0.0200 0.718    S -1.77e-06  1.63e-03  1.63e-03  2.78e+00
 3.50 0.0200 0.718   Fe -1.06e-06  3.55e-03  3.55e-03  2.78e+00
 4.00 0.0200 0.792    p -6.31e-02  2.14e+00  2.21e+00  3.20e+00
 4.00 0.0200 0.792   He  4.90e-02  9.89e-01  9.40e-01  3.20e+00
 4.00 0.0200 0.792    C  9.36e-03  1.92e-02  9.86e-03  3.20e+00
 4.00 0.0200 0.792    N  5.07e-03  8.64e-03  3.56e-03  3.20e+00
 4.00 0.0200 0.792    O -1.65e-03  2.92e-02  3.09e-02  3.20e+00
 4.00 0.0200 0.792    F  2.25e-06  3.55e-06  1.30e-06  3.20e+00
 4.00 0.0200 0.792   Ne  1.13e-03  6.76e-03  5.63e-03  3.20e+00
 4.00 0.0200 0.792   Mg  7.77e-05  2.20e-03  2.12e-03  3.20e+00
 4.00 0.0200 0.792   Si  3.27e-06  2.29e-03  2.29e-03  3.20e+00
 4.00 0.0200 0.792    S -1.65e-06  1.88e-03  1.88e-03  3.20e+00
 4.00 0.0200 0.792   Fe -2.03e-06  4.09e-03  4.09e-03  3.20e+00
 4.50 0.0200 0.852    p -1.09e-01  2.40e+00  2.51e+00  3.64e+00
 4.50 0.0200 0.852   He  9.45e-02  1.16e+00  1.07e+00  3.64e+00
 4.50 0.0200 0.852    C  8.76e-03  2.00e-02  1.12e-02  3.64e+00
 4.50 0.0200 0.852    N  6.41e-03  1.05e-02  4.05e-03  3.64e+00
 4.50 0.0200 0.852    O -2.32e-03  3.28e-02  3.51e-02  3.64e+00
 4.50 0.0200 0.852    F  1.94e-06  3.42e-06  1.48e-06  3.64e+00
 4.50 0.0200 0.852   Ne  9.89e-04  7.40e-03  6.40e-03  3.64e+00
 4.50 0.0200 0.852   Mg  1.34e-04  2.55e-03  2.41e-03  3.64e+00
 4.50 0.0200 0.852   Si  6.95e-06  2.61e-03  2.60e-03  3.64e+00
 4.50 0.0200 0.852    S -2.48e-06  2.14e-03  2.14e-03  3.64e+00
 4.50 0.0200 0.852   Fe -4.94e-06  4.65e-03  4.65e-03  3.64e+00
 5.00 0.0200 0.879    p -1.82e-01  2.65e+00  2.83e+00  4.12e+00
 5.00 0.0200 0.879   He  1.68e-01  1.38e+00  1.21e+00  4.12e+00
 5.00 0.0200 0.879    C  5.21e-03  1.79e-02  1.27e-02  4.12e+00
 5.00 0.0200 0.879    N  1.19e-02  1.64e-02  4.58e-03  4.12e+00
