#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 2.00 0.0080 0.640   Ne  3.56e-04  2.74e-03  0.00e+00  1.36e+00
 2.00 0.0080 0.640   Mg  7.92e-07  8.91e-04  0.00e+00  1.36e+00
 2.00 0.0080 0.640   Si  1.29e-07  9.58e-04  0.00e+00  1.36e+00
 2.00 0.0080 0.640    S -6.94e-08  5.00e-04  0.00e+00  1.36e+00
 2.00 0.0080 0.640   Fe -1.42e-07  2.51e-03  0.00e+00  1.36e+00
 2.20 0.0080 0.660    p -6.54e-02  1.02e+00  0.00e+00  1.54e+00
 2.20 0.0080 0.660   He  4.96e-02  4.72e-01  0.00e+00  1.54e+00
 2.20 0.0080 0.660    C  1.40e-02  1.87e-02  0.00e+00  1.54e+00
 2.20 0.0080 0.660    N  8.60e-04  2.57e-03  0.00e+00  1.54e+00
 2.20 0.0080 0.660    O -5.82e-06  1.48e-02  0.00e+00  1.54e+00
 2.20 0.0080 0.660    F  1.89e-06  2.64e-06  0.00e+00  1.54e+00
 2.20 0.0080 0.660   Ne  9.55e-04  3.66e-03  0.00e+00  1.54e+00
 2.20 0.0080 0.660   Mg  3.67e-06  1.01e-03  0.00e+00  1.54e+00
 2.20 0.0080 0.660   Si  3.25e-07  1.09e-03  0.00e+00  1.54e+00
 2.20 0.0080 0.660    S -1.79e-07  5.66e-04  0.00e+00  1.54e+00
 2.20 0.0080 0.660   Fe -3.25e-07  2.84e-03  0.00e+00  1.54e+00
 2.50 0.0080 0.663    p -9.56e-02  1.20e+00  0.00e+00  1.84e+00
 2.50 0.0080 0.663   He  7.27e-02  5.77e-01  0.00e+00  1.84e+00
 2.50 0.0080 0.663    C  2.03e-02  2.59e-02  0.00e+00  1.84e+00
 2.50 0.0080 0.663    N  1.09e-03  3.13e-03  0.00e+00  1.84e+00
 2.50 0.0080 0.663    O -2.21e-04  1.75e-02  0.00e+00  1.84e+00
 2.50 0.0080 0.663    F  3.71e-06  4.61e-06  0.00e+00  1.84e+00
 2.50 0.0080 0.663   Ne  1.72e-03  4.94e-03  0.00e+00  1.84e+00
 2.50 0.0080 0.663   Mg  1.25e-05  1.22e-03  0.00e+00  1.84e+00
 2.50 0.0080 0.663   Si  7.10e-07  1.29e-03  0.00e+00  1.84e+00
 2.50 0.0080 0.663    S -4.51e-07  6.75e-04  0.00e+00  1.84e+00
 2.50 0.0080 0.663   Fe -6.89e-07  3.39e-03  0.00e+00  1.84e+00
 3.00 0.0080 0.681    p -1.66e-01  1.47e+00  0.00e+00  2.32e+00
 3.00 0.0080 0.681   He  1.23e-01  7.59e-01  0.00e+00  2.32e+00
 3.00 0.0080 0.681    C  3.69e-02  4.41e-02  0.00e+00  2.32e+00
 3.00 0.0080 0.681    N  1.45e-03  4.02e-03  0.00e+00  2.32e+00
 3.00 0.0080 0.681    O -5.90e-04  2.17e-02  0.00e+00  2.32e+00
 3.00 0.0080 0.681    F  1.15e-05  1.27e-05  0.00e+00  2.32e+00
 3.00 0.0080 0.681   Ne  4.34e-03  8.41e-03  0.00e+00  2.32e+00
 3.00 0.0080 0.681   Mg  8.47e-05  1.60e-03  0.00e+00  2.32e+00
 3.00 0.0080 0.681   Si  3.17e-06  1.64e-03  0.00e+00  2.32e+00
 3.00 0.0080 0.681    S -2.15e-06  8.50e-04  0.00e+00  2.32e+00
 3.00 0.0080 0.681   Fe -3.69e-06  4.28e-03  0.00e+00  2.32e+00
 3.50 0.0080 0.717    p -1.11e-01  1.86e+00  0.00e+00  2.78e+00
 3.50 0.0080 0.717   He  8.25e-02  8.46e-01  0.00e+00  2.78e+00
 3.50 0.0080 0.717    C  2.52e-02  3.38e-02  0.00e+00  2.78e+00
 3.50 0.0080 0.717    N  1.81e-03  4.90e-03  0.00e+00  2.78e+00
 3.50 0.0080 0.717    O -5.40e-04  2.62e-02  0.00e+00  2.78e+00
 3.50 0.0080 0.717    F  6.00e-06  7.35e-06  0.00e+00  2.78e+00
 3.50 0.0080 0.717   Ne  1.91e-03  6.79e-03  0.00e+00  2.78e+00
 3.50 0.0080 0.717   Mg  1.16e-04  1.94e-03  0.00e+00  2.78e+00
 3.50 0.0080 0.717   Si  6.77e-06  1.97e-03  0.00e+00  2.78e+00
 3.50 0.0080 0.717    S -3.07e-06  1.02e-03  0.00e+00  2.78e+00
 3.50 0.0080 0.717   Fe -8.53e-06  5.13e-03  0.00e+00  2.78e+00
 4.00 0.0080 0.791    p -9.02e-02  2.18e+00  0.00e+00  3.21e+00
 4.00 0.0080 0.791   He  6.92e-02  9.49e-01  0.00e+00  3.21e+00
 4.00 0.0080 0.791    C  1.82e-02  2.81e-02  0.00e+00  3.21e+00
 4.00 0.0080 0.791    N  2.08e-03  5.65e-03  0.00e+00  3.21e+00
 4.00 0.0080 0.791    O -4.21e-04  3.05e-02  0.00e+00  3.21e+00
 4.00 0.0080 0.791    F  2.89e-06  4.45e-06  0.00e+00  3.21e+00
 4.00 0.0080 0.791   Ne  9.79e-04  6.61e-03  0.00e+00  3.21e+00
 4.00 0.0080 0.791   Mg  1.06e-04  2.21e-03  0.00e+00  3.21e+00
 4.00 0.0080 0.791   Si  1.17e-05  2.27e-03  0.00e+00  3.21e+00
 4.00 0.0080 0.791    S -2.94e-06  1.18e-03  0.00e+00  3.21e+00
 4.00 0.0080 0.791   Fe -1.01e-05  5.91e-03  0.00e+00  3.21e+00
 4.50 0.0080 0.851    p -1.99e-01  2.38e+00  0.00e+00  3.65e+00
 4.50 0.0080 0.851   He  1.58e-01  1.16e+00  0.00e+00  3.65e+00
 4.50 0.0080 0.851    C  2.82e-03  1.41e-02  0.00e+00  3.65e+00
 4.50 0.0080 0.851    N  3.67e-02  4.08e-02  0.00e+00  3.65e+00
 4.50 0.0080 0.851    O -1.12e-03  3.40e-02  0.00e+00  3.65e+00
 4.50 0.0080 0.851    F  1.61e-06  3.38e-06  0.00e+00  3.65e+00
 4.50 0.0080 0.851   Ne  1.88e-03  8.28e-03  0.00e+00  3.65e+00
 4.50 0.0080 0.851   Mg  3.44e-04  2.73e-03  0.00e+00  3.65e+00
 4.50 0.0080 0.851   Si  2.76e-05  2.60e-03  0.00e+00  3.65e+00
 4.50 0.0080 0.851    S -6.81e-06  1.33e-03  0.00e+00  3.65e+00
 4.50 0.0080 0.851   Fe -2.77e-05  6.71e-03  0.00e+00  3.65e+00
 5.00 0.0080 0.878    p -3.25e-01  2.59e+00  0.00e+00  4.12e+00
 5.00 0.0080 0.878   He  2.72e-01  1.40e+00  0.00e+00  4.12e+00
 5.00 0.0080 0.878    C -2.43e-04  1.25e-02  0.00e+00  4.12e+00
 5.00 0.0080 0.878    N  5.38e-02  5.84e-02  0.00e+00  4.12e+00
 5.00 0.0080 0.878    O -3.83e-03  3.58e-02  0.00e+00  4.12e+00
 5.00 0.0080 0.878    F  2.90e-07  2.30e-06  0.00e+00  4.12e+00
 5.00 0.0080 0.878   Ne  2.47e-03  9.70e-03  0.00e+00  4.12e+00
 5.00 0.0080 0.878   Mg  5.22e-04  3.22e-03  0.00e+00  4.12e+00
 5.00 0.0080 0.878   Si  4.78e-05  2.95e-03  0.00e+00  4.12e+00
 5.00 0.0080 0.878    S -9.67e-06  1.51e-03  0.00e+00  4.12e+00
 5.00 0.0080 0.878   Fe -4.14e-05  7.57e-03  0.00e+00  4.12e+00
 5.50 0.0080 0.899    p -3.50e-01  2.90e+00  0.00e+00  4.60e+00
 5.50 0.0080 0.899   He  3.06e-01  1.57e+00  0.00e+00  4.60e+00
 5.50 0.0080 0.899    C  9.26e-04  1.51e-02  0.00e+00  4.60e+00
 5.50 0.0080 0.899    N  4.61e-02  5.12e-02  0.00e+00  4.60e+00
 5.50 0.0080 0.899    O -4.49e-03  3.98e-02  0.00e+00  4.60e+00
 5.50 0.0080 0.899    F  8.83e-09  2.25e-06  0.00e+00  4.60e+00
 5.50 0.0080 0.899   Ne  1.61e-03  9.68e-03  0.00e+00  4.60e+00
 5.50 0.0080 0.899   Mg  4.46e-04  3.46e-03  0.00e+00  4.60e+00
 5.50 0.0080 0.899   Si  4.12e-05  3.28e-03  0.00e+00  4.60e+00
 5.50 0.0080 0.899    S -7.76e-06  1.68e-03  0.00e+00  4.60e+00
 5.50 0.0080 0.899   Fe -3.38e-05  8.46e-03  0.00e+00  4.60e+00
 6.00 0.0080 0.928    p -4.46e-01  3.14e+00  0.00e+00  5.07e+00
 6.00 0.0080 0.928   He  4.05e-01  1.80e+00  0.00e+00  5.07e+00
 6.00 0.0080 0.928    C -9.94e-04  1.46e-02  0.00e+00  5.07e+00
 6.00 0.0080 0.928    N  4.78e-02  5.34e-02  0.00e+00  5.07e+00
 6.00 0.0080 0.928    O -7.82e-03  4.10e-02  0.00e+00  5.07e+00
 6.00 0.0080 0.928    F -4.77e-07  2.00e-06  0.00e+00  5.07e+00
 6.00 0.0080 0.928   Ne  1.20e-03  1.01e-02  0.00e+00  5.07e+00
 6.00 0.0080 0.928   Mg  4.69e-04  3.79e-03  0.00e+00  5.07e+00
 6.00 0.0080 0.928   Si  4.68e-05  3.62e-03  0.00e+00  5.07e+00
 6.00 0.0080 0.928    S -7.54e-06  1.86e-03  0.00e+00  5.07e+00
 6.00 0.0080 0.928   Fe -3.42e-05  9.33e-03  0.00e+00  5.07e+00
