#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (D10.3)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- --------- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol            M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0        lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- --------- ----- ---- --------- --------- --------- -----------
 1.00  6.725e-03 0.587    p -8.54e-03  2.97e-01  3.06e-01  4.13e-01
 1.00  6.725e-03 0.587   He  8.53e-03  1.13e-01  1.04e-01  4.13e-01
 1.00  6.725e-03 0.587    C -5.96e-05  3.70e-04  4.30e-04  4.13e-01
 1.00  6.725e-03 0.587    N  7.36e-05  2.29e-04  1.56e-04  4.13e-01
 1.00  6.725e-03 0.587    O -3.83e-06  1.34e-03  1.34e-03  4.13e-01
 1.00  6.725e-03 0.587    F -1.76e-10  5.66e-08  5.68e-08  4.13e-01
 1.00  6.725e-03 0.587   Ne -1.65e-07  2.46e-04  2.46e-04  4.13e-01
 1.00  6.725e-03 0.587   Mg -8.29e-10  9.27e-05  9.27e-05  4.13e-01
 1.00  6.725e-03 0.587   Si  2.76e-10  1.00e-04  1.00e-04  4.13e-01
 1.00  6.725e-03 0.587    S  3.35e-10  8.22e-05  8.22e-05  4.13e-01
 1.00  6.725e-03 0.587   Fe  1.38e-09  1.79e-04  1.79e-04  4.13e-01
 1.25  6.725e-03 0.613    p -1.46e-02  4.57e-01  4.71e-01  6.37e-01
 1.25  6.725e-03 0.613   He  1.45e-02  1.75e-01  1.61e-01  6.37e-01
 1.25  6.725e-03 0.613    C -1.05e-04  5.58e-04  6.63e-04  6.37e-01
 1.25  6.725e-03 0.613    N  1.94e-04  4.32e-04  2.39e-04  6.37e-01
 1.25  6.725e-03 0.613    O -5.57e-06  2.08e-03  2.08e-03  6.37e-01
 1.25  6.725e-03 0.613    F  8.91e-10  8.81e-08  8.72e-08  6.37e-01
 1.25  6.725e-03 0.613   Ne  3.85e-07  3.79e-04  3.79e-04  6.37e-01
 1.25  6.725e-03 0.613   Mg -7.70e-09  1.43e-04  1.43e-04  6.37e-01
 1.25  6.725e-03 0.613   Si  4.53e-10  1.54e-04  1.54e-04  6.37e-01
 1.25  6.725e-03 0.613    S -1.13e-10  1.26e-04  1.26e-04  6.37e-01
 1.25  6.725e-03 0.613   Fe -3.22e-11  2.75e-04  2.75e-04  6.37e-01
 1.50  6.725e-03 0.631    p -1.87e-02  6.25e-01  6.43e-01  8.69e-01
 1.50  6.725e-03 0.631   He  1.79e-02  2.37e-01  2.19e-01  8.69e-01
 1.50  6.725e-03 0.631    C  4.75e-04  1.37e-03  8.93e-04  8.69e-01
 1.50  6.725e-03 0.631    N  3.32e-04  6.56e-04  3.24e-04  8.69e-01
 1.50  6.725e-03 0.631    O  4.36e-06  2.81e-03  2.81e-03  8.69e-01
 1.50  6.725e-03 0.631    F  2.11e-08  1.39e-07  1.19e-07  8.69e-01
 1.50  6.725e-03 0.631   Ne  1.46e-05  5.27e-04  5.12e-04  8.69e-01
 1.50  6.725e-03 0.631   Mg -2.53e-08  1.93e-04  1.93e-04  8.69e-01
 1.50  6.725e-03 0.631   Si  1.76e-08  2.08e-04  2.08e-04  8.69e-01
 1.50  6.725e-03 0.631    S  7.41e-09  1.71e-04  1.71e-04  8.69e-01
 1.50  6.725e-03 0.631   Fe  2.13e-08  3.72e-04  3.72e-04  8.69e-01
 1.75  6.725e-03 0.637    p -2.98e-02  7.97e-01  8.26e-01  1.11e+00
 1.75  6.725e-03 0.637   He  2.57e-02  3.08e-01  2.82e-01  1.11e+00
 1.75  6.725e-03 0.637    C  3.39e-03  4.54e-03  1.15e-03  1.11e+00
 1.75  6.725e-03 0.637    N  4.86e-04  8.99e-04  4.16e-04  1.11e+00
 1.75  6.725e-03 0.637    O  5.73e-05  3.67e-03  3.61e-03  1.11e+00
 1.75  6.725e-03 0.637    F  1.79e-07  3.31e-07  1.52e-07  1.11e+00
 1.75  6.725e-03 0.637   Ne  1.12e-04  7.70e-04  6.58e-04  1.11e+00
 1.75  6.725e-03 0.637   Mg  1.95e-07  2.48e-04  2.48e-04  1.11e+00
 1.75  6.725e-03 0.637   Si  4.02e-08  2.67e-04  2.67e-04  1.11e+00
 1.75  6.725e-03 0.637    S -1.65e-08  2.20e-04  2.20e-04  1.11e+00
 1.75  6.725e-03 0.637   Fe  5.43e-09  4.77e-04  4.78e-04  1.11e+00
 1.90  6.725e-03 0.640    p -3.67e-02  8.97e-01  9.33e-01  1.26e+00
 1.90  6.725e-03 0.640   He  3.00e-02  3.48e-01  3.19e-01  1.26e+00
 1.90  6.725e-03 0.640    C  5.84e-03  7.14e-03  1.30e-03  1.26e+00
 1.90  6.725e-03 0.640    N  5.45e-04  1.01e-03  4.70e-04  1.26e+00
 1.90  6.725e-03 0.640    O  8.52e-05  4.16e-03  4.08e-03  1.26e+00
 1.90  6.725e-03 0.640    F  4.03e-07  5.74e-07  1.71e-07  1.26e+00
 1.90  6.725e-03 0.640   Ne  2.28e-04  9.70e-04  7.44e-04  1.26e+00
 1.90  6.725e-03 0.640   Mg  8.51e-07  2.81e-04  2.80e-04  1.26e+00
 1.90  6.725e-03 0.640   Si  7.72e-08  3.02e-04  3.02e-04  1.26e+00
 1.90  6.725e-03 0.640    S -3.68e-08  2.49e-04  2.49e-04  1.26e+00
 1.90  6.725e-03 0.640   Fe  4.88e-09  5.40e-04  5.40e-04  1.26e+00
 2.10  6.725e-03 0.643    p -4.99e-02  1.03e+00  1.08e+00  1.46e+00
 2.10  6.725e-03 0.643   He  3.85e-02  4.05e-01  3.68e-01  1.46e+00
 2.10  6.725e-03 0.643    C  1.01e-02  1.16e-02  1.50e-03  1.46e+00
 2.10  6.725e-03 0.643    N  6.44e-04  1.19e-03  5.43e-04  1.46e+00
 2.10  6.725e-03 0.643    O  8.15e-05  4.79e-03  4.70e-03  1.46e+00
 2.10  6.725e-03 0.643    F  9.66e-07  1.16e-06  1.98e-07  1.46e+00
 2.10  6.725e-03 0.643   Ne  5.13e-04  1.37e-03  8.57e-04  1.46e+00
 2.10  6.725e-03 0.643   Mg  3.13e-06  3.26e-04  3.23e-04  1.46e+00
 2.10  6.725e-03 0.643   Si  1.76e-07  3.49e-04  3.49e-04  1.46e+00
 2.10  6.725e-03 0.643    S -8.84e-08  2.87e-04  2.87e-04  1.46e+00
 2.10  6.725e-03 0.643   Fe  5.49e-09  6.23e-04  6.23e-04  1.46e+00
 2.25  6.725e-03 0.653    p -7.61e-02  1.10e+00  1.18e+00  1.60e+00
 2.25  6.725e-03 0.653   He  5.74e-02  4.60e-01  4.03e-01  1.60e+00
 2.25  6.725e-03 0.653    C  1.68e-02  1.84e-02  1.65e-03  1.60e+00
 2.25  6.725e-03 0.653    N  7.23e-04  1.32e-03  5.95e-04  1.60e+00
 2.25  6.725e-03 0.653    O  8.94e-05  5.25e-03  5.17e-03  1.60e+00
 2.25  6.725e-03 0.653    F  2.55e-06  2.77e-06  2.18e-07  1.60e+00
 2.25  6.725e-03 0.653   Ne  1.21e-03  2.16e-03  9.47e-04  1.60e+00
 2.25  6.725e-03 0.653   Mg  1.26e-05  3.67e-04  3.54e-04  1.60e+00
 2.25  6.725e-03 0.653   Si  4.01e-07  3.82e-04  3.82e-04  1.60e+00
 2.25  6.725e-03 0.653    S -2.20e-07  3.14e-04  3.15e-04  1.60e+00
 2.25  6.725e-03 0.653   Fe -5.03e-08  6.84e-04  6.83e-04  1.60e+00
 2.50  6.725e-03 0.663    p -1.13e-01  1.25e+00  1.36e+00  1.84e+00
 2.50  6.725e-03 0.663   He  8.50e-02  5.48e-01  4.64e-01  1.84e+00
 2.50  6.725e-03 0.663    C  2.45e-02  2.65e-02  1.90e-03  1.84e+00
 2.50  6.725e-03 0.663    N  9.28e-04  1.61e-03  6.85e-04  1.84e+00
 2.50  6.725e-03 0.663    O -1.12e-04  5.83e-03  5.94e-03  1.84e+00
 2.50  6.725e-03 0.663    F  5.29e-06  5.54e-06  2.50e-07  1.84e+00
 2.50  6.725e-03 0.663   Ne  2.30e-03  3.39e-03  1.08e-03  1.84e+00
 2.50  6.725e-03 0.663   Mg  3.98e-05  4.47e-04  4.08e-04  1.84e+00
 2.50  6.725e-03 0.663   Si  8.97e-07  4.40e-04  4.39e-04  1.84e+00
 2.50  6.725e-03 0.663    S -5.46e-07  3.62e-04  3.61e-04  1.84e+00
 2.50  6.725e-03 0.663   Fe -3.69e-07  7.87e-04  7.86e-04  1.84e+00
 3.00  6.725e-03 0.710    p -1.64e-01  1.53e+00  1.70e+00  2.29e+00
 3.00  6.725e-03 0.710   He  1.21e-01  7.02e-01  5.80e-01  2.29e+00
 3.00  6.725e-03 0.710    C  3.71e-02  3.95e-02  2.37e-03  2.29e+00
 3.00  6.725e-03 0.710    N  1.22e-03  2.07e-03  8.55e-04  2.29e+00
 3.00  6.725e-03 0.710    O -3.93e-04  7.05e-03  7.43e-03  2.29e+00
 3.00  6.725e-03 0.710    F  1.14e-05  1.18e-05  3.13e-07  2.29e+00
 3.00  6.725e-03 0.710   Ne  4.04e-03  5.40e-03  1.35e-03  2.29e+00
 3.00  6.725e-03 0.710   Mg  1.77e-04  6.88e-04  5.11e-04  2.29e+00
 3.00  6.725e-03 0.710   Si  3.81e-06  5.54e-04  5.50e-04  2.29e+00
 3.00  6.725e-03 0.710    S -2.13e-06  4.51e-04  4.54e-04  2.29e+00
 3.00  6.725e-03 0.710   Fe -3.09e-06  9.87e-04  9.88e-04  2.29e+00
 3.50  6.725e-03 0.783    p -1.06e-01  1.91e+00  2.02e+00  2.72e+00
 3.50  6.725e-03 0.783   He  7.85e-02  7.65e-01  6.87e-01  2.72e+00
 3.50  6.725e-03 0.783    C  2.45e-02  2.73e-02  2.81e-03  2.72e+00
 3.50  6.725e-03 0.783    N  1.57e-03  2.58e-03  1.01e-03  2.72e+00
 3.50  6.725e-03 0.783    O -3.35e-04  8.48e-03  8.80e-03  2.72e+00
 3.50  6.725e-03 0.783    F  5.11e-06  5.48e-06  3.71e-07  2.72e+00
 3.50  6.725e-03 0.783   Ne  1.57e-03  3.18e-03  1.61e-03  2.72e+00
 3.50  6.725e-03 0.783   Mg  2.09e-04  8.14e-04  6.06e-04  2.72e+00
 3.50  6.725e-03 0.783   Si  8.10e-06  6.60e-04  6.52e-04  2.72e+00
 3.50  6.725e-03 0.783    S -2.67e-06  5.35e-04  5.38e-04  2.72e+00
 3.50  6.725e-03 0.783   Fe -5.79e-06  1.16e-03  1.17e-03  2.72e+00
 4.00  6.725e-03 0.846    p -1.13e-01  2.22e+00  2.34e+00  3.15e+00
 4.00  6.725e-03 0.846   He  8.86e-02  8.87e-01  7.98e-01  3.15e+00
 4.00  6.725e-03 0.846    C  1.52e-02  1.85e-02  3.27e-03  3.15e+00
 4.00  6.725e-03 0.846    N  8.75e-03  9.93e-03  1.18e-03  3.15e+00
 4.00  6.725e-03 0.846    O -2.78e-04  9.91e-03  1.02e-02  3.15e+00
 4.00  6.725e-03 0.846    F  2.77e-06  3.19e-06  4.31e-07  3.15e+00
 4.00  6.725e-03 0.846   Ne  9.40e-04  2.80e-03  1.86e-03  3.15e+00
 4.00  6.725e-03 0.846   Mg  2.43e-04  9.49e-04  7.02e-04  3.15e+00
 4.00  6.725e-03 0.846   Si  1.37e-05  7.71e-04  7.56e-04  3.15e+00
 4.00  6.725e-03 0.846    S -2.79e-06  6.21e-04  6.24e-04  3.15e+00
 4.00  6.725e-03 0.846   Fe -7.12e-06  1.35e-03  1.35e-03  3.15e+00
 4.50  6.725e-03 0.866    p -2.20e-01  2.47e+00  2.69e+00  3.63e+00
 4.50  6.725e-03 0.866   He  1.76e-01  1.10e+00  9.19e-01  3.63e+00
 4.50  6.725e-03 0.866    C  3.13e-03  6.88e-03  3.75e-03  3.63e+00
 4.50  6.725e-03 0.866    N  3.93e-02  4.06e-02  1.36e-03  3.63e+00
 4.50  6.725e-03 0.866    O -1.05e-03  1.07e-02  1.18e-02  3.63e+00
 4.50  6.725e-03 0.866    F  1.34e-06  1.84e-06  4.96e-07  3.63e+00
 4.50  6.725e-03 0.866   Ne  1.72e-03  3.86e-03  2.15e-03  3.63e+00
 4.50  6.725e-03 0.866   Mg  5.88e-04  1.40e-03  8.08e-04  3.63e+00
 4.50  6.725e-03 0.866   Si  2.99e-05  9.04e-04  8.73e-04  3.63e+00
 4.50  6.725e-03 0.866    S -5.74e-06  7.11e-04  7.17e-04  3.63e+00
 4.50  6.725e-03 0.866   Fe -1.66e-05  1.54e-03  1.55e-03  3.63e+00
 5.00  6.725e-03 0.896    p -3.58e-01  2.69e+00  3.04e+00  4.10e+00
 5.00  6.725e-03 0.896   He  3.00e-01  1.34e+00  1.04e+00  4.10e+00
 5.00  6.725e-03 0.896    C  8.93e-04  5.13e-03  4.24e-03  4.10e+00
 5.00  6.725e-03 0.896    N  5.71e-02  5.87e-02  1.54e-03  4.10e+00
 5.00  6.725e-03 0.896    O -3.49e-03  9.81e-03  1.33e-02  4.10e+00
 5.00  6.725e-03 0.896    F  3.71e-07  9.32e-07  5.60e-07  4.10e+00
 5.00  6.725e-03 0.896   Ne  2.25e-03  4.67e-03  2.43e-03  4.10e+00
 5.00  6.725e-03 0.896   Mg  9.74e-04  1.89e-03  9.15e-04  4.10e+00
 5.00  6.725e-03 0.896   Si  5.36e-05  1.04e-03  9.89e-04  4.10e+00
 5.00  6.725e-03 0.896    S -8.15e-06  8.03e-04  8.11e-04  4.10e+00
 5.00  6.725e-03 0.896   Fe -2.49e-05  1.74e-03  1.76e-03  4.10e+00
 5.50  6.725e-03 0.910    p -3.75e-01  3.02e+00  3.40e+00  4.59e+00
 5.50  6.725e-03 0.910   He  3.29e-01  1.49e+00  1.16e+00  4.59e+00
 5.50  6.725e-03 0.910    C  1.66e-03  6.40e-03  4.73e-03  4.59e+00
 5.50  6.725e-03 0.910    N  4.65e-02  4.82e-02  1.71e-03  4.59e+00
 5.50  6.725e-03 0.910    O -4.07e-03  1.08e-02  1.48e-02  4.59e+00
 5.50  6.725e-03 0.910    F  1.17e-07  7.42e-07  6.25e-07  4.59e+00
 5.50  6.725e-03 0.910   Ne  1.32e-03  4.03e-03  2.71e-03  4.59e+00
 5.50  6.725e-03 0.910   Mg  6.93e-04  1.72e-03  1.02e-03  4.59e+00
 5.50  6.725e-03 0.910   Si  4.18e-05  1.14e-03  1.10e-03  4.59e+00
 5.50  6.725e-03 0.910    S -6.27e-06  8.98e-04  9.07e-04  4.59e+00
 5.50  6.725e-03 0.910   Fe -1.96e-05  1.95e-03  1.96e-03  4.59e+00
 6.00  6.725e-03 0.956    p -4.80e-01  3.26e+00  3.73e+00  5.04e+00
 6.00  6.725e-03 0.956   He  4.36e-01  1.71e+00  1.27e+00  5.04e+00
 6.00  6.725e-03 0.956    C -6.40e-05  5.15e-03  5.21e-03  5.04e+00
 6.00  6.725e-03 0.956    N  4.94e-02  5.12e-02  1.88e-03  5.04e+00
 6.00  6.725e-03 0.956    O -7.18e-03  9.13e-03  1.64e-02  5.04e+00
 6.00  6.725e-03 0.956    F -3.37e-07  3.50e-07  6.88e-07  5.04e+00
 6.00  6.725e-03 0.956   Ne  9.69e-04  3.94e-03  2.98e-03  5.04e+00
 6.00  6.725e-03 0.956   Mg  7.24e-04  1.84e-03  1.12e-03  5.04e+00
 6.00  6.725e-03 0.956   Si  4.82e-05  1.26e-03  1.21e-03  5.04e+00
 6.00  6.725e-03 0.956    S -6.13e-06  9.90e-04  9.98e-04  5.04e+00
 6.00  6.725e-03 0.956   Fe -1.96e-05  2.14e-03  2.17e-03  5.04e+00
