#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (D10.3)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- --------- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol            M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0        lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- --------- ----- ---- --------- --------- --------- -----------
 2.10  1.345e-02 0.644    N  1.27e-03  2.44e-03  1.17e-03  1.46e+00
 2.10  1.345e-02 0.644    O -1.91e-05  1.01e-02  1.02e-02  1.46e+00
 2.10  1.345e-02 0.644    F  4.45e-07  8.73e-07  4.29e-07  1.46e+00
 2.10  1.345e-02 0.644   Ne  2.43e-04  2.10e-03  1.85e-03  1.46e+00
 2.10  1.345e-02 0.644   Mg  1.41e-06  7.00e-04  6.99e-04  1.46e+00
 2.10  1.345e-02 0.644   Si  1.18e-07  7.53e-04  7.53e-04  1.46e+00
 2.10  1.345e-02 0.644    S -2.16e-08  6.21e-04  6.21e-04  1.46e+00
 2.10  1.345e-02 0.644   Fe  5.66e-08  1.35e-03  1.35e-03  1.46e+00
 2.25  1.345e-02 0.655    p -4.23e-02  1.10e+00  1.14e+00  1.60e+00
 2.25  1.345e-02 0.655   He  3.31e-02  4.67e-01  4.34e-01  1.60e+00
 2.25  1.345e-02 0.655    C  7.33e-03  1.06e-02  3.29e-03  1.60e+00
 2.25  1.345e-02 0.655    N  1.34e-03  2.53e-03  1.19e-03  1.60e+00
 2.25  1.345e-02 0.655    O -5.51e-05  1.03e-02  1.03e-02  1.60e+00
 2.25  1.345e-02 0.655    F  1.06e-06  1.50e-06  4.34e-07  1.60e+00
 2.25  1.345e-02 0.655   Ne  5.44e-04  2.42e-03  1.88e-03  1.60e+00
 2.25  1.345e-02 0.655   Mg  4.14e-06  7.12e-04  7.07e-04  1.60e+00
 2.25  1.345e-02 0.655   Si  2.54e-07  7.62e-04  7.62e-04  1.60e+00
 2.25  1.345e-02 0.655    S -5.03e-08  6.29e-04  6.29e-04  1.60e+00
 2.25  1.345e-02 0.655   Fe  1.19e-07  1.37e-03  1.37e-03  1.60e+00
 2.50  1.345e-02 0.665    p -6.58e-02  1.25e+00  1.31e+00  1.84e+00
 2.50  1.345e-02 0.665   He  5.05e-02  5.51e-01  5.00e-01  1.84e+00
 2.50  1.345e-02 0.665    C  1.28e-02  1.66e-02  3.80e-03  1.84e+00
 2.50  1.345e-02 0.665    N  1.63e-03  2.99e-03  1.37e-03  1.84e+00
 2.50  1.345e-02 0.665    O -2.86e-04  1.16e-02  1.19e-02  1.84e+00
 2.50  1.345e-02 0.665    F  2.37e-06  2.87e-06  5.01e-07  1.84e+00
 2.50  1.345e-02 0.665   Ne  1.15e-03  3.32e-03  2.17e-03  1.84e+00
 2.50  1.345e-02 0.665   Mg  1.34e-05  8.31e-04  8.15e-04  1.84e+00
 2.50  1.345e-02 0.665   Si  5.14e-07  8.80e-04  8.80e-04  1.84e+00
 2.50  1.345e-02 0.665    S -2.45e-07  7.26e-04  7.25e-04  1.84e+00
 2.50  1.345e-02 0.665   Fe  1.52e-08  1.57e-03  1.57e-03  1.84e+00
 3.00  1.345e-02 0.695    p -1.22e-01  1.53e+00  1.65e+00  2.30e+00
 3.00  1.345e-02 0.695   He  9.07e-02  7.21e-01  6.29e-01  2.30e+00
 3.00  1.345e-02 0.695    C  2.64e-02  3.12e-02  4.78e-03  2.30e+00
 3.00  1.345e-02 0.695    N  2.19e-03  3.92e-03  1.72e-03  2.30e+00
 3.00  1.345e-02 0.695    O -8.12e-04  1.42e-02  1.50e-02  2.30e+00
 3.00  1.345e-02 0.695    F  7.83e-06  8.47e-06  6.31e-07  2.30e+00
 3.00  1.345e-02 0.695   Ne  3.16e-03  5.89e-03  2.73e-03  2.30e+00
 3.00  1.345e-02 0.695   Mg  8.90e-05  1.11e-03  1.03e-03  2.30e+00
 3.00  1.345e-02 0.695   Si  2.32e-06  1.11e-03  1.11e-03  2.30e+00
 3.00  1.345e-02 0.695    S -1.32e-06  9.12e-04  9.14e-04  2.30e+00
 3.00  1.345e-02 0.695   Fe -1.10e-06  1.99e-03  1.99e-03  2.30e+00
