#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 2.00 0.0000 0.180   Ne  2.56e-05  1.60e-03  0.00e+00  1.82e+00
 2.00 0.0000 0.180   Mg  9.58e-06  5.99e-04  0.00e+00  1.82e+00
 2.00 0.0000 0.180   Si  7.15e-07  6.35e-04  0.00e+00  1.82e+00
 2.00 0.0000 0.180    S  1.86e-07  3.31e-04  0.00e+00  1.82e+00
 2.00 0.0000 0.180   Fe  0.00e+00  1.66e-03  0.00e+00  1.82e+00
 2.20 0.0000-0.065    p  7.45e-01  1.52e+00  0.00e+00  2.27e+00
 2.20 0.0000-0.065   He  4.13e-01  7.14e-01  0.00e+00  2.27e+00
 2.20 0.0000-0.065    C  3.17e-04  3.71e-03  0.00e+00  2.27e+00
 2.20 0.0000-0.065    N  6.39e-03  7.62e-03  0.00e+00  2.27e+00
 2.20 0.0000-0.065    O  8.71e-05  1.07e-02  0.00e+00  2.27e+00
 2.20 0.0000-0.065    F  5.97e-10  5.37e-07  0.00e+00  2.27e+00
 2.20 0.0000-0.065   Ne  6.62e-05  2.00e-03  0.00e+00  2.27e+00
 2.20 0.0000-0.065   Mg  3.42e-05  7.54e-04  0.00e+00  2.27e+00
 2.20 0.0000-0.065   Si  1.17e-06  7.76e-04  0.00e+00  2.27e+00
 2.20 0.0000-0.065    S  2.62e-07  4.05e-04  0.00e+00  2.27e+00
 2.20 0.0000-0.065   Fe  0.00e+00  2.03e-03  0.00e+00  2.27e+00
 2.50 0.0000-0.310    p  8.74e-01  1.86e+00  0.00e+00  2.81e+00
 2.50 0.0000-0.310   He  5.24e-01  9.08e-01  0.00e+00  2.81e+00
 2.50 0.0000-0.310    C  5.39e-04  4.85e-03  0.00e+00  2.81e+00
 2.50 0.0000-0.310    N  1.06e-02  1.22e-02  0.00e+00  2.81e+00
 2.50 0.0000-0.310    O  1.42e-04  1.36e-02  0.00e+00  2.81e+00
 2.50 0.0000-0.310    F  1.04e-09  6.84e-07  0.00e+00  2.81e+00
 2.50 0.0000-0.310   Ne  1.21e-04  2.58e-03  0.00e+00  2.81e+00
 2.50 0.0000-0.310   Mg  6.81e-05  9.85e-04  0.00e+00  2.81e+00
 2.50 0.0000-0.310   Si  1.74e-06  9.88e-04  0.00e+00  2.81e+00
 2.50 0.0000-0.310    S  3.51e-07  5.15e-04  0.00e+00  2.81e+00
 2.50 0.0000-0.310   Fe  0.00e+00  2.58e-03  0.00e+00  2.81e+00
 3.00 0.0000-0.799    p  1.10e+00  2.45e+00  0.00e+00  3.80e+00
 3.00 0.0000-0.799   He  7.72e-01  1.29e+00  0.00e+00  3.80e+00
 3.00 0.0000-0.799    C  1.15e-03  7.00e-03  0.00e+00  3.80e+00
 3.00 0.0000-0.799    N  2.21e-02  2.43e-02  0.00e+00  3.80e+00
 3.00 0.0000-0.799    O  2.89e-04  1.86e-02  0.00e+00  3.80e+00
 3.00 0.0000-0.799    F  2.26e-09  9.29e-07  0.00e+00  3.80e+00
 3.00 0.0000-0.799   Ne  2.73e-04  3.61e-03  0.00e+00  3.80e+00
 3.00 0.0000-0.799   Mg  1.64e-04  1.41e-03  0.00e+00  3.80e+00
 3.00 0.0000-0.799   Si  3.22e-06  1.34e-03  0.00e+00  3.80e+00
 3.00 0.0000-0.799    S  5.62e-07  6.99e-04  0.00e+00  3.80e+00
 3.00 0.0000-0.799   Fe  0.00e+00  3.51e-03  0.00e+00  3.80e+00
 3.50 0.0000 1.099    p  0.00e+00  1.70e+00  0.00e+00  2.40e+00
 3.50 0.0000 1.099   He  0.00e+00  6.58e-01  0.00e+00  2.40e+00
 3.50 0.0000 1.099    C  0.00e+00  7.40e-03  0.00e+00  2.40e+00
 3.50 0.0000 1.099    N  0.00e+00  2.67e-03  0.00e+00  2.40e+00
 3.50 0.0000 1.099    O  0.00e+00  2.31e-02  0.00e+00  2.40e+00
 3.50 0.0000 1.099    F  0.00e+00  1.17e-06  0.00e+00  2.40e+00
 3.50 0.0000 1.099   Ne  0.00e+00  4.21e-03  0.00e+00  2.40e+00
 3.50 0.0000 1.099   Mg  0.00e+00  1.57e-03  0.00e+00  2.40e+00
 3.50 0.0000 1.099   Si  0.00e+00  1.69e-03  0.00e+00  2.40e+00
 3.50 0.0000 1.099    S  0.00e+00  8.82e-04  0.00e+00  2.40e+00
 3.50 0.0000 1.099   Fe  0.00e+00  4.43e-03  0.00e+00  2.40e+00
 4.00 0.0000 1.099    p  0.00e+00  2.05e+00  0.00e+00  2.90e+00
 4.00 0.0000 1.099   He  0.00e+00  7.96e-01  0.00e+00  2.90e+00
 4.00 0.0000 1.099    C  0.00e+00  8.94e-03  0.00e+00  2.90e+00
 4.00 0.0000 1.099    N  0.00e+00  3.22e-03  0.00e+00  2.90e+00
 4.00 0.0000 1.099    O  0.00e+00  2.79e-02  0.00e+00  2.90e+00
 4.00 0.0000 1.099    F  0.00e+00  1.41e-06  0.00e+00  2.90e+00
