#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 1.00 0.0500 0.564    p -8.11e-03  3.00e-01  0.00e+00  4.36e-01
 1.00 0.0500 0.564   He  8.08e-03  1.28e-01  0.00e+00  4.36e-01
 1.00 0.0500 0.564    C -1.50e-04  1.19e-03  0.00e+00  4.36e-01
 1.00 0.0500 0.564    N  1.80e-04  6.64e-04  0.00e+00  4.36e-01
 1.00 0.0500 0.564    O -1.92e-06  4.19e-03  0.00e+00  4.36e-01
 1.00 0.0500 0.564    F  1.84e-10  2.13e-07  0.00e+00  4.36e-01
 1.00 0.0500 0.564   Ne -1.26e-07  7.65e-04  0.00e+00  4.36e-01
 1.00 0.0500 0.564   Mg -1.46e-09  2.85e-04  0.00e+00  4.36e-01
 1.00 0.0500 0.564   Si -3.31e-09  3.07e-04  0.00e+00  4.36e-01
 1.00 0.0500 0.564    S  1.99e-09  1.60e-04  0.00e+00  4.36e-01
 1.00 0.0500 0.564   Fe -2.79e-09  8.05e-04  0.00e+00  4.36e-01
 1.20 0.0500 0.574    p -1.23e-02  4.30e-01  0.00e+00  6.26e-01
 1.20 0.0500 0.574   He  1.22e-02  1.84e-01  0.00e+00  6.26e-01
 1.20 0.0500 0.574    C -4.24e-04  1.51e-03  0.00e+00  6.26e-01
 1.20 0.0500 0.574    N  5.03e-04  1.20e-03  0.00e+00  6.26e-01
 1.20 0.0500 0.574    O -4.91e-06  6.02e-03  0.00e+00  6.26e-01
 1.20 0.0500 0.574    F  1.25e-09  3.06e-07  0.00e+00  6.26e-01
 1.20 0.0500 0.574   Ne -3.47e-07  1.10e-03  0.00e+00  6.26e-01
 1.20 0.0500 0.574   Mg  2.95e-09  4.10e-04  0.00e+00  6.26e-01
 1.20 0.0500 0.574   Si  3.05e-09  4.41e-04  0.00e+00  6.26e-01
 1.20 0.0500 0.574    S  2.36e-09  2.30e-04  0.00e+00  6.26e-01
 1.20 0.0500 0.574   Fe  5.86e-09  1.16e-03  0.00e+00  6.26e-01
 1.50 0.0500 0.600    p -1.28e-02  6.23e-01  0.00e+00  9.00e-01
 1.50 0.0500 0.600   He  1.27e-02  2.60e-01  0.00e+00  9.00e-01
 1.50 0.0500 0.600    C -7.46e-04  2.03e-03  0.00e+00  9.00e-01
 1.50 0.0500 0.600    N  8.83e-04  1.88e-03  0.00e+00  9.00e-01
 1.50 0.0500 0.600    O -7.26e-06  8.66e-03  0.00e+00  9.00e-01
 1.50 0.0500 0.600    F  2.17e-09  4.41e-07  0.00e+00  9.00e-01
 1.50 0.0500 0.600   Ne -1.50e-06  1.58e-03  0.00e+00  9.00e-01
 1.50 0.0500 0.600   Mg -1.70e-11  5.89e-04  0.00e+00  9.00e-01
 1.50 0.0500 0.600   Si  8.66e-10  6.34e-04  0.00e+00  9.00e-01
 1.50 0.0500 0.600    S -2.46e-10  3.31e-04  0.00e+00  9.00e-01
 1.50 0.0500 0.600   Fe  3.78e-09  1.66e-03  0.00e+00  9.00e-01
 1.80 0.0500 0.615    p -1.18e-02  8.26e-01  0.00e+00  1.19e+00
 1.80 0.0500 0.615   He  1.16e-02  3.37e-01  0.00e+00  1.19e+00
 1.80 0.0500 0.615    C -1.06e-03  2.59e-03  0.00e+00  1.19e+00
 1.80 0.0500 0.615    N  1.25e-03  2.57e-03  0.00e+00  1.19e+00
 1.80 0.0500 0.615    O -4.90e-06  1.14e-02  0.00e+00  1.19e+00
 1.80 0.0500 0.615    F  2.58e-09  5.80e-07  0.00e+00  1.19e+00
 1.80 0.0500 0.615   Ne -4.05e-06  2.08e-03  0.00e+00  1.19e+00
 1.80 0.0500 0.615   Mg  3.05e-09  7.76e-04  0.00e+00  1.19e+00
 1.80 0.0500 0.615   Si  8.13e-10  8.35e-04  0.00e+00  1.19e+00
 1.80 0.0500 0.615    S  1.50e-10  4.36e-04  0.00e+00  1.19e+00
 1.80 0.0500 0.615   Fe  3.95e-10  2.19e-03  0.00e+00  1.19e+00
 1.90 0.0500 0.630    p -1.09e-02  8.87e-01  0.00e+00  1.27e+00
 1.90 0.0500 0.630   He  1.06e-02  3.59e-01  0.00e+00  1.27e+00
 1.90 0.0500 0.630    C -1.19e-03  2.72e-03  0.00e+00  1.27e+00
 1.90 0.0500 0.630    N  1.41e-03  2.82e-03  0.00e+00  1.27e+00
 1.90 0.0500 0.630    O -5.72e-06  1.22e-02  0.00e+00  1.27e+00
 1.90 0.0500 0.630    F  1.63e-09  6.21e-07  0.00e+00  1.27e+00
 1.90 0.0500 0.630   Ne -6.30e-06  2.22e-03  0.00e+00  1.27e+00
 1.90 0.0500 0.630   Mg  1.52e-09  8.32e-04  0.00e+00  1.27e+00
 1.90 0.0500 0.630   Si  4.38e-10  8.95e-04  0.00e+00  1.27e+00
 1.90 0.0500 0.630    S  4.94e-10  4.67e-04  0.00e+00  1.27e+00
 1.90 0.0500 0.630   Fe  2.66e-09  2.34e-03  0.00e+00  1.27e+00
 2.00 0.0500 0.640    p -1.02e-02  9.51e-01  0.00e+00  1.36e+00
 2.00 0.0500 0.640   He  9.97e-03  3.83e-01  0.00e+00  1.36e+00
 2.00 0.0500 0.640    C -1.29e-03  2.91e-03  0.00e+00  1.36e+00
 2.00 0.0500 0.640    N  1.52e-03  3.03e-03  0.00e+00  1.36e+00
 2.00 0.0500 0.640    O -8.31e-06  1.31e-02  0.00e+00  1.36e+00
 2.00 0.0500 0.640    F  7.93e-10  6.64e-07  0.00e+00  1.36e+00
 2.00 0.0500 0.640   Ne -7.71e-06  2.38e-03  0.00e+00  1.36e+00
 2.00 0.0500 0.640   Mg -2.67e-10  8.90e-04  0.00e+00  1.36e+00
 2.00 0.0500 0.640   Si  1.02e-10  9.58e-04  0.00e+00  1.36e+00
 2.00 0.0500 0.640    S  3.09e-11  5.00e-04  0.00e+00  1.36e+00
 2.00 0.0500 0.640   Fe  3.60e-10  2.51e-03  0.00e+00  1.36e+00
 2.20 0.0500 0.660    p -1.50e-02  1.07e+00  0.00e+00  1.54e+00
 2.20 0.0500 0.660   He  1.37e-02  4.36e-01  0.00e+00  1.54e+00
 2.20 0.0500 0.660    C -5.48e-04  4.20e-03  0.00e+00  1.54e+00
 2.20 0.0500 0.660    N  1.92e-03  3.63e-03  0.00e+00  1.54e+00
 2.20 0.0500 0.660    O -1.68e-04  1.47e-02  0.00e+00  1.54e+00
 2.20 0.0500 0.660    F  9.26e-08  8.43e-07  0.00e+00  1.54e+00
 2.20 0.0500 0.660   Ne  5.99e-05  2.76e-03  0.00e+00  1.54e+00
 2.20 0.0500 0.660   Mg  7.66e-08  1.01e-03  0.00e+00  1.54e+00
 2.20 0.0500 0.660   Si  1.35e-07  1.08e-03  0.00e+00  1.54e+00
 2.20 0.0500 0.660    S  7.93e-08  5.66e-04  0.00e+00  1.54e+00
 2.20 0.0500 0.660   Fe  1.67e-07  2.84e-03  0.00e+00  1.54e+00
 2.50 0.0500 0.662    p -3.02e-02  1.27e+00  0.00e+00  1.84e+00
 2.50 0.0500 0.662   He  2.39e-02  5.28e-01  0.00e+00  1.84e+00
 2.50 0.0500 0.662    C  3.91e-03  9.57e-03  0.00e+00  1.84e+00
 2.50 0.0500 0.662    N  2.29e-03  4.33e-03  0.00e+00  1.84e+00
 2.50 0.0500 0.662    O -4.02e-04  1.73e-02  0.00e+00  1.84e+00
 2.50 0.0500 0.662    F  7.61e-07  1.66e-06  0.00e+00  1.84e+00
 2.50 0.0500 0.662   Ne  4.73e-04  3.70e-03  0.00e+00  1.84e+00
 2.50 0.0500 0.662   Mg  1.07e-06  1.20e-03  0.00e+00  1.84e+00
 2.50 0.0500 0.662   Si  2.59e-07  1.29e-03  0.00e+00  1.84e+00
 2.50 0.0500 0.662    S -3.68e-08  6.75e-04  0.00e+00  1.84e+00
 2.50 0.0500 0.662   Fe -8.85e-08  3.39e-03  0.00e+00  1.84e+00
 3.00 0.0500 0.681    p -6.94e-02  1.57e+00  0.00e+00  2.32e+00
 3.00 0.0500 0.681   He  5.17e-02  6.88e-01  0.00e+00  2.32e+00
 3.00 0.0500 0.681    C  1.38e-02  2.10e-02  0.00e+00  2.32e+00
 3.00 0.0500 0.681    N  3.09e-03  5.67e-03  0.00e+00  2.32e+00
 3.00 0.0500 0.681    O -1.09e-03  2.12e-02  0.00e+00  2.32e+00
 3.00 0.0500 0.681    F  3.39e-06  4.52e-06  0.00e+00  2.32e+00
 3.00 0.0500 0.681   Ne  1.81e-03  5.88e-03  0.00e+00  2.32e+00
 3.00 0.0500 0.681   Mg  1.26e-05  1.53e-03  0.00e+00  2.32e+00
 3.00 0.0500 0.681   Si  1.13e-06  1.63e-03  0.00e+00  2.32e+00
 3.00 0.0500 0.681    S -4.91e-07  8.52e-04  0.00e+00  2.32e+00
 3.00 0.0500 0.681   Fe -7.34e-07  4.28e-03  0.00e+00  2.32e+00
 3.50 0.0500 0.717    p -9.37e-02  1.87e+00  0.00e+00  2.78e+00
 3.50 0.0500 0.717   He  6.97e-02  8.33e-01  0.00e+00  2.78e+00
 3.50 0.0500 0.717    C  1.89e-02  2.75e-02  0.00e+00  2.78e+00
 3.50 0.0500 0.717    N  4.03e-03  7.12e-03  0.00e+00  2.78e+00
 3.50 0.0500 0.717    O -1.66e-03  2.51e-02  0.00e+00  2.78e+00
 3.50 0.0500 0.717    F  5.64e-06  7.00e-06  0.00e+00  2.78e+00
 3.50 0.0500 0.717   Ne  2.63e-03  7.52e-03  0.00e+00  2.78e+00
 3.50 0.0500 0.717   Mg  4.52e-05  1.87e-03  0.00e+00  2.78e+00
 3.50 0.0500 0.717   Si  2.78e-06  1.96e-03  0.00e+00  2.78e+00
 3.50 0.0500 0.717    S -1.89e-06  1.02e-03  0.00e+00  2.78e+00
 3.50 0.0500 0.717   Fe -2.71e-06  5.13e-03  0.00e+00  2.78e+00
 4.00 0.0500 0.791    p -6.31e-02  2.20e+00  0.00e+00  3.21e+00
 4.00 0.0500 0.791   He  4.91e-02  9.29e-01  0.00e+00  3.21e+00
 4.00 0.0500 0.791    C  9.39e-03  1.93e-02  0.00e+00  3.21e+00
 4.00 0.0500 0.791    N  5.08e-03  8.65e-03  0.00e+00  3.21e+00
 4.00 0.0500 0.791    O -1.66e-03  2.92e-02  0.00e+00  3.21e+00
 4.00 0.0500 0.791    F  2.25e-06  3.82e-06  0.00e+00  3.21e+00
 4.00 0.0500 0.791   Ne  1.16e-03  6.79e-03  0.00e+00  3.21e+00
 4.00 0.0500 0.791   Mg  4.23e-05  2.14e-03  0.00e+00  3.21e+00
 4.00 0.0500 0.791   Si  3.27e-06  2.26e-03  0.00e+00  3.21e+00
 4.00 0.0500 0.791    S -1.75e-06  1.18e-03  0.00e+00  3.21e+00
 4.00 0.0500 0.791   Fe -3.15e-06  5.92e-03  0.00e+00  3.21e+00
 4.50 0.0500 0.851    p -8.23e-02  2.50e+00  0.00e+00  3.65e+00
 4.50 0.0500 0.851   He  7.87e-02  1.08e+00  0.00e+00  3.65e+00
 4.50 0.0500 0.851    C -1.03e-03  1.02e-02  0.00e+00  3.65e+00
 4.50 0.0500 0.851    N  6.54e-03  1.06e-02  0.00e+00  3.65e+00
 4.50 0.0500 0.851    O -2.17e-03  3.29e-02  0.00e+00  3.65e+00
 4.50 0.0500 0.851    F  1.91e-07  1.97e-06  0.00e+00  3.65e+00
 4.50 0.0500 0.851   Ne  1.73e-04  6.57e-03  0.00e+00  3.65e+00
 4.50 0.0500 0.851   Mg  1.86e-06  2.39e-03  0.00e+00  3.65e+00
 4.50 0.0500 0.851   Si  5.91e-07  2.57e-03  0.00e+00  3.65e+00
 4.50 0.0500 0.851    S  6.23e-09  1.34e-03  0.00e+00  3.65e+00
 4.50 0.0500 0.851   Fe  1.21e-07  6.74e-03  0.00e+00  3.65e+00
 5.00 0.0500 0.878    p -1.82e-01  2.73e+00  0.00e+00  4.12e+00
 5.00 0.0500 0.878   He  1.68e-01  1.30e+00  0.00e+00  4.12e+00
 5.00 0.0500 0.878    C  5.28e-03  1.80e-02  0.00e+00  4.12e+00
 5.00 0.0500 0.878    N  1.19e-02  1.65e-02  0.00e+00  4.12e+00
 5.00 0.0500 0.878    O -3.69e-03  3.60e-02  0.00e+00  4.12e+00
 5.00 0.0500 0.878    F  1.92e-06  3.93e-06  0.00e+00  4.12e+00
 5.00 0.0500 0.878   Ne  9.32e-04  8.16e-03  0.00e+00  4.12e+00
 5.00 0.0500 0.878   Mg  8.42e-05  2.78e-03  0.00e+00  4.12e+00
 5.00 0.0500 0.878   Si  8.83e-06  2.91e-03  0.00e+00  4.12e+00
 5.00 0.0500 0.878    S -3.12e-06  1.51e-03  0.00e+00  4.12e+00
