#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 2.10 0.0040 0.650   Ne  5.14e-04  1.02e-03  5.09e-04  1.45e+00
 2.10 0.0040 0.650   Mg  3.33e-06  1.95e-04  1.91e-04  1.45e+00
 2.10 0.0040 0.650   Si  1.55e-07  2.07e-04  2.07e-04  1.45e+00
 2.10 0.0040 0.650    S -7.71e-08  1.70e-04  1.70e-04  1.45e+00
 2.10 0.0040 0.650   Fe -3.18e-09  3.69e-04  3.69e-04  1.45e+00
 2.25 0.0040 0.664    p -1.00e-01  1.09e+00  1.19e+00  1.59e+00
 2.25 0.0040 0.664   He  7.49e-02  4.67e-01  3.93e-01  1.59e+00
 2.25 0.0040 0.664    C  2.29e-02  2.38e-02  9.74e-04  1.59e+00
 2.25 0.0040 0.664    N  4.50e-04  8.02e-04  3.51e-04  1.59e+00
 2.25 0.0040 0.664    O  2.01e-04  3.25e-03  3.05e-03  1.59e+00
 2.25 0.0040 0.664    F  4.00e-06  4.13e-06  1.29e-07  1.59e+00
 2.25 0.0040 0.664   Ne  1.78e-03  2.34e-03  5.57e-04  1.59e+00
 2.25 0.0040 0.664   Mg  2.36e-05  2.33e-04  2.09e-04  1.59e+00
 2.25 0.0040 0.664   Si  5.37e-07  2.26e-04  2.25e-04  1.59e+00
 2.25 0.0040 0.664    S -3.23e-07  1.85e-04  1.86e-04  1.59e+00
 2.25 0.0040 0.664   Fe -2.00e-07  4.04e-04  4.04e-04  1.59e+00
 2.50 0.0040 0.671    p -1.50e-01  1.22e+00  1.37e+00  1.83e+00
 2.50 0.0040 0.671   He  1.11e-01  5.64e-01  4.53e-01  1.83e+00
 2.50 0.0040 0.671    C  3.38e-02  3.50e-02  1.12e-03  1.83e+00
 2.50 0.0040 0.671    N  5.83e-04  9.89e-04  4.06e-04  1.83e+00
 2.50 0.0040 0.671    O  9.68e-05  3.61e-03  3.52e-03  1.83e+00
 2.50 0.0040 0.671    F  8.66e-06  8.81e-06  1.48e-07  1.83e+00
 2.50 0.0040 0.671   Ne  3.56e-03  4.21e-03  6.42e-04  1.83e+00
 2.50 0.0040 0.671   Mg  7.70e-05  3.18e-04  2.41e-04  1.83e+00
 2.50 0.0040 0.671   Si  1.28e-06  2.62e-04  2.60e-04  1.83e+00
 2.50 0.0040 0.671    S -7.97e-07  2.14e-04  2.15e-04  1.83e+00
 2.50 0.0040 0.671   Fe -8.79e-07  4.65e-04  4.66e-04  1.83e+00
 3.00 0.0040 0.731    p -1.60e-01  1.54e+00  1.70e+00  2.27e+00
