# Temp      kappa_abs_P kappa_ext_P kappa_abs_R kappa_ext_R
# [K]       [cm^2/g]    [cm^2/g]    [cm^2/g]    [cm^2/g]
4.26120e+03 4.45181e+03 1.29747e+04 3.85644e+03 9.10867e+03
4.34661e+03 4.58879e+03 1.33613e+04 3.94354e+03 9.38178e+03
4.43374e+03 4.73178e+03 1.37567e+04 4.03369e+03 9.66331e+03
4.52261e+03 4.88103e+03 1.41609e+04 4.12700e+03 9.95343e+03
4.61327e+03 5.03678e+03 1.45741e+04 4.22359e+03 1.02524e+04
4.70574e+03 5.19930e+03 1.49963e+04 4.32358e+03 1.05603e+04
4.80007e+03 5.36885e+03 1.54277e+04 4.42710e+03 1.08774e+04
4.89628e+03 5.54569e+03 1.58682e+04 4.53428e+03 1.12039e+04
4.99443e+03 5.73009e+03 1.63180e+04 4.64525e+03 1.15401e+04
5.09454e+03 5.92234e+03 1.67771e+04 4.76016e+03 1.18860e+04
5.19666e+03 6.12270e+03 1.72456e+04 4.87914e+03 1.22419e+04
5.30083e+03 6.33145e+03 1.77236e+04 5.00235e+03 1.26079e+04
5.40708e+03 6.54887e+03 1.82111e+04 5.12995e+03 1.29844e+04
5.51547e+03 6.77522e+03 1.87083e+04 5.26209e+03 1.33714e+04
5.62603e+03 7.01078e+03 1.92150e+04 5.39894e+03 1.37692e+04
5.73880e+03 7.25581e+03 1.97314e+04 5.54067e+03 1.41779e+04
5.85383e+03 7.51055e+03 2.02574e+04 5.68745e+03 1.45977e+04
5.97117e+03 7.77525e+03 2.07932e+04 5.83946e+03 1.50288e+04
6.09086e+03 8.05013e+03 2.13385e+04 5.99690e+03 1.54714e+04
6.21295e+03 8.33540e+03 2.18935e+04 6.15994e+03 1.59255e+04
6.33749e+03 8.63126e+03 2.24580e+04 6.32879e+03 1.63915e+04
6.46453e+03 8.93788e+03 2.30319e+04 6.50365e+03 1.68693e+04
6.59411e+03 9.25540e+03 2.36153e+04 6.68471e+03 1.73591e+04
6.72629e+03 9.58396e+03 2.42078e+04 6.87219e+03 1.78611e+04
6.86111e+03 9.92366e+03 2.48094e+04 7.06629e+03 1.83753e+04
6.99865e+03 1.02746e+04 2.54198e+04 7.26725e+03 1.89018e+04
7.13893e+03 1.06367e+04 2.60389e+04 7.47526e+03 1.94407e+04
7.28203e+03 1.10101e+04 2.66664e+04 7.69056e+03 1.99920e+04
7.42800e+03 1.13948e+04 2.73020e+04 7.91336e+03 2.05557e+04
7.57689e+03 1.17907e+04 2.79454e+04 8.14389e+03 2.11318e+04
7.72877e+03 1.21978e+04 2.85963e+04 8.38239e+03 2.17203e+04
7.88369e+03 1.26158e+04 2.92543e+04 8.62907e+03 2.23211e+04
8.04172e+03 1.30449e+04 2.99191e+04 8.88416e+03 2.29341e+04
8.20292e+03 1.34846e+04 3.05901e+04 9.14788e+03 2.35593e+04
8.36735e+03 1.39350e+04 3.12671e+04 9.42047e+03 2.41964e+04
8.53507e+03 1.43958e+04 3.19496e+04 9.70215e+03 2.48453e+04
8.70615e+03 1.48668e+04 3.26371e+04 9.99313e+03 2.55059e+04
8.88067e+03 1.53478e+04 3.33292e+04 1.02936e+04 2.61777e+04
9.05868e+03 1.58385e+04 3.40254e+04 1.06039e+04 2.68607e+04
9.24026e+03 1.63388e+04 3.47254e+04 1.09241e+04 2.75545e+04
9.42548e+03 1.68484e+04 3.54287e+04 1.12544e+04 2.82587e+04
9.61441e+03 1.73670e+04 3.61348e+04 1.15951e+04 2.89732e+04
9.80713e+03 1.78945e+04 3.68435e+04 1.19464e+04 2.96975e+04
1.00037e+04 1.84307e+04 3.75542e+04 1.23084e+04 3.04312e+04
1.02042e+04 1.89754e+04 3.82668e+04 1.26813e+04 3.11741e+04
1.04088e+04 1.95284e+04 3.89810e+04 1.30653e+04 3.19256e+04
1.06174e+04 2.00896e+04 3.96964e+04 1.34607e+04 3.26855e+04
1.08303e+04 2.06588e+04 4.04129e+04 1.38674e+04 3.34534e+04
1.10473e+04 2.12361e+04 4.11303e+04 1.42858e+04 3.42289e+04
1.12688e+04 2.18214e+04 4.18486e+04 1.47160e+04 3.50116e+04
1.14947e+04 2.24147e+04 4.25678e+04 1.51582e+04 3.58013e+04
1.17251e+04 2.30160e+04 4.32878e+04 1.56124e+04 3.65977e+04
1.19601e+04 2.36255e+04 4.40087e+04 1.60790e+04 3.74004e+04
1.21998e+04 2.42432e+04 4.47307e+04 1.65579e+04 3.82092e+04
1.24444e+04 2.48693e+04 4.54541e+04 1.70495e+04 3.90239e+04
1.26938e+04 2.55040e+04 4.61790e+04 1.75538e+04 3.98445e+04
1.29483e+04 2.61476e+04 4.69058e+04 1.80710e+04 4.06707e+04
1.32078e+04 2.68004e+04 4.76349e+04 1.86013e+04 4.15025e+04
1.34726e+04 2.74626e+04 4.83666e+04 1.91449e+04 4.23399e+04
1.37426e+04 2.81346e+04 4.91015e+04 1.97019e+04 4.31828e+04
1.40181e+04 2.88168e+04 4.98400e+04 2.02725e+04 4.40315e+04
1.42991e+04 2.95094e+04 5.05828e+04 2.08570e+04 4.48859e+04
1.45857e+04 3.02130e+04 5.13303e+04 2.14554e+04 4.57463e+04
1.48781e+04 3.09278e+04 5.20831e+04 2.20681e+04 4.66128e+04
1.51763e+04 3.16543e+04 5.28418e+04 2.26953e+04 4.74857e+04
1.54805e+04 3.23929e+04 5.36071e+04 2.33371e+04 4.83653e+04
1.57908e+04 3.31438e+04 5.43794e+04 2.39938e+04 4.92518e+04
1.61074e+04 3.39075e+04 5.51595e+04 2.46656e+04 5.01455e+04
1.64302e+04 3.46843e+04 5.59477e+04 2.53528e+04 5.10468e+04
1.67596e+04 3.54744e+04 5.67448e+04 2.60556e+04 5.19561e+04
1.70955e+04 3.62782e+04 5.75511e+04 2.67742e+04 5.28736e+04
1.74382e+04 3.70957e+04 5.83671e+04 2.75089e+04 5.37997e+04
1.77878e+04 3.79271e+04 5.91933e+04 2.82599e+04 5.47348e+04
1.81443e+04 3.87726e+04 6.00299e+04 2.90274e+04 5.56791e+04
1.85080e+04 3.96322e+04 6.08773e+04 2.98116e+04 5.66329e+04
1.88790e+04 4.05058e+04 6.17356e+04 3.06128e+04 5.75964e+04
1.92574e+04 4.13933e+04 6.26051e+04 3.14311e+04 5.85700e+04
1.96434e+04 4.22945e+04 6.34858e+04 3.22666e+04 5.95537e+04
2.00372e+04 4.32093e+04 6.43778e+04 3.31196e+04 6.05478e+04
2.04388e+04 4.41374e+04 6.52808e+04 3.39900e+04 6.15522e+04
2.08485e+04 4.50782e+04 6.61949e+04 3.48779e+04 6.25670e+04
2.12664e+04 4.60315e+04 6.71198e+04 3.57835e+04 6.35921e+04
2.16927e+04 4.69966e+04 6.80551e+04 3.67066e+04 6.46275e+04
2.21275e+04 4.79729e+04 6.90005e+04 3.76472e+04 6.56729e+04
2.25711e+04 4.89599e+04 6.99555e+04 3.86051e+04 6.67281e+04
2.30235e+04 4.99568e+04 7.09196e+04 3.95803e+04 6.77928e+04
2.34850e+04 5.09628e+04 7.18922e+04 4.05724e+04 6.88666e+04
2.39558e+04 5.19771e+04 7.28726e+04 4.15811e+04 6.99489e+04
2.44360e+04 5.29988e+04 7.38601e+04 4.26062e+04 7.10393e+04
2.49258e+04 5.40269e+04 7.48539e+04 4.36470e+04 7.21371e+04
2.54254e+04 5.50605e+04 7.58531e+04 4.47032e+04 7.32416e+04
2.59351e+04 5.60986e+04 7.68569e+04 4.57741e+04 7.43521e+04
2.64550e+04 5.71401e+04 7.78643e+04 4.68590e+04 7.54675e+04
2.69852e+04 5.81838e+04 7.88743e+04 4.79573e+04 7.65872e+04
2.75262e+04 5.92288e+04 7.98859e+04 4.90680e+04 7.77100e+04
2.80779e+04 6.02739e+04 8.08981e+04 5.01902e+04 7.88349e+04
2.86407e+04 6.13180e+04 8.19097e+04 5.13229e+04 7.99609e+04
2.92148e+04 6.23598e+04 8.29198e+04 5.24651e+04 8.10866e+04
2.98004e+04 6.33982e+04 8.39270e+04 5.36156e+04 8.22111e+04
3.03978e+04 6.44320e+04 8.49304e+04 5.47732e+04 8.33330e+04
3.10071e+04 6.54601e+04 8.59287e+04 5.59365e+04 8.44510e+04
3.16287e+04 6.64813e+04 8.69208e+04 5.71042e+04 8.55639e+04
3.22626e+04 6.74943e+04 8.79055e+04 5.82749e+04 8.66704e+04
3.29093e+04 6.84981e+04 8.88815e+04 5.94470e+04 8.77691e+04
3.35690e+04 6.94913e+04 8.98477e+04 6.06190e+04 8.88586e+04
3.42419e+04 7.04728e+04 9.08028e+04 6.17893e+04 8.99378e+04
3.49283e+04 7.14415e+04 9.17455e+04 6.29564e+04 9.10052e+04
3.56284e+04 7.23960e+04 9.26747e+04 6.41186e+04 9.20597e+04
3.63426e+04 7.33352e+04 9.35889e+04 6.52742e+04 9.30998e+04
3.70711e+04 7.42579e+04 9.44869e+04 6.64216e+04 9.41245e+04
3.78142e+04 7.51629e+04 9.53674e+04 6.75592e+04 9.51326e+04
3.85721e+04 7.60488e+04 9.62289e+04 6.86853e+04 9.61230e+04
3.93453e+04 7.69144e+04 9.70701e+04 6.97985e+04 9.70945e+04
4.01340e+04 7.77585e+04 9.78894e+04 7.08970e+04 9.80464e+04
4.09385e+04 7.85797e+04 9.86856e+04 7.19795e+04 9.89775e+04
4.17591e+04 7.93767e+04 9.94569e+04 7.30446e+04 9.98872e+04
4.25961e+04 8.01482e+04 1.00202e+05 7.40908e+04 1.00775e+05
4.34500e+04 8.08927e+04 1.00919e+05 7.51170e+04 1.01639e+05
4.43209e+04 8.16089e+04 1.01606e+05 7.61220e+04 1.02481e+05
4.52093e+04 8.22952e+04 1.02262e+05 7.71047e+04 1.03298e+05
4.61155e+04 8.29503e+04 1.02885e+05 7.80642e+04 1.04091e+05
4.70399e+04 8.35727e+04 1.03474e+05 7.89996e+04 1.04860e+05
4.79828e+04 8.41608e+04 1.04025e+05 7.99103e+04 1.05604e+05
4.89447e+04 8.47130e+04 1.04538e+05 8.07955e+04 1.06323e+05
4.99257e+04 8.52280e+04 1.05011e+05 8.16549e+04 1.07017e+05
5.09265e+04 8.57041e+04 1.05442e+05 8.24879e+04 1.07687e+05
5.19473e+04 8.61398e+04 1.05829e+05 8.32945e+04 1.08332e+05
5.29886e+04 8.65335e+04 1.06169e+05 8.40743e+04 1.08952e+05
5.40508e+04 8.68837e+04 1.06462e+05 8.48274e+04 1.09549e+05
5.51342e+04 8.71890e+04 1.06706e+05 8.55538e+04 1.10122e+05
5.62394e+04 8.74479e+04 1.06898e+05 8.62537e+04 1.10671e+05
5.73667e+04 8.76590e+04 1.07037e+05 8.69273e+04 1.11198e+05
5.85166e+04 8.78209e+04 1.07121e+05 8.75749e+04 1.11703e+05
5.96895e+04 8.79324e+04 1.07148e+05 8.81969e+04 1.12186e+05
6.08860e+04 8.79923e+04 1.07118e+05 8.87938e+04 1.12648e+05
6.21065e+04 8.79996e+04 1.07029e+05 8.93661e+04 1.13089e+05
6.33514e+04 8.79532e+04 1.06880e+05 8.99142e+04 1.13510e+05
6.46213e+04 8.78522e+04 1.06668e+05 9.04390e+04 1.13912e+05
6.59166e+04 8.76960e+04 1.06395e+05 9.09409e+04 1.14296e+05
6.72379e+04 8.74840e+04 1.06058e+05 9.14208e+04 1.14662e+05
6.85857e+04 8.72156e+04 1.05657e+05 9.18791e+04 1.15010e+05
6.99605e+04 8.68907e+04 1.05192e+05 9.23168e+04 1.15342e+05
7.13628e+04 8.65091e+04 1.04662e+05 9.27345e+04 1.15658e+05
7.27933e+04 8.60707e+04 1.04068e+05 9.31329e+04 1.15959e+05
7.42524e+04 8.55759e+04 1.03409e+05 9.35127e+04 1.16245e+05
7.57408e+04 8.50250e+04 1.02686e+05 9.38748e+04 1.16517e+05
7.72590e+04 8.44185e+04 1.01900e+05 9.42197e+04 1.16776e+05
7.88077e+04 8.37573e+04 1.01051e+05 9.45483e+04 1.17022e+05
8.03874e+04 8.30422e+04 1.00140e+05 9.48612e+04 1.17256e+05
8.19987e+04 8.22742e+04 9.91691e+04 9.51591e+04 1.17479e+05
8.36424e+04 8.14547e+04 9.81389e+04 9.54427e+04 1.17691e+05
8.53190e+04 8.05850e+04 9.70511e+04 9.57126e+04 1.17892e+05
8.70292e+04 7.96667e+04 9.59077e+04 9.59694e+04 1.18083e+05
8.87737e+04 7.87016e+04 9.47106e+04 9.62138e+04 1.18264e+05
9.05531e+04 7.76914e+04 9.34618e+04 9.64464e+04 1.18437e+05
9.23683e+04 7.66383e+04 9.21638e+04 9.66677e+04 1.18601e+05
9.42198e+04 7.55441e+04 9.08189e+04 9.68782e+04 1.18757e+05
9.61084e+04 7.44113e+04 8.94296e+04 9.70785e+04 1.18905e+05
9.80349e+04 7.32420e+04 8.79988e+04 9.72691e+04 1.19046e+05
1.00000e+05 7.20387e+04 8.65291e+04 9.74505e+04 1.19180e+05
