# Temp      kappa_abs_P kappa_ext_P kappa_abs_R kappa_ext_R
# [K]       [cm^2/g]    [cm^2/g]    [cm^2/g]    [cm^2/g]
2.35112e+01 1.89396e+01 1.89403e+01 9.63579e+00 9.63587e+00
2.39825e+01 1.97097e+01 1.97105e+01 9.98795e+00 9.98804e+00
2.44632e+01 2.05128e+01 2.05136e+01 1.03537e+01 1.03538e+01
2.49536e+01 2.13503e+01 2.13512e+01 1.07334e+01 1.07335e+01
2.54538e+01 2.22238e+01 2.22248e+01 1.11279e+01 1.11280e+01
2.59640e+01 2.31350e+01 2.31361e+01 1.15376e+01 1.15377e+01
2.64845e+01 2.40854e+01 2.40866e+01 1.19631e+01 1.19632e+01
2.70153e+01 2.50770e+01 2.50782e+01 1.24052e+01 1.24053e+01
2.75569e+01 2.61115e+01 2.61128e+01 1.28644e+01 1.28645e+01
2.81092e+01 2.71908e+01 2.71923e+01 1.33414e+01 1.33416e+01
2.86727e+01 2.83171e+01 2.83188e+01 1.38371e+01 1.38373e+01
2.92474e+01 2.94925e+01 2.94943e+01 1.43521e+01 1.43523e+01
2.98337e+01 3.07192e+01 3.07211e+01 1.48873e+01 1.48875e+01
3.04317e+01 3.19995e+01 3.20016e+01 1.54434e+01 1.54436e+01
3.10417e+01 3.33359e+01 3.33381e+01 1.60213e+01 1.60215e+01
3.16639e+01 3.47310e+01 3.47334e+01 1.66219e+01 1.66221e+01
3.22986e+01 3.61874e+01 3.61900e+01 1.72462e+01 1.72464e+01
3.29461e+01 3.77080e+01 3.77108e+01 1.78950e+01 1.78953e+01
3.36065e+01 3.92957e+01 3.92987e+01 1.85695e+01 1.85698e+01
3.42801e+01 4.09536e+01 4.09569e+01 1.92707e+01 1.92710e+01
3.49672e+01 4.26849e+01 4.26885e+01 1.99996e+01 2.00000e+01
3.56681e+01 4.44931e+01 4.44969e+01 2.07575e+01 2.07579e+01
3.63831e+01 4.63816e+01 4.63858e+01 2.15455e+01 2.15459e+01
3.71124e+01 4.83542e+01 4.83588e+01 2.23648e+01 2.23653e+01
3.78563e+01 5.04148e+01 5.04198e+01 2.32168e+01 2.32173e+01
3.86152e+01 5.25675e+01 5.25728e+01 2.41029e+01 2.41034e+01
3.93892e+01 5.48164e+01 5.48221e+01 2.50244e+01 2.50250e+01
4.01787e+01 5.71660e+01 5.71723e+01 2.59828e+01 2.59834e+01
4.09841e+01 5.96210e+01 5.96277e+01 2.69797e+01 2.69804e+01
4.18056e+01 6.21862e+01 6.21935e+01 2.80167e+01 2.80174e+01
4.26436e+01 6.48666e+01 6.48745e+01 2.90954e+01 2.90961e+01
4.34984e+01 6.76675e+01 6.76760e+01 3.02176e+01 3.02184e+01
4.43703e+01 7.05943e+01 7.06036e+01 3.13851e+01 3.13860e+01
4.52597e+01 7.36528e+01 7.36628e+01 3.25999e+01 3.26008e+01
4.61670e+01 7.68488e+01 7.68596e+01 3.38639e+01 3.38649e+01
4.70924e+01 8.01885e+01 8.02002e+01 3.51792e+01 3.51803e+01
4.80364e+01 8.36781e+01 8.36907e+01 3.65479e+01 3.65491e+01
4.89992e+01 8.73242e+01 8.73378e+01 3.79724e+01 3.79737e+01
4.99814e+01 9.11335e+01 9.11482e+01 3.94550e+01 3.94563e+01
5.09833e+01 9.51129e+01 9.51288e+01 4.09981e+01 4.09995e+01
5.20053e+01 9.92694e+01 9.92866e+01 4.26043e+01 4.26059e+01
5.30477e+01 1.03610e+02 1.03629e+02 4.42763e+01 4.42780e+01
5.41110e+01 1.08143e+02 1.08163e+02 4.60169e+01 4.60187e+01
5.51957e+01 1.12875e+02 1.12896e+02 4.78289e+01 4.78309e+01
5.63021e+01 1.17813e+02 1.17837e+02 4.97155e+01 4.97176e+01
5.74306e+01 1.22966e+02 1.22991e+02 5.16798e+01 5.16821e+01
5.85818e+01 1.28341e+02 1.28368e+02 5.37252e+01 5.37276e+01
5.97561e+01 1.33945e+02 1.33975e+02 5.58549e+01 5.58575e+01
6.09539e+01 1.39787e+02 1.39818e+02 5.80727e+01 5.80755e+01
6.21757e+01 1.45872e+02 1.45906e+02 6.03823e+01 6.03853e+01
6.34220e+01 1.52209e+02 1.52246e+02 6.27875e+01 6.27907e+01
6.46933e+01 1.58805e+02 1.58844e+02 6.52925e+01 6.52960e+01
6.59901e+01 1.65666e+02 1.65708e+02 6.79014e+01 6.79051e+01
6.73129e+01 1.72798e+02 1.72843e+02 7.06187e+01 7.06227e+01
6.86622e+01 1.80208e+02 1.80257e+02 7.34488e+01 7.34531e+01
7.00385e+01 1.87902e+02 1.87953e+02 7.63966e+01 7.64012e+01
7.14424e+01 1.95883e+02 1.95939e+02 7.94669e+01 7.94719e+01
7.28745e+01 2.04157e+02 2.04217e+02 8.26648e+01 8.26702e+01
7.43352e+01 2.12728e+02 2.12792e+02 8.59957e+01 8.60015e+01
7.58253e+01 2.21599e+02 2.21667e+02 8.94650e+01 8.94712e+01
7.73452e+01 2.30772e+02 2.30845e+02 9.30783e+01 9.30850e+01
7.88956e+01 2.40249e+02 2.40328e+02 9.68415e+01 9.68487e+01
8.04770e+01 2.50032e+02 2.50116e+02 1.00761e+02 1.00768e+02
8.20902e+01 2.60121e+02 2.60211e+02 1.04842e+02 1.04850e+02
8.37357e+01 2.70516e+02 2.70611e+02 1.09092e+02 1.09101e+02
8.54141e+01 2.81214e+02 2.81316e+02 1.13517e+02 1.13527e+02
8.71262e+01 2.92215e+02 2.92324e+02 1.18124e+02 1.18134e+02
8.88727e+01 3.03516e+02 3.03632e+02 1.22920e+02 1.22931e+02
9.06541e+01 3.15113e+02 3.15237e+02 1.27912e+02 1.27924e+02
9.24713e+01 3.27002e+02 3.27135e+02 1.33107e+02 1.33120e+02
9.43249e+01 3.39179e+02 3.39320e+02 1.38512e+02 1.38527e+02
9.62156e+01 3.51638e+02 3.51788e+02 1.44136e+02 1.44151e+02
9.81442e+01 3.64373e+02 3.64533e+02 1.49986e+02 1.50002e+02
1.00112e+02 3.77378e+02 3.77549e+02 1.56069e+02 1.56087e+02
1.02118e+02 3.90646e+02 3.90828e+02 1.62393e+02 1.62412e+02
1.04165e+02 4.04171e+02 4.04365e+02 1.68967e+02 1.68988e+02
1.06253e+02 4.17944e+02 4.18151e+02 1.75798e+02 1.75820e+02
1.08383e+02 4.31959e+02 4.32179e+02 1.82893e+02 1.82918e+02
1.10556e+02 4.46208e+02 4.46442e+02 1.90263e+02 1.90289e+02
1.12772e+02 4.60683e+02 4.60931e+02 1.97913e+02 1.97941e+02
1.15032e+02 4.75376e+02 4.75641e+02 2.05852e+02 2.05883e+02
1.17338e+02 4.90280e+02 4.90561e+02 2.14088e+02 2.14121e+02
1.19690e+02 5.05386e+02 5.05686e+02 2.22628e+02 2.22665e+02
1.22089e+02 5.20689e+02 5.21007e+02 2.31481e+02 2.31521e+02
1.24536e+02 5.36179e+02 5.36517e+02 2.40653e+02 2.40696e+02
1.27033e+02 5.51849e+02 5.52209e+02 2.50151e+02 2.50199e+02
1.29579e+02 5.67693e+02 5.68076e+02 2.59983e+02 2.60035e+02
1.32177e+02 5.83703e+02 5.84110e+02 2.70156e+02 2.70212e+02
1.34826e+02 5.99872e+02 6.00304e+02 2.80675e+02 2.80736e+02
1.37529e+02 6.16192e+02 6.16651e+02 2.91546e+02 2.91613e+02
1.40285e+02 6.32657e+02 6.33144e+02 3.02774e+02 3.02848e+02
1.43097e+02 6.49258e+02 6.49775e+02 3.14365e+02 3.14446e+02
1.45966e+02 6.65987e+02 6.66536e+02 3.26323e+02 3.26412e+02
1.48892e+02 6.82837e+02 6.83420e+02 3.38651e+02 3.38748e+02
1.51876e+02 6.99800e+02 7.00417e+02 3.51353e+02 3.51459e+02
1.54920e+02 7.16865e+02 7.17520e+02 3.64429e+02 3.64546e+02
1.58026e+02 7.34023e+02 7.34717e+02 3.77882e+02 3.78011e+02
1.61193e+02 7.51265e+02 7.52000e+02 3.91712e+02 3.91853e+02
1.64425e+02 7.68578e+02 7.69357e+02 4.05917e+02 4.06072e+02
1.67720e+02 7.85951e+02 7.86776e+02 4.20495e+02 4.20666e+02
1.71082e+02 8.03372e+02 8.04244e+02 4.35443e+02 4.35631e+02
1.74512e+02 8.20825e+02 8.21749e+02 4.50756e+02 4.50964e+02
1.78010e+02 8.38298e+02 8.39275e+02 4.66427e+02 4.66657e+02
1.81578e+02 8.55774e+02 8.56807e+02 4.82449e+02 4.82703e+02
1.85218e+02 8.73236e+02 8.74329e+02 4.98813e+02 4.99093e+02
1.88930e+02 8.90667e+02 8.91823e+02 5.15505e+02 5.15816e+02
1.92717e+02 9.08049e+02 9.09270e+02 5.32514e+02 5.32858e+02
1.96580e+02 9.25363e+02 9.26653e+02 5.49824e+02 5.50206e+02
2.00521e+02 9.42588e+02 9.43952e+02 5.67418e+02 5.67841e+02
2.04540e+02 9.59704e+02 9.61144e+02 5.85276e+02 5.85746e+02
