energy[ev]	n-1     k
      1115.10  -0.00052375224   0.00011508095
      1115.20  -0.00052366187   0.00011504451
      1115.30  -0.00052357142   0.00011500804
      1115.40  -0.00052348110   0.00011497162
      1115.50  -0.00052339081   0.00011493522
      1115.60  -0.00052330054   0.00011489882
      1115.70  -0.00052321029   0.00011486244
      1115.80  -0.00052311996   0.00011482602
      1115.90  -0.00052302976   0.00011478966
      1116.00  -0.00052293959   0.00011475331
      1116.10  -0.00052284944   0.00011471697
      1116.20  -0.00052275931   0.00011468064
      1116.30  -0.00052266910   0.00011464428
      1116.40  -0.00052257902   0.00011460798
      1116.50  -0.00052248897   0.00011457168
      1116.60  -0.00052239894   0.00011453540
      1116.70  -0.00052230893   0.00011449913
      1116.80  -0.00052221884   0.00011446282
      1116.90  -0.00052212888   0.00011442657
      1117.00  -0.00052203894   0.00011439033
      1117.10  -0.00052194903   0.00011435411
      1117.20  -0.00052185915   0.00011431789
      1117.30  -0.00052176917   0.00011428164
      1117.40  -0.00052167933   0.00011424545
      1117.50  -0.00052158952   0.00011420926
      1117.60  -0.00052149972   0.00011417309
      1117.70  -0.00052140996   0.00011413693
      1117.80  -0.00052132010   0.00011410074
      1117.90  -0.00052123038   0.00011406460
      1118.00  -0.00052114068   0.00011402847
      1118.10  -0.00052105101   0.00011399236
      1118.20  -0.00052096136   0.00011395625
      1118.30  -0.00052087163   0.00011392011
      1118.40  -0.00052078202   0.00011388403
      1118.50  -0.00052069245   0.00011384796
      1118.60  -0.00052060229   0.00011381238
      1118.70  -0.00052051201   0.00011377694
      1118.80  -0.00052042164   0.00011374146
      1118.90  -0.00052033141   0.00011370604
      1119.00  -0.00052024120   0.00011367063
      1119.10  -0.00052015102   0.00011363522
      1119.20  -0.00052006085   0.00011359983
      1119.30  -0.00051997061   0.00011356441
      1119.40  -0.00051988049   0.00011352904
      1119.50  -0.00051979040   0.00011349369
      1119.60  -0.00051970034   0.00011345834
      1119.70  -0.00051961030   0.00011342300
      1119.80  -0.00051952017   0.00011338763
      1119.90  -0.00051943018   0.00011335232
      1120.00  -0.00051934021   0.00011331702
      1120.10  -0.00051925026   0.00011328172
      1120.20  -0.00051916034   0.00011324644
      1120.30  -0.00051907033   0.00011321113
      1120.40  -0.00051898045   0.00011317587
      1120.50  -0.00051889060   0.00011314062
      1120.60  -0.00051880078   0.00011310538
      1120.70  -0.00051871097   0.00011307015
      1120.80  -0.00051862108   0.00011303489
      1120.90  -0.00051853133   0.00011299968
      1121.00  -0.00051844160   0.00011296449
      1121.10  -0.00051835172   0.00011292931
      1121.20  -0.00051826181   0.00011289416
      1121.30  -0.00051817180   0.00011285898
      1121.40  -0.00051808193   0.00011282384
      1121.50  -0.00051799208   0.00011278872
      1121.60  -0.00051790226   0.00011275361
      1121.70  -0.00051781246   0.00011271851
      1121.80  -0.00051772258   0.00011268338
      1121.90  -0.00051763282   0.00011264830
      1122.00  -0.00051754310   0.00011261323
      1122.10  -0.00051745339   0.00011257818
      1122.20  -0.00051736371   0.00011254313
      1122.30  -0.00051727395   0.00011250805
      1122.40  -0.00051718431   0.00011247303
      1122.50  -0.00051709470   0.00011243801
      1122.60  -0.00051700512   0.00011240301
      1122.70  -0.00051691556   0.00011236801
      1122.80  -0.00051682591   0.00011233299
      1122.90  -0.00051673639   0.00011229802
      1123.00  -0.00051664690   0.00011226306
      1123.10  -0.00051655744   0.00011222811
      1123.20  -0.00051646799   0.00011219317
      1123.30  -0.00051637846   0.00011215820
      1123.40  -0.00051628907   0.00011212328
      1123.50  -0.00051619969   0.00011208837
      1123.60  -0.00051611035   0.00011205347
      1123.70  -0.00051602102   0.00011201859
      1123.80  -0.00051593161   0.00011198367
      1123.90  -0.00051584233   0.00011194880
      1124.00  -0.00051575308   0.00011191395
      1124.10  -0.00051566385   0.00011187910
      1124.20  -0.00051557464   0.00011184427
      1124.30  -0.00051548535   0.00011180941
      1124.40  -0.00051539619   0.00011177459
      1124.50  -0.00051530705   0.00011173979
      1124.60  -0.00051521794   0.00011170500
      1124.70  -0.00051512885   0.00011167022
      1124.80  -0.00051503967   0.00011163541
      1124.90  -0.00051495063   0.00011160065
      1125.00  -0.00051486161   0.00011156590
      1125.10  -0.00051477262   0.00011153117
      1125.20  -0.00051468365   0.00011149644
      1125.30  -0.00051459459   0.00011146168
      1125.40  -0.00051450566   0.00011142697
      1125.50  -0.00051441676   0.00011139228
      1125.60  -0.00051432788   0.00011135759
      1125.70  -0.00051423903   0.00011132292
      1125.80  -0.00051415009   0.00011128821
      1125.90  -0.00051406128   0.00011125356
      1126.00  -0.00051397250   0.00011121892
      1126.10  -0.00051388374   0.00011118429
      1126.20  -0.00051379500   0.00011114966
      1126.30  -0.00051370618   0.00011111501
      1126.40  -0.00051361749   0.00011108041
      1126.50  -0.00051352882   0.00011104582
      1126.60  -0.00051344018   0.00011101124
      1126.70  -0.00051335156   0.00011097667
      1126.80  -0.00051326285   0.00011094207
      1126.90  -0.00051317428   0.00011090753
      1127.00  -0.00051308573   0.00011087299
      1127.10  -0.00051299720   0.00011083846
      1127.20  -0.00051290870   0.00011080395
      1127.30  -0.00051282011   0.00011076940
      1127.40  -0.00051273165   0.00011073490
      1127.50  -0.00051264322   0.00011070042
      1127.60  -0.00051255481   0.00011066594
      1127.70  -0.00051246642   0.00011063148
      1127.80  -0.00051237795   0.00011059698
      1127.90  -0.00051228961   0.00011056254
      1128.00  -0.00051220130   0.00011052811
      1128.10  -0.00051211300   0.00011049369
      1128.20  -0.00051202473   0.00011045928
      1128.30  -0.00051193638   0.00011042483
      1128.40  -0.00051184815   0.00011039044
      1128.50  -0.00051175995   0.00011035606
      1128.60  -0.00051167177   0.00011032169
      1128.70  -0.00051158362   0.00011028733
      1128.80  -0.00051149538   0.00011025294
      1128.90  -0.00051140727   0.00011021861
      1129.00  -0.00051131919   0.00011018428
      1129.10  -0.00051123113   0.00011014996
      1129.20  -0.00051114309   0.00011011565
      1129.30  -0.00051105497   0.00011008132
      1129.40  -0.00051096697   0.00011004703
      1129.50  -0.00051087900   0.00011001275
      1129.60  -0.00051079106   0.00010997849
      1129.70  -0.00051070314   0.00010994423
      1129.80  -0.00051061513   0.00010990995
      1129.90  -0.00051052725   0.00010987571
      1130.00  -0.00051043940   0.00010984149
      1130.10  -0.00051035157   0.00010980728
      1130.20  -0.00051026376   0.00010977307
      1130.30  -0.00051017587   0.00010973884
      1130.40  -0.00051008811   0.00010970466
      1130.50  -0.00051000037   0.00010967049
      1130.60  -0.00050991266   0.00010963632
      1130.70  -0.00050982497   0.00010960217
      1130.80  -0.00050973719   0.00010956799
      1130.90  -0.00050964954   0.00010953386
      1131.00  -0.00050956192   0.00010949974
      1131.10  -0.00050947432   0.00010946563
      1131.20  -0.00050938675   0.00010943153
      1131.30  -0.00050929909   0.00010939740
      1131.40  -0.00050921155   0.00010936332
      1131.50  -0.00050912405   0.00010932926
      1131.60  -0.00050903656   0.00010929520
      1131.70  -0.00050894910   0.00010926115
      1131.80  -0.00050886156   0.00010922707
      1131.90  -0.00050877414   0.00010919304
      1132.00  -0.00050868675   0.00010915903
      1132.10  -0.00050859938   0.00010912502
      1132.20  -0.00050851203   0.00010909103
      1132.30  -0.00050842460   0.00010905700
      1132.40  -0.00050833730   0.00010902302
      1132.50  -0.00050825002   0.00010898906
      1132.60  -0.00050816276   0.00010895510
      1132.70  -0.00050807553   0.00010892116
      1132.80  -0.00050798822   0.00010888718
      1132.90  -0.00050790103   0.00010885326
      1133.00  -0.00050781387   0.00010881935
      1133.10  -0.00050772673   0.00010878544
      1133.20  -0.00050763961   0.00010875155
      1133.30  -0.00050755241   0.00010871763
      1133.40  -0.00050746533   0.00010868375
      1133.50  -0.00050737828   0.00010864989
      1133.60  -0.00050729126   0.00010861604
      1133.70  -0.00050720425   0.00010858220
      1133.80  -0.00050711717   0.00010854833
      1133.90  -0.00050703021   0.00010851450
      1134.00  -0.00050694327   0.00010848069
      1134.10  -0.00050685636   0.00010844689
      1134.20  -0.00050676947   0.00010841310
      1134.30  -0.00050668250   0.00010837928
      1134.40  -0.00050659565   0.00010834551
      1134.50  -0.00050650883   0.00010831175
      1134.60  -0.00050642203   0.00010827800
      1134.70  -0.00050633525   0.00010824426
      1134.80  -0.00050624840   0.00010821049
      1134.90  -0.00050616166   0.00010817677
      1135.00  -0.00050607496   0.00010814306
      1135.10  -0.00050598827   0.00010810937
      1135.20  -0.00050590161   0.00010807568
      1135.30  -0.00050581486   0.00010804196
      1135.40  -0.00050572825   0.00010800829
      1135.50  -0.00050564165   0.00010797463
      1135.60  -0.00050555508   0.00010794099
      1135.70  -0.00050546853   0.00010790735
      1135.80  -0.00050538190   0.00010787368
      1135.90  -0.00050529539   0.00010784006
      1136.00  -0.00050520891   0.00010780646
      1136.10  -0.00050512245   0.00010777286
      1136.20  -0.00050503602   0.00010773927
      1136.30  -0.00050494950   0.00010770565
      1136.40  -0.00050486311   0.00010767209
      1136.50  -0.00050477674   0.00010763853
      1136.60  -0.00050469039   0.00010760499
      1136.70  -0.00050460340   0.00010757196
      1136.80  -0.00050451625   0.00010753895
      1136.90  -0.00050442923   0.00010750600
      1137.00  -0.00050434224   0.00010747306
      1137.10  -0.00050425527   0.00010744012
      1137.20  -0.00050416832   0.00010740720
      1137.30  -0.00050408128   0.00010737425
      1137.40  -0.00050399438   0.00010734134
      1137.50  -0.00050390749   0.00010730845
      1137.60  -0.00050382064   0.00010727557
      1137.70  -0.00050373380   0.00010724269
      1137.80  -0.00050364688   0.00010720979
      1137.90  -0.00050356009   0.00010717693
      1138.00  -0.00050347332   0.00010714409
      1138.10  -0.00050338657   0.00010711126
      1138.20  -0.00050329985   0.00010707843
      1138.30  -0.00050321305   0.00010704558
      1138.40  -0.00050312637   0.00010701277
      1138.50  -0.00050303971   0.00010697998
      1138.60  -0.00050295308   0.00010694719
      1138.70  -0.00050286647   0.00010691442
      1138.80  -0.00050277978   0.00010688161
      1138.90  -0.00050269322   0.00010684886
      1139.00  -0.00050260667   0.00010681611
      1139.10  -0.00050252016   0.00010678338
      1139.20  -0.00050243358   0.00010675066
      1139.30  -0.00050234674   0.00010671793
      1139.40  -0.00050226004   0.00010668524
      1139.50  -0.00050217335   0.00010665257
      1139.60  -0.00050208669   0.00010661991
      1139.70  -0.00050200005   0.00010658726
      1139.80  -0.00050191332   0.00010655458
      1139.90  -0.00050182673   0.00010652194
      1140.00  -0.00050174015   0.00010648932
      1140.10  -0.00050165360   0.00010645671
      1140.20  -0.00050156708   0.00010642410
      1140.30  -0.00050148047   0.00010639147
      1140.40  -0.00050139398   0.00010635889
      1140.50  -0.00050130753   0.00010632631
      1140.60  -0.00050122109   0.00010629375
      1140.70  -0.00050113467   0.00010626120
      1140.80  -0.00050104818   0.00010622861
      1140.90  -0.00050096181   0.00010619608
      1141.00  -0.00050087546   0.00010616355
      1141.10  -0.00050078914   0.00010613104
      1141.20  -0.00050070284   0.00010609853
      1141.30  -0.00050061645   0.00010606600
      1141.40  -0.00050053020   0.00010603351
      1141.50  -0.00050044396   0.00010600103
      1141.60  -0.00050035775   0.00010596857
      1141.70  -0.00050027156   0.00010593611
      1141.80  -0.00050018529   0.00010590362
      1141.90  -0.00050009915   0.00010587119
      1142.00  -0.00050001303   0.00010583876
      1142.10  -0.00049992693   0.00010580634
      1142.20  -0.00049984085   0.00010577393
      1142.30  -0.00049975469   0.00010574150
      1142.40  -0.00049966866   0.00010570911
      1142.50  -0.00049958265   0.00010567673
      1142.60  -0.00049949667   0.00010564436
      1142.70  -0.00049941070   0.00010561200
      1142.80  -0.00049932466   0.00010557961
      1142.90  -0.00049923874   0.00010554727
      1143.00  -0.00049915284   0.00010551494
      1143.10  -0.00049906697   0.00010548262
      1143.20  -0.00049898112   0.00010545031
      1143.30  -0.00049889518   0.00010541797
      1143.40  -0.00049880938   0.00010538568
      1143.50  -0.00049872359   0.00010535340
      1143.60  -0.00049863783   0.00010532112
      1143.70  -0.00049855209   0.00010528886
      1143.80  -0.00049846627   0.00010525657
      1143.90  -0.00049838057   0.00010522433
      1144.00  -0.00049829490   0.00010519209
