50 50 50
-4.0 -4.0 0.0 1.362147759761368e-10
-4.0 -4.0 0.18367346938775514 2.0792050911814636e-10
-4.0 -4.0 0.3673469387755102 3.1737327588664985e-10
-4.0 -4.0 0.5510204081632654 4.844436577758938e-10
-4.0 -4.0 0.7346938775510204 7.394623476311849e-10
-4.0 -4.0 0.9183673469387755 1.1287264341275036e-09
-4.0 -4.0 1.1020408163265307 1.722904199389566e-09
-4.0 -4.0 1.2857142857142858 2.6298641759674758e-09
-4.0 -4.0 1.469387755102041 4.014257315964011e-09
-4.0 -4.0 1.653061224489796 6.127406936257009e-09
-4.0 -4.0 1.836734693877551 9.352932081107353e-09
-4.0 -4.0 2.0204081632653064 1.4276385605474642e-08
-4.0 -4.0 2.2040816326530615 2.1791546780262278e-08
-4.0 -4.0 2.3877551020408165 3.326266028919603e-08
-4.0 -4.0 2.5714285714285716 5.077206577809226e-08
-4.0 -4.0 2.7551020408163267 7.749815584747525e-08
-4.0 -4.0 2.938775510204082 1.1829224481489635e-07
-4.0 -4.0 3.122448979591837 1.8055901157528536e-07
-4.0 -4.0 3.306122448979592 2.7560023524763655e-07
-4.0 -4.0 3.489795918367347 4.206655435054381e-07
-4.0 -4.0 3.673469387755102 6.420820464189819e-07
-4.0 -4.0 3.857142857142857 9.800302162107073e-07
-4.0 -4.0 4.040816326530613 1.4958315310086906e-06
-4.0 -4.0 4.224489795918368 2.283068069893192e-06
-4.0 -4.0 4.408163265306123 3.48454743569576e-06
-4.0 -4.0 4.591836734693878 5.3181829464561585e-06
-4.0 -4.0 4.775510204081633 8.116468965620201e-06
-4.0 -4.0 4.959183673469388 1.2386683464093436e-05
-4.0 -4.0 5.142857142857143 1.890268351920524e-05
-4.0 -4.0 5.326530612244898 2.884484126443567e-05
-4.0 -4.0 5.510204081632653 4.401330961156167e-05
-4.0 -4.0 5.6938775510204085 6.715294290226741e-05
-4.0 -4.0 5.877551020408164 0.00010244815142459857
-4.0 -4.0 6.061224489795919 0.00015627625825635514
-4.0 -4.0 6.244897959183674 0.00023835387305588308
-4.0 -4.0 6.428571428571429 0.0003634804400338879
-4.0 -4.0 6.612244897959184 0.0005541885801826583
-4.0 -4.0 6.795918367346939 0.0008447703261828199
-4.0 -4.0 6.979591836734694 0.0012873888330859156
-4.0 -4.0 7.163265306122449 0.0019613455696724145
-4.0 -4.0 7.346938775510204 0.0029871057897936683
-4.0 -4.0 7.530612244897959 0.004547448661525054
-4.0 -4.0 7.714285714285714 0.006919126745517335
-4.0 -4.0 7.8979591836734695 0.010519540979341758
-4.0 -4.0 8.081632653061225 0.015973421046899295
-4.0 -4.0 8.26530612244898 0.02420196431278979
-4.0 -4.0 8.448979591836736 0.03652511471920597
-4.0 -4.0 8.63265306122449 0.054733789090392185
-4.0 -4.0 8.816326530612246 0.08101635807275517
-4.0 -4.0 9.0 0.11752393450837463
-4.0 -3.836734693877551 0.0 4.446569734719082e-11
-4.0 -3.836734693877551 0.18367346938775514 6.787321260934322e-11
-4.0 -3.836734693877551 0.3673469387755102 1.0360284078152007e-10
-4.0 -3.836734693877551 0.5510204081632654 1.581411425075078e-10
-4.0 -3.836734693877551 0.7346938775510204 2.413893019104814e-10
-4.0 -3.836734693877551 0.9183673469387755 3.6846062927894666e-10
-4.0 -3.836734693877551 1.1020408163265307 5.624242868801212e-10
