50 50 50
-4.0 -4.0 0.0 6.655243476754942e-10
-4.0 -4.0 0.18367346938775514 1.0602606456908957e-09
-4.0 -4.0 0.3673469387755102 1.6517146183383223e-09
-4.0 -4.0 0.5510204081632654 2.5468081719679e-09
-4.0 -4.0 0.7346938775510204 3.9060792454719455e-09
-4.0 -4.0 0.9183673469387755 5.9724937343807016e-09
-4.0 -4.0 1.1020408163265307 9.11461907250638e-09
-4.0 -4.0 1.2857142857142858 1.3891760414671475e-08
-4.0 -4.0 1.469387755102041 2.1152313632950767e-08
-4.0 -4.0 1.653061224489796 3.2182006197262385e-08
-4.0 -4.0 1.836734693877551 4.892652348344243e-08
-4.0 -4.0 2.0204081632653064 7.432392451045596e-08
-4.0 -4.0 2.2040816326530615 1.1279657159529397e-07
-4.0 -4.0 2.3877551020408165 1.7096900333783286e-07
-4.0 -4.0 2.5714285714285716 2.5869236071318923e-07
-4.0 -4.0 2.7551020408163267 3.904531635925921e-07
-4.0 -4.0 2.938775510204082 5.871886326601071e-07
-4.0 -4.0 3.122448979591837 8.783437355469516e-07
-4.0 -4.0 3.306122448979592 1.3035349747131885e-06
-4.0 -4.0 3.489795918367347 1.9121954351698853e-06
-4.0 -4.0 3.673469387755102 2.757858706381593e-06
-4.0 -4.0 3.857142857142857 3.881657605039749e-06
-4.0 -4.0 4.040816326530613 5.279448483376159e-06
-4.0 -4.0 4.224489795918368 6.854494837952782e-06
-4.0 -4.0 4.408163265306123 8.3792435236471e-06
-4.0 -4.0 4.591836734693878 9.516576019203754e-06
-4.0 -4.0 4.775510204081633 9.940425049067723e-06
-4.0 -4.0 4.959183673469388 9.509464209764663e-06
-4.0 -4.0 5.142857142857143 8.3567918471818e-06
-4.0 -4.0 5.326530612244898 6.809121095881669e-06
-4.0 -4.0 5.510204081632653 5.21149435915826e-06
-4.0 -4.0 5.6938775510204085 3.7989804862143477e-06
-4.0 -4.0 5.877551020408164 2.6709185583130154e-06
-4.0 -4.0 6.061224489795919 1.829772083048037e-06
-4.0 -4.0 6.244897959183674 1.2310080420039837e-06
-4.0 -4.0 6.428571428571429 8.179026042769429e-07
-4.0 -4.0 6.612244897959184 5.388072544997905e-07
-4.0 -4.0 6.795918367346939 3.5288213155935586e-07
-4.0 -4.0 6.979591836734694 2.301871631553603e-07
-4.0 -4.0 7.163265306122449 1.4973220282669598e-07
-4.0 -4.0 7.346938775510204 9.720334711759607e-08
-4.0 -4.0 7.530612244897959 6.300992524352556e-08
-4.0 -4.0 7.714285714285714 4.0798945768113113e-08
-4.0 -4.0 7.8979591836734695 2.6393631073378232e-08
-4.0 -4.0 8.081632653061225 1.7061724853537044e-08
-4.0 -4.0 8.26530612244898 1.1022012683908262e-08
-4.0 -4.0 8.448979591836736 7.116045140724258e-09
-4.0 -4.0 8.63265306122449 4.5916855558218036e-09
-4.0 -4.0 8.816326530612246 2.961220112303398e-09
-4.0 -4.0 9.0 1.908708662556473e-09
-4.0 -3.836734693877551 0.0 2.9410004457507674e-10
-4.0 -3.836734693877551 0.18367346938775514 4.761387168592667e-10
-4.0 -3.836734693877551 0.3673469387755102 7.477226391486825e-10
-4.0 -3.836734693877551 0.5510204081632654 1.157645840009462e-09
-4.0 -3.836734693877551 0.7346938775510204 1.779014872042307e-09
-4.0 -3.836734693877551 0.9183673469387755 2.722220387905573e-09
-4.0 -3.836734693877551 1.1020408163265307 4.154392924975083e-09
-4.0 -3.836734693877551 1.2857142857142858 6.328698314727554e-09
-4.0 -3.836734693877551 1.469387755102041 9.62847904018465e-09
-4.0 -3.836734693877551 1.653061224489796 1.4633645644622185e-08
-4.0 -3.836734693877551 1.836734693877551 2.2220168754723793e-08
-4.0 -3.836734693877551 2.0204081632653064 3.370830418658323e-08
-4.0 -3.836734693877551 2.2040816326530615 5.108142449608387e-08
-4.0 -3.836734693877551 2.3877551020408165 7.730453145394888e-08
-4.0 -3.836734693877551 2.5714285714285716 1.1677744152691768e-07
-4.0 -3.836734693877551 2.7551020408163267 1.759557595254725e-07
-4.0 -3.836734693877551 2.938775510204082 2.641471048596413e-07
-4.0 -3.836734693877551 3.122448979591837 3.944057399481823e-07
-4.0 -3.836734693877551 3.306122448979592 5.842388250334879e-07
-4.0 -3.836734693877551 3.489795918367347 8.553982121119997e-07
-4.0 -3.836734693877551 3.673469387755102 1.2312754523137269e-06
-4.0 -3.836734693877551 3.857142857142857 1.729512665570887e-06
-4.0 -3.836734693877551 4.040816326530613 2.347409302784215e-06
-4.0 -3.836734693877551 4.224489795918368 3.041098229578031e-06
-4.0 -3.836734693877551 4.408163265306123 3.7090528384067202e-06
-4.0 -3.836734693877551 4.591836734693878 4.202210517398673e-06
-4.0 -3.836734693877551 4.775510204081633 4.377920609460311e-06
-4.0 -3.836734693877551 4.959183673469388 4.176485472494255e-06
-4.0 -3.836734693877551 5.142857142857143 3.659486039691616e-06
-4.0 -3.836734693877551 5.326530612244898 2.972644847605512e-06
-4.0 -3.836734693877551 5.510204081632653 2.2680058647839347e-06
-4.0 -3.836734693877551 5.6938775510204085 1.6479619516078479e-06
-4.0 -3.836734693877551 5.877551020408164 1.1548175512640282e-06
-4.0 -3.836734693877551 6.061224489795919 7.884963999197867e-07
-4.0 -3.836734693877551 6.244897959183674 5.286787520307582e-07
-4.0 -3.836734693877551 6.428571428571429 3.5005702929973745e-07
-4.0 -3.836734693877551 6.612244897959184 2.2980217673136074e-07
-4.0 -3.836734693877551 6.795918367346939 1.499720298358076e-07
-4.0 -3.836734693877551 6.979591836734694 9.747590827036638e-08
-4.0 -3.836734693877551 7.163265306122449 6.317455485435943e-08
-4.0 -3.836734693877551 7.346938775510204 4.085958452192363e-08
-4.0 -3.836734693877551 7.530612244897959 2.6386538896296107e-08
-4.0 -3.836734693877551 7.714285714285714 1.7019954614532155e-08
-4.0 -3.836734693877551 7.8979591836734695 1.0967820673904121e-08
-4.0 -3.836734693877551 8.081632653061225 7.062074962192656e-09
-4.0 -3.836734693877551 8.26530612244898 4.5439737523729065e-09
-4.0 -3.836734693877551 8.448979591836736 2.92184716073336e-09
-4.0 -3.836734693877551 8.63265306122449 1.8776489561025255e-09
-4.0 -3.836734693877551 8.816326530612246 1.205916689104279e-09
-4.0 -3.836734693877551 9.0 7.740570182443093e-10
-4.0 -3.673469387755102 0.0 1.270542383463054e-10
-4.0 -3.673469387755102 0.18367346938775514 2.099565336805665e-10
-4.0 -3.673469387755102 0.3673469387755102 3.3319416722467833e-10
-4.0 -3.673469387755102 0.5510204081632654 5.186639004422225e-10
-4.0 -3.673469387755102 0.7346938775510204 7.991643146740769e-10
-4.0 -3.673469387755102 0.9183673469387755 1.2241033232382786e-09
-4.0 -3.673469387755102 1.1020408163265307 1.8681015910045915e-09
-4.0 -3.673469387755102 1.2857142857142858 2.8439253872231763e-09
-4.0 -3.673469387755102 1.469387755102041 4.3219227511845664e-09
-4.0 -3.673469387755102 1.653061224489796 6.559176134695496e-09
-4.0 -3.673469387755102 1.836734693877551 9.943064781419723e-09
-4.0 -3.673469387755102 2.0204081632653064 1.5055970350064407e-08
-4.0 -3.673469387755102 2.2040816326530615 2.2770499176816263e-08
-4.0 -3.673469387755102 2.3877551020408165 3.4387593278411024e-08
-4.0 -3.673469387755102 2.5714285714285716 5.1832248243385306e-08
-4.0 -3.673469387755102 2.7551020408163267 7.792037292260557e-08
-4.0 -3.673469387755102 2.938775510204082 1.1669863034354621e-07
-4.0 -3.673469387755102 3.122448979591837 1.7382176900190433e-07
-4.0 -3.673469387755102 3.306122448979592 2.5684021022079447e-07
-4.0 -3.673469387755102 3.489795918367347 3.7508043432251095e-07
-4.0 -3.673469387755102 3.673469387755102 5.38476450572397e-07
-4.0 -3.673469387755102 3.857142857142857 7.543297801508258e-07
-4.0 -3.673469387755102 4.040816326530613 1.0209852471984804e-06
-4.0 -3.673469387755102 4.224489795918368 1.318910770814252e-06
-4.0 -3.673469387755102 4.408163265306123 1.603819691616058e-06
-4.0 -3.673469387755102 4.591836734693878 1.8114361767731192e-06
-4.0 -3.673469387755102 4.775510204081633 1.8810734929654592e-06
-4.0 -3.673469387755102 4.959183673469388 1.788469739997012e-06
-4.0 -3.673469387755102 5.142857142857143 1.5615979791074035e-06
-4.0 -3.673469387755102 5.326530612244898 1.2639369567257888e-06
-4.0 -3.673469387755102 5.510204081632653 9.607793139972047e-07
-4.0 -3.673469387755102 5.6938775510204085 6.954962865966684e-07
-4.0 -3.673469387755102 5.877551020408164 4.855176720089305e-07
-4.0 -3.673469387755102 6.061224489795919 3.3022808505201095e-07
-4.0 -3.673469387755102 6.244897959183674 2.205508524572066e-07
-4.0 -3.673469387755102 6.428571428571429 1.4545843237970564e-07
-4.0 -3.673469387755102 6.612244897959184 9.510830648284619e-08
-4.0 -3.673469387755102 6.795918367346939 6.181873870383012e-08
-4.0 -3.673469387755102 6.979591836734694 4.001607984729517e-08
-4.0 -3.673469387755102 7.163265306122449 2.5827911497233406e-08
-4.0 -3.673469387755102 7.346938775510204 1.66354366573794e-08
-4.0 -3.673469387755102 7.530612244897959 1.0697940753405987e-08
-4.0 -3.673469387755102 7.714285714285714 6.871304696742241e-09
-4.0 -3.673469387755102 7.8979591836734695 4.4091117457898286e-09
-4.0 -3.673469387755102 8.081632653061225 2.8268414058006745e-09
-4.0 -3.673469387755102 8.26530612244898 1.811061925528103e-09
-4.0 -3.673469387755102 8.448979591836736 1.1595115038826517e-09
-4.0 -3.673469387755102 8.63265306122449 7.419003038349616e-10
-4.0 -3.673469387755102 8.816326530612246 4.744138795284637e-10
-4.0 -3.673469387755102 9.0 3.03193030888285e-10
-4.0 -3.510204081632653 0.0 5.3393371383870996e-11
-4.0 -3.510204081632653 0.18367346938775514 9.04601602337424e-11
-4.0 -3.510204081632653 0.3673469387755102 1.4546842990940514e-10
-4.0 -3.510204081632653 0.5510204081632654 2.2802064115968596e-10
-4.0 -3.510204081632653 0.7346938775510204 3.5253812186720793e-10
-4.0 -3.510204081632653 0.9183673469387755 5.406991807425701e-10
-4.0 -3.510204081632653 1.1020408163265307 8.251505865375059e-10
-4.0 -3.510204081632653 1.2857142857142858 1.255081679264261e-09
-4.0 -3.510204081632653 1.469387755102041 1.9045766569151826e-09
-4.0 -3.510204081632653 1.653061224489796 2.885099769760666e-09
-4.0 -3.510204081632653 1.836734693877551 4.364084982644006e-09
-4.0 -3.510204081632653 2.0204081632653064 6.592444286038553e-09
-4.0 -3.510204081632653 2.2040816326530615 9.944886784193704e-09
-4.0 -3.510204081632653 2.3877551020408165 1.497813977101263e-08
-4.0 -3.510204081632653 2.5714285714285716 2.251303693540943e-08
-4.0 -3.510204081632653 2.7551020408163267 3.3745747708289015e-08
-4.0 -3.510204081632653 2.938775510204082 5.0388195190728196e-08
-4.0 -3.510204081632653 3.122448979591837 7.482158042953953e-08
-4.0 -3.510204081632653 3.306122448979592 1.102079061662513e-07
-4.0 -3.510204081632653 3.489795918367347 1.6042440120353366e-07
-4.0 -3.510204081632653 3.673469387755102 2.2955107234944472e-07
-4.0 -3.510204081632653 3.857142857142857 3.20487230273308e-07
-4.0 -3.510204081632653 4.040816326530613 4.32289417056194e-07
-4.0 -3.510204081632653 4.224489795918368 5.564701825924569e-07
-4.0 -3.510204081632653 4.408163265306123 6.742402389824449e-07
-4.0 -3.510204081632653 4.591836734693878 7.587028248253667e-07
-4.0 -3.510204081632653 4.775510204081633 7.84871255900306e-07
-4.0 -3.510204081632653 4.959183673469388 7.433166527944167e-07
-4.0 -3.510204081632653 5.142857142857143 6.464300292448489e-07
-4.0 -3.510204081632653 5.326530612244898 5.210807566762785e-07
-4.0 -3.510204081632653 5.510204081632653 3.9446175947615134e-07
-4.0 -3.510204081632653 5.6938775510204085 2.8435295549552005e-07
-4.0 -3.510204081632653 5.877551020408164 1.9766681938862448e-07
-4.0 -3.510204081632653 6.061224489795919 1.338737530842889e-07
-4.0 -3.510204081632653 6.244897959183674 8.902903523344861e-08
-4.0 -3.510204081632653 6.428571428571429 5.84646765126579e-08
-4.0 -3.510204081632653 6.612244897959184 3.8062411958261425e-08
-4.0 -3.510204081632653 6.795918367346939 2.4632808985969662e-08
-4.0 -3.510204081632653 6.979591836734694 1.5875899251430756e-08
-4.0 -3.510204081632653 7.163265306122449 1.0202310763100956e-08
-4.0 -3.510204081632653 7.346938775510204 6.542533068399333e-09
-4.0 -3.510204081632653 7.530612244897959 4.189025401235943e-09
-4.0 -3.510204081632653 7.714285714285714 2.67888100004351e-09
-4.0 -3.510204081632653 7.8979591836734695 1.7114681576627062e-09
-4.0 -3.510204081632653 8.081632653061225 1.092512889860252e-09
-4.0 -3.510204081632653 8.26530612244898 6.969017902967258e-10
-4.0 -3.510204081632653 8.448979591836736 4.4425681032643275e-10
-4.0 -3.510204081632653 8.63265306122449 2.83031505854383e-10
-4.0 -3.510204081632653 8.816326530612246 1.802138240305517e-10
-4.0 -3.510204081632653 9.0 1.146844408578006e-10
-4.0 -3.3469387755102042 0.0 2.1733890926946736e-11
-4.0 -3.3469387755102042 0.18367346938775514 3.7894234901261945e-11
-4.0 -3.3469387755102042 0.3673469387755102 6.191193041445688e-11
-4.0 -3.3469387755102042 0.5510204081632654 9.787679611683608e-11
-4.0 -3.3469387755102042 0.7346938775510204 1.5196711887853224e-10
-4.0 -3.3469387755102042 0.9183673469387755 2.334565967222139e-10
-4.0 -3.3469387755102042 1.1020408163265307 3.562672971580638e-10
-4.0 -3.3469387755102042 1.2857142857142858 5.413023076422499e-10
-4.0 -3.3469387755102042 1.469387755102041 8.199301477014702e-10
-4.0 -3.3469387755102042 1.653061224489796 1.2391729783002646e-09
-4.0 -3.3469387755102042 1.836734693877551 1.8693990557987175e-09
-4.0 -3.3469387755102042 2.0204081632653064 2.81565533831276e-09
-4.0 -3.3469387755102042 2.2040816326530615 4.234199322008972e-09
-4.0 -3.3469387755102042 2.3877551020408165 6.356247661355576e-09
-4.0 -3.3469387755102042 2.5714285714285716 9.521261743399904e-09
-4.0 -3.3469387755102042 2.7551020408163267 1.4221719006040504e-08
-4.0 -3.3469387755102042 2.938775510204082 2.1159050087911356e-08
-4.0 -3.3469387755102042 3.122448979591837 3.130366342455559e-08
-4.0 -3.3469387755102042 3.306122448979592 4.593590710717419e-08
-4.0 -3.3469387755102042 3.489795918367347 6.661229965564662e-08
-4.0 -3.3469387755102042 3.673469387755102 9.494739656687326e-08
-4.0 -3.3469387755102042 3.857142857142857 1.320415803216954e-07
-4.0 -3.3469387755102042 4.040816326530613 1.773975329043089e-07
-4.0 -3.3469387755102042 4.224489795918368 2.2743837257497068e-07
-4.0 -3.3469387755102042 4.408163265306123 2.744476895004091e-07
-4.0 -3.3469387755102042 4.591836734693878 3.075475208871361e-07
-4.0 -3.3469387755102042 4.775510204081633 3.1681575024472263e-07
-4.0 -3.3469387755102042 4.959183673469388 2.987611742958187e-07
-4.0 -3.3469387755102042 5.142857142857143 2.586974708311334e-07
-4.0 -3.3469387755102042 5.326530612244898 2.0762517644440426e-07
-4.0 -3.3469387755102042 5.510204081632653 1.5648534986613657e-07
-4.0 -3.3469387755102042 5.6938775510204085 1.1230897408623788e-07
-4.0 -3.3469387755102042 5.877551020408164 7.77277586751164e-08
-4.0 -3.3469387755102042 6.061224489795919 5.2411173407293355e-08
-4.0 -3.3469387755102042 6.244897959183674 3.470153711386804e-08
-4.0 -3.3469387755102042 6.428571428571429 2.2688381321734328e-08
-4.0 -3.3469387755102042 6.612244897959184 1.4706358201546045e-08
