Montillaud,,LePage,,Berne_Tielens,
X,Y,X,Y,X,Y
7.009564390870892,0.00001018295948281909,7.643347050754455,0.000009643883791544459,4.224965706447186,0.000009643883791544459
7.468239309592471,0.000252101136279913,8.312854411717053,0.0004343054463316714,4.798715746951382,0.00029678431503900435
7.984527397038333,0.006241307649397468,9.30879859153408,0.02065192931479625,5.487918948403053,0.006590185477903269
8.50126913148202,0.08044736266284185,10.496559843599796,1.3610004466105508,6.445945799984878,0.15451703926941454
9.094677208558805,1.2889504440725366,11.876743030577968,52.063748466325805,7.212609226315845,1.3610004466105508
9.592630396509076,9.133346228248607,13.046471814479979,635.5498291362288,7.922075327003876,6.590185477903256
10.397362366741193,131.25330147352233,13.947981810915609,3077.4356208980553,8.574117278550057,24.31234061999789
11.02978408563127,880.8092965317045,14.964944968298715,10752.1685318989,9.552444833284728,117.72430676769291
11.892431655919554,8191.9223449536685,,,10.473348238877547,434.3054463316705
12.64023092792413,44225.147631630345,,,11.202472376138166,1094.8889651276847
13.541589708693818,266193.1346126126,,,12.104360411738655,3077.4356208980553
14.366357754663381,1156091.2813835717,,,12.852802350323492,6590.185477903256
14.980255554475443,2914519.256800985,,,13.62052428631606,12657.915866672003
,,,,14.695365239838845,30221.426551783734
,,,,14.964113282136028,35577.96490339488
