x, y
4.14971258612982e-8, 6.0006112063569095
5.235026915568308e-8, 5.346507439146111
6.999145874130818e-8, 4.368686466212339
9.835417340119909e-8, 3.418492146175927
1.3259358790448895e-7, 2.713838253714277
1.802419411074808e-7, 2.004495162673657
2.470545136488126e-7, 1.438449888287663
3.5006133456138503e-7, 0.9197274485723638
4.919170684491739e-7, 0.5315742189874173
6.912571550777666e-7, 0.32082312454210776
9.014776314524917e-7, 0.24390350710751027
0.0000011562801312073753, 0.1908542144006686
0.0000014954599090835378, 0.15594895040582815
0.0000018401993156842122, 0.13499752754264296
0.0000024603165667871817, 0.11518701097409918
0.0000031037868721317213, 0.11518701097409918
0.000003883194905206402, 0.12380318840613969
0.000004818178472597358, 0.1409687364449314
0.000005879892273539791, 0.16051432043647615
0.000007541842828179046, 0.1908542144006686
0.000009280418637179077, 0.22047451503814744
0.000011325413151528127, 0.2621478896621356
0.000014287457612450233, 0.31622776601683794
0.00001878771112116085, 0.37600010821904806
0.00002350559078693256, 0.4220008086869836
0.00002916519368199503, 0.47362933850199945
