Default Dataset,
X,Y
6.519208381839347,9.277597978491414e-11
6.938300349243304,8.99222217130089e-9
7.776484284051222,0.0000024900084110551385
8.521536670547146,0.00026013377511204737
9.49941792782305,0.02170197813426525
10.337601862630965,0.5060649294389833
11.548311990686841,26.922917270455493
12.945285215366702,676.6958095404552
14.249126891734573,10062.680976710792
15.87892898719441,138825.5717651262
17.55529685681024,1529438.0340722378
20.209545983701975,26422931.815670952
22.118742724097782,137530465.99615166
24.074505238649586,664128892.7132403
25.84400465657741,1760314355.3826234
27.706635622817224,4665821143.703988
30.267753201396964,17992362622.216454
32.68917345750872,47689860445.2267
34.59837019790453,100941686454.41133
36.46100116414434,183901876241.28375
38.04423748544819,288385129904.3098
39.95343422584399,487443200079.40204
