Dataset He->C,
Energy Ion (eV),Cross section (A^2/atom)
12.605458856074812,0.005026258415779049
12.885046822788063,0.25505803185588594
16.295162434646485,0.45682623538164213
20.573717851771296,0.6084604652061795
26.295127857144927,0.722638609948049
32.74178433805035,0.8027204282011721
41.81802321572738,0.841998278018832
50.72615269912915,0.8664815826960576
74.61560936022373,0.8664815826960576
105.57837063985271,0.8339918867052655
159.28821257546898,0.7800387587845746
240.28285297063468,0.708961100186678
331.2499150099972,0.6443600858514728
480.7162223141339,0.5745609416972147
645.8406975813614,0.5172410040304379
1038.4024438796405,0.4272729451063089
1487.2918825029394,0.363216839481825
2242.1113540968945,0.29436059224971983
2934.8204644904267,0.25023050302971944
3940.607499162263,0.2027934585187626
4714.162793827574,0.1740459414185148
5711.668873680862,0.14515290305702122
7098.698774727177,0.11540926200514282
8066.288954741086,0.09904912022713347
10022.443045760494,0.07507903331514641
