# Numerical radiation field:  mathis1983
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
   93.4400 5.294868e+05
   93.4500 5.297029e+05
   93.4600 5.299194e+05
   93.4700 5.301364e+05
   93.4800 5.303538e+05
   93.4900 5.305715e+05
   93.5000 5.307897e+05
   93.5100 5.310083e+05
   93.5200 5.312273e+05
   93.5300 5.314467e+05
   93.5400 5.316666e+05
   93.5500 5.318868e+05
   93.5600 5.321074e+05
   93.5700 5.323285e+05
   93.5800 5.325500e+05
   93.5900 5.327718e+05
   93.6000 5.329941e+05
   93.6100 5.332168e+05
   93.6200 5.334399e+05
   93.6300 5.336634e+05
   93.6400 5.338873e+05
   93.6500 5.341116e+05
   93.6600 5.343363e+05
   93.6700 5.345614e+05
   93.6800 5.347870e+05
   93.6900 5.350129e+05
   93.7000 5.352392e+05
   93.7100 5.354660e+05
   93.7200 5.356931e+05
   93.7300 5.359207e+05
   93.7400 5.361486e+05
   93.7500 5.363769e+05
   93.7600 5.366057e+05
   93.7700 5.368348e+05
   93.7800 5.370644e+05
   93.7900 5.372943e+05
   93.8000 5.375247e+05
   93.8100 5.377554e+05
   93.8200 5.379865e+05
   93.8300 5.382181e+05
   93.8400 5.384500e+05
   93.8500 5.386824e+05
   93.8600 5.389151e+05
   93.8700 5.391482e+05
   93.8800 5.393817e+05
   93.8900 5.396156e+05
   93.9000 5.398500e+05
   93.9100 5.400847e+05
   93.9200 5.403198e+05
   93.9300 5.405552e+05
   93.9400 5.407911e+05
   93.9500 5.410274e+05
   93.9600 5.412641e+05
   93.9700 5.415011e+05
   93.9800 5.417386e+05
   93.9900 5.419764e+05
   94.0000 5.422147e+05
   94.0100 5.424533e+05
   94.0200 5.426923e+05
   94.0300 5.429317e+05
   94.0400 5.431715e+05
   94.0500 5.434117e+05
   94.0600 5.436523e+05
   94.0700 5.438932e+05
   94.0800 5.441346e+05
   94.0900 5.443763e+05
   94.1000 5.446184e+05
   94.1100 5.448609e+05
   94.1200 5.451038e+05
   94.1300 5.453471e+05
   94.1400 5.455907e+05
   94.1500 5.458348e+05
   94.1600 5.460792e+05
   94.1700 5.463240e+05
   94.1800 5.465692e+05
   94.1900 5.468148e+05
   94.2000 5.470607e+05
   94.2100 5.473070e+05
   94.2200 5.475538e+05
   94.2300 5.478009e+05
   94.2400 5.480483e+05
   94.2500 5.482962e+05
   94.2600 5.485444e+05
   94.2700 5.487930e+05
   94.2800 5.490420e+05
   94.2900 5.492914e+05
   94.3000 5.495412e+05
   94.3100 5.497913e+05
   94.3200 5.500418e+05
   94.3300 5.502927e+05
   94.3400 5.505439e+05
   94.3500 5.507956e+05
   94.3600 5.510476e+05
   94.3700 5.512999e+05
   94.3800 5.515527e+05
   94.3900 5.518058e+05
   94.4000 5.520593e+05
   94.4100 5.523132e+05
   94.4200 5.525675e+05
   94.4300 5.528221e+05
   94.4400 5.530771e+05
   94.4500 5.533324e+05
   94.4600 5.535882e+05
   94.4700 5.538443e+05
   94.4800 5.541007e+05
   94.4900 5.543576e+05
   94.5000 5.546148e+05
   94.5100 5.548724e+05
   94.5200 5.551303e+05
   94.5300 5.553886e+05
   94.5400 5.556473e+05
   94.5500 5.559064e+05
   94.5600 5.561658e+05
   94.5700 5.564256e+05
   94.5800 5.566857e+05
   94.5900 5.569462e+05
   94.6000 5.572071e+05
   94.6100 5.574683e+05
   94.6200 5.577300e+05
   94.6300 5.579919e+05
   94.6400 5.582543e+05
   94.6500 5.585170e+05
   94.6600 5.587800e+05
   94.6700 5.590434e+05
   94.6800 5.593072e+05
   94.6900 5.595713e+05
   94.7000 5.598358e+05
   94.7100 5.601007e+05
   94.7200 5.603659e+05
   94.7300 5.606315e+05
   94.7400 5.608975e+05
   94.7500 5.611637e+05
   94.7600 5.614304e+05
   94.7700 5.616974e+05
   94.7800 5.619648e+05
   94.7900 5.622325e+05
   94.8000 5.625006e+05
   94.8100 5.627690e+05
   94.8200 5.630378e+05
   94.8300 5.633070e+05
   94.8400 5.635765e+05
   94.8500 5.638463e+05
   94.8600 5.641165e+05
   94.8700 5.643871e+05
   94.8800 5.646580e+05
   94.8900 5.649293e+05
   94.9000 5.652009e+05
   94.9100 5.654729e+05
   94.9200 5.657452e+05
   94.9300 5.660179e+05
   94.9400 5.662909e+05
   94.9500 5.665643e+05
   94.9600 5.668380e+05
   94.9700 5.671121e+05
   94.9800 5.673865e+05
   94.9900 5.676612e+05
   95.0000 5.679363e+05
   95.0100 5.682118e+05
   95.0200 5.684876e+05
   95.0300 5.687638e+05
   95.0400 5.690403e+05
   95.0500 5.693171e+05
   95.0600 5.695943e+05
   95.0700 5.698718e+05
   95.0800 5.701497e+05
   95.0900 5.704279e+05
   95.1000 5.707065e+05
   95.1100 5.709854e+05
   95.1200 5.712647e+05
   95.1300 5.715443e+05
   95.1400 5.718242e+05
   95.1500 5.721045e+05
   95.1600 5.723851e+05
   95.1700 5.726660e+05
   95.1800 5.729473e+05
   95.1900 5.732290e+05
   95.2000 5.735109e+05
   95.2100 5.737933e+05
   95.2200 5.740759e+05
   95.2300 5.743589e+05
   95.2400 5.746422e+05
   95.2500 5.749259e+05
   95.2600 5.752099e+05
   95.2700 5.754942e+05
   95.2800 5.757789e+05
   95.2900 5.760639e+05
   95.3000 5.763492e+05
   95.3100 5.766349e+05
   95.3200 5.769209e+05
   95.3300 5.772073e+05
   95.3400 5.774939e+05
   95.3500 5.777809e+05
   95.3600 5.780683e+05
   95.3700 5.783559e+05
   95.3800 5.786439e+05
   95.3900 5.789323e+05
   95.4000 5.792209e+05
   95.4100 5.795099e+05
   95.4200 5.797993e+05
   95.4300 5.800889e+05
   95.4400 5.803789e+05
   95.4500 5.806692e+05
   95.4600 5.809598e+05
   95.4700 5.812508e+05
   95.4800 5.815421e+05
   95.4900 5.818337e+05
   95.5000 5.821256e+05
   95.5100 5.824179e+05
   95.5200 5.827105e+05
   95.5300 5.830034e+05
   95.5400 5.832967e+05
   95.5500 5.835902e+05
   95.5600 5.838841e+05
   95.5700 5.841783e+05
   95.5800 5.844729e+05
   95.5900 5.847677e+05
   95.6000 5.850629e+05
