x, y
4.081415512613506e-8, 7.3436976313903815
6.12896847315557e-8, 5.58299408744192
9.835417340119909e-8, 4.123710993533361
1.359356390878527e-7, 3.418492146175927
1.958357122672715e-7, 2.674966181218853
2.751944301328695e-7, 2.0931579669325737
3.9318287557057704e-7, 1.5913085124195103
5.525127982427267e-7, 1.1753722651306355
7.32596542821523e-7, 0.8807692733975462
9.633492947617213e-7, 0.6320506462265639
0.0000012459353143565128, 0.44707042383244816
0.0000015331533121945946, 0.36530586224201744
0.000002032862984715324, 0.32548526189657956
0.0000026954459686163363, 0.3549157834567433
0.0000036337944758445133, 0.4099982045601373
0.00000519176845459843, 0.4874947295931591
0.000007295634410618147, 0.5880625988746757
0.000010423606739764011, 0.6793290717006696
0.000015523548075606655, 0.7735193422789298
0.00002181417228169533, 0.8434613038519153
0.000029408201705870668, 0.8681534415584922
