Default Dataset,
X,Y
0.1018066995907286,8590336024683.156
0.17152071321827236,2797051788739.999
0.43708588385252894,431040191012.40796
1.1755614498790856,57732627027.2533
2.7875202811177333,9322730871.822096
5.828067724955613,2088319550.608628
21.284805020337718,183636662.40342307
61.51570831859469,20400681.23934182
156.78424450996184,3971776.2229218185
593.6347946101602,383492.03230558796
1946.3501564132084,46778.9814531231
6048.39090980178,10980.1718442386
17809.167466110535,3107.3186152043695
60564.150983646614,839.1853005797018
195133.94653956676,237.484088872928
544387.6266426311,77.32588034631802
985987.8598527841,40.18471695747535
