#---------- ---- ----- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                                                                                                        
#          Mass  Age   [Fe/H  [O/F   [Na/F  [Mg/F  [Al/F  [Si/F  [K/F   [Ca/F  [Ti/F  [V/F   [Cr/F  [Ni/F  [Ba/F
#                      ]([     e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([
#HD                    Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])
#---------- ---- ----- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
    90839A  1.0  5.2  -0.18   0.11  -0.13   0.07   0.08   0.05   0.00   0.04   0.00   0.03   0.00  -0.02   0.18
    91889A  1.1  5.8  -0.24   0.09  -0.12   0.13   0.09   0.01   0.25   0.12  -0.03   0.01  -0.04   0.02   0.14
     94280  1.1  4.8   0.06   0.01  -0.01 -10.00   0.07   0.00   0.07  -0.01   0.04   0.00   0.00   0.04  -0.17
     95128  0.9 12.1  -0.12   0.14   0.01   0.09   0.18   0.11   0.03   0.04  -0.01  -0.03  -0.03   0.03  -0.08
     97916  1.0  5.5  -0.94   0.37 -10.00 -10.00 -10.00   0.39   0.28   0.37 -10.00 -10.00 -10.00   0.05  -0.01
   100180A  0.9  9.2  -0.11   0.14  -0.06 -10.00   0.10   0.04   0.09   0.04   0.00  -0.03  -0.03  -0.02   0.06
    100446  1.0  8.8  -0.48   0.22  -0.02   0.11 -10.00   0.05   0.25   0.08   0.04   0.10  -0.07  -0.01   0.10
    100563  1.3  1.6  -0.02   0.09 -10.00  -0.03 -10.00   0.01   0.17   0.03   0.05 -10.00 -10.00  -0.04   0.00
    101676  1.1  6.1  -0.47   0.15   0.08   0.22  -0.06   0.08   0.29   0.14  -0.02   0.07   0.01   0.01   0.10
   106516A  0.9  9.3  -0.71   0.47   0.12   0.30 -10.00   0.21   0.44   0.26   0.29   0.05   0.01   0.02  -0.07
    108510  1.0  5.2  -0.06   0.09  -0.01   0.13   0.05   0.03  -0.03  -0.02  -0.01   0.00  -0.01   0.03  -0.05
    109303  1.0  8.4  -0.61   0.21 -10.00   0.14   0.09   0.10   0.36   0.14   0.10  -0.04 -10.00   0.01   0.16
   114710A  0.9  9.6  -0.05   0.11  -0.11   0.05   0.01   0.07  -0.02   0.06  -0.08  -0.03   0.00  -0.01   0.07
   115383A  1.1  5.7   0.00   0.22   0.00   0.13   0.17   0.06   0.13   0.06  -0.01  -0.03  -0.02   0.01   0.05
    118244  1.1  5.8  -0.55   0.20   0.09   0.26  -0.07   0.08   0.44   0.17   0.21 -10.00   0.04   0.01   0.15
    121560  1.0  7.1  -0.38   0.12  -0.10   0.09  -0.14   0.02   0.13   0.04   0.05   0.01  -0.10  -0.02   0.07
    124244  1.2  5.8   0.05   0.01  -0.04 -10.00   0.22   0.04   0.11   0.01   0.13   0.08   0.00   0.10  -0.05
    128385  1.1  5.5  -0.33   0.16   0.05   0.02   0.04   0.05   0.14   0.08   0.01   0.01  -0.03  -0.01   0.01
    130948  1.0 10.0  -0.20   0.21   0.00   0.12   0.05   0.09   0.02   0.04   0.02  -0.02   0.01  -0.05   0.12
    132254  1.2  3.2   0.07   0.01  -0.07   0.05 -10.00   0.04  -0.03   0.11   0.02   0.06  -0.04   0.00   0.00
    139457  1.0  8.7  -0.52   0.35   0.01   0.10   0.06   0.08   0.39   0.15   0.10   0.14   0.00   0.00   0.03
    142373  1.0  9.7  -0.39   0.09  -0.15   0.05   0.01   0.02   0.26   0.13   0.14   0.05  -0.08   0.03   0.06
   142860A  1.2  4.2  -0.22   0.15  -0.06 -10.00 -10.00   0.07   0.13   0.11  -0.12 -10.00  -0.12  -0.05   0.21
   146099A  1.0  8.1  -0.61   0.25   0.01 -10.00   0.11   0.09   0.26   0.15   0.06   0.17 -10.00   0.01   0.00
    149750  1.1  7.5   0.08   0.04   0.07   0.09   0.29   0.10  -0.05   0.06   0.04  -0.02   0.01   0.07  -0.12
    154417  1.0  5.0  -0.04   0.08  -0.06   0.11   0.05   0.02   0.09   0.03  -0.11  -0.08  -0.05  -0.04   0.10
    157347  1.1  7.7  -0.02  -0.03  -0.04   0.12   0.24   0.04   0.12   0.06   0.05   0.00   0.09   0.07  -0.22
    157466  0.9  8.4  -0.44   0.26  -0.04   0.02  -0.09  -0.01   0.09   0.03   0.01  -0.02   0.11  -0.02  -0.02
   162004B  1.1  5.6  -0.08   0.02   0.02   0.05   0.04   0.07  -0.09  -0.04  -0.06   0.09   0.00   0.00  -0.14
    167588  1.2  4.9  -0.33   0.17  -0.03   0.13   0.03   0.04 -10.00   0.07  -0.02  -0.13   0.03   0.02   0.08
    168009  0.9 12.8  -0.07   0.05   0.00   0.12   0.11   0.02   0.04   0.06   0.00  -0.04   0.02   0.04  -0.18
   170153A  0.9  9.4  -0.65   0.21   0.17   0.15 -10.00   0.02 -10.00   0.09   0.23 -10.00   0.24   0.00   0.05
    184601  0.8 17.1  -0.81   0.32  -0.13   0.22  -0.06   0.10   0.41   0.22   0.14 -10.00  -0.11  -0.01   0.07
    189340  1.0  9.4  -0.19   0.01   0.03   0.08   0.12   0.00   0.10   0.07   0.06   0.13   0.20  -0.01   0.00
   191862A  1.1  5.9  -0.27   0.04  -0.02   0.02 -10.00   0.03   0.08   0.06   0.14   0.17   0.07  -0.01   0.06
    198390  1.2  3.8  -0.31   0.20  -0.21   0.19  -0.25   0.04 -10.00   0.10   0.15  -0.01   0.16  -0.04   0.24
    200580  0.9 13.2  -0.58   0.18   0.06   0.07   0.12  -0.02   0.17   0.14   0.08   0.17 -10.00   0.05   0.04
    201891  0.7 21.7  -1.04   0.34  -0.03   0.36 -10.00   0.20   0.28   0.18   0.09 -10.00   0.01   0.05  -0.04
    204306  1.0  8.9  -0.65   0.30  -0.05   0.18  -0.06   0.17 -10.00   0.12   0.10  -0.06   0.13   0.04   0.07
    204363  1.1  6.3  -0.49   0.23   0.14   0.12  -0.09   0.01   0.10   0.14   0.16 -10.00 -10.00   0.00   0.03
    206301  1.1  6.7  -0.04   0.11  -0.02   0.06   0.10  -0.01   0.04   0.00  -0.02   0.09   0.10   0.00   0.05
    206860  1.0  9.9  -0.20   0.16  -0.06   0.11  -0.03   0.06   0.03   0.08   0.00  -0.04   0.04  -0.06   0.05
   208906A  0.8 13.6  -0.73   0.23   0.02   0.21 -10.00   0.12   0.25   0.10   0.17  -0.02   0.01   0.04   0.03
   209942A  1.1  6.2  -0.29   0.24   0.06   0.14   0.08   0.07   0.16   0.08   0.08   0.12   0.26  -0.05   0.00
   210027A  1.2  2.7  -0.17   0.16  -0.03  -0.03 -10.00  -0.01   0.17   0.13   0.02 -10.00   0.03   0.01   0.13
    210752  0.9 14.0  -0.68 -10.00   0.03   0.14 -10.00   0.14   0.07   0.07   0.06   0.13 -10.00   0.04 -10.00
   212029A  0.8 18.8  -1.01   0.37  -0.08 -10.00   0.10   0.29   0.48   0.30   0.16 -10.00 -10.00   0.05  -0.06
    215257  0.9 11.2  -0.65   0.19   0.05   0.17   0.20   0.09   0.36   0.13   0.27   0.16   0.01   0.01  -0.02
   219623A  1.1  5.5   0.02   0.09  -0.07   0.01  -0.01  -0.01   0.13   0.09  -0.14  -0.10 -10.00   0.02  -0.04
