# Object	Reference	Metallicity	[Fe/H]	[Mg/Fe]
b6b109	C.R.daSilveira+AAP614A1492018	0	0	0.22
b6b111	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.25
b6b112	C.R.daSilveira+AAP614A1492018	-0.14	-0.14	0.23
b6b113	C.R.daSilveira+AAP614A1492018	-0.43	-0.43	0.33
b6b114	C.R.daSilveira+AAP614A1492018	-0.02	-0.02	0.24
b6b116	C.R.daSilveira+AAP614A1492018	-1.15	-1.15	0.18
b6b118	C.R.daSilveira+AAP614A1492018	0.06	0.06	0.14
b6b119	C.R.daSilveira+AAP614A1492018	0	0	0.18
b6b120	C.R.daSilveira+AAP614A1492018	0.39	0.39	0.02
b6b121	C.R.daSilveira+AAP614A1492018	-0.77	-0.77	0.3
b6b122	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.13
b6b123	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.2
b6b126	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.12
b6b127	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.26
b6b128	C.R.daSilveira+AAP614A1492018	0	0	0.05
b6b132	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.16
b6b134	C.R.daSilveira+AAP614A1492018	-0.29	-0.29	0.27
b6f005	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.11
b6f008	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.37
b6f010	C.R.daSilveira+AAP614A1492018	0.07	0.07	0.06
b6f011	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.07
b6f013	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.22
b6f015	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.18
b6f016	C.R.daSilveira+AAP614A1492018	0.1	0.1	0.18
b6f017	C.R.daSilveira+AAP614A1492018	0.32	0.32	0.06
b6f018	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.23
b6f020	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.13
b6f023	C.R.daSilveira+AAP614A1492018	-0.15	-0.15	0.12
b6f025	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.17
b6f027	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.18
b6f028	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.33
b6f030	C.R.daSilveira+AAP614A1492018	-0.27	-0.27	0.36
b6f034	C.R.daSilveira+AAP614A1492018	0.26	0.26	0.03
b6f035	C.R.daSilveira+AAP614A1492018	0.44	0.44	-0.08
b6f036	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.35
b6f037	C.R.daSilveira+AAP614A1492018	-0.51	-0.51	0.46
b6f038	C.R.daSilveira+AAP614A1492018	0.29	0.29	-0.04
b6f039	C.R.daSilveira+AAP614A1492018	-0.46	-0.46	0.28
b6f043	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.27
b6f044	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.06
b6f049	C.R.daSilveira+AAP614A1492018	-0.58	-0.58	0.35
b6f051	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.27
b6f052	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.18
b6f054	C.R.daSilveira+AAP614A1492018	-0.27	-0.27	0.27
b6f056	C.R.daSilveira+AAP614A1492018	0.24	0.24	0.09
b6f057	C.R.daSilveira+AAP614A1492018	0.15	0.15	0.06
b6f058	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.3
b6f059	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.42
b6f061	C.R.daSilveira+AAP614A1492018	0.25	0.25	0.05
b6f062	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.1
b6f064	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.32
b6f065	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.26
b6f066	C.R.daSilveira+AAP614A1492018	0.12	0.12	0.25
b6f068	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.06
b6f069	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.28
b6f070	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.22
b6f071	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.18
b6f072	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.31
b6f073	C.R.daSilveira+AAP614A1492018	0.23	0.23	0.09
b6f074	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.19
b6f075	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.31
b6f078	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.24
b6f079	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.05
b6f080	C.R.daSilveira+AAP614A1492018	0.26	0.26	-0.06
b6f081	C.R.daSilveira+AAP614A1492018	-0.3	-0.3	0.31
b6f082	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.1
b6f083	C.R.daSilveira+AAP614A1492018	0.13	0.13	0.14
b6f084	C.R.daSilveira+AAP614A1492018	-0.11	-0.11	0.15
b6f085	C.R.daSilveira+AAP614A1492018	0.31	0.31	-0.24
b6f086	C.R.daSilveira+AAP614A1492018	-0.03	-0.03	0.19
b6f087	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.34
b6f088	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.14
b6f089	C.R.daSilveira+AAP614A1492018	0.06	0.06	0.2
b6f090	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.09
b6f091	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.16
b6f092	C.R.daSilveira+AAP614A1492018	-0.41	-0.41	0.25
b6f093	C.R.daSilveira+AAP614A1492018	-0.2	-0.2	0.18
b6f095	C.R.daSilveira+AAP614A1492018	0.11	0.11	0.02
b6f096	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.21
b6f098	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.12
b6f099	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.33
b6f100	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.2
b6f101	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.34
b6f102	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.27
b6f103	C.R.daSilveira+AAP614A1492018	0	0	0.27
b6f104	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.2
b6f105	C.R.daSilveira+AAP614A1492018	0.17	0.17	-0.01
b6f106	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.03
b6f107	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.13
b6f108	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.01
b6f109	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.25
b6f110	C.R.daSilveira+AAP614A1492018	0.23	0.23	0.09
b6f111	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.05
b6f112	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	-0.02
b6f113	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.05
b6f114	C.R.daSilveira+AAP614A1492018	-0.29	-0.29	0.33
b6f117	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.09
b6f118	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.27
b6f119	C.R.daSilveira+AAP614A1492018	0.27	0.27	0.06
b6f120	C.R.daSilveira+AAP614A1492018	-0.85	-0.85	0.3
b6f121	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.12
b6f123	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.17
b6f124	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.01
b6f128	C.R.daSilveira+AAP614A1492018	0.27	0.27	0
b6f129	C.R.daSilveira+AAP614A1492018	-0.31	-0.31	0.34
b6f130	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.37
b6f131	C.R.daSilveira+AAP614A1492018	0.22	0.22	0.13
b6f134	C.R.daSilveira+AAP614A1492018	-0.36	-0.36	0.23
b6f135	C.R.daSilveira+AAP614A1492018	-0.03	-0.03	0.17
BD+00_2627	B.E.Reddy+MNRAS36713292006	-0.53	-0.58	0.29
BD+00_549	B.E.Reddy+MNRAS36713292006	-0.82	-0.87	0.27
BD+01_2063	T.V.Mishenina+AAP552A1282013	-0.22	-0.22	-0.02
BD+01_2916	H.N.Li+ApJ765512013	-1.88	-1.71	0.32
BD+01_2916	W.Aoki+PASJ60L72008	-1.9	-1.93	
BD+01_2916	D.L.Burris+ApJ5443022000	-1.8	-1.82	
BD+01_306	J.P.Fulbright+AJ12018412000	-0.8	-0.96	0.38
BD+01_3070	L.Zhang+ApJ70610952009	-1.52	-1.35	0.13
BD+01_3070	M.N.Ishigaki+ApJ753642012	-1.38	-1.38	0.19
BD+01_3070	M.Ishigaki+PASJ621432010	-1.63	-1.63	0.35
BD+01_3070	B.W.Carney+AJ1252932003	-1.85	-1.85	
BD+01_3597	A.M.Boesgaard+ApJ7431402011	-1.89	-1.89	0.26
BD+01_3597	C.Charbonnel+AAP4429612005	-2.4	-2.4	
BD+01_3597	K.F.Tan+MNRAS3922052009	-1.92	-1.91	
BD+01_3597	E.Caffau+AAP4415332005			
BD+01_3597	C.J.Hansen+AAP545A312012	-1.89	-1.9	
BD+01_3597	M.Asplund+ApJ6442292006	-1.89	-1.89	
BD+01_3597	J.Melendez+AAP515L32010	-1.87	-1.87	
BD+01_3597	P.E.Nissen+AAP3902352002	-1.78	-1.75	
BD+02_3375	P.E.Nissen+AAP4693192007	-2.19	-2.19	
BD+02_3375	D.K.Lai+ApJ66711852007	-2.25	-2.08	
BD+02_3375	J.A.Rich+ApJ70115192009	-2.39	-2.39	
BD+02_3375	C.J.Akerman+AAP4149312004	-2.28	-2.28	
BD+02_3375	T.V.Mishenina+AAP3709512001	-2.25	-2.26	0.07
BD+02_3375	M.Bergemann+MNRAS40113342010	-2.19	-2.19	
BD+02_3375	A.E.GarciaPerez+AAP5042132009	-2.19	-2.19	
BD+02_3375	A.M.Boesgaard+ApJ6333982005	-2.34	-2.32	
BD+02_3375	J.Melendez+AAP515L32010	-2.24	-2.24	
BD+02_3375	P.E.Nissen+AAP4159932004	-2.28	-2.28	
BD+02_3375	M.Bergemann+AAP4928232008	-2.19	-2.19	0.38
BD+02_3375	J.R.Shi+AAP4655872007	-2.19	-2.18	
BD+02_3375	R.G.Gratton+AAP4041872003	-2.32	-2.38	0.33
BD+02_3375	J.Melendez+ApJ64210822006	-2	-2.24	
BD+02_3375	A.M.Boesgaard+AJ1174921999	-2.3	-2.13	
BD+02_3375	T.V.Mishenina+AAP3961892002		-2.26	
BD+02_3375	K.A.Venn+AJ12811772004		-2.32	0.5
BD+02_3375	A.Stephens+AJ12316472002	-2.34	-2.33	0.41
BD+02_3375	J.P.Fulbright+AJ12018412000	-2.2	-2.3	0.48
BD+02_3375	G.S.Bai+AAP4256712004	-2.25	-2.25	0.22
BD+02_3375	C.Charbonnel+AAP4429612005	-2.32	-2.32	
BD+02_3375	E.Caffau+AAP4415332005	-2.37	-2.37	
BD+02_3375	D.Fabbian+AAP50011432009	-2.19	-2.24	
BD+02_3375	T.Gehren+AAP45110652006	-2.19	-2.18	0.33
BD+02_4651	P.E.Nissen+AAP4693192007	-1.69	-1.69	
BD+02_4651	J.Melendez+ApJ64210822006	-1.6	-1.79	
BD+02_4651	Y.Takeda+PASJ63S5372011	-1.69	-1.69	
BD+02_4651	C.J.Akerman+AAP4149312004	-1.8	-1.8	
BD+02_4651	T.V.Mishenina+AAP3961892002		-1.82	
BD+02_4651	K.A.Venn+AJ12811772004		-1.77	0.31
BD+02_4651	T.V.Mishenina+AAP3709512001	-1.82	-1.82	0.17
BD+02_4651	J.P.Fulbright+AJ12018412000	-1.5	-1.75	0.29
BD+02_4651	C.Charbonnel+AAP4429612005	-1.81	-1.81	
BD+02_4651	D.Fabbian+AAP50011432009	-1.69	-1.74	
BD+02_4651	R.Smiljanic+AAP4991032009	-1.5	-1.5	
BD+02_4651	J.Melendez+AAP515L32010	-1.78	-1.78	
BD+02_4651	P.E.Nissen+AAP4159932004	-1.8	-1.8	
BD+03_740	A.Hosford+AAP4936012009	-2.72	-2.77	
BD+03_740	J.G.Cohen+ApJ778562013	-2.69		
BD+03_740	J.A.Rich+ApJ70115192009	-2.95	-2.89	
BD+03_740	G.Bihain+AAP4237772004	-2.82	-2.65	
BD+03_740	L.Mashonkina+ApJ67915492008	-2.65	-2.65	0.23
BD+03_740	G.Israelian+ApJ5518332001	-2.93	-2.93	
BD+03_740	E.Arnone+AAP4305072005		-2.84	0.3
BD+03_740	J.Melendez+AAP515L32010	-2.71	-2.71	
BD+03_740	I.U.Roederer+ApJ8601252018	-2.9	-2.89	
BD+03_740	A.M.Boesgaard+ApJ633L1252005	-2.81	-2.8	
BD+03_740	A.M.Boesgaard+ApJ7431402011	-2.95	-2.95	0.48
BD+03_740	J.G.Cohen+AJ1244702002	-2.69		
BD+03_740	J.R.Shi+AAP4655872007	-2.45	-2.44	
BD+03_740	A.M.Boesgaard+AJ1174921999	-2.81	-2.64	
BD+03_740	E.Carretta+AJ1244812002	-2.7	-2.68	0.32
BD+03_740	K.A.Venn+AJ12811772004		-2.84	0.56
BD+03_740	J.G.Cohen+ApJ61211072004			
BD+03_740	J.P.Fulbright+AJ12018412000	-2.7	-2.82	0.54
BD+03_740	I.I.Ivans+ApJ5929062003	-2.75	-2.74	0.36
BD+03_740	C.Charbonnel+AAP4429612005	-2.77	-2.77	
BD+03_740	D.K.Lai+ApJ68115242008	-2.75	-2.71	0.21
BD+03_740	D.Fabbian+AAP50011432009	-2.62	-2.67	
BD+03_740	T.Gehren+AAP45110652006	-2.45	-2.44	-0.1
BD+03_740	M.Asplund+ApJ6442292006	-2.65	-2.65	
BD+04_2466	L.Zhang+ApJ70610952009	-1.92	-1.75	0.06
BD+04_2466	M.N.Ishigaki+ApJ753642012	-1.95	-1.95	0.47
BD+04_2466	M.Ishigaki+PASJ621432010	-2.1	-2.1	0.42
BD+04_2466	D.L.Burris+ApJ5443022000	-1.8	-1.83	
BD+04_2621	M.N.Ishigaki+ApJ753642012	-2.37	-2.37	0.3
BD+04_2621	J.A.Johnson+ApJ5796162002		-2.34	
BD+04_2621	M.Ishigaki+PASJ621432010	-2.68	-2.69	0.58
BD+04_2621	J.A.Johnson+ApJ5548882001	-2.35	-2.35	
BD+04_2621	J.A.Johnson+ApJS1392192002	-2.35	-2.5	0.39
BD+04_4551	C.Charbonnel+AAP4429612005	-1.8	-1.8	
BD+04_4551	E.Caffau+AAP4415332005	-1.4	-1.4	
BD+04_4551	T.V.Mishenina+AAP3961892002	-1.51	-1.51	
BD+04_4551	T.V.Mishenina+AAP3709512001	-1.51	-1.51	0.17
BD+04_701	J.P.Fulbright+AJ12018412000		-0.14	0.04
BD+05_3098	J.A.Johnson+ApJ5796162002		-2.56	
BD+05_3098	J.A.Johnson+ApJ5548882001	-2.55	-2.57	
BD+05_3098	B.W.Carney+AJ1252932003	-2.4	-2.4	
BD+05_3098	J.A.Johnson+ApJS1392192002	-2.55	-2.72	0.7
BD+05_3640	D.Yong+ApJ59913572003	-1.34	-1.34	
BD+05_3640	R.G.Gratton+AAP4041872003	-1.15	-1.2	0.5
BD+05_3640	I.U.Roederer+ApJ7249752010		-1.3	
BD+05_3640	E.Caffau+AAP4415332005	-1.19	-1.19	
BD+05_3640	J.Simmerer+ApJ61710912004	-1.3	-1.3	
BD+07_4841	P.E.Nissen+AAP511L102010	-1.39	-1.39	0.33
BD+07_4841	P.E.Nissen+AAP4693192007	-1.46	-1.46	
BD+07_4841	Y.Takeda+PASJ63S5372011	-1.46	-1.46	
BD+07_4841	C.J.Akerman+AAP4149312004	-1.52	-1.52	
BD+07_4841	C.Charbonnel+AAP4429612005	-1.25	-1.25	
BD+07_4841	E.Caffau+AAP4415332005	-1.59	-1.59	
BD+07_4841	D.Fabbian+AAP50011432009	-1.46	-1.51	
BD+07_4841	H.L.Yan+AAP5851022016	-1.39	-1.39	
BD+07_4841	P. E. Nissen+AAP530A152011	-1.39	-1.39	
BD+07_4841	P.E.Nissen+AAP4159932004	-1.52	-1.52	
BD+08_2856	J.A.Johnson+ApJ5796162002		-1.94	
BD+08_2856	J.A.Johnson+ApJ5548882001	-2	-1.95	
BD+08_2856	C.J.Hansen+AAP545A312012	-2.09	-2.09	
BD+08_2856	B.W.Carney+AJ1252932003	-2.31	-2.31	
BD+08_2856	J.A.Johnson+ApJS1392192002	-2	-2.1	0.61
BD+09_2190	A.M.Boesgaard+ApJ7431402011	-3	-3	0.57
BD+09_2190	A.Hosford+AAP4936012009	-2.68	-2.84	
BD+09_2190	C.J.Hansen+AAP545A312012	-2.6	-2.6	
BD+09_2190	J.A.Rich+ApJ70115192009	-3	-3	
BD+09_2190	E.Arnone+AAP4305072005		-2.83	0.2
BD+09_2190	C.Charbonnel+AAP4429612005	-2.88	-2.88	
BD+09_2190	M.Asplund+ApJ6442292006	-2.66	-2.66	
BD+09_2190	J.Melendez+AAP515L32010	-2.64	-2.64	
BD+09_2242	J.P.Fulbright+AJ12018412000		-0.03	-0.12
BD+09_2242	R.G.Gratton+AAP4041872003	0.08	0.03	-0.17
BD+09_2242	K.A.Venn+AJ12811772004		-0.05	-0.1
BD+09_2870	L.Zhang+ApJ70610952009	-2.73	-2.56	0.28
BD+09_2870	M.N.Ishigaki+ApJ753642012	-2.37	-2.37	0.43
BD+09_2870	J.P.Fulbright+AJ12018412000	-2.3	-2.39	0.47
BD+09_2870	M.Ishigaki+PASJ621432010	-2.7	-2.69	0.71
BD+09_2870	B.W.Carney+AJ1252932003	-2.37	-2.37	
BD+09_2870	D.L.Burris+ApJ5443022000	-2.2	-2.2	
BD+09_2870	K.A.Venn+AJ12811772004		-2.41	0.49
BD+09_3223	J.A.Johnson+ApJ5796162002		-2.11	
BD+09_3223	J.A.Johnson+ApJ5548882001	-2.1	-2.12	
BD+09_3223	B.W.Carney+AJ1252932003	-2.41	-2.41	
BD+09_3223	J.A.Johnson+ApJS1392192002	-2.1	-2.27	0.58
BD+09_3223	D.L.Burris+ApJ5443022000	-2.2	-2.09	
BD+10_2495	M.N.Ishigaki+ApJ753642012	-2.02	-2.02	0.29
BD+10_2495	M.Ishigaki+PASJ621432010	-2.17	-2.17	0.45
BD+10_2495	I.U.Roederer+ApJ7115732010	-2.45	-2.31	0.49
BD+10_2495	I.U.Roederer+AJ1471362014	-2.14	-2.16	0.31
BD+10_2495	L.Zhang+ApJ70610952009	-2.1	-1.93	0.03
BD+10_2495	J.A.Johnson+ApJ5796162002		-1.9	
BD+10_2495	C.Charbonnel+AAP4429612005	-1.83	-1.83	
BD+10_2495	J.A.Johnson+ApJ5548882001	-2	-1.91	
BD+10_2495	B.W.Carney+AJ1252932003	-2.14	-2.14	
BD+10_2495	J.A.Johnson+ApJS1392192002	-2	-2.06	0.47
BD+11_4725	J.P.Fulbright+AJ12018412000	-0.8	-0.95	0.32
