# Object	Reference	Metallicity	[Fe/H]	[S/Fe]
BD+17_3248	J.P.Fulbright+ApJ59511542003	-2	-2.01	
BD+17_3248	M.Spite+AAP541A1432012	-2.07	-2.07	
BD+17_3248	D.L.Burris+ApJ5443022000	-1.8	-1.85	
BD+17_3248	J.J.Cowan+ApJ5728612002	-2	-2.06	
BD+17_3248	S.M.Andrievsky+AAP46410812007	-2.07	-2.07	
BD+17_3248	M.Spite+AAP4552912006	-2.07	-2.07	
BD+17_3248	I.U.Roederer+ApJ69819632009	-2.08	-2.08	
BD+17_3248	M.Spite+AAP528A92011	-2.07	-2.07	0.52
BD+17_3248	J.J.Cowan+ApJ6272382005	-2.08	-2.11	
BD+17_4708	P.E.Nissen+AAP4693192007	-1.55	-1.55	0.46
BD+17_4708	J.A.Rich+ApJ70115192009	-1.81	-1.81	
BD+17_4708	C.J.Akerman+AAP4149312004	-1.64	-1.64	
BD+17_4708	T.V.Mishenina+AAP3709512001	-1.56	-1.56	
BD+17_4708	I.U.Roederer+ApJ7249752010		-1.59	
BD+17_4708	R.Smiljanic+AAP4991032009	-1.5	-1.5	
BD+17_4708	J.Melendez+AAP515L32010	-1.59	-1.59	
BD+17_4708	P.E.Nissen+AAP4159932004	-1.64	-1.64	0.41
BD+17_4708	S.G.Ryan+ApJ549552001	-1.86	-1.86	
BD+17_4708	A.M.Boesgaard+ApJ7431402011	-1.7	-1.7	
BD+17_4708	R.G.Gratton+AAP4041872003	-1.58	-1.63	
BD+17_4708	J.Melendez+ApJ64210822006	-1.4	-1.64	
BD+17_4708	A.M.Boesgaard+AJ1174921999	-1.73	-1.56	
BD+17_4708	T.V.Mishenina+AAP3961892002	-1.56	-1.56	
BD+17_4708	K.A.Venn+AJ12811772004		-1.63	
BD+17_4708	P.E.Nissen+AAP3902352002	-1.58	-1.55	
BD+17_4708	I.U.Roederer+AJ1471362014	-1.7	-1.8	
BD+17_4708	J.P.Fulbright+AJ12018412000	-1.5	-1.61	
BD+17_4708	C.Charbonnel+AAP4429612005	-1.73	-1.73	
BD+17_4708	E.Caffau+AAP4415332005	-1.62	-1.62	0.61
BD+17_4708	D.Fabbian+AAP50011432009	-1.55	-1.6	
BD+17_4708	J.Simmerer+ApJ61710912004	-1.59	-1.59	
BD+17_4708	M.Asplund+ApJ6442292006	-1.51	-1.51	
BD+20_571	E.Caffau+AAP4415332005	-0.83	-0.83	0.3
BD+20_571	R.Smiljanic+AAP4991032009	-0.83	-0.83	
BD+23_3130	D.K.Lai+ApJ66711852007	-2.59	-2.42	
BD+23_3130	J.P.Fulbright+ApJ59511542003	-2.7	-2.49	
BD+23_3130	Y.Takeda+PASJ63S5372011	-2.6	-2.6	0.53
BD+23_3130	T.V.Mishenina+AAP3961892002	-2.61	-2.61	
BD+23_3130	G.Bihain+AAP4237772004	-2.66	-2.49	
BD+23_3130	K.A.Venn+AJ12811772004		-2.7	
BD+23_3130	T.V.Mishenina+AAP3709512001	-2.62	-2.62	
BD+23_3130	G.Israelian+ApJ5518332001		-2.43	
BD+23_3130	I.U.Roederer+AJ1471362014	-2.9	-2.93	
BD+23_3130	J.P.Fulbright+AJ12018412000	-2.6	-2.68	
BD+23_3130	D.K.Lai+ApJ68115242008	-2.6	-2.58	
BD+23_3130	R.Cayrel+NewAR455332001	-2.62	-2.62	
BD+26_2606	J.P.Fulbright+AJ12018412000	-2.3	-2.46	
BD+26_2606	G.S.Bai+AAP4256712004	-2.27	-2.27	
BD+26_2606	C.Charbonnel+AAP4429612005	-2.52	-2.52	
BD+26_2606	R.G.Gratton+AAP4041872003	-2.4	-2.48	
BD+26_2606	Y.Takeda+PASJ63S5372011	-2.3	-2.3	0.37
BD+26_2606	R.Smiljanic+AAP4991032009	-2.3	-2.3	
BD+26_2606	K.A.Venn+AJ12811772004		-2.48	
BD+26_2621	A.M.Boesgaard+ApJ7431402011	-2.69	-2.69	
BD+26_2621	A.Hosford+AAP4936012009	-2.67	-2.69	
BD+26_2621	P.E.Nissen+AAP4693192007	-2.58	-2.58	0.64
BD+26_2621	J.A.Rich+ApJ70115192009	-2.69	-2.69	
BD+26_2621	E.Arnone+AAP4305072005		-2.86	
BD+26_2621	C.Charbonnel+AAP4429612005	-2.84	-2.84	
BD+26_2621	A.Hosford+AAP511A472010	-2.68		
BD+26_2621	D.Fabbian+AAP50011432009	-2.58	-2.63	
BD+28_2137	A.M.Boesgaard+ApJ7431402011	-1.97	-1.97	
BD+28_2137	M.N.Ishigaki+ApJ753642012	-1.99	-1.99	
BD+28_2137	P.E.Nissen+AAP4693192007	-1.93	-1.93	0.51
BD+28_2137	M.Ishigaki+PASJ621432010	-2.42	-2.42	
BD+28_2137	G.S.Bai+AAP4256712004	-1.93	-1.93	
BD+28_2137	C.Charbonnel+AAP4429612005	-2.23	-2.23	
BD+28_2137	M.N.Ishigaki+ApJ771672013	-1.99	-1.99	
BD+28_2137	D.Fabbian+AAP50011432009	-1.93	-1.98	
BD+44_493	Y.Takeda+PASJ63S5372011	-3.68	-3.68	1.39
BD+44_493	I.U.Roederer+ApJ824L192016	-3.8	-4.07	0.26
BD+44_493	V.M.Placco+ApJ790342014	-3.8	-3.88	
