# Object	Reference	Metallicity	[Fe/H]	[O/Fe]
CS22957-036	I.U.RoedererAJ1471362014	-2.09	-2.28	0.49
CS22958-037	I.U.RoedererAJ1471362014	-2.51	-2.51	0.09
CS22958-042	I.U.RoedererAJ1471362014	-2.99	-3.4	
CS22958-042	J.A.JohnsonApJ65812032007	-2.65	-2.63	
CS22958-042	I.U.RoedererApJ7841582014	-2.99	-3.4	
CS22958-042	T.SivaraniAAP4591252006	-2.85	-2.85	1.33
CS22958-052	I.U.RoedererMNRAS44529702014	-2.42	-2.42	
CS22958-052	I.U.RoedererAJ1471362014	-2.42	-2.62	<0.52
CS22958-065	I.U.RoedererAJ1471362014	-2.24	-2.29	0.11
CS22958-074	I.U.RoedererAJ1471362014	-2.62	-2.67	<0.7
CS22959-074	I.U.RoedererAJ1471362014	-2.49	-2.6	<0.73
CS22959-139	I.U.RoedererAJ1471362014	-2.45	-2.67	0.46
CS22960-010	P.S.BarklemAAP4391292005	-2.65	-2.65	
CS22960-010	I.U.RoedererAJ1471362014	-3.03	-3.02	<1.43
CS22960-010	L.ZhangAAP528A922011		-2.65	
CS22960-010	N.ChristliebAAP42810272004	-2.15		
CS22960-029	I.U.RoedererAJ1471362014	-2.77	-3.05	<0.77
CS22960-048	I.U.RoedererAJ1471362014	-3.78	-3.91	<2.15
CS22960-064	I.U.RoedererAJ1471362014	-2.77	-2.77	<0.93
CS22960-064	I.U.RoedererApJ7841582014	-2.77	-2.77	<0.93
CS22963-004	I.U.RoedererAJ1471362014	-3.85	-4.09	<2.29
CS22963-004	D.K.LaiApJ66711852007	-3.03	-2.86	
CS22963-004	D.K.LaiApJ68115242008	-3.5	-3.42	1.13
CS22963-004	D.K.LaiAJ12824022004		-3.03	
CS22964-115	I.U.RoedererAJ1471362014	-2.7	-2.82	0.44
CS22964-176	I.U.RoedererAJ1471362014	-2.46	-2.56	0.23
CS22964-214	G.W.PrestonAJ12010142000	-2.3	-2.3	
CS22964-214	I.U.RoedererAJ1471362014	-2.84	-2.95	0.17
CS22964-214	C.SnedenApJ5925042003	-2.3	-2.3	0.88
CS22965-016	I.U.RoedererAJ1471362014	-2.93	-3.13	1.04
CS22965-016	D.K.LaiApJ66711852007	-2.59	-2.42	
CS22965-016	D.K.LaiAJ12824022004		-2.59	
CS22965-054	W.AokiApJ69818032009	-2.84	-2.89	
CS22965-054	P.BonifacioAAP4628512007	-3.04	-3.03	
CS22965-054	P.BonifacioAAP5015192009	-3.04	-3.03	
CS22965-054	M.SpiteAAP541A1432012	-3.04	-3.04	
CS22965-054	S.M.AndrievskyAAP509A882010	-3.04	-3.04	
CS22965-054	S.M.AndrievskyAAP46410812007	-3.04	-3.04	
CS22965-054	I.U.RoedererAJ1471362014	-2.89	-3.17	0.7
CS22965-054	D.K.LaiApJ68115242008	-3.1	-3.09	
CS22965-054	M.SpiteAAP528A92011	-3.04	-3.04	
CS22965-054	L.SbordoneAAP522A262010	-2.9	-2.9	
CS22965-054	S.M.AndrievskyAAP4814812008	-3.04	-3.04	
CS22966-043	G.W.PrestonAJ12010142000	-1.96	-1.96	
CS22966-043	I.I.IvansApJ5929062003	-1.91	-1.89	<2.59
CS22966-057	S.M.AndrievskyAAP49410832009	-2.62	-2.62	
CS22966-057	R.CayrelAAP41611172004	-2.62	-2.61	1.06
CS22966-057	M.SpiteAAP4306552005	-2.62	-2.62	1.13
CS22966-057	M.SpiteAAP541A1432012	-2.62	-2.62	
CS22966-057	S.M.AndrievskyAAP509A882010	-2.62	-2.62	
CS22966-057	P.FrancoisAAP4769352007	-2.6	-2.62	
CS22966-057	S.M.AndrievskyAAP46410812007	-2.62	-2.62	
CS22966-057	M.SpiteAAP4552912006	-2.62	-2.62	
CS22966-057	M.SpiteAAP528A92011	-2.62	-2.62	
CS22966-057	F.SpiteAAP611A302018	-2.6	-2.62	
CS22966-057	S.M.AndrievskyAAP4814812008	-2.62	-2.62	
CS22968-014	S.M.AndrievskyAAP49410832009	-3.56	-3.56	
CS22968-014	A.McWilliamAJ10927571995	-3.5	-3.24	
CS22968-014	J.A.JohnsonApJ65812032007	-3.3	-3.28	
CS22968-014	R.CayrelAAP41611172004	-3.56	-3.57	0.99
CS22968-014	M.SpiteAAP4306552005	-3.56	-3.56	1.04
CS22968-014	A.McWilliamAJ10927361995			
CS22968-014	M.SpiteAAP541A1432012	-3.56	-3.56	
CS22968-014	S.M.AndrievskyAAP509A882010	-3.56	-3.56	
CS22968-014	K.A.VennAJ12811772004		-3.41	
CS22968-014	P.FrancoisAAP4769352007	-3.5	-3.56	
CS22968-014	S.M.AndrievskyAAP46410812007	-3.56	-3.56	
CS22968-014	I.U.RoedererAJ1471362014	-3.85	-3.99	<1.73
CS22968-014	M.SpiteAAP4552912006	-3.56	-3.56	
CS22968-014	S.M.AndrievskyAAP4814812008	-3.56	-3.56	
CS22968-026	I.U.RoedererAJ1471362014	-2.33	-2.57	0.73
CS22968-029	I.U.RoedererAJ1471362014	-3.11	-3.1	<0.85
CS29491-053	S.M.AndrievskyAAP49410832009	-3.04	-3.04	
CS29491-053	R.CayrelAAP41611172004	-3.04	-3.03	0.83
CS29491-053	M.SpiteAAP4306552005	-3.04	-3.04	0.9
CS29491-053	M.SpiteAAP541A1432012	-3.04	-3.04	
CS29491-053	S.M.AndrievskyAAP509A882010	-3.04	-3.04	
CS29491-053	P.FrancoisAAP4769352007	-3	-3.04	
CS29491-053	S.M.AndrievskyAAP46410812007	-3.04	-3.04	
CS29491-053	M.SpiteAAP4552912006	-3.04	-3.04	
CS29491-053	M.SpiteAAP528A92011	-3.04	-3.04	
CS29491-053	S.M.AndrievskyAAP4814812008	-3.04	-3.04	
CS29493-023	I.U.RoedererAJ1471362014	-2.66	-2.89	0.47
CS29493-050	I.U.RoedererAJ1471362014	-2.89	-2.92	0.18
CS29493-062	I.U.RoedererAJ1471362014	-2.59	-2.76	0.81
CS29493-090	P.S.BarklemAAP4391292005	-3.13	-3.13	
CS29493-090	M.SpiteAAP571A402014	-3.1	-3.14	
CS29493-090	L.ZhangAAP528A922011		-3.13	
CS29493-090	J.A.JohnsonApJ65812032007	-2.82	-2.8	
CS29493-090	T.MasseronApJ751142012	-3.25	-3.3	0.91
CS29493-094	I.U.RoedererAJ1471362014	-2.44	-2.66	0.36
CS29495-005	I.U.RoedererAJ1471362014	-2.26	-2.44	0.51
CS29495-041	S.M.AndrievskyAAP49410832009	-2.82	-2.82	
CS29495-041	R.CayrelAAP41611172004	-2.82	-2.81	0.75
CS29495-041	M.SpiteAAP4306552005	-2.82	-2.82	0.82
CS29495-041	M.SpiteAAP541A1432012	-2.82	-2.82	
CS29495-041	S.M.AndrievskyAAP509A882010	-2.82	-2.82	
CS29495-041	P.FrancoisAAP4769352007	-2.8	-2.82	
CS29495-041	S.M.AndrievskyAAP46410812007	-2.82	-2.82	
CS29495-041	M.SpiteAAP4552912006	-2.82	-2.82	
CS29495-041	S.M.AndrievskyAAP4814812008	-2.82	-2.82	
CS29495-042	I.U.RoedererAJ1471362014	-2.18	-2.54	1.06
CS29495-042	J.A.JohnsonApJ65812032007	-2.3	-2.28	
CS29497-030	I.I.IvansApJ627L1452005	-2.57	-2.57	1.72
CS29497-030	G.W.PrestonAJ12010142000		-2.16	
CS29497-030	I.U.RoedererAJ1471362014	-2.52	-2.52	0.69
CS29497-030	J.A.JohnsonApJ65812032007	-2.2	-2.18	
CS29497-030	C.SnedenApJ5925042003	-2.16	-2.16	1.31
CS29497-030	T.SivaraniAAP41310732004	-2.7	-2.77	1.79
CS29498-043	I.U.RoedererAJ1471362014	-3.85	-3.87	2.37
CS29498-043	W.AokiPASJ549332002	-3.75	-3.75	
CS29498-043	I.U.RoedererApJ7841582014	-3.85	-3.87	2.37
CS29498-043	W.AokiApJ6089712004	-3.5	-3.54	2.95
CS29498-043	W.AokiApJ576L1412002	-3.75	-3.75	
CS29499-003	I.U.RoedererAJ1471362014	-2.35	-2.51	0.55
CS29499-058	I.U.RoedererAJ1471362014	-2.61	-2.81	0.47
CS29501-032	I.U.RoedererAJ1471362014	-2.71	-2.92	0.53
CS29502-092	I.U.RoedererAJ1471362014	-3.2	-3.3	1.13
CS29502-092	D.K.LaiApJ66711852007	-2.92	-2.75	
CS29502-092	I.U.RoedererApJ7841582014	-3.2	-3.3	1.13
CS29502-092	D.K.LaiApJ68115242008	-3.3	-3.18	0.89
CS29502-092	D.K.LaiAJ12824022004		-2.92	
CS29502-092	W.AokiApJ56711662002	-2.76	-2.76	
CS29502-092	D.M.AllenAAP548A342012	-3.05	-3.05	
CS29504-004	I.U.RoedererAJ1471362014	-2.35	-2.38	0.42
CS29506-007	S.M.AndrievskyAAP49410832009	-2.91	-2.91	
CS29506-007	P.BonifacioAAP4628512007	-2.91	-2.9	
CS29506-007	P.BonifacioAAP5015192009	-2.91	-2.9	
CS29506-007	M.SpiteAAP541A1432012	-2.91	-2.91	
CS29506-007	S.M.AndrievskyAAP509A882010	-2.91	-2.91	
CS29506-007	S.M.AndrievskyAAP46410812007	-2.91	-2.91	
CS29506-007	I.U.RoedererAJ1471362014	-2.94	-3.24	0.88
CS29506-007	D.K.LaiApJ68115242008	-2.85	-2.85	<1.66
CS29506-007	M.SpiteAAP528A92011	-2.91	-2.91	
CS29506-007	L.SbordoneAAP522A262010	-2.88	-2.88	
CS29506-007	S.M.AndrievskyAAP4814812008	-2.91	-2.91	
CS29506-090	S.M.AndrievskyAAP49410832009	-2.83	-2.83	
CS29506-090	P.BonifacioAAP4628512007	-2.83	-2.82	
CS29506-090	P.BonifacioAAP5015192009	-2.83	-2.82	
CS29506-090	M.SpiteAAP541A1432012	-2.83	-2.83	
CS29506-090	S.M.AndrievskyAAP509A882010	-2.83	-2.83	
CS29506-090	S.M.AndrievskyAAP46410812007	-2.83	-2.83	
CS29506-090	I.U.RoedererAJ1471362014	-3.08	-3.21	<0.78
CS29506-090	M.SpiteAAP528A92011	-2.83	-2.83	
CS29506-090	L.SbordoneAAP522A262010	-2.83	-2.83	
CS29506-090	S.M.AndrievskyAAP4814812008	-2.83	-2.83	
CS29509-027	G.W.PrestonAJ12010142000		-2.01	
CS29509-027	I.U.RoedererAJ1471362014	-2.42	-2.42	0.16
CS29509-027	C.SnedenApJ5925042003	-2.02	-2.02	0.73
CS29512-073	I.U.RoedererAJ1471362014	-1.93	-2.1	0.42
CS29512-073	J.A.JohnsonApJ65812032007	-2.1	-2.08	
CS29512-073	T.MasseronApJ751142012	-2.09	-2.14	<1.05
CS29512-073	C.J.HansenAAP545A312012	-2.67	-2.67	
CS29512-073	D.M.AllenAAP548A342012	-2.06	-2.06	
CS29513-003	I.U.RoedererAJ1471362014	-2.46	-2.47	0.38
CS29513-014	I.U.RoedererAJ1471362014	-2.32	-2.32	0.64
CS29513-015	I.U.RoedererAJ1471362014	-2.51	-2.63	0.28
CS29513-031	I.U.RoedererAJ1471362014	-2.59	-2.67	-0.12
CS29513-031	I.U.RoedererApJ7115732010	-2.55	-2.64	0.77
CS29513-032	I.U.RoedererAJ1471362014	-1.91	-1.85	-0.01
CS29513-032	I.U.RoedererApJ7115732010	-2.1	-2.08	0.87
CS29514-017	I.U.RoedererAJ1471362014	-2.34	-2.35	0.39
CS29514-018	I.U.RoedererAJ1471362014	-2.58	-2.84	0.64
CS29516-024	S.M.AndrievskyAAP49410832009	-3.06	-3.06	
CS29516-024	R.CayrelAAP41611172004	-3.06	-3.07	0.71
CS29516-024	M.SpiteAAP4306552005	-3.06	-3.06	0.76
CS29516-024	M.SpiteAAP541A1432012	-3.06	-3.06	
CS29516-024	S.M.AndrievskyAAP509A882010	-3.06	-3.06	
CS29516-024	P.FrancoisAAP4769352007	-3	-3.06	
CS29516-024	S.M.AndrievskyAAP46410812007	-3.06	-3.06	
CS29516-024	M.SpiteAAP4552912006	-3.06	-3.06	
CS29516-024	S.M.AndrievskyAAP4814812008	-3.06	-3.06	
CS29517-018	I.U.RoedererAJ1471362014	-2.94	-2.78	<0.74
CS29517-025	T.MasseronApJ751142012	-2.57	-2.62	<0.83
CS29517-025	D.K.LaiApJ66711852007	-2.19	-2.02	
CS29517-025	D.K.LaiAJ12824022004		-2.19	
CS29517-042	I.U.RoedererAJ1471362014	-2.54	-2.53	0.11
CS29518-051	S.M.AndrievskyAAP49410832009	-2.69	-2.69	
CS29518-051	R.CayrelAAP41611172004	-2.69	-2.65	0.97
CS29518-051	M.SpiteAAP4306552005	-2.69	-2.69	0.94
CS29518-051	M.SpiteAAP541A1432012	-2.69	-2.69	
CS29518-051	S.M.AndrievskyAAP509A882010	-2.69	-2.69	
CS29518-051	P.FrancoisAAP4769352007	-2.8	-2.78	
CS29518-051	S.M.AndrievskyAAP46410812007	-2.69	-2.69	
CS29518-051	M.SpiteAAP4552912006	-2.69	-2.69	
CS29518-051	M.SpiteAAP528A92011	-2.69	-2.69	
CS29518-051	F.SpiteAAP611A302018	-2.7	-2.69	
CS29518-051	S.M.AndrievskyAAP4814812008	-2.69	-2.69	
CS29522-046	D.K.LaiApJ68115242008	-2.1	-2.09	0.8
CS29528-041	S.M.AndrievskyAAP46410812007	-3.06	-3.06	
CS29528-041	T.SivaraniAAP4591252006	-3.3	-3.3	<1.38
CS29529-054	I.U.RoedererMNRAS44529702014	-2.75	-2.75	
CS29529-054	I.U.RoedererAJ1471362014	-2.75	-2.55	<0.68
CS30312-059	I.U.RoedererAJ1471362014	-3.26	-3.41	1.42
CS30312-059	W.AokiApJ6326112005	-3	-3.04	
CS30312-059	D.K.LaiApJ68115242008	-3.15	-3.14	
CS30312-059	C.J.HansenAAP545A312012	-3.06	-3.06	
CS30312-062	I.U.RoedererAJ1471362014	-2.65	-2.64	-0.25
CS30312-100	I.U.RoedererAJ1471362014	-2.68	-2.69	0.94
CS30312-100	T.MasseronApJ751142012	-2.7	-2.75	0.96
CS30312-100	W.AokiApJ6554922007	-2.4	-2.38	
CS30312-100	C.J.HansenAAP545A312012	-2.62	-2.62	
CS30312-100	W.AokiApJ56711662002	-2.17	-2.17	
CS30314-067	I.U.RoedererAJ1471362014	-3.01	-3.31	1.11
CS30314-067	J.A.JohnsonApJ65812032007	-2.67	-2.65	
CS30314-067	I.U.RoedererApJ7841582014	-3.01	-3.31	1.11
CS30314-067	W.AokiApJ56711662002	-2.85	-2.85	
CS30317-056	C.J.HansenAAP527A652011	-2.85	-2.85	1.04
CS30322-023	T.MasseronAAP509A932010	-3.39	-3.44	0.65
CS30322-023	T.MasseronApJ751142012	-3.33	-3.38	0.59
CS30322-023	W.AokiApJ6554922007	-3.3	-3.3	
CS30322-023	T.MasseronAAP45510592006	-3.5	-3.44	0.65
CS30325-028	W.AokiApJ6326112005	-2.8	-2.74	
CS30325-028	D.K.LaiApJ66711852007	-2.79	-2.62	
CS30325-028	D.K.LaiApJ68115242008	-2.9	-2.9	0.71
CS30325-028	D.K.LaiAJ12824022004		-2.79	
CS30325-094	S.M.AndrievskyAAP49410832009	-3.3	-3.3	
CS30325-094	R.CayrelAAP41611172004	-3.3	-3.3	0.8
CS30325-094	M.SpiteAAP4306552005	-3.3	-3.3	0.86
CS30325-094	M.SpiteAAP541A1432012	-3.3	-3.3	
CS30325-094	S.M.AndrievskyAAP509A882010	-3.3	-3.3	
CS30325-094	P.FrancoisAAP4769352007	-3.4	-3.3	
CS30325-094	S.M.AndrievskyAAP46410812007	-3.3	-3.3	
CS30325-094	W.AokiApJ6326112005	-3	-3.17	
CS30325-094	M.SpiteAAP4552912006	-3.3	-3.3	
CS30325-094	M.SpiteAAP528A92011	-3.3	-3.3	
CS30325-094	S.M.AndrievskyAAP4814812008	-3.3	-3.3	
CS30336-049	D.K.LaiApJ68115242008	-3.95	-4.04	1.15
CS30336-049	D.YongApJ762262013	-4.1	-4.1	
CS30336-049	J.E.NorrisApJ762252013	-4.1		
CS30339-015	I.U.RoedererAJ1471362014	-2.86	-3	<0.81
CS30339-046	I.U.RoedererAJ1471362014	-2.69	-2.71	-0.62
CS30339-052	I.U.RoedererAJ1471362014	-2.67	-2.69	0.51
CS30492-001	I.U.RoedererAJ1471362014	-2.35	-2.62	0.65
CS30492-001	I.U.RoedererApJ7841582014	-2.35	-2.62	0.65
CS30492-016	I.U.RoedererAJ1471362014	-3.4	-3.3	<1.09
CS30492-110	I.U.RoedererAJ1471362014	-3.16	-3.27	<1.01
CS30493-071	I.U.RoedererAJ1471362014	-2.46	-2.82	0.9
CS30494-003	I.U.RoedererAJ1471362014	-2.97	-2.97	<0.93
CS31062-012	J.E.NorrisApJ4883501997		-2.57	
CS31062-012	A.M.BoesgaardApJ7431402011	-2.51	-2.51	.2.45
CS31062-012	W.AokiApJ5613462001	-2.74	-2.75	
CS31062-012	W.AokiApJ67813512008	-2.5	-2.58	
CS31062-012	G.IsraelianApJ5518332001	-2.81	-2.81	1.38
CS31062-012	W.AokiPASJ549332002	-2.55	-2.55	
CS31062-012	C.CharbonnelAAP4429612005	-3.5	-3.5	
CS31062-012	E.CaffauAAP4415332005			
CS31062-012	W.AokiApJ58011492002	-2.55	-2.55	
CS31078-018	D.K.LaiApJ66711852007	-3.02	-2.85	
CS31078-018	D.K.LaiApJ68115242008	-2.85	-2.84	0.95
CS31078-018	D.K.LaiAJ12824022004		-3.02	
CS31080-095	J.A.JohnsonApJ65812032007	-2.75	-2.73	
CS31080-095	T.SivaraniAAP4591252006	-2.85	-2.85	2.33
CS31082-001	D.K.LaiApJ66711852007	-2.78	-2.61	
CS31082-001	M.SpiteAAP4306552005	-2.91	-2.91	0.74
CS31082-001	W.AokiApJ5865062003			
CS31082-001	V.HillAAP3875602002	-2.9	-2.9	0.73
CS31082-001	C.J.HansenAAP545A312012	-2.81	-2.81	
CS31082-001	S.M.AndrievskyAAP509A882010	-2.91	-2.91	
CS31082-001	L.ZhangAAP528A922011		-2.78	
CS31082-001	S.HondaApJS1521132004			
CS31082-001	B.PlezAAP428L92004	-2.9	-2.73	
CS31082-001	S.HondaApJ6074742004	-2.81	-2.8	
CS31082-001	S.M.AndrievskyAAP4814812008	-2.91	-2.91	
CS31082-001	P.S.BarklemAAP4391292005	-2.78	-2.78	
CS31082-001	S.M.AndrievskyAAP49410832009	-2.91	-2.91	
CS31082-001	I.U.RoedererMNRAS44529702014	-3.03	-3.03	
CS31082-001	R.CayrelAAP41611172004	-2.91	-2.9	0.67
CS31082-001	M.SpiteAAP541A1432012	-2.91	-2.91	
CS31082-001	N.ChristliebAAP42810272004	-2.8		
CS31082-001	S.M.AndrievskyAAP46410812007	-2.91	-2.91	
CS31082-001	I.U.RoedererAJ1471362014	-3.03	-3.09	
CS31082-001	M.SpiteAAP4552912006	-2.91	-2.91	
CS31082-001	M.SpiteAAP528A92011	-2.91	-2.91	
CS31082-001	J.RenAAP537A1182012	-2.78	-2.61	
CS31085-024	D.K.LaiApJ66711852007	-3.3	-3.13	
CS31085-024	D.K.LaiApJ68115242008	-2.7	-2.68	0.79
CS31085-024	D.K.LaiAJ12824022004		-3.3	
G05-19	P.E.NissenAAP511L102010	-1.18	-1.18	
G05-19	A.M.BoesgaardApJ7431402011	-1.13	-1.13	0.45
G05-19	R.SmiljanicAAP4991032009	-1.1	-1.1	
G05-19	H.L.YanAAP5851022016	-1.18	-1.18	
G05-19	A.M.BoesgaardApJ6333982005	-1.1	-1.08	
G05-19	K.A.VennAJ12811772004		-1.16	
G05-19	A.StephensAJ12316472002	-1.1	-1.15	
G05-19	P. E. NissenAAP530A152011	-1.18	-1.18	
G108-58	A.M.BoesgaardApJ7431402011	-2.37	-2.37	0.98
G108-58	J.A.RichApJ70115192009	-2.37	-2.37	1.22
G113-22	A.M.BoesgaardApJ7431402011	-1.01	-1.01	0.55
G113-22	I.U.RoedererApJ7249752010		-1.18	
G113-22	J.SimmererApJ61710912004	-1.18	-1.18	
G113-9	A.M.BoesgaardApJ7431402011	-1.75	-1.75	0.68
G115-22	B.E.ReddyMNRAS36713292006	-1.47	-1.52	1.04
G115-49	A.M.BoesgaardApJ7431402011	-2.23	-2.23	0.7
G115-49	I.U.RoedererAJ1471362014	-2.6	-2.61	
G115-49	C.CharbonnelAAP4429612005	-2.09	-2.09	
G126-52	E.ArnoneAAP4305072005		-2.44	
G126-52	A.M.BoesgaardApJ7431402011	-2.36	-2.36	0.63
G126-52	P.E.NissenAAP4693192007	-2.21	-2.21	
G126-52	E.CaffauAAP4415332005			
G126-52	D.FabbianAAP50011432009	-2.21	-2.26	0.72
G130-65	A.M.BoesgaardApJ7431402011	-2.21	-2.21	0.91
G146-76	I.U.RoedererAJ1471362014	-2.13	-2.08	0.18
G15-10	I.U.RoedererAJ1471362014	-2.54	-2.53	1.14
G153-21	A.M.BoesgaardApJ7431402011	-0.39	-0.39	0.28
G153-21	M.N.IshigakiApJ753642012	-0.66	-0.66	
G153-21	M.N.IshigakiApJ771672013	-0.67	-0.67	
G153-21	I.U.RoedererApJ7249752010		-0.7	
G153-21	J.SimmererApJ61710912004	-0.7	-0.7	
G153-64	I.U.RoedererAJ1471362014	-1.09	-1.08	0.27
G159-5	B.E.ReddyMNRAS36713292006	-0.74	-0.79	0.91
G161-73	P.E.NissenAAP511L102010	-1	-1	
G161-73	I.U.RoedererAJ1471362014	-1.07	-1.42	0.63
G161-73	P. E. NissenAAP530A152011	-1	-1	
G180-58	I.U.RoedererAJ1471362014	-2.62	-2.6	<1.06
G181-28	A.M.BoesgaardApJ7431402011	-2.42	-2.42	0.74
G188-22	P.E.NissenAAP511L102010	-1.32	-1.32	
G188-22	A.M.BoesgaardApJ7431402011	-1.35	-1.35	0.51
G188-22	M.N.IshigakiApJ753642012	-1.27	-1.27	
G188-22	J.R.ShiAAP4655872007	-1.25	-1.24	
G188-22	I.U.RoedererAJ1471362014	-1.44	-1.5	0.43
G188-22	M.N.IshigakiApJ771672013	-1.26	-1.26	
G188-22	I.U.RoedererApJ7249752010		-1.52	
G188-22	J.SimmererApJ61710912004	-1.52	-1.52	
G188-22	H.L.YanAAP5851022016	-1.32	-1.32	
G188-22	P. E. NissenAAP530A152011	-1.32	-1.32	
G190-10	I.U.RoedererAJ1471362014	-1.94	-1.95	0.77
G190-15	I.U.RoedererAJ1471362014	-3.13	-3.12	<1.46
G191-55	A.M.BoesgaardApJ7431402011	-1.81	-1.81	0.38
G191-55	I.U.RoedererApJ7249752010		-1.63	
G191-55	J.SimmererApJ61710912004	-1.63	-1.63	
G192-43	S.G.RyanApJ549552001	-1.43	-1.43	
G192-43	P.E.NissenAAP511L102010	-1.34	-1.34	
G192-43	A.M.BoesgaardApJ7431402011	-1.42	-1.42	0.43
G192-43	C.CharbonnelAAP4429612005	-1.46	-1.46	
G192-43	I.U.RoedererApJ7249752010		-1.5	
G192-43	J.SimmererApJ61710912004	-1.5	-1.5	
G192-43	J.MelendezAAP515L32010	-1.39	-1.39	
G192-43	P. E. NissenAAP530A152011	-1.34	-1.34	
G201-44	I.U.RoedererAJ1471362014	-1.63	-1.72	0.27
G201-5	A.M.BoesgaardApJ7431402011	-2.54	-2.54	0.51
G201-5	J.A.RichApJ70115192009	-2.54	-2.54	0.75
G201-5	A.M.BoesgaardApJ6333982005	-2.51	-2.49	
G201-5	K.A.VennAJ12811772004		-2.5	
G201-5	A.StephensAJ12316472002	-2.51	-2.49	
G206-34	A.M.BoesgaardApJ7431402011	-3.12	-3.12	0.69
G206-34	I.U.RoedererAJ1471362014	-3.13	-3.17	
G206-34	C.CharbonnelAAP4429612005	-2.96	-2.96	
G206-34	J.A.RichApJ70115192009	-3.12	-3.12	0.93
G21-22	P.E.NissenAAP511L102010	-1.09	-1.09	
G21-22	A.M.BoesgaardApJ7431402011	-1.02	-1.02	-0.06
G21-22	E.CaffauAAP4415332005	-0.88	-0.88	
G21-22	A.M.BesgaardApJ64111222006	-1.02	-1.01	
G21-22	P. E. NissenAAP530A152011	-1.09	-1.09	
G234-28	I.U.RoedererAJ1471362014	-1.78	-1.8	0.14
G24-25	P.E.NissenAAP511L102010	-1.4	-1.4	
G24-25	A.M.BoesgaardApJ7431402011	-1.56	-1.56	0.52
G24-25	P. E. NissenAAP530A152011	-1.4	-1.4	
G24-3	A.M.BoesgaardApJ7431402011	-1.62	-1.62	0.35
G24-3	M.N.IshigakiApJ753642012	-1.4	-1.4	
G24-3	P.E.NissenAAP4693192007	-1.62	-1.62	
G24-3	J.MelendezApJ64210822006	-1.4	-1.58	0.56
G24-3	C.J.AkermanAAP4149312004	-1.67	-1.67	0.6
G24-3	M.N.IshigakiApJ771672013	-1.4	-1.4	
G24-3	C.CharbonnelAAP4429612005	-1.71	-1.71	
G24-3	D.FabbianAAP50011432009	-1.62	-1.67	0.54
G24-3	J.MelendezAAP515L32010	-1.59	-1.59	
G24-3	P.E.NissenAAP4159932004	-1.67	-1.67	
G25-24	I.U.RoedererAJ1471362014	-2.28	-2.11	<0.15
G25-24	M.N.IshigakiApJ753642012	-1.6	-1.6	
G25-24	M.N.IshigakiApJ771672013	-1.61	-1.61	
G25-24	M.IshigakiPASJ621432010	-2.02	-2.07	
G25-24	A.M.BoesgaardApJ6333982005	-1.88	-1.86	
G25-24	K.A.VennAJ12811772004		-1.96	
G25-24	A.StephensAJ12316472002	-1.88	-1.86	
G26-1	I.U.RoedererAJ1471362014	-1.94	-2.08	0.69
G26-12	A.M.BoesgaardApJ7431402011	-2.33	-2.33	0.92
G26-12	R.SmiljanicAAP4991032009	-2.48	-2.48	
G26-12	A.M.BoesgaardApJ6333982005	-2.48	-2.46	
G26-12	A.StephensAJ12316472002	-2.48	-2.47	
G271-162	G.IsraelianApJ5518332001	-2.46	-2.46	1.06
G271-162	P.E.NissenAAP3902352002	-2.31	-2.28	0.68
G3-28	B.E.ReddyMNRAS36713292006	-0.37	-0.42	0.66
G37-38	B.E.ReddyMNRAS36713292006	-1.39	-1.44	1.29
G4-36	I.U.RoedererAJ1471362014	-2.22	-2.17	0.17
G4-36	I.I.IvansApJ5929062003	-1.94	-1.91	0.52
G4-36	K.A.VennAJ12811772004		-1.93	
G4-37	A.M.BoesgaardApJ7431402011	-2.5	-2.5	0.82
G4-37	P.E.NissenAAP4693192007	-2.45	-2.45	
G4-37	G.IsraelianApJ5518332001	-2.89	-2.89	1.67
G4-37	E.ArnoneAAP4305072005		-2.75	
G4-37	I.U.RoedererAJ1471362014	-2.67	-2.73	0.33
G4-37	C.CharbonnelAAP4429612005	-2.87	-2.87	
G4-37	E.CaffauAAP4415332005			
G4-37	D.FabbianAAP50011432009	-2.45	-2.5	0.97
G41-41	L.ZhangApJ70610952009	-2.84	-2.64	
G41-41	M.N.IshigakiApJ753642012	-2.63	-2.63	
G41-41	M.N.IshigakiApJ771672013	-2.63	-2.63	
G41-41	M.IshigakiPASJ621432010	-2.98	-2.98	
G41-41	D.FabbianAAP50011432009	-2.66	-2.71	0.76
G41-41	T.GehrenAAP45110652006	-2.51	-2.5	
G53-41	P.E.NissenAAP511L102010	-1.2	-1.2	
G53-41	M.N.IshigakiApJ753642012	-1.14	-1.14	
G53-41	P.E.NissenAAP4693192007	-1.29	-1.29	
G53-41	M.IshigakiPASJ621432010	-1.44	-1.44	
G53-41	J.MelendezApJ64210822006	-1.1	-1.26	0.46
G53-41	C.J.AkermanAAP4149312004	-1.34	-1.34	0.51
G53-41	L.ZhangApJ70610952009	-1.22	-1.05	
G53-41	M.N.IshigakiApJ771672013	-1.14	-1.14	
G53-41	D.FabbianAAP50011432009	-1.29	-1.34	0.43
G53-41	J.MelendezAAP515L32010	-1.24	-1.24	
G53-41	P. E. NissenAAP530A152011	-1.2	-1.2	
G53-41	P.E.NissenAAP4159932004	-1.34	-1.34	
G59-24	A.M.BoesgaardApJ7431402011	-2.32	-2.32	0.94
G59-24	C.CharbonnelAAP4429612005	-2.63	-2.63	
