# Object	Reference	Metallicity	[Fe/H]	[O/Fe]
b6b102	C.R.daSilveiraAAP614A1492018	0.09	0.09	-0.06
b6b104	C.R.daSilveiraAAP614A1492018	-0.08	-0.08	-0.13
b6b105	C.R.daSilveiraAAP614A1492018	-0.05	-0.05	0.07
b6b108	C.R.daSilveiraAAP614A1492018	-0.56	-0.56	0.32
b6b109	C.R.daSilveiraAAP614A1492018	0	0	-0.01
b6b111	C.R.daSilveiraAAP614A1492018	-0.25	-0.25	0.02
b6b112	C.R.daSilveiraAAP614A1492018	-0.14	-0.14	0.2
b6b113	C.R.daSilveiraAAP614A1492018	-0.43	-0.43	0.42
b6b114	C.R.daSilveiraAAP614A1492018	-0.02	-0.02	0.07
b6b118	C.R.daSilveiraAAP614A1492018	0.06	0.06	-0.01
b6b119	C.R.daSilveiraAAP614A1492018	0	0	0.05
b6b120	C.R.daSilveiraAAP614A1492018	0.39	0.39	-0.28
b6b122	C.R.daSilveiraAAP614A1492018	-0.01	-0.01	0.14
b6b123	C.R.daSilveiraAAP614A1492018	0.05	0.05	0.52
b6b126	C.R.daSilveiraAAP614A1492018	0.31	0.31	-0.23
b6b127	C.R.daSilveiraAAP614A1492018	-0.17	-0.17	0.17
b6b128	C.R.daSilveiraAAP614A1492018	0	0	-0.08
b6b129	C.R.daSilveiraAAP614A1492018	0.18	0.18	-0.23
b6b132	C.R.daSilveiraAAP614A1492018	0.04	0.04	-0.23
b6b134	C.R.daSilveiraAAP614A1492018	-0.29	-0.29	0.12
b6f003	C.R.daSilveiraAAP614A1492018	0.11	0.11	-0.13
b6f005	C.R.daSilveiraAAP614A1492018	0.21	0.21	-0.08
b6f006	C.R.daSilveiraAAP614A1492018	0.2	0.2	-0.23
b6f008	C.R.daSilveiraAAP614A1492018	-0.48	-0.48	0.17
b6f010	C.R.daSilveiraAAP614A1492018	0.07	0.07	0.11
b6f011	C.R.daSilveiraAAP614A1492018	0.01	0.01	-0.03
b6f013	C.R.daSilveiraAAP614A1492018	0.03	0.03	0.07
b6f016	C.R.daSilveiraAAP614A1492018	0.1	0.1	-0.08
b6f017	C.R.daSilveiraAAP614A1492018	0.32	0.32	-0.23
b6f020	C.R.daSilveiraAAP614A1492018	-0.09	-0.09	0.05
b6f021	C.R.daSilveiraAAP614A1492018	-0.04	-0.04	0.07
b6f023	C.R.daSilveiraAAP614A1492018	-0.15	-0.15	0.07
b6f027	C.R.daSilveiraAAP614A1492018	-0.38	-0.38	0.32
b6f028	C.R.daSilveiraAAP614A1492018	-0.37	-0.37	0.12
b6f029	C.R.daSilveiraAAP614A1492018	0.4	0.4	-0.23
b6f030	C.R.daSilveiraAAP614A1492018	-0.27	-0.27	0.2
b6f031	C.R.daSilveiraAAP614A1492018	0	0	0.02
b6f034	C.R.daSilveiraAAP614A1492018	0.26	0.26	-0.23
b6f035	C.R.daSilveiraAAP614A1492018	0.44	0.44	-0.23
b6f036	C.R.daSilveiraAAP614A1492018	-0.45	-0.45	0.35
b6f037	C.R.daSilveiraAAP614A1492018	-0.51	-0.51	0.25
b6f038	C.R.daSilveiraAAP614A1492018	0.29	0.29	-0.13
b6f043	C.R.daSilveiraAAP614A1492018	-0.22	-0.22	0.12
b6f044	C.R.daSilveiraAAP614A1492018	0.29	0.29	-0.28
b6f045	C.R.daSilveiraAAP614A1492018	0.31	0.31	-0.23
b6f049	C.R.daSilveiraAAP614A1492018	-0.58	-0.58	0.37
b6f051	C.R.daSilveiraAAP614A1492018	-0.38	-0.38	0.37
b6f052	C.R.daSilveiraAAP614A1492018	-0.19	-0.19	0.2
b6f054	C.R.daSilveiraAAP614A1492018	-0.27	-0.27	0.12
b6f057	C.R.daSilveiraAAP614A1492018	0.15	0.15	-0.13
b6f058	C.R.daSilveiraAAP614A1492018	-0.28	-0.28	0.2
b6f059	C.R.daSilveiraAAP614A1492018	-0.45	-0.45	0.47
b6f061	C.R.daSilveiraAAP614A1492018	0.25	0.25	-0.18
b6f062	C.R.daSilveiraAAP614A1492018	-0.01	-0.01	-0.03
b6f064	C.R.daSilveiraAAP614A1492018	-0.48	-0.48	0.35
b6f066	C.R.daSilveiraAAP614A1492018	0.12	0.12	-0.18
b6f068	C.R.daSilveiraAAP614A1492018	0.17	0.17	-0.18
b6f069	C.R.daSilveiraAAP614A1492018	-0.17	-0.17	0.17
b6f070	C.R.daSilveiraAAP614A1492018	0.04	0.04	-0.08
b6f071	C.R.daSilveiraAAP614A1492018	-0.09	-0.09	0.11
b6f072	C.R.daSilveiraAAP614A1492018	-0.28	-0.28	0.17
b6f073	C.R.daSilveiraAAP614A1492018	0.23	0.23	-0.23
b6f074	C.R.daSilveiraAAP614A1492018	-0.22	-0.22	0.19
b6f075	C.R.daSilveiraAAP614A1492018	-0.25	-0.25	0.07
b6f078	C.R.daSilveiraAAP614A1492018	0.08	0.08	-0.08
b6f079	C.R.daSilveiraAAP614A1492018	0.03	0.03	-0.13
b6f080	C.R.daSilveiraAAP614A1492018	0.26	0.26	-0.13
b6f081	C.R.daSilveiraAAP614A1492018	-0.3	-0.3	0.25
b6f082	C.R.daSilveiraAAP614A1492018	0.03	0.03	-0.13
b6f083	C.R.daSilveiraAAP614A1492018	0.13	0.13	-0.13
b6f084	C.R.daSilveiraAAP614A1492018	-0.11	-0.11	-0.03
b6f085	C.R.daSilveiraAAP614A1492018	0.31	0.31	-0.28
b6f087	C.R.daSilveiraAAP614A1492018	-0.48	-0.48	0.17
b6f088	C.R.daSilveiraAAP614A1492018	0.04	0.04	-0.03
b6f089	C.R.daSilveiraAAP614A1492018	0.06	0.06	-0.13
b6f090	C.R.daSilveiraAAP614A1492018	0.08	0.08	-0.18
b6f091	C.R.daSilveiraAAP614A1492018	-0.08	-0.08	0.02
b6f092	C.R.daSilveiraAAP614A1492018	-0.41	-0.41	0.37
b6f093	C.R.daSilveiraAAP614A1492018	-0.2	-0.2	0.17
b6f095	C.R.daSilveiraAAP614A1492018	0.11	0.11	-0.03
b6f096	C.R.daSilveiraAAP614A1492018	0.01	0.01	-0.13
b6f098	C.R.daSilveiraAAP614A1492018	0.03	0.03	-0.03
b6f099	C.R.daSilveiraAAP614A1492018	-0.45	-0.45	0.3
b6f100	C.R.daSilveiraAAP614A1492018	-0.06	-0.06	-0.08
b6f101	C.R.daSilveiraAAP614A1492018	-0.48	-0.48	0.47
b6f102	C.R.daSilveiraAAP614A1492018	-0.22	-0.22	0.12
b6f103	C.R.daSilveiraAAP614A1492018	0	0	-0.13
b6f104	C.R.daSilveiraAAP614A1492018	0.17	0.17	-0.23
b6f105	C.R.daSilveiraAAP614A1492018	0.17	0.17	-0.18
b6f106	C.R.daSilveiraAAP614A1492018	0.18	0.18	-0.18
b6f107	C.R.daSilveiraAAP614A1492018	0.21	0.21	-0.23
b6f108	C.R.daSilveiraAAP614A1492018	0.02	0.02	-0.08
b6f109	C.R.daSilveiraAAP614A1492018	-0.25	-0.25	0.17
b6f110	C.R.daSilveiraAAP614A1492018	0.23	0.23	-0.18
b6f111	C.R.daSilveiraAAP614A1492018	0.18	0.18	-0.13
b6f113	C.R.daSilveiraAAP614A1492018	0.2	0.2	-0.23
b6f114	C.R.daSilveiraAAP614A1492018	-0.29	-0.29	0.22
b6f115	C.R.daSilveiraAAP614A1492018	0.25	0.25	-0.18
b6f117	C.R.daSilveiraAAP614A1492018	0.02	0.02	0.02
b6f118	C.R.daSilveiraAAP614A1492018	0.2	0.2	-0.23
b6f119	C.R.daSilveiraAAP614A1492018	0.27	0.27	-0.33
b6f120	C.R.daSilveiraAAP614A1492018	-0.85	-0.85	0.42
b6f121	C.R.daSilveiraAAP614A1492018	0.01	0.01	-0.03
b6f124	C.R.daSilveiraAAP614A1492018	0.31	0.31	-0.03
b6f126	C.R.daSilveiraAAP614A1492018	0.3	0.3	-0.23
b6f128	C.R.daSilveiraAAP614A1492018	0.27	0.27	-0.18
b6f130	C.R.daSilveiraAAP614A1492018	-0.25	-0.25	0.07
b6f131	C.R.daSilveiraAAP614A1492018	0.22	0.22	-0.28
b6f134	C.R.daSilveiraAAP614A1492018	-0.36	-0.36	0.07
b6f135	C.R.daSilveiraAAP614A1492018	-0.03	-0.03	-0.03
BD00_2627	B.E.ReddyMNRAS36713292006	-0.53	-0.58	0.72
BD00_549	B.E.ReddyMNRAS36713292006	-0.82	-0.87	0.73
BD01_2063	T.V.MisheninaAAP552A1282013	-0.22	-0.22	0.28
BD01_2916	H.N.LiApJ765512013	-1.88	-1.71	0.13
BD01_2916	W.AokiPASJ60L72008	-1.9	-1.93	
BD01_2916	D.L.BurrisApJ5443022000	-1.8	-1.82	
BD01_3597	A.M.BoesgaardApJ7431402011	-1.89	-1.89	0.42
BD01_3597	C.CharbonnelAAP4429612005	-2.4	-2.4	
BD01_3597	K.F.TanMNRAS3922052009	-1.92	-1.91	0.8
BD01_3597	E.CaffauAAP4415332005			
BD01_3597	C.J.HansenAAP545A312012	-1.89	-1.9	
BD01_3597	M.AsplundApJ6442292006	-1.89	-1.89	0.59
BD01_3597	J.MelendezAAP515L32010	-1.87	-1.87	
BD01_3597	P.E.NissenAAP3902352002	-1.78	-1.75	0.53
BD02_3375	P.E.NissenAAP4693192007	-2.19	-2.19	
BD02_3375	D.K.LaiApJ66711852007	-2.25	-2.08	
BD02_3375	J.A.RichApJ70115192009	-2.39	-2.39	0.72
BD02_3375	C.J.AkermanAAP4149312004	-2.28	-2.28	1.12
BD02_3375	T.V.MisheninaAAP3709512001	-2.25	-2.26	
BD02_3375	M.BergemannMNRAS40113342010	-2.19	-2.19	
BD02_3375	A.E.GarciaPerezAAP5042132009	-2.19	-2.19	
BD02_3375	A.M.BoesgaardApJ6333982005	-2.34	-2.32	
BD02_3375	J.MelendezAAP515L32010	-2.24	-2.24	
BD02_3375	P.E.NissenAAP4159932004	-2.28	-2.28	
BD02_3375	M.BergemannAAP4928232008	-2.19	-2.19	
BD02_3375	J.R.ShiAAP4655872007	-2.19	-2.18	
BD02_3375	R.G.GrattonAAP4041872003	-2.32	-2.38	0.82
BD02_3375	J.MelendezApJ64210822006	-2	-2.24	0.98
BD02_3375	A.M.BoesgaardAJ1174921999	-2.3	-2.13	1.01
BD02_3375	T.V.MisheninaAAP3961892002		-2.26	
BD02_3375	K.A.VennAJ12811772004		-2.32	
BD02_3375	A.StephensAJ12316472002	-2.34	-2.33	
BD02_3375	J.P.FulbrightAJ12018412000	-2.2	-2.3	
BD02_3375	G.S.BaiAAP4256712004	-2.25	-2.25	0.73
BD02_3375	C.CharbonnelAAP4429612005	-2.32	-2.32	
BD02_3375	E.CaffauAAP4415332005	-2.37	-2.37	
BD02_3375	D.FabbianAAP50011432009	-2.19	-2.24	0.85
BD02_3375	T.GehrenAAP45110652006	-2.19	-2.18	
BD02_4651	P.E.NissenAAP4693192007	-1.69	-1.69	
BD02_4651	J.MelendezApJ64210822006	-1.6	-1.79	0.84
BD02_4651	Y.TakedaPASJ63S5372011	-1.69	-1.69	
BD02_4651	C.J.AkermanAAP4149312004	-1.8	-1.8	0.9
BD02_4651	T.V.MisheninaAAP3961892002		-1.82	
BD02_4651	K.A.VennAJ12811772004		-1.77	
BD02_4651	T.V.MisheninaAAP3709512001	-1.82	-1.82	
BD02_4651	J.P.FulbrightAJ12018412000	-1.5	-1.75	
BD02_4651	C.CharbonnelAAP4429612005	-1.81	-1.81	
BD02_4651	D.FabbianAAP50011432009	-1.69	-1.74	0.76
BD02_4651	R.SmiljanicAAP4991032009	-1.5	-1.5	
BD02_4651	J.MelendezAAP515L32010	-1.78	-1.78	
BD02_4651	P.E.NissenAAP4159932004	-1.8	-1.8	
BD03_2782	J.P.FulbrightApJ59511542003	-2	-2.2	0.45
BD03_2782	B.W.CarneyAJ1252932003	-2.01	-2.01	
BD03_2782	D.L.BurrisApJ5443022000	-2	-1.86	
BD03_740	A.HosfordAAP4936012009	-2.72	-2.77	
BD03_740	J.G.CohenApJ778562013	-2.69		
BD03_740	J.A.RichApJ70115192009	-2.95	-2.89	0.91
BD03_740	G.BihainAAP4237772004	-2.82	-2.65	
BD03_740	L.MashonkinaApJ67915492008	-2.65	-2.65	
BD03_740	G.IsraelianApJ5518332001	-2.93	-2.93	1.28
BD03_740	E.ArnoneAAP4305072005		-2.84	
BD03_740	J.MelendezAAP515L32010	-2.71	-2.71	
BD03_740	I.U.RoedererApJ8601252018	-2.9	-2.89	
BD03_740	A.M.BoesgaardApJ633L1252005	-2.81	-2.8	
BD03_740	A.M.BoesgaardApJ7431402011	-2.95	-2.95	0.63
BD03_740	J.G.CohenAJ1244702002	-2.69		
BD03_740	J.R.ShiAAP4655872007	-2.45	-2.44	
BD03_740	A.M.BoesgaardAJ1174921999	-2.81	-2.64	0.93
BD03_740	E.CarrettaAJ1244812002	-2.7	-2.68	
BD03_740	K.A.VennAJ12811772004		-2.84	
BD03_740	J.G.CohenApJ61211072004			
