# Object	Reference	Metallicity	[O/H]	[N/H]
bwb059	C.R.daSilveira+AAP614A1492018	0.49	0.21	0.23
bwb060	C.R.daSilveira+AAP614A1492018	-0.33	-0.11	0.11
bwb061	C.R.daSilveira+AAP614A1492018	0.11	-0.07	0.45
bwb064	C.R.daSilveira+AAP614A1492018	-0.41	-0.09	0.23
bwb065	C.R.daSilveira+AAP614A1492018	0.31	0.08	0.8
bwb066	C.R.daSilveira+AAP614A1492018	-0.19	0.03	0.35
bwb069	C.R.daSilveira+AAP614A1492018	0.33	0.05	0.42
bwb071	C.R.daSilveira+AAP614A1492018	0.16	0.13	0.6
bwb073	C.R.daSilveira+AAP614A1492018	-0.45	-0.28	-0.31
bwb076	C.R.daSilveira+AAP614A1492018	-0.31	-0.01	0.33
bwb077	C.R.daSilveira+AAP614A1492018	-0.15	0.02	0.19
bwb078	C.R.daSilveira+AAP614A1492018	-0.38	-0.21	0.26
bwb079	C.R.daSilveira+AAP614A1492018	-0.28	-0.11	0.46
bwb080	C.R.daSilveira+AAP614A1492018	-0.11	0.14	0.53
bwb081	C.R.daSilveira+AAP614A1492018	0.45	0.17	0.79
bwb082	C.R.daSilveira+AAP614A1492018	-0.23	-0.03	0.11
bwb083	C.R.daSilveira+AAP614A1492018	-0.19	0.03	0.6
bwb085	C.R.daSilveira+AAP614A1492018	0.31	-0.02	0.55
bwb086	C.R.daSilveira+AAP614A1492018	-0.92	-0.55	-0.48
bwb087	C.R.daSilveira+AAP614A1492018	-1.21	-0.84	-0.53
bwb091	C.R.daSilveira+AAP614A1492018	-0.6	-0.13	0.04
bwb092	C.R.daSilveira+AAP614A1492018	0.26	0.03	0.35
bwb093	C.R.daSilveira+AAP614A1492018	-0.67	-0.3	0.27
bwb096	C.R.daSilveira+AAP614A1492018	-0.21	-0.06	0.23
bwb097	C.R.daSilveira+AAP614A1492018	-0.22	0.05	0.22
bwb099	C.R.daSilveira+AAP614A1492018	-0.58	-0.36	-0.44
bwb100	C.R.daSilveira+AAP614A1492018	0.4	0.12	0.09
bwb101	C.R.daSilveira+AAP614A1492018	-1.61	-1.19	-1.47
bwb102	C.R.daSilveira+AAP614A1492018	-0.5	-0.23	0.14
bwb103	C.R.daSilveira+AAP614A1492018	-0.14	-0.17	0.2
bwb104	C.R.daSilveira+AAP614A1492018	-0.06	0.03	0.28
bwb105	C.R.daSilveira+AAP614A1492018	-0.72	-0.3	-0.18
bwb106	C.R.daSilveira+AAP614A1492018	0.16	-0.07	0.5
bwb107	C.R.daSilveira+AAP614A1492018	-1.05	-0.7	-0.91
bwb109	C.R.daSilveira+AAP614A1492018	0.4	0.07	0.49
bwb110	C.R.daSilveira+AAP614A1492018	-0.21	-0.24	0.13
bwb111	C.R.daSilveira+AAP614A1492018	0.13	-0.1	0.47
bwb112	C.R.daSilveira+AAP614A1492018	-0.1	-0.13	0.34
bwb113	C.R.daSilveira+AAP614A1492018	-0.17	-0.1	0.17
bwb114	C.R.daSilveira+AAP614A1492018	0.17	-0.01	0.46
bwb115	C.R.daSilveira+AAP614A1492018	0.06	0.03	0.05
bwb117	C.R.daSilveira+AAP614A1492018	-0.31	-0.14	0.13
bwb119	C.R.daSilveira+AAP614A1492018	0.21	0.08	0.55
bwb120	C.R.daSilveira+AAP614A1492018	0.08	-0.05	0.22
bwb122	C.R.daSilveira+AAP614A1492018	-0.81	<-0.79	0.03
bwb123	C.R.daSilveira+AAP614A1492018	-0.25	-0.03	0.19
bwb128	C.R.daSilveira+AAP614A1492018	-0.82	<-0.75	0.02
bwb130	C.R.daSilveira+AAP614A1492018	-0.85	<-0.68	-0.01
bwb132	C.R.daSilveira+AAP614A1492018	-0.32	-0.1	0.32
bwf003	C.R.daSilveira+AAP614A1492018	-0.08	-0.06	0.26
bwf004	C.R.daSilveira+AAP614A1492018	0.27	0.09	0.51
bwf007	C.R.daSilveira+AAP614A1492018	-0.08	-0.06	0.56
bwf008	C.R.daSilveira+AAP614A1492018	0.18	0	0.52
bwf009	C.R.daSilveira+AAP614A1492018	0.34	0.11	0.78
bwf010	C.R.daSilveira+AAP614A1492018	0.31	-0.02	0.45
bwf013	C.R.daSilveira+AAP614A1492018	0.22	-0.01	0.51
bwf014	C.R.daSilveira+AAP614A1492018	0.29	-0.04	0.33
bwf015	C.R.daSilveira+AAP614A1492018	0.15	0.02	0.74
bwf016	C.R.daSilveira+AAP614A1492018	-0.3	-0.08	0.34
bwf017	C.R.daSilveira+AAP614A1492018	0.21	-0.02	0.3
bwf018	C.R.daSilveira+AAP614A1492018	0.29	0.06	0.53
bwf019	C.R.daSilveira+AAP614A1492018	-0.15	0.02	0.29
bwf020	C.R.daSilveira+AAP614A1492018	0.28	0.1	0.77
bwf021	C.R.daSilveira+AAP614A1492018	-0.05	-0.08	0.69
bwf022	C.R.daSilveira+AAP614A1492018	0.19	-0.04	0.58
bwf026	C.R.daSilveira+AAP614A1492018	0.17	0.24	0.31
bwf028	C.R.daSilveira+AAP614A1492018	0.17	0.09	0.86
bwf029	C.R.daSilveira+AAP614A1492018	-0.07	0.1	0.22
bwf033	C.R.daSilveira+AAP614A1492018	0.17	-0.06	0.21
bwf034	C.R.daSilveira+AAP614A1492018	0.28	0	0.32
bwf035	C.R.daSilveira+AAP614A1492018	0.19	0.06	0.68
bwf036	C.R.daSilveira+AAP614A1492018	-0.39	-0.17	-0.05
bwf037	C.R.daSilveira+AAP614A1492018	0.14	0.01	0.68
bwf038	C.R.daSilveira+AAP614A1492018	0.29	0.16	0.83
bwf040	C.R.daSilveira+AAP614A1492018	-0.01	-0.04	0.13
bwf041	C.R.daSilveira+AAP614A1492018	0.3	0.07	0.39
bwf042	C.R.daSilveira+AAP614A1492018	0.2	0.02	0.69
bwf043	C.R.daSilveira+AAP614A1492018	0.34	0.06	0.33
bwf046	C.R.daSilveira+AAP614A1492018	0.13	0	0.72
bwf049	C.R.daSilveira+AAP614A1492018	0.19	0.06	0.48
bwf051	C.R.daSilveira+AAP614A1492018	-0.16	-0.09	0.28
bwf054	C.R.daSilveira+AAP614A1492018	-0.11	0.09	0.33
bwf055	C.R.daSilveira+AAP614A1492018	0.31	0.08	0.65
bwf056	C.R.daSilveira+AAP614A1492018	0.43	0.15	0.07
bwf059	C.R.daSilveira+AAP614A1492018	0.01	0	0.3
bwf060	C.R.daSilveira+AAP614A1492018	0.34	0.09	0.48
bwf061	C.R.daSilveira+AAP614A1492018	0.44	0.11	0.28
bwf062	C.R.daSilveira+AAP614A1492018	-0.01	0.06	0.48
bwf064	C.R.daSilveira+AAP614A1492018	0.28	0.05	0.62
bwf065	C.R.daSilveira+AAP614A1492018	0.16	0.03	0.6
bwf066	C.R.daSilveira+AAP614A1492018	0.28	0.15	0.67
bwf067	C.R.daSilveira+AAP614A1492018	0.22	0.19	0.51
bwf069	C.R.daSilveira+AAP614A1492018	0.49	0.24	0.43
bwf070	C.R.daSilveira+AAP614A1492018	-0.25	0	0.24
bwf071	C.R.daSilveira+AAP614A1492018	0.02	-0.01	0.36
bwf072	C.R.daSilveira+AAP614A1492018	0.38	0.1	0.27
bwf073	C.R.daSilveira+AAP614A1492018	0.14	0.06	0.73
bwf074	C.R.daSilveira+AAP614A1492018	0.15	-0.06	0.49
bwf075	C.R.daSilveira+AAP614A1492018	0.25	0.07	0.69
bwf076	C.R.daSilveira+AAP614A1492018	0.13	0	0.27
bwf077	C.R.daSilveira+AAP614A1492018	0.31	0.03	0.6
bwf078	C.R.daSilveira+AAP614A1492018	0.46	0.23	0.3
bwf079	C.R.daSilveira+AAP614A1492018	0.07	-0.01	0.56
bwf080	C.R.daSilveira+AAP614A1492018	0.12	-0.04	-0.04
bwf081	C.R.daSilveira+AAP614A1492018	0.35	0.09	0.39
bwf082	C.R.daSilveira+AAP614A1492018	0.09	-0.04	0.53
bwf083	C.R.daSilveira+AAP614A1492018	-0.01	-0.04	0.93
bwf085	C.R.daSilveira+AAP614A1492018	0.31	-0.02	0.45
bwf086	C.R.daSilveira+AAP614A1492018	0.16	0.03	0.5
bwf087	C.R.daSilveira+AAP614A1492018	0.12	0.07	0.56
bwf088	C.R.daSilveira+AAP614A1492018	0.31	0.03	0.35
bwf091	C.R.daSilveira+AAP614A1492018	0.16	0.1	0.1
bwf092	C.R.daSilveira+AAP614A1492018	-0.25	-0.03	0.09
bwf093	C.R.daSilveira+AAP614A1492018	0.07	-0.06	0.11
bwf095	C.R.daSilveira+AAP614A1492018	0.01	-0.02	0.25
bwf096	C.R.daSilveira+AAP614A1492018	-0.26	-0.06	0.23
bwf097	C.R.daSilveira+AAP614A1492018	0.39	0.06	0.68
bwf098	C.R.daSilveira+AAP614A1492018	0.13	0.05	0.67
bwf099	C.R.daSilveira+AAP614A1492018	-0.12	0.1	0.72
bwf100	C.R.daSilveira+AAP614A1492018	0.03	0.05	0.27
bwf101	C.R.daSilveira+AAP614A1492018	0.49	0.18	0.18
bwf102	C.R.daSilveira+AAP614A1492018	-0.25	-0.08	0.59
bwf103	C.R.daSilveira+AAP614A1492018	0.45	0.17	0.09
bwf104	C.R.daSilveira+AAP614A1492018	-0.2	0.07	0.24
bwf105	C.R.daSilveira+AAP614A1492018	0.08	-0.05	0.52
bwf107	C.R.daSilveira+AAP614A1492018	-0.17	0.1	0.47
bwf108	C.R.daSilveira+AAP614A1492018	0.55	0.22	0.29
bwf109	C.R.daSilveira+AAP614A1492018	-0.18	0.09	0.06
bwf110	C.R.daSilveira+AAP614A1492018	-0.05	0.07	-0.01
bwf111	C.R.daSilveira+AAP614A1492018	0.12	-0.01	0.71
bwf112	C.R.daSilveira+AAP614A1492018	0.28	0	0.32
bwf113	C.R.daSilveira+AAP614A1492018	0.2	0.02	0.54
bwf114	C.R.daSilveira+AAP614A1492018	-0.01	0.11	0.53
bwf115	C.R.daSilveira+AAP614A1492018	0.1	-0.13	0.69
bwf116	C.R.daSilveira+AAP614A1492018	0.11	0.08	0.5
bwf118	C.R.daSilveira+AAP614A1492018	-0.32	-0.05	0.32
bwf119	C.R.daSilveira+AAP614A1492018	0.1	-0.03	0.34
bwf120	C.R.daSilveira+AAP614A1492018	0.05	-0.03	0.59
bwf121	C.R.daSilveira+AAP614A1492018	-1.09	-0.79	-0.65
bwf122	C.R.daSilveira+AAP614A1492018	0.01	-0.07	0.7
bwf123	C.R.daSilveira+AAP614A1492018	-0.25	0.05	0.19
bwf124	C.R.daSilveira+AAP614A1492018	0.19	0.01	0.38
bwf126	C.R.daSilveira+AAP614A1492018	-0.07	-0.1	0.57
bwf128	C.R.daSilveira+AAP614A1492018	0.05	-0.03	0.54
bwf129	C.R.daSilveira+AAP614A1492018	0.31	0.08	0.5
bwf133	C.R.daSilveira+AAP614A1492018	0.33	0.05	0.17
bwf134	C.R.daSilveira+AAP614A1492018	0.33	0.1	0.42
C1012254-203007	G.Ruchti+ApJ7431072011	-2.55	-1.94	-1.85
CD-36_1052	I.U.Roederer+AJ1471362014	-1.86	-1.61	<-0.43
CD-36_1052	I.U.Roederer+ApJ7115732010	-1.65	-0.75	<0.97
CD-38_245	A.McWilliam+AJ10927571995			
CD-38_245	P.Francois+AAP40311052003			
CD-38_245	M.Spite+AAP4306552005	-4.19		-3.03
CD-38_245	A.McWilliam+AJ10927361995			
CD-38_245	S.M.Andrievsky+AAP509A882010	-4.19		
CD-38_245	J.K.Hollek+ApJ742542011	-4		
CD-38_245	P.Francois+AAP4769352007	-4		
CD-38_245	J.E.Norris+ApJ56110342001	-3.98		
CD-38_245	S.M.Andrievsky+AAP4814812008	-4.19		
CD-38_245	S.M.Andrievsky+AAP49410832009	-4.19		
CD-38_245	R.Cayrel+AAP41611172004	-4.19		
CD-38_245	M.Spite+AAP541A1432012	-4.19		
CD-38_245	S.M.Andrievsky+AAP46410812007	-4.19		
CD-38_245	M.Spite+AAP4552912006	-4.19		-3.03
CD-38_245	I.U.Roederer+AJ1471362014	-4.5	<-2.33	<-2.93
CD-38_245	B.W.Carney+AJ1252932003	-4		
CS22169-008	I.U.Roederer+AJ1471362014	-2.59	-1.98	<-1.98
CS22169-035	S.M.Andrievsky+AAP49410832009	-3.04		
CS22169-035	R.Cayrel+AAP41611172004	-3.04		
CS22169-035	M.Spite+AAP4306552005	-3.04		-1.93
CS22169-035	M.Spite+AAP541A1432012	-3.04		
CS22169-035	S.M.Andrievsky+AAP509A882010	-3.04		
CS22169-035	C.M.Sakari+ApJ8681102018	-3.03		
CS22169-035	P.Francois+AAP4769352007	-3		
CS22169-035	S.M.Andrievsky+AAP46410812007	-3.04		
CS22169-035	I.U.Roederer+AJ1471362014	-3.12	<-2.46	-2.52
CS22169-035	M.Spite+AAP4552912006	-3.04		-1.93
CS22169-035	S.Honda+ApJS1521132004			
CS22169-035	M.Spite+AAP528A92011	-3.04		
CS22169-035	S.Honda+ApJ6074742004	-2.72		
CS22169-035	S.Giridhar+PASP1135192001	-2.8		
CS22169-035	S.M.Andrievsky+AAP4814812008	-3.04		
CS22171-031	I.U.Roederer+AJ1471362014	-2.42	-2.1	<-1.33
CS22171-037	I.U.Roederer+AJ1471362014	-3.35	<-2.8	<0.37
CS22172-002	S.M.Andrievsky+AAP49410832009	-3.86		
CS22172-002	P.Francois+AAP40311052003			
CS22172-002	R.Cayrel+AAP41611172004	-3.86	<-2.74	
CS22172-002	M.Spite+AAP4306552005	-3.86	-2.68	-3.53
CS22172-002	M.Spite+AAP541A1432012	-3.86		
CS22172-002	S.M.Andrievsky+AAP509A882010	-3.86		
CS22172-002	K.A.Venn+AJ12811772004			
CS22172-002	P.Francois+AAP4769352007	-4		
CS22172-002	J.E.Norris+ApJ56110342001	-3.61		
CS22172-002	S.M.Andrievsky+AAP46410812007	-3.86		
CS22172-002	M.Spite+AAP4552912006	-3.86		-3.53
CS22172-002	S.M.Andrievsky+AAP4814812008	-3.86		
CS22172-029	I.U.Roederer+AJ1471362014	-2.7	-2.08	-2.8
CS22174-020	I.U.Roederer+AJ1471362014	-3.02	<-2.35	<-1.93
CS22177-009	S.M.Andrievsky+AAP46410812007	-3.1		
CS22177-009	P.Bonifacio+AAP4628512007	-3.1		
CS22177-009	I.U.Roederer+AJ1471362014	-3.37	<-2.3	<-0.03
CS22177-009	P.Bonifacio+AAP5015192009	-3.1		
CS22177-009	M.Spite+AAP541A1432012	-3.1		
CS22177-009	S.M.Andrievsky+AAP509A882010	-3.1		
CS22177-009	L.Sbordone+AAP522A262010	-3.17		
CS22177-009	S.M.Andrievsky+AAP4814812008	-3.1		
CS22177-010	I.U.Roederer+AJ1471362014	-2.88	<-2.59	<-1.48
CS22180-014	I.U.Roederer+AJ1471362014	-2.9	-2.56	<-1.63
CS22182-047	I.U.Roederer+AJ1471362014	-1.99	-1.54	-1.78
CS22183-015	T.Masseron+ApJ751142012	-2.87	<-1.19	-0.78
CS22183-015	D.K.Lai+ApJ66711852007	-3.17		
CS22183-015	J.A.Johnson+ApJ579L872002	-3		
CS22183-015	J.G.Cohen+ApJ778562013	-2.76		-0.84
CS22183-015	D.M.Allen+AAP548A342012	-2.85		-0.92
CS22183-015	J.G.Cohen+AJ1321372006	-2.81		-0.88
CS22183-031	I.U.Roederer+MNRAS44529702014	-3.5		
CS22183-031	I.U.Roederer+AJ1471362014	-3.5	<-1.83	-3.33
CS22183-031	J.A.Johnson+ApJ65812032007	-2.79		<-1.06
CS22183-031	D.K.Lai+ApJ66711852007	-2.71		
CS22183-031	S.Honda+ApJS1521132004			
CS22183-031	D.K.Lai+AJ12824022004			
CS22183-031	S.Honda+ApJ6074742004	-2.93		
CS22185-007	I.U.Roederer+AJ1471362014	-3.02	<-2.12	<-3.08
CS22185-007	D.K.Lai+ApJ66711852007	-2.45		
CS22185-007	D.K.Lai+AJ12824022004			
CS22186-002	I.U.Roederer+AJ1471362014	-2.5	<-2.01	<-0.98
CS22186-017	I.U.Roederer+AJ1471362014	-2.9	<-2.03	<-2.28
CS22186-023	P.S.Barklem+AAP4391292005	-2.72		
CS22186-023	I.U.Roederer+AJ1471362014	-2.89	-1.81	-2.74
CS22186-023	L.Zhang+AAP528A922011			
CS22186-023	N.Christlieb+AAP42810272004	-2.72		
CS22186-025	S.M.Andrievsky+AAP49410832009	-3		
CS22186-025	P.S.Barklem+AAP4391292005	-2.87		
CS22186-025	R.Cayrel+AAP41611172004	-3	-2.33	
CS22186-025	M.Spite+AAP4306552005	-3	-2.27	-1.93
CS22186-025	M.Spite+AAP541A1432012	-3		
CS22186-025	S.M.Andrievsky+AAP509A882010	-3		
CS22186-025	N.Christlieb+AAP42810272004	-2.77		
CS22186-025	P.Francois+AAP4769352007	-3		
CS22186-025	S.M.Andrievsky+AAP46410812007	-3		
CS22186-025	L.Zhang+AAP528A922011			
CS22186-025	M.Spite+AAP4552912006	-3		-1.93
CS22186-025	M.Spite+AAP528A92011	-3		
CS22186-025	S.M.Andrievsky+AAP4814812008	-3		
CS22189-009	S.M.Andrievsky+AAP49410832009	-3.49		
CS22189-009	A.McWilliam+AJ10927571995	-3.4		
CS22189-009	R.Cayrel+AAP41611172004	-3.49		
CS22189-009	M.Spite+AAP4306552005	-3.49		-3.13
CS22189-009	A.McWilliam+AJ10927361995			
CS22189-009	M.Spite+AAP541A1432012	-3.49		
CS22189-009	S.M.Andrievsky+AAP509A882010	-3.49		
CS22189-009	K.A.Venn+AJ12811772004			
CS22189-009	P.Francois+AAP4769352007	-3.5		
CS22189-009	S.M.Andrievsky+AAP46410812007	-3.49		
CS22189-009	I.U.Roederer+AJ1471362014	-3.85	<-2.41	-3.6
CS22189-009	M.Spite+AAP4552912006	-3.49		-3.13
CS22189-009	M.Spite+AAP528A92011	-3.49		
CS22189-009	S.M.Andrievsky+AAP4814812008	-3.49		
CS22191-029	I.U.Roederer+AJ1471362014	-2.94	-2.44	<-0.33
CS22191-029	G.W.Preston+AJ132852006	-2.5		
CS22872-102	I.U.Roederer+AJ1471362014	-2.82	-2.43	<-1.63
CS22872-102	D.K.Lai+ApJ68115242008	-2.9		<-2.23
CS22873-055	S.M.Andrievsky+AAP49410832009	-2.99		
CS22873-055	A.McWilliam+AJ10927571995	-2.9		
CS22873-055	R.Cayrel+AAP41611172004	-2.99	-2.39	
CS22873-055	M.Spite+AAP4306552005	-2.99	-2.33	-1.83
CS22873-055	A.McWilliam+AJ10927361995			
CS22873-055	M.Spite+AAP541A1432012	-2.99		
CS22873-055	S.M.Andrievsky+AAP509A882010	-2.99		
CS22873-055	P.Francois+AAP4769352007	-3		
CS22873-055	S.M.Andrievsky+AAP46410812007	-2.99		
CS22873-055	M.Spite+AAP4552912006	-2.99		-1.83
CS22873-055	M.Spite+AAP528A92011	-2.99		
CS22873-055	F.Spite+AAP611A302018	-3		
CS22873-055	S.M.Andrievsky+AAP4814812008	-2.99		
CS22873-072	I.U.Roederer+AJ1471362014	-2.86	<-2.5	<-0.03
CS22873-128	A.McWilliam+AJ10927571995	-3		
CS22873-128	I.U.Roederer+AJ1471362014	-3.24	<-1.97	<-3.38
CS22873-128	A.McWilliam+AJ10927361995			
CS22873-128	K.A.Venn+AJ12811772004			
CS22876-040	I.U.Roederer+AJ1471362014	-2.21	-2.01	<-1.48
CS22876-040	I.U.Roederer+ApJ7115732010	-2.3	-1.49	<0.67
CS22877-001	I.U.Roederer+AJ1471362014	-3.24	-2.09	-3.39
CS22877-001	I.U.Roederer+ApJ7841582014	-3.24	-2.09	-3.39
CS22877-001	W.Aoki+ApJ56711662002	-2.72		-2.58
CS22877-001	S.Giridhar+PASP1135192001	-2.8		
CS22877-011	A.McWilliam+AJ10927571995	-3		
CS22877-011	I.U.Roederer+AJ1471362014	-3.12	-2.29	-3.38
CS22877-011	A.McWilliam+AJ10927361995			
CS22877-011	K.A.Venn+AJ12811772004			
CS22877-051	I.U.Roederer+AJ1471362014	-2.77	<-2.45	<-1.48
CS22878-101	A.McWilliam+AJ10927571995	-3.2		
CS22878-101	D.K.Lai+ApJ66711852007	-2.93		
CS22878-101	M.Spite+AAP4306552005	-3.25		-1.83
CS22878-101	A.McWilliam+AJ10927361995			
CS22878-101	J.G.Cohen+ApJ778562013	-3.07		
CS22878-101	S.M.Andrievsky+AAP509A882010	-3.25		
CS22878-101	P.Francois+AAP4769352007	-3		
CS22878-101	Y.Ishimaru+ApJ600L472004	-3.1		
CS22878-101	I.U.Roederer+ApJ7841582014	-3.3	-2.3	-2.35
CS22878-101	S.M.Andrievsky+AAP4814812008	-3.25		
CS22878-101	S.M.Andrievsky+AAP49410832009	-3.25		
CS22878-101	R.Cayrel+AAP41611172004	-3.25		
CS22878-101	J.G.Cohen+AJ1244702002	-3.07		
CS22878-101	M.Spite+AAP541A1432012	-3.25		
CS22878-101	E.Carretta+AJ1244812002	-3.09		
CS22878-101	K.A.Venn+AJ12811772004			
CS22878-101	S.M.Andrievsky+AAP46410812007	-3.25		
CS22878-101	I.U.Roederer+AJ1471362014	-3.3	-2.3	-2.35
CS22878-101	M.Spite+AAP4552912006	-3.25		-1.83
CS22878-101	M.Spite+AAP528A92011	-3.25		
CS22879-012	I.U.Roederer+AJ1471362014	-2.81	-2.45	<0.27
CS22879-029	I.U.Roederer+AJ1471362014	-2.35	-1.8	-1.25
CS22879-029	J.A.Johnson+ApJ65812032007	-1.93		<-0.81
CS22879-051	I.U.Roederer+AJ1471362014	-2.85	-2.77	<-1.18
CS22879-094	I.U.Roederer+AJ1471362014	-2.81	<-2.02	<-0.08
CS22881-032	I.U.Roederer+AJ1471362014	-3.1	<-1.46	<-2.12
CS22881-036	I.U.Roederer+AJ1471362014	-2.37	-1.79	-2.02
CS22881-036	G.W.Preston+AJ12215452001	-2.1		-0.91
CS22881-070	I.U.Roederer+AJ1471362014	-2.73	<-2.43	<0.07
CS22882-006	I.U.Roederer+AJ1471362014	-2.66	-2.27	<-0.08
CS22882-012	I.U.Roederer+AJ1471362014	-2.75	-2.63	-0.45
CS22882-030	I.U.Roederer+AJ1471362014	-3.14	<-2.09	<-1.88
CS22884-020	I.U.Roederer+AJ1471362014	-2.27	-2.16	<-1.08
CS22885-040	I.U.Roederer+AJ1471362014	-2.6	-2.29	<-0.98
CS22885-096	S.M.Andrievsky+AAP49410832009	-3.78		
CS22885-096	A.McWilliam+AJ10927571995	-3.5		
CS22885-096	P.Francois+AAP40311052003			
CS22885-096	R.Cayrel+AAP41611172004	-3.78		
CS22885-096	M.Spite+AAP4306552005	-3.78		-3.43
CS22885-096	A.McWilliam+AJ10927361995			
CS22885-096	M.Spite+AAP541A1432012	-3.78		
CS22885-096	S.M.Andrievsky+AAP509A882010	-3.78		
CS22885-096	K.A.Venn+AJ12811772004			
CS22885-096	P.Francois+AAP4769352007	-4		
CS22885-096	J.E.Norris+ApJ56110342001	-3.66		
CS22885-096	S.M.Andrievsky+AAP46410812007	-3.78		
CS22885-096	I.U.Roederer+AJ1471362014	-4.21	<-1.96	<-2.83
CS22885-096	M.Spite+AAP4552912006	-3.78		-3.43
CS22885-096	S.M.Andrievsky+AAP4814812008	-3.78		
CS22885-203	I.U.Roederer+AJ1471362014	-2.57	-1.97	<-1.63
CS22886-003	I.U.Roederer+AJ1471362014	-2.87	-2.38	<-1.13
CS22886-012	I.U.Roederer+MNRAS44529702014	-2.61		
CS22886-012	I.U.Roederer+AJ1471362014	-2.61	-2.12	<-1.63
CS22886-013	I.U.Roederer+AJ1471362014	-2.6	-2.55	<-0.33
CS22886-044	I.U.Roederer+AJ1471362014	-1.65	-1.5	-1.63
CS22887-048	J.A.Johnson+ApJ65812032007	-2.22		-0.85
CS22887-048	T.Masseron+ApJ751142012	-1.8	<-0.69	-0.43
CS22887-048	D.M.Allen+AAP548A342012	-1.7		<-0.27
CS22888-002	I.U.Roederer+AJ1471362014	-2.91	<-2.13	<-2.08
CS22888-014	I.U.Roederer+AJ1471362014	-2.69	-2.5	<-0.63
CS22888-031	S.M.Andrievsky+AAP46410812007	-3.28		
CS22888-031	P.Bonifacio+AAP4628512007	-3.3		
CS22888-031	I.U.Roederer+AJ1471362014	-3.41	<-2.53	<-0.03
CS22888-031	P.Bonifacio+AAP5015192009	-3.3		
CS22888-031	M.Spite+AAP541A1432012	-3.28		
CS22888-031	S.M.Andrievsky+AAP509A882010	-3.28		
CS22888-031	L.Sbordone+AAP522A262010	-3.47		
CS22888-031	S.M.Andrievsky+AAP4814812008	-3.28		
CS22890-011	I.U.Roederer+AJ1471362014	-2.47	-2.1	<0.12
CS22890-024	I.U.Roederer+AJ1471362014	-2.58	-1.64	-2.39
CS22890-024	C.J.Hansen+AAP545A312012	-2.77		
CS22891-171	J.A.Johnson+ApJ65812032007	-2.45		-1.63
CS22891-171	T.Masseron+AAP509A932010	-2.25	<-1.49	-0.63
CS22891-184	I.U.Roederer+AJ1471362014	-2.67	-2.28	<-1.53
CS22891-184	G.W.Preston+AJ132852006	-2.5		
CS22891-200	A.McWilliam+AJ10927571995	-3.5		
CS22891-200	I.U.Roederer+AJ1471362014	-3.88	<-2.39	-2.68
CS22891-200	I.U.Roederer+ApJ7841582014	-3.88	<-2.39	-2.68
CS22891-200	A.McWilliam+AJ10927361995			
CS22891-200	K.A.Venn+AJ12811772004			
CS22891-200	J.K.Hollek+ApJ742542011	-3.92		
CS22891-209	S.M.Andrievsky+AAP49410832009	-3.29		
CS22891-209	A.McWilliam+AJ10927571995	-3.2		
CS22891-209	R.Cayrel+AAP41611172004	-3.29	-2.44	
CS22891-209	M.Spite+AAP4306552005	-3.29	-2.38	-2.08
CS22891-209	A.McWilliam+AJ10927361995			
CS22891-209	M.Spite+AAP541A1432012	-3.29		
CS22891-209	S.M.Andrievsky+AAP509A882010	-3.29		
CS22891-209	K.A.Venn+AJ12811772004			
CS22891-209	P.Francois+AAP4769352007	-3		
CS22891-209	S.M.Andrievsky+AAP46410812007	-3.29		
CS22891-209	I.U.Roederer+AJ1471362014	-3.26	<-1.94	-2.41
CS22891-209	M.Spite+AAP4552912006	-3.29		-2.08
CS22891-209	M.Spite+AAP528A92011	-3.29		
CS22891-209	S.M.Andrievsky+AAP4814812008	-3.29		
CS22891-221	I.U.Roederer+AJ1471362014	-3.48	<-1.93	<-1.23
CS22892-025	I.U.Roederer+AJ1471362014	-2.66	<-2.49	<-1.18
CS22892-052	A.McWilliam+AJ10927571995	-3.1		
CS22892-052	J.A.Johnson+ApJ65812032007	-2.76		-2.69
CS22892-052	D.K.Lai+ApJ66711852007	-2.99		
CS22892-052	M.Spite+AAP4306552005	-3.03	-2.42	-2.43
CS22892-052	W.Aoki+ApJ5865062003			
CS22892-052	A.McWilliam+AJ10927361995			
CS22892-052	S.M.Andrievsky+AAP509A882010	-3.03		
CS22892-052	G.W.Preston+AJ12215452001			
CS22892-052	P.Francois+AAP4769352007	-3		
CS22892-052	L.Zhang+AAP528A922011			
CS22892-052	S.Honda+ApJS1521132004			
CS22892-052	S.Honda+ApJ6074742004	-2.92		
CS22892-052	S.M.Andrievsky+AAP49410832009	-3.03		
CS22892-052	J.E.Norris+ApJ4883501997			-1.75
CS22892-052	P.S.Barklem+AAP4391292005	-2.95		
CS22892-052	I.U.Roederer+MNRAS44529702014	-3.16		
CS22892-052	R.Cayrel+AAP41611172004	-3.03	-2.48	-2.41
CS22892-052	C.Sneden+ApJ533L1392000	-3.2		
CS22892-052	M.Spite+AAP541A1432012	-3.03		
CS22892-052	N.Christlieb+AAP42810272004	-2.97		
CS22892-052	K.A.Venn+AJ12811772004			
CS22892-052	S.M.Andrievsky+AAP46410812007	-3.03		
CS22892-052	I.U.Roederer+AJ1471362014	-3.16	<-2.19	-2.33
CS22892-052	I.U.Roederer+ApJ69819632009	-3.1		
CS22892-052	M.Spite+AAP4552912006	-3.03		-2.43
CS22892-052	M.Spite+AAP528A92011	-3.03		
CS22892-052	J.J.Cowan+ApJ6272382005	-3.1		
