# Object	Reference	Metallicity	[O/H]	[N/H]
b6b108	C.R.daSilveira+AAP614A1492018	-0.56	-0.24	-0.02
b6b109	C.R.daSilveira+AAP614A1492018	0	-0.01	0.69
b6b111	C.R.daSilveira+AAP614A1492018	-0.25	-0.23	0.29
b6b112	C.R.daSilveira+AAP614A1492018	-0.14	0.06	0.35
b6b113	C.R.daSilveira+AAP614A1492018	-0.43	-0.01	0.11
b6b114	C.R.daSilveira+AAP614A1492018	-0.02	0.05	0.72
b6b118	C.R.daSilveira+AAP614A1492018	0.06	0.05	0.5
b6b119	C.R.daSilveira+AAP614A1492018	0	0.05	0.44
b6b120	C.R.daSilveira+AAP614A1492018	0.39	0.11	0.63
b6b122	C.R.daSilveira+AAP614A1492018	-0.01	0.13	0.48
b6b123	C.R.daSilveira+AAP614A1492018	0.05	0.57	0.84
b6b126	C.R.daSilveira+AAP614A1492018	0.31	0.08	0.75
b6b127	C.R.daSilveira+AAP614A1492018	-0.17	0	0.47
b6b128	C.R.daSilveira+AAP614A1492018	0	-0.08	0.34
b6b129	C.R.daSilveira+AAP614A1492018	0.18	-0.05	0.32
b6b132	C.R.daSilveira+AAP614A1492018	0.04	-0.19	0.53
b6b134	C.R.daSilveira+AAP614A1492018	-0.29	-0.17	0.15
b6f003	C.R.daSilveira+AAP614A1492018	0.11	-0.02	0.7
b6f005	C.R.daSilveira+AAP614A1492018	0.21	0.13	0.85
b6f006	C.R.daSilveira+AAP614A1492018	0.2	-0.03	0.44
b6f008	C.R.daSilveira+AAP614A1492018	-0.48	-0.31	-0.24
b6f010	C.R.daSilveira+AAP614A1492018	0.07	0.18	0.71
b6f011	C.R.daSilveira+AAP614A1492018	0.01	-0.02	0.85
b6f013	C.R.daSilveira+AAP614A1492018	0.03	0.1	0.47
b6f016	C.R.daSilveira+AAP614A1492018	0.1	0.02	0.64
b6f017	C.R.daSilveira+AAP614A1492018	0.32	0.09	0.76
b6f020	C.R.daSilveira+AAP614A1492018	-0.09	-0.04	0.35
b6f021	C.R.daSilveira+AAP614A1492018	-0.04	0.03	0.5
b6f023	C.R.daSilveira+AAP614A1492018	-0.15	-0.08	0.39
b6f027	C.R.daSilveira+AAP614A1492018	-0.38	-0.06	0.16
b6f028	C.R.daSilveira+AAP614A1492018	-0.37	-0.25	-0.13
b6f029	C.R.daSilveira+AAP614A1492018	0.4	0.17	0.54
b6f030	C.R.daSilveira+AAP614A1492018	-0.27	-0.07	0.22
b6f031	C.R.daSilveira+AAP614A1492018	0	0.02	0.54
b6f034	C.R.daSilveira+AAP614A1492018	0.26	0.03	0.6
b6f035	C.R.daSilveira+AAP614A1492018	0.44	0.21	0.43
b6f036	C.R.daSilveira+AAP614A1492018	-0.45	-0.1	0.04
b6f037	C.R.daSilveira+AAP614A1492018	-0.51	-0.26	0.13
b6f038	C.R.daSilveira+AAP614A1492018	0.29	0.16	0.63
b6f043	C.R.daSilveira+AAP614A1492018	-0.22	-0.1	0.42
b6f044	C.R.daSilveira+AAP614A1492018	0.29	0.01	0.53
b6f045	C.R.daSilveira+AAP614A1492018	0.31	0.08	0.65
b6f049	C.R.daSilveira+AAP614A1492018	-0.58	-0.21	-0.44
b6f051	C.R.daSilveira+AAP614A1492018	-0.38	-0.01	0.06
b6f052	C.R.daSilveira+AAP614A1492018	-0.19	0.01	0.15
b6f054	C.R.daSilveira+AAP614A1492018	-0.27	-0.15	0.02
b6f057	C.R.daSilveira+AAP614A1492018	0.15	0.02	0.69
b6f058	C.R.daSilveira+AAP614A1492018	-0.28	-0.08	0.31
b6f059	C.R.daSilveira+AAP614A1492018	-0.45	0.02	0.24
b6f061	C.R.daSilveira+AAP614A1492018	0.25	0.07	0.74
b6f062	C.R.daSilveira+AAP614A1492018	-0.01	-0.04	0.73
b6f064	C.R.daSilveira+AAP614A1492018	-0.48	-0.13	0.01
b6f066	C.R.daSilveira+AAP614A1492018	0.12	-0.06	0.61
b6f068	C.R.daSilveira+AAP614A1492018	0.17	-0.01	0.61
b6f069	C.R.daSilveira+AAP614A1492018	-0.17	0	0.27
b6f070	C.R.daSilveira+AAP614A1492018	0.04	-0.04	0.78
b6f071	C.R.daSilveira+AAP614A1492018	-0.09	0.02	0.65
b6f072	C.R.daSilveira+AAP614A1492018	-0.28	-0.11	0.36
b6f073	C.R.daSilveira+AAP614A1492018	0.23	0	0.57
b6f074	C.R.daSilveira+AAP614A1492018	-0.22	-0.03	0.42
b6f075	C.R.daSilveira+AAP614A1492018	-0.25	-0.18	0.39
b6f078	C.R.daSilveira+AAP614A1492018	0.08	0	0.67
b6f079	C.R.daSilveira+AAP614A1492018	0.03	-0.1	0.57
b6f080	C.R.daSilveira+AAP614A1492018	0.26	0.13	0.6
b6f081	C.R.daSilveira+AAP614A1492018	-0.3	-0.05	0.24
b6f082	C.R.daSilveira+AAP614A1492018	0.03	-0.1	0.37
b6f083	C.R.daSilveira+AAP614A1492018	0.13	0	0.77
b6f084	C.R.daSilveira+AAP614A1492018	-0.11	-0.14	0.83
b6f085	C.R.daSilveira+AAP614A1492018	0.31	0.03	0.6
b6f087	C.R.daSilveira+AAP614A1492018	-0.48	-0.31	-0.04
b6f088	C.R.daSilveira+AAP614A1492018	0.04	0.01	0.83
b6f089	C.R.daSilveira+AAP614A1492018	0.06	-0.07	0.7
b6f090	C.R.daSilveira+AAP614A1492018	0.08	-0.1	0.57
b6f091	C.R.daSilveira+AAP614A1492018	-0.08	-0.06	0.61
b6f092	C.R.daSilveira+AAP614A1492018	-0.41	-0.04	0.26
b6f093	C.R.daSilveira+AAP614A1492018	-0.2	-0.03	0.34
b6f095	C.R.daSilveira+AAP614A1492018	0.11	0.08	0.85
b6f096	C.R.daSilveira+AAP614A1492018	0.01	-0.12	0.55
b6f098	C.R.daSilveira+AAP614A1492018	0.03	0	0.57
b6f099	C.R.daSilveira+AAP614A1492018	-0.45	-0.15	-0.11
b6f100	C.R.daSilveira+AAP614A1492018	-0.06	-0.14	0.43
b6f101	C.R.daSilveira+AAP614A1492018	-0.48	-0.01	0.06
b6f102	C.R.daSilveira+AAP614A1492018	-0.22	-0.1	0.27
b6f103	C.R.daSilveira+AAP614A1492018	0	-0.13	0.44
b6f104	C.R.daSilveira+AAP614A1492018	0.17	-0.06	0.71
b6f105	C.R.daSilveira+AAP614A1492018	0.17	-0.01	0.66
b6f106	C.R.daSilveira+AAP614A1492018	0.18	0	0.62
b6f107	C.R.daSilveira+AAP614A1492018	0.21	-0.02	0.65
b6f108	C.R.daSilveira+AAP614A1492018	0.02	-0.06	0.61
b6f109	C.R.daSilveira+AAP614A1492018	-0.25	-0.08	0.09
b6f110	C.R.daSilveira+AAP614A1492018	0.23	0.05	0.62
b6f111	C.R.daSilveira+AAP614A1492018	0.18	0.05	0.77
b6f113	C.R.daSilveira+AAP614A1492018	0.2	-0.03	0.39
b6f114	C.R.daSilveira+AAP614A1492018	-0.29	-0.07	0.25
b6f115	C.R.daSilveira+AAP614A1492018	0.25	0.07	0.74
b6f117	C.R.daSilveira+AAP614A1492018	0.02	0.04	0.51
b6f118	C.R.daSilveira+AAP614A1492018	0.2	-0.03	0.64
b6f119	C.R.daSilveira+AAP614A1492018	0.27	-0.06	0.46
b6f120	C.R.daSilveira+AAP614A1492018	-0.85	-0.43	-0.56
b6f121	C.R.daSilveira+AAP614A1492018	0.01	-0.02	0.6
b6f124	C.R.daSilveira+AAP614A1492018	0.31	0.28	0.95
b6f126	C.R.daSilveira+AAP614A1492018	0.3	0.07	0.44
b6f128	C.R.daSilveira+AAP614A1492018	0.27	0.09	0.61
b6f130	C.R.daSilveira+AAP614A1492018	-0.25	-0.18	0.29
b6f131	C.R.daSilveira+AAP614A1492018	0.22	-0.06	0.66
b6f134	C.R.daSilveira+AAP614A1492018	-0.36	-0.29	-0.22
b6f135	C.R.daSilveira+AAP614A1492018	-0.03	-0.06	0.61
BD+03_740	A.Hosford+AAP4936012009	-2.72		
BD+03_740	J.G.Cohen+ApJ778562013	-2.69		
BD+03_740	J.A.Rich+ApJ70115192009	-2.95	-1.98	
BD+03_740	G.Bihain+AAP4237772004	-2.82		
BD+03_740	L.Mashonkina+ApJ67915492008	-2.65		
BD+03_740	G.Israelian+ApJ5518332001	-2.93	-1.65	
BD+03_740	E.Arnone+AAP4305072005			
BD+03_740	J.Melendez+AAP515L32010	-2.71		
BD+03_740	I.U.Roederer+ApJ8601252018	-2.9		
BD+03_740	A.M.Boesgaard+ApJ633L1252005	-2.81		
BD+03_740	A.M.Boesgaard+ApJ7431402011	-2.95	-2.32	
BD+03_740	J.G.Cohen+AJ1244702002	-2.69		
BD+03_740	J.R.Shi+AAP4655872007	-2.45		
BD+03_740	A.M.Boesgaard+AJ1174921999	-2.81	-1.71	
BD+03_740	E.Carretta+AJ1244812002	-2.7		
BD+03_740	K.A.Venn+AJ12811772004			
BD+03_740	J.G.Cohen+ApJ61211072004			
BD+03_740	J.P.Fulbright+AJ12018412000	-2.7		
BD+03_740	I.I.Ivans+ApJ5929062003	-2.75	<-1.86	
BD+03_740	C.Charbonnel+AAP4429612005	-2.77		
BD+03_740	D.K.Lai+ApJ68115242008	-2.75	<-1.59	<-2.33
BD+03_740	D.Fabbian+AAP50011432009	-2.62	-1.82	
BD+03_740	T.Gehren+AAP45110652006	-2.45		
BD+03_740	M.Asplund+ApJ6442292006	-2.65	-2.01	
BD+10_2495	M.N.Ishigaki+ApJ753642012	-2.02		
BD+10_2495	M.Ishigaki+PASJ621432010	-2.17		
BD+10_2495	I.U.Roederer+ApJ7115732010	-2.45	-1.39	
BD+10_2495	I.U.Roederer+AJ1471362014	-2.14	-1.95	<-1.78
BD+10_2495	L.Zhang+ApJ70610952009	-2.1		
BD+10_2495	J.A.Johnson+ApJ5796162002			
BD+10_2495	C.Charbonnel+AAP4429612005	-1.83		
BD+10_2495	J.A.Johnson+ApJ5548882001	-2		
BD+10_2495	B.W.Carney+AJ1252932003	-2.14		
BD+10_2495	J.A.Johnson+ApJS1392192002	-2		
BD+17_3248	M.Spite+AAP4306552005	-2.07	-1.24	-1.33
BD+17_3248	S.M.Andrievsky+AAP509A882010	-2.07		
BD+17_3248	P.Francois+AAP4769352007	-2		
BD+17_3248	I.U.Roederer+ApJ747L82012	-2.08		
BD+17_3248	J.A.Johnson+ApJ5796162002			
BD+17_3248	J.A.Johnson+ApJ5548882001	-1.95		
BD+17_3248	J.A.Johnson+ApJS1392192002	-1.95		
BD+17_3248	S.M.Andrievsky+AAP4814812008	-2.07		
BD+17_3248	S.M.Andrievsky+AAP49410832009	-2.07		
BD+17_3248	R.Cayrel+AAP41611172004	-2.07	-1.3	-1.41
BD+17_3248	J.P.Fulbright+ApJ59511542003	-2	-1.48	
BD+17_3248	M.Spite+AAP541A1432012	-2.07		
BD+17_3248	D.L.Burris+ApJ5443022000	-1.8		
BD+17_3248	J.J.Cowan+ApJ5728612002	-2	-1.39	
BD+17_3248	S.M.Andrievsky+AAP46410812007	-2.07		
BD+17_3248	M.Spite+AAP4552912006	-2.07		-1.33
BD+17_3248	I.U.Roederer+ApJ69819632009	-2.08		
BD+17_3248	M.Spite+AAP528A92011	-2.07		
BD+17_3248	J.J.Cowan+ApJ6272382005	-2.08		
BD+17_4708	P.E.Nissen+AAP4693192007	-1.55		
BD+17_4708	J.A.Rich+ApJ70115192009	-1.81	-1.13	
BD+17_4708	C.J.Akerman+AAP4149312004	-1.64	-0.71	
BD+17_4708	T.V.Mishenina+AAP3709512001	-1.56		
BD+17_4708	I.U.Roederer+ApJ7249752010			
BD+17_4708	R.Smiljanic+AAP4991032009	-1.5		
BD+17_4708	J.Melendez+AAP515L32010	-1.59		
BD+17_4708	P.E.Nissen+AAP4159932004	-1.64		
BD+17_4708	S.G.Ryan+ApJ549552001	-1.86		
BD+17_4708	A.M.Boesgaard+ApJ7431402011	-1.7	-1.15	
BD+17_4708	R.G.Gratton+AAP4041872003	-1.58	-0.85	
BD+17_4708	J.Melendez+ApJ64210822006	-1.4	-0.74	
BD+17_4708	A.M.Boesgaard+AJ1174921999	-1.73	-0.71	
BD+17_4708	T.V.Mishenina+AAP3961892002	-1.56		
BD+17_4708	K.A.Venn+AJ12811772004			
BD+17_4708	P.E.Nissen+AAP3902352002	-1.58	-0.77	
BD+17_4708	I.U.Roederer+AJ1471362014	-1.7	-1.45	<-0.53
BD+17_4708	J.P.Fulbright+AJ12018412000	-1.5		
BD+17_4708	C.Charbonnel+AAP4429612005	-1.73		
BD+17_4708	E.Caffau+AAP4415332005	-1.62		
BD+17_4708	D.Fabbian+AAP50011432009	-1.55	-0.83	
BD+17_4708	J.Simmerer+ApJ61710912004	-1.59		
BD+17_4708	M.Asplund+ApJ6442292006	-1.51	-1	
BD+23_3130	D.K.Lai+ApJ66711852007	-2.59		
BD+23_3130	J.P.Fulbright+ApJ59511542003	-2.7	-1.65	
BD+23_3130	Y.Takeda+PASJ63S5372011	-2.6		
BD+23_3130	T.V.Mishenina+AAP3961892002	-2.61		
BD+23_3130	G.Bihain+AAP4237772004	-2.66		
BD+23_3130	K.A.Venn+AJ12811772004			
BD+23_3130	T.V.Mishenina+AAP3709512001	-2.62		
BD+23_3130	G.Israelian+ApJ5518332001		-1.21	
