# Object	Reference	Metallicity	[O/H]	[C/H]
CS22881-036	G.W.Preston+AJ12215452001	-2.1		0.03
CS22882-006	I.U.Roederer+AJ1471362014	-2.66	-2.27	-2.75
CS22882-012	I.U.Roederer+AJ1471362014	-2.75	-2.63	-1.65
CS22884-020	I.U.Roederer+AJ1471362014	-2.27	-2.16	-2.11
CS22885-040	I.U.Roederer+AJ1471362014	-2.6	-2.29	-2.2
CS22885-203	I.U.Roederer+AJ1471362014	-2.57	-1.97	-2.52
CS22886-003	I.U.Roederer+AJ1471362014	-2.87	-2.38	-2.38
CS22886-012	I.U.Roederer+MNRAS44529702014	-2.61		
CS22886-012	I.U.Roederer+AJ1471362014	-2.61	-2.12	-2.77
CS22886-044	I.U.Roederer+AJ1471362014	-1.65	-1.5	-2.02
CS22890-024	I.U.Roederer+AJ1471362014	-2.58	-1.64	-2.46
CS22890-024	C.J.Hansen+AAP545A312012	-2.77		
CS22891-209	S.M.Andrievsky+AAP49410832009	-3.29		
CS22891-209	A.McWilliam+AJ10927571995	-3.2		-3.53
CS22891-209	R.Cayrel+AAP41611172004	-3.29	-2.44	-3.72
CS22891-209	M.Spite+AAP4306552005	-3.29	-2.38	-3.85
CS22891-209	A.McWilliam+AJ10927361995			
CS22891-209	M.Spite+AAP541A1432012	-3.29		
CS22891-209	S.M.Andrievsky+AAP509A882010	-3.29		
CS22891-209	K.A.Venn+AJ12811772004			
CS22891-209	P.Francois+AAP4769352007	-3		
CS22891-209	S.M.Andrievsky+AAP46410812007	-3.29		
CS22891-209	I.U.Roederer+AJ1471362014	-3.26		-3.91
CS22891-209	M.Spite+AAP4552912006	-3.29		-3.77
CS22891-209	M.Spite+AAP528A92011	-3.29		
CS22891-209	S.M.Andrievsky+AAP4814812008	-3.29		
CS22892-052	A.McWilliam+AJ10927571995	-3.1		-1.93
CS22892-052	J.A.Johnson+ApJ65812032007	-2.76		-2.03
CS22892-052	D.K.Lai+ApJ66711852007	-2.99		-1.86
CS22892-052	M.Spite+AAP4306552005	-3.03	-2.42	-2.05
CS22892-052	W.Aoki+ApJ5865062003			
CS22892-052	A.McWilliam+AJ10927361995			
CS22892-052	S.M.Andrievsky+AAP509A882010	-3.03		
CS22892-052	G.W.Preston+AJ12215452001			
CS22892-052	P.Francois+AAP4769352007	-3		
CS22892-052	L.Zhang+AAP528A922011			-2.08
CS22892-052	S.Honda+ApJS1521132004			
CS22892-052	S.Honda+ApJ6074742004	-2.92		-1.88
CS22892-052	S.M.Andrievsky+AAP49410832009	-3.03		
CS22892-052	J.E.Norris+ApJ4883501997			-1.74
CS22892-052	P.S.Barklem+AAP4391292005	-2.95		-1.99
CS22892-052	I.U.Roederer+MNRAS44529702014	-3.16		
CS22892-052	R.Cayrel+AAP41611172004	-3.03	-2.48	-2.05
CS22892-052	C.Sneden+ApJ533L1392000	-3.2		
CS22892-052	M.Spite+AAP541A1432012	-3.03		
CS22892-052	N.Christlieb+AAP42810272004	-2.97		
CS22892-052	K.A.Venn+AJ12811772004			
CS22892-052	S.M.Andrievsky+AAP46410812007	-3.03		
CS22892-052	I.U.Roederer+AJ1471362014	-3.16		-2.32
CS22892-052	I.U.Roederer+ApJ69819632009	-3.1		
CS22892-052	M.Spite+AAP4552912006	-3.03		-2.02
CS22892-052	M.Spite+AAP528A92011	-3.03		
CS22892-052	J.J.Cowan+ApJ6272382005	-3.1		
CS22892-052	J.Ren+AAP537A1182012	-2.95		-1.82
CS22892-052	C.Sneden+ApJ5919362003	-2.5	-2.24	-2.13
CS22893-010	I.U.Roederer+AJ1471362014	-2.93	-2.11	-2.81
CS22893-010	D.K.Lai+ApJ66711852007	-2.38		-1.95
CS22893-010	I.U.Roederer+ApJ7841582014	-2.93	-2.11	-2.81
CS22893-010	D.K.Lai+AJ12824022004			
CS22893-011	I.U.Roederer+AJ1471362014	-2.27	-1.98	-2.06
CS22894-004	I.U.Roederer+AJ1471362014	-2.65	-2.29	-2.54
CS22896-110	I.U.Roederer+AJ1471362014	-2.86	-2.5	-2.66
CS22896-110	G.W.Preston+AJ132852006	-2.5		
CS22896-115	I.U.Roederer+AJ1471362014	-2.72	-1.94	-2.44
CS22896-136	I.U.Roederer+AJ1471362014	-2.19	-1.86	-1.11
CS22896-154	S.M.Andrievsky+AAP49410832009	-2.69		
CS22896-154	A.McWilliam+AJ10927571995	-2.9		-2.43
CS22896-154	R.Cayrel+AAP41611172004	-2.69	-1.67	-2.33
CS22896-154	M.Spite+AAP4306552005	-2.69	-1.61	-2.37
CS22896-154	A.McWilliam+AJ10927361995			
CS22896-154	M.Spite+AAP541A1432012	-2.69		
CS22896-154	S.M.Andrievsky+AAP509A882010	-2.69		
CS22896-154	K.A.Venn+AJ12811772004			
CS22896-154	P.Francois+AAP4769352007	-2.7		
CS22896-154	S.M.Andrievsky+AAP46410812007	-2.69		
CS22896-154	M.Spite+AAP4552912006	-2.69		-2.37
CS22896-154	M.Spite+AAP528A92011	-2.69		
CS22896-154	F.Spite+AAP611A302018	-2.7		
CS22896-154	S.M.Andrievsky+AAP4814812008	-2.69		
CS22942-011	I.U.Roederer+AJ1471362014	-2.83	-2.05	-2.6
CS22942-019	T.Masseron+AAP509A932010	-2.43	-1.49	-0.33
CS22942-019	W.Aoki+PASJ549332002	-2.64		-0.52
CS22942-019	W.Aoki+ApJ58011492002	-2.64		
CS22942-019	G.W.Preston+AJ12215452001	-2.67		-0.35
CS22943-0095	D.Fabbian+AAP50011432009	-2.24	-1.36	-1.87
CS22943-095	I.U.Roederer+AJ1471362014	-2.44	-2.15	-2.07
CS22943-095	P.E.Nissen+AAP4693192007	-2.24		
CS22943-201	I.U.Roederer+AJ1471362014	-2.69	-2.44	-0.8
CS22943-201	I.U.Roederer+ApJ7841582014	-2.69	-2.44	-0.8
CS22944-032	I.U.Roederer+AJ1471362014	-3.15		-2.94
CS22944-032	D.K.Lai+ApJ66711852007	-2.64		-1.86
CS22944-032	D.K.Lai+ApJ68115242008	-3	-2.09	-2.58
CS22944-032	D.K.Lai+AJ12824022004			
CS22945-017	I.U.Roederer+MNRAS44529702014	-2.73		
CS22945-017	I.U.Roederer+AJ1471362014	-2.73	-2.11	-0.95
CS22945-017	T.Masseron+AAP509A932010	-2.52		-0.28
CS22945-024	I.U.Roederer+AJ1471362014	-2.59	-1.7	-0.28
CS22945-024	J.A.Johnson+ApJ65812032007	-2.26		-1.43
CS22945-028	P.S.Barklem+AAP4391292005	-2.66		-2.5
CS22945-028	I.U.Roederer+AJ1471362014	-2.89	-2.08	-2.75
CS22945-028	L.Zhang+AAP528A922011			-2.32
CS22945-028	N.Christlieb+AAP42810272004	-2.38		
CS22945-028	J.Ren+AAP537A1182012	-2.66		-2.32
CS22947-187	A.McWilliam+AJ10927571995	-2.6		-1.33
CS22947-187	I.U.Roederer+AJ1471362014	-2.58	-1.96	-1.33
CS22947-187	J.A.Johnson+ApJ65812032007	-2.25		-1.52
CS22947-187	T.Masseron+ApJ751142012	-2.56	-1.89	-1.48
CS22947-187	A.McWilliam+AJ10927361995			
CS22947-187	K.A.Venn+AJ12811772004			
CS22948-066	S.M.Andrievsky+AAP49410832009	-3.14		
CS22948-066	A.McWilliam+AJ10927571995	-3.1		-3.4
CS22948-066	R.Cayrel+AAP41611172004	-3.14	-2.17	-3.07
CS22948-066	M.Spite+AAP4306552005	-3.14	-2.11	-3.05
CS22948-066	A.McWilliam+AJ10927361995			
CS22948-066	M.Spite+AAP541A1432012	-3.14		
CS22948-066	S.M.Andrievsky+AAP509A882010	-3.14		
CS22948-066	K.A.Venn+AJ12811772004			
CS22948-066	P.Francois+AAP4769352007	-3		
CS22948-066	S.M.Andrievsky+AAP46410812007	-3.14		
CS22948-066	I.U.Roederer+AJ1471362014	-3.18		-3.93
CS22948-066	M.Spite+AAP4552912006	-3.14		-2.97
CS22948-066	I.U.Roederer+ApJ7841582014	-3.18		-3.93
CS22948-066	M.Spite+AAP528A92011	-3.14		
CS22948-066	S.M.Andrievsky+AAP4814812008	-3.14		
CS22949-030	I.U.Roederer+AJ1471362014	-2.88	-2.43	-2.36
CS22949-037	A.McWilliam+AJ10927571995	-3.5		-2.98
CS22949-037	M.Spite+AAP4306552005	-3.97	-1.85	-2.73
CS22949-037	A.McWilliam+AJ10927361995			
CS22949-037	J.G.Cohen+ApJ778562013	-3.93		-2.76
CS22949-037	S.M.Andrievsky+AAP509A882010	-3.97		
CS22949-037	J.E.Norris+ApJ569L1072002	-3.79		-2.62
CS22949-037	J.E.Norris+ApJ56110342001	-3.79		-2.5
CS22949-037	E.Depagne+AAP3901872002	-3.9	-1.85	-2.71
CS22949-037	I.U.Roederer+ApJ7841582014	-4.21		-3.22
CS22949-037	S.M.Andrievsky+AAP49410832009	-3.97		
CS22949-037	R.Cayrel+AAP41611172004	-3.97	-1.91	-2.71
CS22949-037	M.Spite+AAP541A1432012	-3.97		
CS22949-037	K.A.Venn+AJ12811772004			
CS22949-037	S.M.Andrievsky+AAP46410812007	-3.97		
CS22949-037	M.Spite+AAP4552912006	-3.97		-2.63
CS22949-037	I.U.Roederer+AJ1471362014	-4.2		-3.22
CS22949-037	M.Spite+AAP528A92011	-3.97		
CS22949-037	J.G.Cohen+ApJ6723202008		-1.49	-2.66
CS22949-037	F.Spite+AAP611A302018	-4		
CS22951-005	I.U.Roederer+AJ1471362014	-2.67	-2.36	-2.4
CS22953-003	A.McWilliam+AJ10927571995	-2.9		-2.32
CS22953-003	M.Spite+AAP4306552005	-2.84	-1.95	-2.45
CS22953-003	A.McWilliam+AJ10927361995			
CS22953-003	S.M.Andrievsky+AAP509A882010	-2.84		
CS22953-003	P.Francois+AAP4769352007	-3		
CS22953-003	S.M.Andrievsky+AAP4814812008	-2.84		
CS22953-003	S.M.Andrievsky+AAP49410832009	-2.84		
CS22953-003	R.Cayrel+AAP41611172004	-2.84	-2.01	-2.43
CS22953-003	I.U.Roederer+MNRAS44529702014	-3		
CS22953-003	T.Masseron+AAP509A932010	-2.88		-2.53
CS22953-003	M.Spite+AAP541A1432012	-2.84		
CS22953-003	K.A.Venn+AJ12811772004			
CS22953-003	S.M.Andrievsky+AAP46410812007	-2.84		
CS22953-003	M.Spite+AAP4552912006	-2.84		-2.43
CS22953-003	I.U.Roederer+AJ1471362014	-3		-2.9
CS22953-003	M.Spite+AAP528A92011	-2.84		
CS22953-003	F.Spite+AAP611A302018	-2.8		
CS22954-004	I.U.Roederer+AJ1471362014	-2.78	-2.42	-2.75
CS22954-015	I.U.Roederer+AJ1471362014	-1.97	-1.51	-1.95
CS22955-110	G.W.Preston+AJ12010142000	-0.71		
CS22955-110	I.U.Roederer+AJ1471362014	-1.39	-1.32	-0.89
CS22955-174	I.U.Roederer+AJ1471362014	-3.1	-2.47	-2.6
CS22955-174	G.W.Preston+AJ132852006	-2.5		
CS22956-015	I.U.Roederer+AJ1471362014	-2.48	-2.16	-2.27
CS22956-028	G.W.Preston+AJ12010142000	-2.08		
CS22956-028	C.Sneden+ApJ5925042003	-2.08	-1.4	-0.35
CS22956-028	T.Masseron+AAP509A932010	-2.33		-0.53
CS22956-050	S.M.Andrievsky+AAP49410832009	-3.33		
CS22956-050	R.Cayrel+AAP41611172004	-3.33		-2.97
CS22956-050	M.Spite+AAP4306552005	-3.33	-2.07	-2.97
CS22956-050	M.Spite+AAP541A1432012	-3.33		
CS22956-050	S.M.Andrievsky+AAP509A882010	-3.33		
CS22956-050	P.Francois+AAP4769352007	-3.3		
CS22956-050	S.M.Andrievsky+AAP46410812007	-3.33		
CS22956-050	I.U.Roederer+AJ1471362014	-3.57		-3.41
CS22956-050	M.Spite+AAP4552912006	-3.33		-2.97
CS22956-050	M.Spite+AAP528A92011	-3.33		
CS22956-050	S.M.Andrievsky+AAP4814812008	-3.33		
CS22956-102	I.U.Roederer+AJ1471362014	-2.21	-2.04	-0.18
CS22957-019	I.U.Roederer+AJ1471362014	-2.42	-2.25	-2.08
CS22957-022	I.U.Roederer+AJ1471362014	-3.17		-3.11
CS22957-022	D.K.Lai+ApJ66711852007	-3.02		-2.59
CS22957-022	D.K.Lai+ApJ68115242008	-2.9	-2.19	-2.68
CS22957-022	D.K.Lai+AJ12824022004			
CS22957-026	I.U.Roederer+AJ1471362014	-1.89	-1.7	-1.6
CS22957-036	I.U.Roederer+AJ1471362014	-2.09	-1.79	-2.05
CS22958-042	I.U.Roederer+AJ1471362014	-2.99		-0.84
CS22958-042	J.A.Johnson+ApJ65812032007	-2.65		-0.12
CS22958-042	I.U.Roederer+ApJ7841582014	-2.99		-0.84
CS22958-042	T.Sivarani+AAP4591252006	-2.85	-1.52	0.27
CS22958-065	I.U.Roederer+AJ1471362014	-2.24	-2.18	-1.91
CS22959-139	I.U.Roederer+AJ1471362014	-2.45	-2.21	-2.26
CS22963-004	I.U.Roederer+AJ1471362014	-3.85		-3.58
CS22963-004	D.K.Lai+ApJ66711852007	-3.03		
CS22963-004	D.K.Lai+ApJ68115242008	-3.5	-2.29	-2.93
CS22963-004	D.K.Lai+AJ12824022004			
CS22964-115	I.U.Roederer+AJ1471362014	-2.7	-2.38	-2.34
CS22964-176	I.U.Roederer+AJ1471362014	-2.46	-2.33	-2.31
CS22964-214	G.W.Preston+AJ12010142000	-2.3		
CS22964-214	I.U.Roederer+AJ1471362014	-2.84	-2.78	-2.22
CS22964-214	C.Sneden+ApJ5925042003	-2.3	-1.42	
CS22965-016	I.U.Roederer+AJ1471362014	-2.93	-2.09	-3.61
CS22965-016	D.K.Lai+ApJ66711852007	-2.59		-3.16
CS22965-016	D.K.Lai+AJ12824022004			
CS22965-054	W.Aoki+ApJ69818032009	-2.84		
CS22965-054	P.Bonifacio+AAP4628512007	-3.04		
CS22965-054	P.Bonifacio+AAP5015192009	-3.04		-2.3
CS22965-054	M.Spite+AAP541A1432012	-3.04		
CS22965-054	S.M.Andrievsky+AAP509A882010	-3.04		
CS22965-054	S.M.Andrievsky+AAP46410812007	-3.04		
CS22965-054	I.U.Roederer+AJ1471362014	-2.89	-2.47	-2.15
CS22965-054	D.K.Lai+ApJ68115242008	-3.1		
CS22965-054	M.Spite+AAP528A92011	-3.04		
CS22965-054	L.Sbordone+AAP522A262010	-2.9		
CS22965-054	S.M.Andrievsky+AAP4814812008	-3.04		
CS22966-057	S.M.Andrievsky+AAP49410832009	-2.62		
CS22966-057	R.Cayrel+AAP41611172004	-2.62	-1.55	-2.47
CS22966-057	M.Spite+AAP4306552005	-2.62	-1.49	-2.47
CS22966-057	M.Spite+AAP541A1432012	-2.62		
CS22966-057	S.M.Andrievsky+AAP509A882010	-2.62		
CS22966-057	P.Francois+AAP4769352007	-2.6		
CS22966-057	S.M.Andrievsky+AAP46410812007	-2.62		
CS22966-057	M.Spite+AAP4552912006	-2.62		-2.47
CS22966-057	M.Spite+AAP528A92011	-2.62		
CS22966-057	F.Spite+AAP611A302018	-2.6		
CS22966-057	S.M.Andrievsky+AAP4814812008	-2.62		
CS22968-014	S.M.Andrievsky+AAP49410832009	-3.56		
CS22968-014	A.McWilliam+AJ10927571995	-3.5		-3.18
CS22968-014	J.A.Johnson+ApJ65812032007	-3.3		-3.07
CS22968-014	R.Cayrel+AAP41611172004	-3.56	-2.58	-3.17
CS22968-014	M.Spite+AAP4306552005	-3.56	-2.52	-3.22
CS22968-014	A.McWilliam+AJ10927361995			
CS22968-014	M.Spite+AAP541A1432012	-3.56		
CS22968-014	S.M.Andrievsky+AAP509A882010	-3.56		
CS22968-014	K.A.Venn+AJ12811772004			
CS22968-014	P.Francois+AAP4769352007	-3.5		
CS22968-014	S.M.Andrievsky+AAP46410812007	-3.56		
CS22968-014	I.U.Roederer+AJ1471362014	-3.85		-3.6
CS22968-014	M.Spite+AAP4552912006	-3.56		-3.21
CS22968-014	S.M.Andrievsky+AAP4814812008	-3.56		
CS22968-026	I.U.Roederer+AJ1471362014	-2.33	-1.84	-2.42
CS29491-053	S.M.Andrievsky+AAP49410832009	-3.04		
CS29491-053	R.Cayrel+AAP41611172004	-3.04	-2.2	-3.23
CS29491-053	M.Spite+AAP4306552005	-3.04	-2.14	-3.22
CS29491-053	M.Spite+AAP541A1432012	-3.04		
CS29491-053	S.M.Andrievsky+AAP509A882010	-3.04		
CS29491-053	P.Francois+AAP4769352007	-3		
CS29491-053	S.M.Andrievsky+AAP46410812007	-3.04		
CS29491-053	M.Spite+AAP4552912006	-3.04		-3.16
CS29491-053	M.Spite+AAP528A92011	-3.04		
CS29491-053	S.M.Andrievsky+AAP4814812008	-3.04		
CS29493-023	I.U.Roederer+AJ1471362014	-2.66	-2.42	-2.48
CS29493-050	I.U.Roederer+AJ1471362014	-2.89	-2.74	-2.08
CS29493-062	I.U.Roederer+AJ1471362014	-2.59	-1.95	-2.5
CS29493-090	P.S.Barklem+AAP4391292005	-3.13		-2.43
CS29493-090	M.Spite+AAP571A402014	-3.1		-2.25
CS29493-090	L.Zhang+AAP528A922011			-2.45
CS29493-090	J.A.Johnson+ApJ65812032007	-2.82		-2.44
CS29493-090	T.Masseron+ApJ751142012	-3.25	-2.39	-2.48
CS29493-094	I.U.Roederer+AJ1471362014	-2.44	-2.3	-2.35
CS29495-005	I.U.Roederer+AJ1471362014	-2.26	-1.93	-2.3
CS29495-041	S.M.Andrievsky+AAP49410832009	-2.82		
CS29495-041	R.Cayrel+AAP41611172004	-2.82	-2.06	-2.77
CS29495-041	M.Spite+AAP4306552005	-2.82	-2	-2.8
CS29495-041	M.Spite+AAP541A1432012	-2.82		
CS29495-041	S.M.Andrievsky+AAP509A882010	-2.82		
CS29495-041	P.Francois+AAP4769352007	-2.8		
CS29495-041	S.M.Andrievsky+AAP46410812007	-2.82		
CS29495-041	M.Spite+AAP4552912006	-2.82		-2.77
CS29495-041	S.M.Andrievsky+AAP4814812008	-2.82		
CS29495-042	I.U.Roederer+AJ1471362014	-2.18	-1.48	-1.47
CS29495-042	J.A.Johnson+ApJ65812032007	-2.3		-1.17
CS29497-030	I.I.Ivans+ApJ627L1452005	-2.57	-0.85	0.03
CS29497-030	G.W.Preston+AJ12010142000			
CS29497-030	I.U.Roederer+AJ1471362014	-2.52	-1.83	-0.15
CS29497-030	J.A.Johnson+ApJ65812032007	-2.2		-0.07
CS29497-030	C.Sneden+ApJ5925042003	-2.16	-0.85	0
CS29497-030	T.Sivarani+AAP41310732004	-2.7	-0.98	-0.23
CS29498-043	I.U.Roederer+AJ1471362014	-3.85	-1.5	-1.12
CS29498-043	W.Aoki+PASJ549332002	-3.75		-1.73
CS29498-043	I.U.Roederer+ApJ7841582014	-3.85	-1.5	-1.12
CS29498-043	W.Aoki+ApJ6089712004	-3.5	-0.59	-1.33
CS29498-043	W.Aoki+ApJ576L1412002	-3.75		-1.73
CS29499-003	I.U.Roederer+AJ1471362014	-2.35	-1.96	-2.25
CS29499-058	I.U.Roederer+AJ1471362014	-2.61	-2.34	-2.22
CS29501-032	I.U.Roederer+AJ1471362014	-2.71	-2.39	-2.59
CS29502-092	I.U.Roederer+AJ1471362014	-3.2	-2.17	-2.24
CS29502-092	D.K.Lai+ApJ66711852007	-2.92		-1.64
CS29502-092	I.U.Roederer+ApJ7841582014	-3.2	-2.17	-2.24
CS29502-092	D.K.Lai+ApJ68115242008	-3.3	-2.29	-2.13
CS29502-092	D.K.Lai+AJ12824022004			
CS29502-092	W.Aoki+ApJ56711662002	-2.76		-1.64
CS29502-092	D.M.Allen+AAP548A342012	-3.05		-1.77
CS29509-027	G.W.Preston+AJ12010142000			
CS29509-027	I.U.Roederer+AJ1471362014	-2.42	-2.26	-0.68
CS29509-027	C.Sneden+ApJ5925042003	-2.02	-1.29	-0.65
CS29512-073	I.U.Roederer+AJ1471362014	-1.93	-1.68	-0.86
CS29512-073	J.A.Johnson+ApJ65812032007	-2.1		-0.92
CS29512-073	T.Masseron+ApJ751142012	-2.09		-0.88
CS29512-073	C.J.Hansen+AAP545A312012	-2.67		
CS29512-073	D.M.Allen+AAP548A342012	-2.06		-0.39
CS29513-003	I.U.Roederer+AJ1471362014	-2.46	-2.09	-2.51
CS29513-014	I.U.Roederer+AJ1471362014	-2.32	-1.68	-1.29
CS29513-015	I.U.Roederer+AJ1471362014	-2.51	-2.35	-2.25
CS29513-032	I.U.Roederer+AJ1471362014	-1.91	-1.86	-1.17
CS29513-032	I.U.Roederer+ApJ7115732010	-2.1	-1.21	-1.34
CS29514-017	I.U.Roederer+AJ1471362014	-2.34	-1.96	-2.48
CS29514-018	I.U.Roederer+AJ1471362014	-2.58	-2.2	-2.56
CS29516-024	S.M.Andrievsky+AAP49410832009	-3.06		
CS29516-024	R.Cayrel+AAP41611172004	-3.06	-2.36	-2.98
CS29516-024	M.Spite+AAP4306552005	-3.06	-2.3	-3.03
CS29516-024	M.Spite+AAP541A1432012	-3.06		
CS29516-024	S.M.Andrievsky+AAP509A882010	-3.06		
CS29516-024	P.Francois+AAP4769352007	-3		
CS29516-024	S.M.Andrievsky+AAP46410812007	-3.06		
CS29516-024	M.Spite+AAP4552912006	-3.06		-3.01
CS29516-024	S.M.Andrievsky+AAP4814812008	-3.06		
CS29517-042	I.U.Roederer+AJ1471362014	-2.54	-2.42	-2.27
CS29518-051	S.M.Andrievsky+AAP49410832009	-2.69		
CS29518-051	R.Cayrel+AAP41611172004	-2.69	-1.68	-2.73
CS29518-051	M.Spite+AAP4306552005	-2.69	-1.75	-2.73
CS29518-051	M.Spite+AAP541A1432012	-2.69		
CS29518-051	S.M.Andrievsky+AAP509A882010	-2.69		
CS29518-051	P.Francois+AAP4769352007	-2.8		
CS29518-051	S.M.Andrievsky+AAP46410812007	-2.69		
CS29518-051	M.Spite+AAP4552912006	-2.69		-2.68
CS29518-051	M.Spite+AAP528A92011	-2.69		
CS29518-051	F.Spite+AAP611A302018	-2.7		
CS29518-051	S.M.Andrievsky+AAP4814812008	-2.69		
CS29522-046	D.K.Lai+ApJ68115242008	-2.1	-1.29	-1.58
CS30312-059	I.U.Roederer+AJ1471362014	-3.26	-1.99	-3.18
CS30312-059	W.Aoki+ApJ6326112005	-3		-2.83
CS30312-059	D.K.Lai+ApJ68115242008	-3.15		-2.78
CS30312-059	C.J.Hansen+AAP545A312012	-3.06		
CS30312-100	I.U.Roederer+AJ1471362014	-2.68	-1.75	-2.42
CS30312-100	T.Masseron+ApJ751142012	-2.7	-1.79	-2.35
CS30312-100	W.Aoki+ApJ6554922007	-2.4		-1.83
CS30312-100	C.J.Hansen+AAP545A312012	-2.62		
CS30312-100	W.Aoki+ApJ56711662002	-2.17		
CS30314-067	I.U.Roederer+AJ1471362014	-3.01	-2.2	-2.46
CS30314-067	J.A.Johnson+ApJ65812032007	-2.67		-2.29
CS30314-067	I.U.Roederer+ApJ7841582014	-3.01	-2.2	-2.46
CS30314-067	W.Aoki+ApJ56711662002	-2.85		-2.23
CS30322-023	T.Masseron+AAP509A932010	-3.39	-2.79	-2.63
CS30322-023	T.Masseron+ApJ751142012	-3.33	-2.79	-2.83
CS30322-023	W.Aoki+ApJ6554922007	-3.3		-2.73
CS30322-023	T.Masseron+AAP45510592006	-3.5	-2.79	-2.83
CS30325-028	W.Aoki+ApJ6326112005	-2.8		-2.23
CS30325-028	D.K.Lai+ApJ66711852007	-2.79		-2.11
CS30325-028	D.K.Lai+ApJ68115242008	-2.9	-2.19	-2.43
CS30325-028	D.K.Lai+AJ12824022004			
CS30325-094	S.M.Andrievsky+AAP49410832009	-3.3		
CS30325-094	R.Cayrel+AAP41611172004	-3.3	-2.5	-3.23
CS30325-094	M.Spite+AAP4306552005	-3.3	-2.44	-3.21
CS30325-094	M.Spite+AAP541A1432012	-3.3		
CS30325-094	S.M.Andrievsky+AAP509A882010	-3.3		
CS30325-094	P.Francois+AAP4769352007	-3.4		
CS30325-094	S.M.Andrievsky+AAP46410812007	-3.3		
CS30325-094	W.Aoki+ApJ6326112005	-3		-2.73
CS30325-094	M.Spite+AAP4552912006	-3.3		-3.19
CS30325-094	M.Spite+AAP528A92011	-3.3		
CS30325-094	S.M.Andrievsky+AAP4814812008	-3.3		
CS30336-049	D.K.Lai+ApJ68115242008	-3.95	-2.89	-4.23
CS30336-049	D.Yong+ApJ762262013	-4.1		
CS30336-049	J.E.Norris+ApJ762252013	-4.1		
CS30339-052	I.U.Roederer+AJ1471362014	-2.67	-2.18	-2
CS30492-001	I.U.Roederer+AJ1471362014	-2.35	-1.97	-2.4
CS30492-001	I.U.Roederer+ApJ7841582014	-2.35	-1.97	-2.4
CS30493-071	I.U.Roederer+AJ1471362014	-2.46	-1.92	-2.47
CS31078-018	D.K.Lai+ApJ66711852007	-3.02		-2.29
CS31078-018	D.K.Lai+ApJ68115242008	-2.85	-1.89	-2.38
CS31078-018	D.K.Lai+AJ12824022004			
CS31080-095	J.A.Johnson+ApJ65812032007	-2.75		-0.52
CS31080-095	T.Sivarani+AAP4591252006	-2.85	-0.52	-0.18
CS31082-001	D.K.Lai+ApJ66711852007	-2.78		-2.35
CS31082-001	M.Spite+AAP4306552005	-2.91	-2.17	-2.6
CS31082-001	W.Aoki+ApJ5865062003			
CS31082-001	V.Hill+AAP3875602002	-2.9	-2.17	
CS31082-001	C.J.Hansen+AAP545A312012	-2.81		
CS31082-001	S.M.Andrievsky+AAP509A882010	-2.91		
CS31082-001	L.Zhang+AAP528A922011			-2.52
CS31082-001	S.Honda+ApJS1521132004			
CS31082-001	B.Plez+AAP428L92004	-2.9		
CS31082-001	S.Honda+ApJ6074742004	-2.81		-2.59
CS31082-001	S.M.Andrievsky+AAP4814812008	-2.91		
CS31082-001	P.S.Barklem+AAP4391292005	-2.78		-2.6
CS31082-001	S.M.Andrievsky+AAP49410832009	-2.91		
CS31082-001	I.U.Roederer+MNRAS44529702014	-3.03		
CS31082-001	R.Cayrel+AAP41611172004	-2.91	-2.23	-2.61
CS31082-001	M.Spite+AAP541A1432012	-2.91		
CS31082-001	N.Christlieb+AAP42810272004	-2.8		
CS31082-001	S.M.Andrievsky+AAP46410812007	-2.91		
CS31082-001	I.U.Roederer+AJ1471362014	-3.03		-3.13
CS31082-001	M.Spite+AAP4552912006	-2.91		-2.59
CS31082-001	M.Spite+AAP528A92011	-2.91		
CS31082-001	J.Ren+AAP537A1182012	-2.78		-2.43
CS31085-024	D.K.Lai+ApJ66711852007	-3.3		-3.12
CS31085-024	D.K.Lai+ApJ68115242008	-2.7	-1.89	-2.23
CS31085-024	D.K.Lai+AJ12824022004			
G126-52	E.Arnone+AAP4305072005			
G126-52	A.M.Boesgaard+ApJ7431402011	-2.36	-1.73	
G126-52	P.E.Nissen+AAP4693192007	-2.21		
G126-52	E.Caffau+AAP4415332005			
G126-52	D.Fabbian+AAP50011432009	-2.21	-1.54	-2.01
G146-76	I.U.Roederer+AJ1471362014	-2.13	-1.9	-2.24
G15-10	I.U.Roederer+AJ1471362014	-2.54	-1.39	-2.34
G153-64	I.U.Roederer+AJ1471362014	-1.09	-0.81	-1.18
G161-73	P.E.Nissen+AAP511L102010	-1		
G161-73	I.U.Roederer+AJ1471362014	-1.07	-0.79	-1.65
G161-73	P. E. Nissen+AAP530A152011	-1		
G188-22	P.E.Nissen+AAP511L102010	-1.32		
G188-22	A.M.Boesgaard+ApJ7431402011	-1.35	-0.84	
G188-22	M.N.Ishigaki+ApJ753642012	-1.27		
G188-22	J.R.Shi+AAP4655872007	-1.25		
G188-22	I.U.Roederer+AJ1471362014	-1.44	-1.07	-1.51
G188-22	M.N.Ishigaki+ApJ771672013	-1.26		
G188-22	I.U.Roederer+ApJ7249752010			
G188-22	J.Simmerer+ApJ61710912004	-1.52		-1.69
G188-22	H.L.Yan+AAP5851022016	-1.32		
G188-22	P. E. Nissen+AAP530A152011	-1.32		
G190-10	I.U.Roederer+AJ1471362014	-1.94	-1.18	-2.07
