# Object	Reference	Metallicity	[O/H]	[C/H]
BD+08_3095	C.J.Akerman+AAP4149312004	-0.76	-0.34	-0.83
BD+08_3095	P.E.Nissen+AAP4159932004	-0.76		
BD+10_2495	M.N.Ishigaki+ApJ753642012	-2.02		
BD+10_2495	M.Ishigaki+PASJ621432010	-2.17		
BD+10_2495	I.U.Roederer+ApJ7115732010	-2.45	-1.39	-2.51
BD+10_2495	I.U.Roederer+AJ1471362014	-2.14	-1.95	-2.36
BD+10_2495	L.Zhang+ApJ70610952009	-2.1		
BD+10_2495	J.A.Johnson+ApJ5796162002			
BD+10_2495	C.Charbonnel+AAP4429612005	-1.83		
BD+10_2495	J.A.Johnson+ApJ5548882001	-2		
BD+10_2495	B.W.Carney+AJ1252932003	-2.14		
BD+10_2495	J.A.Johnson+ApJS1392192002	-2		
BD+11_4725	J.P.Fulbright+AJ12018412000	-0.8		
BD+11_4725	R.G.Gratton+AAP4041872003	-0.8		
BD+11_4725	B.E.Reddy+MNRAS36713292006	-0.79	-0.07	-0.23
BD+11_4725	R.Smiljanic+AAP4991032009	-0.8		
BD+11_4725	K.A.Venn+AJ12811772004			
BD+17_3248	M.Spite+AAP4306552005	-2.07	-1.24	-2.35
BD+17_3248	S.M.Andrievsky+AAP509A882010	-2.07		
BD+17_3248	P.Francois+AAP4769352007	-2		
BD+17_3248	I.U.Roederer+ApJ747L82012	-2.08		
BD+17_3248	J.A.Johnson+ApJ5796162002			
BD+17_3248	J.A.Johnson+ApJ5548882001	-1.95		
BD+17_3248	J.A.Johnson+ApJS1392192002	-1.95		
BD+17_3248	S.M.Andrievsky+AAP4814812008	-2.07		
BD+17_3248	S.M.Andrievsky+AAP49410832009	-2.07		
BD+17_3248	R.Cayrel+AAP41611172004	-2.07	-1.3	-2.41
BD+17_3248	J.P.Fulbright+ApJ59511542003	-2	-1.48	
BD+17_3248	M.Spite+AAP541A1432012	-2.07		
BD+17_3248	D.L.Burris+ApJ5443022000	-1.8		
BD+17_3248	J.J.Cowan+ApJ5728612002	-2	-1.39	-2.43
BD+17_3248	S.M.Andrievsky+AAP46410812007	-2.07		
BD+17_3248	M.Spite+AAP4552912006	-2.07		-2.31
BD+17_3248	I.U.Roederer+ApJ69819632009	-2.08		
BD+17_3248	M.Spite+AAP528A92011	-2.07		
BD+17_3248	J.J.Cowan+ApJ6272382005	-2.08		
BD+17_4708	P.E.Nissen+AAP4693192007	-1.55		
BD+17_4708	J.A.Rich+ApJ70115192009	-1.81	-1.13	
BD+17_4708	C.J.Akerman+AAP4149312004	-1.64	-0.71	-1.41
BD+17_4708	T.V.Mishenina+AAP3709512001	-1.56		
BD+17_4708	I.U.Roederer+ApJ7249752010			
