# Object	Reference	Metallicity	[Fe/H]	[N/Fe]
bwb050	C.R.daSilveira+AAP614A1492018	-0.2	-0.2	0.59
bwb053	C.R.daSilveira+AAP614A1492018	0.27	0.27	0.04
bwb054	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.34
bwb055	C.R.daSilveira+AAP614A1492018	-0.24	-0.24	0.64
bwb056	C.R.daSilveira+AAP614A1492018	-0.33	-0.33	0.04
bwb057	C.R.daSilveira+AAP614A1492018	-0.16	-0.16	0.64
bwb058	C.R.daSilveira+AAP614A1492018	-0.21	-0.21	0.44
bwb059	C.R.daSilveira+AAP614A1492018	0.49	0.49	-0.26
bwb060	C.R.daSilveira+AAP614A1492018	-0.33	-0.33	0.44
bwb061	C.R.daSilveira+AAP614A1492018	0.11	0.11	0.34
bwb064	C.R.daSilveira+AAP614A1492018	-0.41	-0.41	0.64
bwb065	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.49
bwb066	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.54
bwb068	C.R.daSilveira+AAP614A1492018	-1.1	-1.1	0.24
bwb069	C.R.daSilveira+AAP614A1492018	0.33	0.33	0.09
bwb071	C.R.daSilveira+AAP614A1492018	0.16	0.16	0.44
bwb072	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.54
bwb073	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.14
bwb074	C.R.daSilveira+AAP614A1492018	0.26	0.26	0.39
bwb076	C.R.daSilveira+AAP614A1492018	-0.31	-0.31	0.64
bwb077	C.R.daSilveira+AAP614A1492018	-0.15	-0.15	0.34
bwb078	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.64
bwb079	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.74
bwb080	C.R.daSilveira+AAP614A1492018	-0.11	-0.11	0.64
bwb081	C.R.daSilveira+AAP614A1492018	0.45	0.45	0.34
bwb082	C.R.daSilveira+AAP614A1492018	-0.23	-0.23	0.34
bwb083	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.79
bwb085	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.24
bwb086	C.R.daSilveira+AAP614A1492018	-0.92	-0.92	0.44
bwb087	C.R.daSilveira+AAP614A1492018	-1.21	-1.21	0.68
bwb088	C.R.daSilveira+AAP614A1492018	-0.04	-0.04	0.34
bwb091	C.R.daSilveira+AAP614A1492018	-0.6	-0.6	0.64
bwb092	C.R.daSilveira+AAP614A1492018	0.26	0.26	0.09
bwb093	C.R.daSilveira+AAP614A1492018	-0.67	-0.67	0.94
bwb095	C.R.daSilveira+AAP614A1492018	-0.34	-0.34	0.54
bwb096	C.R.daSilveira+AAP614A1492018	-0.21	-0.21	0.44
bwb097	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.44
bwb098	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.34
bwb099	C.R.daSilveira+AAP614A1492018	-0.58	-0.58	0.14
bwb100	C.R.daSilveira+AAP614A1492018	0.4	0.4	-0.31
bwb101	C.R.daSilveira+AAP614A1492018	-1.61	-1.61	0.14
bwb102	C.R.daSilveira+AAP614A1492018	-0.5	-0.5	0.64
bwb103	C.R.daSilveira+AAP614A1492018	-0.14	-0.14	0.34
bwb104	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.34
bwb105	C.R.daSilveira+AAP614A1492018	-0.72	-0.72	0.54
bwb106	C.R.daSilveira+AAP614A1492018	0.16	0.16	0.34
bwb107	C.R.daSilveira+AAP614A1492018	-1.05	-1.05	0.14
bwb109	C.R.daSilveira+AAP614A1492018	0.4	0.4	0.09
bwb110	C.R.daSilveira+AAP614A1492018	-0.21	-0.21	0.34
bwb111	C.R.daSilveira+AAP614A1492018	0.13	0.13	0.34
bwb112	C.R.daSilveira+AAP614A1492018	-0.1	-0.1	0.44
bwb113	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.34
bwb114	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.29
bwb115	C.R.daSilveira+AAP614A1492018	0.06	0.06	-0.01
bwb117	C.R.daSilveira+AAP614A1492018	-0.31	-0.31	0.44
bwb118	C.R.daSilveira+AAP614A1492018	-0.94	-0.94	0.14
bwb119	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.34
bwb120	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.14
bwb122	C.R.daSilveira+AAP614A1492018	-0.81	-0.81	0.84
bwb123	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.44
bwb128	C.R.daSilveira+AAP614A1492018	-0.82	-0.82	0.84
bwb130	C.R.daSilveira+AAP614A1492018	-0.85	-0.85	0.84
bwb132	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.64
bwf003	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.34
bwf004	C.R.daSilveira+AAP614A1492018	0.27	0.27	0.24
bwf005	C.R.daSilveira+AAP614A1492018	-0.5	-0.5	0.34
bwf007	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.64
bwf008	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.34
bwf009	C.R.daSilveira+AAP614A1492018	0.34	0.34	0.44
bwf010	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.14
bwf013	C.R.daSilveira+AAP614A1492018	0.22	0.22	0.29
bwf014	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.04
bwf015	C.R.daSilveira+AAP614A1492018	0.15	0.15	0.59
bwf016	C.R.daSilveira+AAP614A1492018	-0.3	-0.3	0.64
bwf017	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.09
bwf018	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.24
bwf019	C.R.daSilveira+AAP614A1492018	-0.15	-0.15	0.44
bwf020	C.R.daSilveira+AAP614A1492018	0.28	0.28	0.49
bwf021	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.74
bwf022	C.R.daSilveira+AAP614A1492018	0.19	0.19	0.39
bwf026	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.14
bwf028	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.69
bwf029	C.R.daSilveira+AAP614A1492018	-0.07	-0.07	0.29
bwf033	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.04
bwf034	C.R.daSilveira+AAP614A1492018	0.28	0.28	0.04
bwf035	C.R.daSilveira+AAP614A1492018	0.19	0.19	0.49
bwf036	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.34
bwf037	C.R.daSilveira+AAP614A1492018	0.14	0.14	0.54
bwf038	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.54
bwf040	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.14
bwf041	C.R.daSilveira+AAP614A1492018	0.3	0.3	0.09
bwf042	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.49
bwf043	C.R.daSilveira+AAP614A1492018	0.34	0.34	-0.01
bwf046	C.R.daSilveira+AAP614A1492018	0.13	0.13	0.59
bwf049	C.R.daSilveira+AAP614A1492018	0.19	0.19	0.29
bwf051	C.R.daSilveira+AAP614A1492018	-0.16	-0.16	0.44
bwf053	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.74
bwf054	C.R.daSilveira+AAP614A1492018	-0.11	-0.11	0.44
bwf055	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.34
bwf056	C.R.daSilveira+AAP614A1492018	0.43	0.43	-0.36
bwf057	C.R.daSilveira+AAP614A1492018	-0.65	-0.65	0.54
bwf059	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.29
bwf060	C.R.daSilveira+AAP614A1492018	0.34	0.34	0.14
bwf061	C.R.daSilveira+AAP614A1492018	0.44	0.44	-0.16
bwf062	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.49
bwf064	C.R.daSilveira+AAP614A1492018	0.28	0.28	0.34
bwf065	C.R.daSilveira+AAP614A1492018	0.16	0.16	0.44
bwf066	C.R.daSilveira+AAP614A1492018	0.28	0.28	0.39
bwf067	C.R.daSilveira+AAP614A1492018	0.22	0.22	0.29
bwf069	C.R.daSilveira+AAP614A1492018	0.49	0.49	-0.06
bwf070	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.49
bwf071	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.34
bwf072	C.R.daSilveira+AAP614A1492018	0.38	0.38	-0.11
bwf073	C.R.daSilveira+AAP614A1492018	0.14	0.14	0.59
bwf074	C.R.daSilveira+AAP614A1492018	0.15	0.15	0.34
bwf075	C.R.daSilveira+AAP614A1492018	0.25	0.25	0.44
bwf076	C.R.daSilveira+AAP614A1492018	0.13	0.13	0.14
bwf077	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.29
bwf078	C.R.daSilveira+AAP614A1492018	0.46	0.46	-0.16
bwf079	C.R.daSilveira+AAP614A1492018	0.07	0.07	0.49
bwf080	C.R.daSilveira+AAP614A1492018	0.12	0.12	-0.16
bwf081	C.R.daSilveira+AAP614A1492018	0.35	0.35	0.04
bwf082	C.R.daSilveira+AAP614A1492018	0.09	0.09	0.44
bwf083	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.94
bwf085	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.14
bwf086	C.R.daSilveira+AAP614A1492018	0.16	0.16	0.34
bwf087	C.R.daSilveira+AAP614A1492018	0.12	0.12	0.44
bwf088	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.04
bwf091	C.R.daSilveira+AAP614A1492018	0.16	0.16	-0.06
bwf092	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.34
bwf093	C.R.daSilveira+AAP614A1492018	0.07	0.07	0.04
bwf095	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.24
bwf096	C.R.daSilveira+AAP614A1492018	-0.26	-0.26	0.49
bwf097	C.R.daSilveira+AAP614A1492018	0.39	0.39	0.29
bwf098	C.R.daSilveira+AAP614A1492018	0.13	0.13	0.54
bwf099	C.R.daSilveira+AAP614A1492018	-0.12	-0.12	0.84
bwf100	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.24
bwf101	C.R.daSilveira+AAP614A1492018	0.49	0.49	-0.31
bwf102	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.84
bwf103	C.R.daSilveira+AAP614A1492018	0.45	0.45	-0.36
bwf104	C.R.daSilveira+AAP614A1492018	-0.2	-0.2	0.44
bwf105	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.44
bwf107	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.64
bwf108	C.R.daSilveira+AAP614A1492018	0.55	0.55	-0.26
bwf109	C.R.daSilveira+AAP614A1492018	-0.18	-0.18	0.24
bwf110	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.04
bwf111	C.R.daSilveira+AAP614A1492018	0.12	0.12	0.59
bwf112	C.R.daSilveira+AAP614A1492018	0.28	0.28	0.04
bwf113	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.34
bwf114	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.54
bwf115	C.R.daSilveira+AAP614A1492018	0.1	0.1	0.59
bwf116	C.R.daSilveira+AAP614A1492018	0.11	0.11	0.39
bwf118	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.64
bwf119	C.R.daSilveira+AAP614A1492018	0.1	0.1	0.24
bwf120	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.54
bwf121	C.R.daSilveira+AAP614A1492018	-1.09	-1.09	0.44
bwf122	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.69
bwf123	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.44
bwf124	C.R.daSilveira+AAP614A1492018	0.19	0.19	0.19
bwf126	C.R.daSilveira+AAP614A1492018	-0.07	-0.07	0.64
bwf128	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.49
bwf129	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.19
bwf133	C.R.daSilveira+AAP614A1492018	0.33	0.33	-0.16
bwf134	C.R.daSilveira+AAP614A1492018	0.33	0.33	0.09
C1012254-203007	G.Ruchti+ApJ7431072011	-2.55	-2.55	0.7
CD-27_14351	D.Karinkuzhi+ApJ834612017	-2.62	-2.63	1.9
CD-38_245	A.McWilliam+AJ10927571995		-3.84	
CD-38_245	P.Francois+AAP40311052003		-4.07	
CD-38_245	M.Spite+AAP4306552005	-4.19	-4.19	1.16
CD-38_245	A.McWilliam+AJ10927361995			
CD-38_245	S.M.Andrievsky+AAP509A882010	-4.19	-4.19	
CD-38_245	J.K.Hollek+ApJ742542011	-4		
CD-38_245	P.Francois+AAP4769352007	-4	-4.19	
CD-38_245	J.E.Norris+ApJ56110342001	-3.98	-3.81	
CD-38_245	S.M.Andrievsky+AAP4814812008	-4.19	-4.19	
CD-38_245	S.M.Andrievsky+AAP49410832009	-4.19	-4.19	
CD-38_245	R.Cayrel+AAP41611172004	-4.19	-4.2	
CD-38_245	M.Spite+AAP541A1432012	-4.19	-4.19	
CD-38_245	S.M.Andrievsky+AAP46410812007	-4.19	-4.19	
CD-38_245	M.Spite+AAP4552912006	-4.19	-4.19	1.16
CD-38_245	I.U.Roederer+AJ1471362014	-4.5	-4.59	
CD-38_245	B.W.Carney+AJ1252932003	-4	-4	
CD-50_776	M.Roriz+MNRAS4723502017	-2.31	-2.29	-0.02
CS22166-016	I.U.Roederer+AJ1471362014	-3.09	-3.22	0.73
CS22166-016	D.K.Lai+ApJ66711852007	-2.47	-2.3	
CS22166-016	S.Giridhar+PASP1135192001	-2.4	-2.4	
CS22169-035	S.M.Andrievsky+AAP49410832009	-3.04	-3.04	
CS22169-035	R.Cayrel+AAP41611172004	-3.04	-3.04	
CS22169-035	M.Spite+AAP4306552005	-3.04	-3.04	1.11
CS22169-035	M.Spite+AAP541A1432012	-3.04	-3.04	
CS22169-035	S.M.Andrievsky+AAP509A882010	-3.04	-3.04	
CS22169-035	C.M.Sakari+ApJ8681102018	-3.03	-3.03	
CS22169-035	P.Francois+AAP4769352007	-3	-3.04	
CS22169-035	S.M.Andrievsky+AAP46410812007	-3.04	-3.04	
CS22169-035	I.U.Roederer+AJ1471362014	-3.12	-3.31	0.79
CS22169-035	M.Spite+AAP4552912006	-3.04	-3.04	1.11
CS22169-035	S.Honda+ApJS1521132004			
CS22169-035	M.Spite+AAP528A92011	-3.04	-3.04	
CS22169-035	S.Honda+ApJ6074742004	-2.72	-2.71	
CS22169-035	S.Giridhar+PASP1135192001	-2.8	-2.86	
CS22169-035	S.M.Andrievsky+AAP4814812008	-3.04	-3.04	
CS22172-002	S.M.Andrievsky+AAP49410832009	-3.86	-3.86	
CS22172-002	P.Francois+AAP40311052003		-3.81	
CS22172-002	R.Cayrel+AAP41611172004	-3.86	-3.86	
CS22172-002	M.Spite+AAP4306552005	-3.86	-3.86	0.33
CS22172-002	M.Spite+AAP541A1432012	-3.86	-3.86	
CS22172-002	S.M.Andrievsky+AAP509A882010	-3.86	-3.86	
CS22172-002	K.A.Venn+AJ12811772004		-3.57	
CS22172-002	P.Francois+AAP4769352007	-4	-3.86	
CS22172-002	J.E.Norris+ApJ56110342001	-3.61	-3.44	
CS22172-002	S.M.Andrievsky+AAP46410812007	-3.86	-3.86	
CS22172-002	M.Spite+AAP4552912006	-3.86	-3.86	0.33
CS22172-002	S.M.Andrievsky+AAP4814812008	-3.86	-3.86	
CS22172-029	I.U.Roederer+AJ1471362014	-2.7	-2.68	-0.12
CS22182-047	I.U.Roederer+AJ1471362014	-1.99	-2.18	0.4
CS22183-015	T.Masseron+ApJ751142012	-2.87	-2.92	
CS22183-015	D.K.Lai+ApJ66711852007	-3.17	-3	
CS22183-015	J.A.Johnson+ApJ579L872002	-3	-3.1	
CS22183-015	J.G.Cohen+ApJ778562013	-2.76	-2.81	1.97
CS22183-015	D.M.Allen+AAP548A342012	-2.85	-2.85	1.93
CS22183-015	J.G.Cohen+AJ1321372006	-2.81	-2.8	1.92
CS22183-031	I.U.Roederer+MNRAS44529702014	-3.5	-3.5	
CS22183-031	I.U.Roederer+AJ1471362014	-3.5	-3.57	0.24
CS22183-031	J.A.Johnson+ApJ65812032007	-2.79	-2.77	
CS22183-031	D.K.Lai+ApJ66711852007	-2.71	-2.54	
CS22183-031	S.Honda+ApJS1521132004			
CS22183-031	D.K.Lai+AJ12824022004		-2.71	
CS22183-031	S.Honda+ApJ6074742004	-2.93	-2.92	
CS22186-023	P.S.Barklem+AAP4391292005	-2.72	-2.72	
CS22186-023	I.U.Roederer+AJ1471362014	-2.89	-3.04	0.3
CS22186-023	L.Zhang+AAP528A922011		-2.72	
CS22186-023	N.Christlieb+AAP42810272004	-2.72		
CS22186-025	S.M.Andrievsky+AAP49410832009	-3	-3	
CS22186-025	P.S.Barklem+AAP4391292005	-2.87	-2.87	
CS22186-025	R.Cayrel+AAP41611172004	-3	-3	
CS22186-025	M.Spite+AAP4306552005	-3	-3	1.07
CS22186-025	M.Spite+AAP541A1432012	-3	-3	
CS22186-025	S.M.Andrievsky+AAP509A882010	-3	-3	
CS22186-025	N.Christlieb+AAP42810272004	-2.77		
CS22186-025	P.Francois+AAP4769352007	-3	-3	
CS22186-025	S.M.Andrievsky+AAP46410812007	-3	-3	
CS22186-025	L.Zhang+AAP528A922011		-2.87	
CS22186-025	M.Spite+AAP4552912006	-3	-3	1.07
CS22186-025	M.Spite+AAP528A92011	-3	-3	
CS22186-025	S.M.Andrievsky+AAP4814812008	-3	-3	
CS22189-009	S.M.Andrievsky+AAP49410832009	-3.49	-3.49	
CS22189-009	A.McWilliam+AJ10927571995	-3.4	-3.27	
CS22189-009	R.Cayrel+AAP41611172004	-3.49	-3.49	
CS22189-009	M.Spite+AAP4306552005	-3.49	-3.49	0.36
CS22189-009	A.McWilliam+AJ10927361995			
CS22189-009	M.Spite+AAP541A1432012	-3.49	-3.49	
CS22189-009	S.M.Andrievsky+AAP509A882010	-3.49	-3.49	
CS22189-009	K.A.Venn+AJ12811772004		-3.44	
CS22189-009	P.Francois+AAP4769352007	-3.5	-3.49	
CS22189-009	S.M.Andrievsky+AAP46410812007	-3.49	-3.49	
CS22189-009	I.U.Roederer+AJ1471362014	-3.85	-3.92	0.32
CS22189-009	M.Spite+AAP4552912006	-3.49	-3.49	0.36
CS22189-009	M.Spite+AAP528A92011	-3.49	-3.49	
CS22189-009	S.M.Andrievsky+AAP4814812008	-3.49	-3.49	
CS22873-055	S.M.Andrievsky+AAP49410832009	-2.99	-2.99	
CS22873-055	A.McWilliam+AJ10927571995	-2.9	-2.71	
CS22873-055	R.Cayrel+AAP41611172004	-2.99	-2.98	
CS22873-055	M.Spite+AAP4306552005	-2.99	-2.99	1.16
CS22873-055	A.McWilliam+AJ10927361995			
CS22873-055	M.Spite+AAP541A1432012	-2.99	-2.99	
CS22873-055	S.M.Andrievsky+AAP509A882010	-2.99	-2.99	
CS22873-055	P.Francois+AAP4769352007	-3	-2.99	
CS22873-055	S.M.Andrievsky+AAP46410812007	-2.99	-2.99	
CS22873-055	M.Spite+AAP4552912006	-2.99	-2.99	1.16
CS22873-055	M.Spite+AAP528A92011	-2.99	-2.99	
CS22873-055	F.Spite+AAP611A302018	-3	-2.99	
CS22873-055	S.M.Andrievsky+AAP4814812008	-2.99	-2.99	
CS22873-166	S.M.Andrievsky+AAP49410832009	-2.97	-2.97	
CS22873-166	A.McWilliam+AJ10927571995	-3	-2.73	
CS22873-166	R.Cayrel+AAP41611172004	-2.97	-2.92	1.09
CS22873-166	M.Spite+AAP4306552005	-2.97	-2.97	1.14
CS22873-166	A.McWilliam+AJ10927361995			
CS22873-166	M.Spite+AAP541A1432012	-2.97	-2.97	
CS22873-166	S.M.Andrievsky+AAP509A882010	-2.97	-2.97	
CS22873-166	K.A.Venn+AJ12811772004		-2.9	
CS22873-166	J.K.Hollek+ApJ742542011	-3.14	-3.14	
CS22873-166	P.Francois+AAP4769352007	-3	-2.97	
CS22873-166	S.M.Andrievsky+AAP46410812007	-2.97	-2.97	
CS22873-166	M.Spite+AAP4552912006	-2.97	-2.97	1.14
CS22873-166	M.Spite+AAP528A92011	-2.97	-2.97	
CS22873-166	F.Spite+AAP611A302018	-3	-2.97	
CS22873-166	S.M.Andrievsky+AAP4814812008	-2.97	-2.97	
CS22877-001	I.U.Roederer+AJ1471362014	-3.24	-3.31	-0.08
CS22877-001	I.U.Roederer+ApJ7841582014	-3.24	-3.31	-0.08
CS22877-001	W.Aoki+ApJ56711662002	-2.72	-2.72	0.14
CS22877-001	S.Giridhar+PASP1135192001	-2.8	-2.82	
CS22877-011	A.McWilliam+AJ10927571995	-3	-2.75	
CS22877-011	I.U.Roederer+AJ1471362014	-3.12	-3.23	-0.15
CS22877-011	A.McWilliam+AJ10927361995			
CS22877-011	K.A.Venn+AJ12811772004		-2.92	
CS22878-101	A.McWilliam+AJ10927571995	-3.2	-2.96	
CS22878-101	D.K.Lai+ApJ66711852007	-2.93	-2.76	
CS22878-101	M.Spite+AAP4306552005	-3.25	-3.25	1.42
CS22878-101	A.McWilliam+AJ10927361995			
CS22878-101	J.G.Cohen+ApJ778562013	-3.07		
CS22878-101	S.M.Andrievsky+AAP509A882010	-3.25	-3.25	
CS22878-101	P.Francois+AAP4769352007	-3	-3.25	
CS22878-101	Y.Ishimaru+ApJ600L472004	-3.1	-3.14	
CS22878-101	I.U.Roederer+ApJ7841582014	-3.3	-3.53	1.18
CS22878-101	S.M.Andrievsky+AAP4814812008	-3.25	-3.25	
CS22878-101	S.M.Andrievsky+AAP49410832009	-3.25	-3.25	
CS22878-101	R.Cayrel+AAP41611172004	-3.25	-3.29	
CS22878-101	J.G.Cohen+AJ1244702002	-3.07		
CS22878-101	M.Spite+AAP541A1432012	-3.25	-3.25	
CS22878-101	E.Carretta+AJ1244812002	-3.09	-3.06	
CS22878-101	K.A.Venn+AJ12811772004		-3.13	
CS22878-101	S.M.Andrievsky+AAP46410812007	-3.25	-3.25	
CS22878-101	I.U.Roederer+AJ1471362014	-3.3	-3.53	1.18
CS22878-101	M.Spite+AAP4552912006	-3.25	-3.25	1.42
CS22878-101	M.Spite+AAP528A92011	-3.25	-3.25	
CS22879-029	I.U.Roederer+AJ1471362014	-2.35	-2.55	1.3
CS22879-029	J.A.Johnson+ApJ65812032007	-1.93	-1.91	
CS22880-074	W.Aoki+PASJ549332002	-1.93	-1.93	0.04
CS22880-074	W.Aoki+ApJ58011492002	-1.93	-1.93	
CS22880-074	G.W.Preston+AJ12215452001	-1.8	-1.78	0.34
CS22881-036	I.U.Roederer+AJ1471362014	-2.37	-2.34	0.32
CS22881-036	G.W.Preston+AJ12215452001	-2.1	-2.05	1.14
CS22885-096	S.M.Andrievsky+AAP49410832009	-3.78	-3.78	
CS22885-096	A.McWilliam+AJ10927571995	-3.5	-3.62	
CS22885-096	P.Francois+AAP40311052003		-3.96	
CS22885-096	R.Cayrel+AAP41611172004	-3.78	-3.81	
CS22885-096	M.Spite+AAP4306552005	-3.78	-3.78	0.35
CS22885-096	A.McWilliam+AJ10927361995			
CS22885-096	M.Spite+AAP541A1432012	-3.78	-3.78	
CS22885-096	S.M.Andrievsky+AAP509A882010	-3.78	-3.78	
CS22885-096	K.A.Venn+AJ12811772004		-3.79	
CS22885-096	P.Francois+AAP4769352007	-4	-3.78	
CS22885-096	J.E.Norris+ApJ56110342001	-3.66	-3.49	
CS22885-096	S.M.Andrievsky+AAP46410812007	-3.78	-3.78	
CS22885-096	I.U.Roederer+AJ1471362014	-4.21	-4.41	
CS22885-096	M.Spite+AAP4552912006	-3.78	-3.78	0.35
CS22885-096	S.M.Andrievsky+AAP4814812008	-3.78	-3.78	
CS22886-044	I.U.Roederer+AJ1471362014	-1.65	-1.86	0.23
CS22887-048	J.A.Johnson+ApJ65812032007	-2.22	-2.77	1.92
CS22887-048	T.Masseron+ApJ751142012	-1.8	-1.85	1.42
CS22887-048	D.M.Allen+AAP548A342012	-1.7	-1.7	
CS22890-024	I.U.Roederer+AJ1471362014	-2.58	-2.77	0.38
CS22890-024	C.J.Hansen+AAP545A312012	-2.77	-2.77	
CS22891-171	J.A.Johnson+ApJ65812032007	-2.45	-2.43	0.8
CS22891-171	T.Masseron+AAP509A932010	-2.25	-2.3	1.67
CS22891-200	A.McWilliam+AJ10927571995	-3.5	-3.32	
CS22891-200	I.U.Roederer+AJ1471362014	-3.88	-4.06	1.38
CS22891-200	I.U.Roederer+ApJ7841582014	-3.88	-4.06	1.38
CS22891-200	A.McWilliam+AJ10927361995			
CS22891-200	K.A.Venn+AJ12811772004		-3.49	
CS22891-200	J.K.Hollek+ApJ742542011	-3.92	-3.92	
CS22891-209	S.M.Andrievsky+AAP49410832009	-3.29	-3.29	
CS22891-209	A.McWilliam+AJ10927571995	-3.2	-3.03	
CS22891-209	R.Cayrel+AAP41611172004	-3.29	-3.29	
CS22891-209	M.Spite+AAP4306552005	-3.29	-3.29	1.21
CS22891-209	A.McWilliam+AJ10927361995			
CS22891-209	M.Spite+AAP541A1432012	-3.29	-3.29	
CS22891-209	S.M.Andrievsky+AAP509A882010	-3.29	-3.29	
CS22891-209	K.A.Venn+AJ12811772004		-3.2	
CS22891-209	P.Francois+AAP4769352007	-3	-3.29	
CS22891-209	S.M.Andrievsky+AAP46410812007	-3.29	-3.29	
CS22891-209	I.U.Roederer+AJ1471362014	-3.26	-3.49	1.08
CS22891-209	M.Spite+AAP4552912006	-3.29	-3.29	1.21
CS22891-209	M.Spite+AAP528A92011	-3.29	-3.29	
CS22891-209	S.M.Andrievsky+AAP4814812008	-3.29	-3.29	
CS22892-052	A.McWilliam+AJ10927571995	-3.1	-2.87	
CS22892-052	J.A.Johnson+ApJ65812032007	-2.76	-2.74	0.05
CS22892-052	D.K.Lai+ApJ66711852007	-2.99	-2.82	
CS22892-052	M.Spite+AAP4306552005	-3.03	-3.03	0.6
CS22892-052	W.Aoki+ApJ5865062003			
CS22892-052	A.McWilliam+AJ10927361995			
CS22892-052	S.M.Andrievsky+AAP509A882010	-3.03	-3.03	
CS22892-052	G.W.Preston+AJ12215452001			
CS22892-052	P.Francois+AAP4769352007	-3	-3.03	
CS22892-052	L.Zhang+AAP528A922011		-2.95	
CS22892-052	S.Honda+ApJS1521132004			
CS22892-052	S.Honda+ApJ6074742004	-2.92	-2.91	
CS22892-052	S.M.Andrievsky+AAP49410832009	-3.03	-3.03	
CS22892-052	J.E.Norris+ApJ4883501997		-2.8	1.05
CS22892-052	P.S.Barklem+AAP4391292005	-2.95	-2.95	
CS22892-052	I.U.Roederer+MNRAS44529702014	-3.16	-3.16	
CS22892-052	R.Cayrel+AAP41611172004	-3.03	-3.04	0.63
CS22892-052	C.Sneden+ApJ533L1392000	-3.2	-3.2	
CS22892-052	M.Spite+AAP541A1432012	-3.03	-3.03	
CS22892-052	N.Christlieb+AAP42810272004	-2.97		
CS22892-052	K.A.Venn+AJ12811772004		-3.04	
CS22892-052	S.M.Andrievsky+AAP46410812007	-3.03	-3.03	
CS22892-052	I.U.Roederer+AJ1471362014	-3.16	-3.24	0.91
CS22892-052	I.U.Roederer+ApJ69819632009	-3.1	-3.1	
CS22892-052	M.Spite+AAP4552912006	-3.03	-3.03	0.6
CS22892-052	M.Spite+AAP528A92011	-3.03	-3.03	
CS22892-052	J.J.Cowan+ApJ6272382005	-3.1	-3.13	
CS22892-052	J.Ren+AAP537A1182012	-2.95	-2.78	
CS22892-052	C.Sneden+ApJ5919362003	-2.5	-3.1	1.1
CS22893-005	I.U.Roederer+AJ1471362014	-2.93	-2.99	0.41
CS22893-010	I.U.Roederer+AJ1471362014	-2.93	-3.12	1.73
CS22893-010	D.K.Lai+ApJ66711852007	-2.38	-2.21	
CS22893-010	I.U.Roederer+ApJ7841582014	-2.93	-3.12	1.73
