# Object	Reference	Metallicity	[Fe/H]	[N/Fe]
b6b084	C.R.daSilveira+AAP614A1492018	0.19	0.19	0.44
b6b085	C.R.daSilveira+AAP614A1492018	-0.36	-0.36	0.54
b6b087	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.39
b6b088	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.54
b6b090	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.44
b6b091	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.54
b6b092	C.R.daSilveira+AAP614A1492018	-0.42	-0.42	0.54
b6b093	C.R.daSilveira+AAP614A1492018	-0.11	-0.11	0.54
b6b095	C.R.daSilveira+AAP614A1492018	-0.51	-0.51	0.64
b6b099	C.R.daSilveira+AAP614A1492018	-0.21	-0.21	0.64
b6b100	C.R.daSilveira+AAP614A1492018	-0.4	-0.4	0.64
b6b102	C.R.daSilveira+AAP614A1492018	0.09	0.09	0.69
b6b103	C.R.daSilveira+AAP614A1492018	-0.4	-0.4	0.14
b6b104	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.44
b6b105	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.54
b6b108	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.54
b6b109	C.R.daSilveira+AAP614A1492018	0	0	0.69
b6b111	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.54
b6b112	C.R.daSilveira+AAP614A1492018	-0.14	-0.14	0.49
b6b113	C.R.daSilveira+AAP614A1492018	-0.43	-0.43	0.54
b6b114	C.R.daSilveira+AAP614A1492018	-0.02	-0.02	0.74
b6b116	C.R.daSilveira+AAP614A1492018	-1.15	-1.15	0.14
b6b118	C.R.daSilveira+AAP614A1492018	0.06	0.06	0.44
b6b119	C.R.daSilveira+AAP614A1492018	0	0	0.44
b6b120	C.R.daSilveira+AAP614A1492018	0.39	0.39	0.24
b6b121	C.R.daSilveira+AAP614A1492018	-0.77	-0.77	0.14
b6b122	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.49
b6b123	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.79
b6b124	C.R.daSilveira+AAP614A1492018	-0.31	-0.31	0.64
b6b126	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.44
b6b127	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.64
b6b128	C.R.daSilveira+AAP614A1492018	0	0	0.34
b6b129	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.14
b6b132	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.49
b6b134	C.R.daSilveira+AAP614A1492018	-0.29	-0.29	0.44
b6f003	C.R.daSilveira+AAP614A1492018	0.11	0.11	0.59
b6f005	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.64
b6f006	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.24
b6f008	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.24
b6f010	C.R.daSilveira+AAP614A1492018	0.07	0.07	0.64
b6f011	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.84
b6f013	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.44
b6f015	C.R.daSilveira+AAP614A1492018	0.08	0.08	1.24
b6f016	C.R.daSilveira+AAP614A1492018	0.1	0.1	0.54
b6f017	C.R.daSilveira+AAP614A1492018	0.32	0.32	0.44
b6f018	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.54
b6f020	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.44
b6f021	C.R.daSilveira+AAP614A1492018	-0.04	-0.04	0.54
b6f023	C.R.daSilveira+AAP614A1492018	-0.15	-0.15	0.54
b6f024	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.44
b6f025	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.44
b6f027	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.54
b6f028	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.24
b6f029	C.R.daSilveira+AAP614A1492018	0.4	0.4	0.14
b6f030	C.R.daSilveira+AAP614A1492018	-0.27	-0.27	0.49
b6f031	C.R.daSilveira+AAP614A1492018	0	0	0.54
b6f034	C.R.daSilveira+AAP614A1492018	0.26	0.26	0.34
b6f035	C.R.daSilveira+AAP614A1492018	0.44	0.44	-0.01
b6f036	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.49
b6f037	C.R.daSilveira+AAP614A1492018	-0.51	-0.51	0.64
b6f038	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.34
b6f039	C.R.daSilveira+AAP614A1492018	-0.46	-0.46	0.54
b6f042	C.R.daSilveira+AAP614A1492018	-0.96	-0.96	0.54
b6f043	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.64
b6f044	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.24
b6f045	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.34
b6f049	C.R.daSilveira+AAP614A1492018	-0.58	-0.58	0.14
b6f051	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.44
b6f052	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.34
b6f054	C.R.daSilveira+AAP614A1492018	-0.27	-0.27	0.29
b6f055	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.84
b6f056	C.R.daSilveira+AAP614A1492018	0.24	0.24	0.44
b6f057	C.R.daSilveira+AAP614A1492018	0.15	0.15	0.54
b6f058	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.59
b6f059	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.69
b6f061	C.R.daSilveira+AAP614A1492018	0.25	0.25	0.49
b6f062	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.74
b6f064	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.49
b6f065	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.34
b6f066	C.R.daSilveira+AAP614A1492018	0.12	0.12	0.49
b6f068	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.44
b6f069	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.44
b6f070	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.74
b6f071	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.74
b6f072	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.64
b6f073	C.R.daSilveira+AAP614A1492018	0.23	0.23	0.34
b6f074	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.64
b6f075	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.64
b6f078	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.59
b6f079	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.54
b6f080	C.R.daSilveira+AAP614A1492018	0.26	0.26	0.34
b6f081	C.R.daSilveira+AAP614A1492018	-0.3	-0.3	0.54
b6f082	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.34
b6f083	C.R.daSilveira+AAP614A1492018	0.13	0.13	0.64
b6f084	C.R.daSilveira+AAP614A1492018	-0.11	-0.11	0.94
b6f085	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.29
b6f086	C.R.daSilveira+AAP614A1492018	-0.03	-0.03	0.54
b6f087	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.44
b6f088	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.79
b6f089	C.R.daSilveira+AAP614A1492018	0.06	0.06	0.64
b6f090	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.49
b6f091	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.69
b6f092	C.R.daSilveira+AAP614A1492018	-0.41	-0.41	0.67
b6f093	C.R.daSilveira+AAP614A1492018	-0.2	-0.2	0.54
b6f095	C.R.daSilveira+AAP614A1492018	0.11	0.11	0.74
b6f096	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.54
b6f097	C.R.daSilveira+AAP614A1492018	-0.81	-0.81	0.14
b6f098	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.54
b6f099	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.34
b6f100	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.49
b6f101	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.54
b6f102	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.49
b6f103	C.R.daSilveira+AAP614A1492018	0	0	0.44
b6f104	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.54
b6f105	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.49
b6f106	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.44
b6f107	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.44
b6f108	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.59
b6f109	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.34
b6f110	C.R.daSilveira+AAP614A1492018	0.23	0.23	0.39
b6f111	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.59
b6f112	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.44
b6f113	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.19
b6f114	C.R.daSilveira+AAP614A1492018	-0.29	-0.29	0.54
b6f115	C.R.daSilveira+AAP614A1492018	0.25	0.25	0.49
b6f116	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.14
b6f117	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.49
b6f118	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.44
b6f119	C.R.daSilveira+AAP614A1492018	0.27	0.27	0.19
b6f120	C.R.daSilveira+AAP614A1492018	-0.85	-0.85	0.29
b6f121	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.59
b6f123	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.59
b6f124	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.64
b6f126	C.R.daSilveira+AAP614A1492018	0.3	0.3	0.14
b6f128	C.R.daSilveira+AAP614A1492018	0.27	0.27	0.34
b6f129	C.R.daSilveira+AAP614A1492018	-0.31	-0.31	0.74
b6f130	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.54
b6f131	C.R.daSilveira+AAP614A1492018	0.22	0.22	0.44
b6f134	C.R.daSilveira+AAP614A1492018	-0.36	-0.36	0.14
b6f135	C.R.daSilveira+AAP614A1492018	-0.03	-0.03	0.64
BD+17_3248	M.Spite+AAP4306552005	-2.07	-2.07	0.74
BD+17_3248	S.M.Andrievsky+AAP509A882010	-2.07	-2.07	
BD+17_3248	P.Francois+AAP4769352007	-2	-2.07	
BD+17_3248	I.U.Roederer+ApJ747L82012	-2.08	-2.08	
BD+17_3248	J.A.Johnson+ApJ5796162002		-1.93	
BD+17_3248	J.A.Johnson+ApJ5548882001	-1.95	-1.94	
BD+17_3248	J.A.Johnson+ApJS1392192002	-1.95	-2.09	
BD+17_3248	S.M.Andrievsky+AAP4814812008	-2.07	-2.07	
BD+17_3248	S.M.Andrievsky+AAP49410832009	-2.07	-2.07	
BD+17_3248	R.Cayrel+AAP41611172004	-2.07	-2.04	0.63
BD+17_3248	J.P.Fulbright+ApJ59511542003	-2	-2.01	
BD+17_3248	M.Spite+AAP541A1432012	-2.07	-2.07	
BD+17_3248	D.L.Burris+ApJ5443022000	-1.8	-1.85	
BD+17_3248	J.J.Cowan+ApJ5728612002	-2	-2.06	
BD+17_3248	S.M.Andrievsky+AAP46410812007	-2.07	-2.07	
BD+17_3248	M.Spite+AAP4552912006	-2.07	-2.07	0.74
BD+17_3248	I.U.Roederer+ApJ69819632009	-2.08	-2.08	
BD+17_3248	M.Spite+AAP528A92011	-2.07	-2.07	
BD+17_3248	J.J.Cowan+ApJ6272382005	-2.08	-2.11	
BD+23_3130	D.K.Lai+ApJ66711852007	-2.59	-2.42	
BD+23_3130	J.P.Fulbright+ApJ59511542003	-2.7	-2.49	
BD+23_3130	Y.Takeda+PASJ63S5372011	-2.6	-2.6	
BD+23_3130	T.V.Mishenina+AAP3961892002	-2.61	-2.61	
BD+23_3130	G.Bihain+AAP4237772004	-2.66	-2.49	
BD+23_3130	K.A.Venn+AJ12811772004		-2.7	
BD+23_3130	T.V.Mishenina+AAP3709512001	-2.62	-2.62	
BD+23_3130	G.Israelian+ApJ5518332001		-2.43	
BD+23_3130	I.U.Roederer+AJ1471362014	-2.9	-2.93	
BD+23_3130	J.P.Fulbright+AJ12018412000	-2.6	-2.68	
BD+23_3130	D.K.Lai+ApJ68115242008	-2.6	-2.58	-0.45
BD+23_3130	R.Cayrel+NewAR455332001	-2.62	-2.62	
BD+29_2356	I.U.Roederer+AJ1471362014	-1.62	-1.73	0.61
BD+29_2356	L.Zhang+ApJ70610952009	-1.45	-1.28	
BD+29_2356	M.N.Ishigaki+ApJ753642012	-1.65	-1.65	
BD+29_2356	M.Ishigaki+PASJ621432010	-1.44	-1.44	
BD+29_2356	I.U.Roederer+ApJ7115732010	-1.55	-1.59	0.33
BD+44_493	Y.Takeda+PASJ63S5372011	-3.68	-3.68	
BD+44_493	I.U.Roederer+ApJ824L192016	-3.8	-4.07	
BD+44_493	V.M.Placco+ApJ790342014	-3.8	-3.88	
BD+44_493	H.Ito+ApJ698L372009	-3.68	-3.73	0.32
BD+44_493	I.U.Roederer+AJ1471362014	-4.26	-4.28	
BD+44_493	H.Ito+ApJ773332013	-3.8	-3.83	0.4
BD+44_493	I.U.Roederer+ApJ7841582014	-4.26	-4.28	
BD+44_493	B.W.Carney+AJ1252932003	-2.71	-2.71	
BD-01_2582	I.U.Roederer+AJ1471362014	-2.65	-2.62	0.08
BD-01_2582	C.Charbonnel+AAP4429612005	-2.29	-2.29	
BD-01_2582	I.U.Roederer+ApJ7249752010		-2.21	
BD-01_2582	B.W.Carney+AJ1252932003	-2.32	-2.32	
BD-01_2582	J.Simmerer+ApJ61710912004	-2.21	-2.21	
BD-01_2582	A.E.GarciaPerez+AAP4516212006	-2.13	-2.11	
BD-01_2582	A.E.GarciaPerez+AAP4472992006	-2.11	-2.11	
BD-01_2582	D.L.Burris+ApJ5443022000	-2	-2.08	
BD-01_2582	C.M.Sakari+ApJ8681102018	-2.49	-2.49	
BD-15_5781	I.U.Roederer+AJ1471362014	-2.87	-2.92	0.55
BD-15_5781	B.W.Carney+AJ1252932003	-2.47	-2.47	
BD-15_5781	D.L.Burris+ApJ5443022000	-3	-2.19	
BD-18_5550	A.McWilliam+AJ10927571995		-2.74	
BD-18_5550	J.A.Johnson+ApJ65812032007	-2.89	-2.87	
BD-18_5550	M.Spite+AAP4306552005	-3.06	-3.06	-0.27
BD-18_5550	A.McWilliam+AJ10927361995			
BD-18_5550	S.M.Andrievsky+AAP509A882010	-3.06	-3.06	
BD-18_5550	G.Bihain+AAP4237772004	-3.01	-2.84	
BD-18_5550	T.V.Mishenina+AAP3709512001	-3.01	-3.01	
BD-18_5550	J.K.Hollek+ApJ742542011	-3.2	-3.2	
BD-18_5550	P.Francois+AAP4769352007	-3	-3.06	
BD-18_5550	J.A.Johnson+ApJ5796162002		-2.87	
BD-18_5550	J.A.Johnson+ApJ5548882001	-2.9	-2.88	
BD-18_5550	J.Melendez+ApJ5754742002	-2.87	-2.87	
BD-18_5550	J.A.Johnson+ApJS1392192002	-2.9	-3.03	
BD-18_5550	S.M.Andrievsky+AAP4814812008	-3.06	-3.06	
BD-18_5550	S.M.Andrievsky+AAP49410832009	-3.06	-3.06	
BD-18_5550	R.Cayrel+AAP41611172004	-3.06	-3.06	
BD-18_5550	M.Spite+AAP541A1432012	-3.06	-3.06	
BD-18_5550	Y.Takeda+PASJ63S5372011	-3.06	-3.06	
BD-18_5550	T.V.Mishenina+AAP3961892002		-3.01	
BD-18_5550	D.L.Burris+ApJ5443022000	-3	-2.76	
BD-18_5550	S.M.Andrievsky+AAP46410812007	-3.06	-3.06	
BD-18_5550	I.U.Roederer+AJ1471362014	-3.15	-3.2	
BD-18_5550	M.Spite+AAP4552912006	-3.06	-3.06	-0.27
BD-18_5550	M.Spite+AAP528A92011	-3.06	-3.06	
BD-18_5550	B.W.Carney+AJ1252932003	-3.11	-3.11	
BD-20_6008	I.U.Roederer+AJ1471362014	-3.05	-3	0.8
BD-20_6008	B.W.Carney+AJ1252932003	-2.63	-2.63	
BS16076-006	P.Bonifacio+AAP4628512007	-3.81	-3.8	
BS16076-006	D.K.Lai+ApJ66711852007	-3	-2.83	
BS16076-006	P.Bonifacio+AAP5015192009	-3.81	-3.8	0.42
BS16076-006	D.K.Lai+AJ12824022004		-3	
BS16080-054	W.Aoki+ApJ6326112005	-3	-2.89	
BS16080-054	D.K.Lai+ApJ66711852007	-2.74	-2.57	
BS16080-054	D.K.Lai+ApJ68115242008	-3	-3.07	0.84
BS16080-054	D.K.Lai+AJ12824022004		-2.74	
BS16084-160	W.Aoki+ApJ6326112005	-3	-3.1	
BS16084-160	D.K.Lai+ApJ66711852007	-2.93	-2.76	
BS16084-160	D.K.Lai+ApJ68115242008	-3.15	-3.2	0.87
BS16084-160	D.K.Lai+AJ12824022004		-2.93	
BS16550-087	D.K.Lai+ApJ66711852007	-3.1	-2.93	
BS16550-087	D.K.Lai+ApJ68115242008	-3.5	-3.53	1.2
BS16550-087	J.G.Cohen+ApJ778562013	-3.39	-3.44	0.95
BS16550-087	D.K.Lai+AJ12824022004		-3.1	
BS16928-053	D.K.Lai+ApJ66711852007	-2.87	-2.7	
BS16928-053	S.Honda+ApJS1521132004			
BS16928-053	D.K.Lai+ApJ68115242008	-3.05	-3.07	1.14
BS16928-053	D.K.Lai+AJ12824022004		-2.87	
BS16928-053	S.Honda+ApJ6074742004	-2.91	-2.9	
BS16929-005	D.K.Lai+ApJ66711852007	-3.27	-3.1	
BS16929-005	S.Honda+ApJS1521132004			
BS16929-005	D.K.Lai+ApJ68115242008	-3.35	-3.34	0.41
BS16929-005	W.Aoki+ApJ6554922007	-3.2	-3.22	
BS16929-005	D.K.Lai+AJ12824022004		-3.27	
BS16929-005	S.Honda+ApJ6074742004	-3.09	-2.98	
BS16929-005	D.M.Allen+AAP548A342012	-3.15	-3.15	
BS16934-002	W.Aoki+ApJ6607472007	-2.8	-2.82	0.64
BS16934-002	W.Aoki+ApJ6326112005	-2.8	-2.79	
BS17436-058	D.M.Allen+AAP548A342012	-1.9	-1.9	1.76
BS17569-049	S.M.Andrievsky+AAP49410832009	-2.88	-2.88	
BS17569-049	R.Cayrel+AAP41611172004	-2.88	-2.85	0.82
BS17569-049	M.Spite+AAP4306552005	-2.88	-2.88	0.95
BS17569-049	M.Spite+AAP541A1432012	-2.88	-2.88	
BS17569-049	P.Francois+AAP4769352007	-3	-2.88	
BS17569-049	S.M.Andrievsky+AAP46410812007	-2.88	-2.88	
BS17569-049	M.Spite+AAP4552912006	-2.88	-2.88	0.95
BS17569-049	M.Spite+AAP528A92011	-2.88	-2.88	
BS17569-049	F.Spite+AAP611A302018	-2.9	-2.88	
BS17569-049	S.M.Andrievsky+AAP4814812008	-2.88	-2.88	
bwb002	C.R.daSilveira+AAP614A1492018	0.46	0.46	0.09
bwb003	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.14
bwb004	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.34
bwb005	C.R.daSilveira+AAP614A1492018	0.51	0.51	-0.06
bwb007	C.R.daSilveira+AAP614A1492018	0.32	0.32	0.44
bwb008	C.R.daSilveira+AAP614A1492018	-0.8	-0.8	1.14
bwb009	C.R.daSilveira+AAP614A1492018	0.13	0.13	0.14
bwb011	C.R.daSilveira+AAP614A1492018	0.15	0.15	0.14
bwb014	C.R.daSilveira+AAP614A1492018	0.48	0.48	0.14
bwb015	C.R.daSilveira+AAP614A1492018	0.22	0.22	0.04
bwb016	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.64
bwb017	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.44
