x, y
4.11542237466797e-8, 5.9146605445917455
5.1917684545984296e-8, 5.046700346736014
7.356422544596406e-8, 3.836718178112645
9.514333674690801e-8, 2.9168378082484194
1.2102717129908866e-7, 2.2175052752539317
1.47696216206426e-7, 1.7103410003378396
1.714881969870541e-7, 1.3002746261746316
1.9746743979705354e-7, 0.974365289779753
2.3311357653458724e-7, 0.6892009456364241
2.640107565484573e-7, 0.494578905312064
2.9900308943587887e-7, 0.3498320935775036
3.414548873833601e-7, 0.24040991835099718
3.8993389780003045e-7, 0.165213340635737
4.6802631295011554e-7, 0.10563541037491869
5.617583668655914e-7, 0.07259425549983729
6.970167957328878e-7, 0.04988787294782836
8.648423275731727e-7, 0.035800138910285786
0.0000011092898648952228, 0.024602398208697765
0.0000013878494011412966, 0.01740209374062485
0.000001780124799172357, 0.011958982643749793
0.000002302301318234965, 0.009357890194248123
0.0000028096268765138977, 0.00896150501946605
0.0000034287445881675887, 0.009357890194248123
0.000004219152520557128, 0.01050275556643215
0.0000052350269155683085, 0.013040319151841308
0.000006441826283073629, 0.016190981738675874
0.000007861320373404814, 0.020102873757128856
0.000009357744240374068, 0.025322627816987946
0.000011325413151528127, 0.03283150012563046
0.00001359356390878524, 0.03960448414477263
0.00001729170579890483, 0.05134832907437552
0.00002092766239777495, 0.061054022965853265
0.000025539195182529577, 0.06951927961775606
0.000028213076759394707, 0.07580524367559262
