Dataset H->C,
Energy Ion (eV),Cross section (A^2/atom)
31.316367522535952,0.05205085582802537
39.37711726160469,0.1013413846537404
49.565200929716845,0.13485188220973077
62.41737487973049,0.15264390207181175
79.62742910051563,0.1647580199566197
101.60157990412456,0.16637502431567205
145.52795352177262,0.1587041120105189
219.46082828965413,0.14163993247378842
331.00661116054636,0.11939604075296037
512.3171847299318,0.0941629625581961
867.7136033913898,0.06625580793529959
1276.173455356743,0.0475082383454814
1806.0029430365503,0.03438973688203919
2459.6409131539262,0.023736157568038638
3141.2378940291683,0.017344289774501302
4012.2455049780297,0.012084857330676688
4930.9045476848105,0.008663750313057696
5756.1962477356055,0.006451730008509307
6465.081334296074,0.005038372513478128
