Nh=14,,Nh=15,,Nh=16,,Nh=17,
X,Y,X,Y,X,Y,X,Y
0.003539985173709126,0.05999150403558309,0.03660761138459223,0.00759139408780829,0.04739415444330597,0.18621654714010846,0.025737774557085147,0.027586896224293472
0.14722173634190427,0.03936130338089408,0.24167687015334394,0.0035383192983333145,0.11886020806783437,0.16969439516229792,0.14651373930716238,0.02763687248556937
0.2909451343944959,0.019420775131812396,0.41063828015026205,0.0015392688472975202,0.1543433535737192,0.15729528473974863,0.2791590661102642,0.024243484344936145
0.4350017075222602,0.0049976261275893885,0.6642678061254236,0.0016442189959768871,0.23792865055765156,0.14146780279367302,0.3756132503727395,0.02152477573152753
0.6159990671097896,0.002313900897073895,0.8454317532505394,0.0017191833878907326,0.28519786434776806,0.12424598315799996,0.5321638888194776,0.014003348409505484
0.9302248098819729,0.005892201204427905,1.026678994144448,0.0031734925910192613,0.34483620280366833,0.11185686798770585,0.6046294676695237,0.014033334166271005
1.1721932082260924,0.012888877783053032,1.2803918138884032,0.004657787550913284,0.36807516429695897,0.09669407031659963,0.7979543050384402,0.015492640995527107
1.474466295176458,0.01853119768110148,1.4736333574885263,0.00473774956895473,0.42754691521527277,0.08154626552387617,0.979368133469935,0.019705639821085003
1.7040239219703972,0.020005497388740356,1.6789524975636576,0.004822709213123749,0.462780179414778,0.06500912066768283,1.16065702124824,0.02184962142982083
1.9453676170485688,0.016657087883255456,1.8962659403450028,0.003533321672205686,0.5219604021423155,0.04503360903570805,1.366101101976561,0.024003598290811834
2.1382343386891227,0.010529998250830841,2.101501786651341,0.002238936505160022,0.606087108623404,0.03817186836252778,1.583581132295493,0.025472900372323137
2.2587604221328204,0.006441940078462743,2.342970422382702,0.0009595442164971602,0.7269463671422743,0.039601189435018364,1.7889002723706242,0.025557860016492157
2.5121400668016034,0.0024088557934980603,2.632832737782887,0.0010794872435593017,0.860674512939687,0.05413928384017591,2.0181663709737876,0.022204452884879683
2.8018774415485983,0.00045978160373819077,2.8984982133486596,0.0004997626127589139,0.9339313825932684,0.06727304530348086,2.2112413270363245,0.019525725280491762
3.0917397569487832,0.0005797246308003601,3.0675845639987678,0.0005697293785451585,1.1285472733784783,0.0901121967065644,2.42842982916448,0.01616732052275166
3.417834861773991,0.0007146605362452485,3.4419900547240063,0.0007246557885004501,1.2746861907260718,0.11017266798270822,2.5489975594925744,0.012768934755990918
3.768085159549215,0.0008595916939453663,3.7076971771741754,0.0008346035633074178,1.5170294110297609,0.12337639621179941,2.681642886295677,0.009375546615357722
4.057947474949399,0.0009795347210075078,3.94924910667433,0.0009345560858591839,1.7344677944642966,0.12415602588770336,2.8625985989988094,0.006002148979234845
4.347809790349585,0.0010994777480696494,4.2270338255995075,0.0010495014867937524,1.9275843974112297,0.12216697068892277,3.1039839409613768,0.0033434118793572998
4.698060088124808,0.0012444089057697394,4.4444305621496465,0.0011394587570903447,2.095629575951423,0.10499512731452561,3.33337498021773,0.0020590219645668373
4.927576068034352,0.002029036207801288,4.722215281074823,0.0012544041580249132,2.215281074822793,0.08642394862440342,3.5990821026679,0.002168969739373805
,,5.000000000000001,0.0013693495589594817,2.322938270987948,0.0692271171193683,3.852669981758666,0.0015842474824458441
,,,,2.454500778796739,0.047902246432944356,4.130413053799446,0.0010095204777730293
,,,,2.5978910017741574,0.022444338939003966,4.480704998459067,0.001844124041080475
,,,,2.73016150661769,0.012843899147904764,4.686024138534197,0.0019290836852494941
,,,,2.8264074564581825,0.0066768285064594535,4.963808857459375,0.0020440290861840626
,,,,3.031476715226934,0.0026237537169844227,,
,,,,3.333291686448937,0.0006796771533521262,,
,,,,3.635273245208527,0.001494290212149224,,
,,,,3.888902771183689,0.001599240360828591,,
,,,,4.190842683058882,0.0017241810140183333,,
,,,,4.4082394196090195,0.0018141382843149534,,
,,,,4.72225692795922,0.0019440765636322688,,
,,,,4.9758448070499846,0.0013593543067042801,,
