Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = -1.20965055e-02x^6 + 5.38583582e-01x^5 + -9.86442434e+00x^4 + 9.51693713e+01x^3 + -5.10939305e+02x^2 + 1.45153191e+03x^1 + -1.71798027e+03x^0 

Original Data (Tgas, Yield):
1.747528e+08, 1.345190e-06
2.009233e+08, 1.230202e-06
2.310130e+08, 1.111241e-06
2.656088e+08, 9.922776e-07
3.053856e+08, 8.768044e-07
3.511192e+08, 7.674082e-07
4.037017e+08, 6.658079e-07
4.641589e+08, 5.732300e-07
5.336699e+08, 4.900843e-07
6.135907e+08, 4.163857e-07
7.054802e+08, 3.517609e-07
8.111308e+08, 2.957300e-07
9.326033e+08, 2.475680e-07
1.072267e+09, 2.063327e-07
1.232847e+09, 1.714460e-07
1.417474e+09, 1.420289e-07
1.629751e+09, 1.173475e-07
1.873817e+09, 9.671577e-08
2.154435e+09, 7.955983e-08
2.477076e+09, 6.533180e-08
2.848036e+09, 5.356290e-08
3.274549e+09, 4.385393e-08
3.764936e+09, 3.586187e-08
4.328761e+09, 2.931686e-08
4.977024e+09, 2.392735e-08
5.722368e+09, 1.951306e-08
6.579332e+09, 1.589359e-08
7.564633e+09, 1.294451e-08
8.697490e+09, 1.053707e-08
1.000000e+10, 8.573420e-09
======================
Polynomial Coefficients smallSil grains:
f(x) = -6.26686113e-03x^6 + 2.86636349e-01x^5 + -5.43947445e+00x^4 + 5.49027292e+01x^3 + -3.11478616e+02x^2 + 9.42582873e+02x^1 + -1.19653597e+03x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.149757e+04, 0.000000e+00
1.321941e+04, 2.536090e-19
1.519911e+04, 4.685581e-18
1.747528e+04, 6.059494e-17
2.009233e+04, 5.726520e-16
2.310130e+04, 4.102748e-15
2.656088e+04, 2.301256e-14
3.053856e+04, 1.035090e-13
3.511192e+04, 3.827069e-13
4.037017e+04, 1.186860e-12
4.641589e+04, 3.144205e-12
5.336699e+04, 1.019899e-11
6.135907e+04, 2.301535e-11
7.054802e+04, 4.718149e-11
8.111308e+04, 8.908332e-11
9.326033e+04, 1.565983e-10
1.072267e+05, 2.589664e-10
1.232847e+05, 4.065184e-10
1.417474e+05, 6.102644e-10
1.629751e+05, 8.809033e-10
1.873817e+05, 1.227392e-09
2.154435e+05, 1.657709e-09
2.477076e+05, 2.164689e-09
2.848036e+05, 2.735881e-09
3.274549e+05, 3.345184e-09
3.764936e+05, 3.956065e-09
4.328761e+05, 4.533088e-09
4.977024e+05, 5.024525e-09
5.722368e+05, 5.399908e-09
6.579332e+05, 5.636588e-09
7.564633e+05, 5.726012e-09
8.697490e+05, 5.664092e-09
1.000000e+06, 5.483972e-09
1.149757e+06, 5.202748e-09
1.321941e+06, 4.843899e-09
1.519911e+06, 4.435607e-09
1.747528e+06, 4.002185e-09
2.009233e+06, 3.564115e-09
2.310130e+06, 3.137434e-09
2.656088e+06, 2.732425e-09
3.053856e+06, 2.359503e-09
3.511192e+06, 2.019956e-09
