Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains (0.0100 microns):
f(x) = -1.23011683e-02x^6 + 5.47237891e-01x^5 + -1.00148330e+01x^4 + 9.65438468e+01x^3 + -5.17901524e+02x^2 + 1.47005987e+03x^1 + -1.73821405e+03x^0 

Original Data (Tgas, Yield):
2.327202e+09, 2.879376e-09
2.494508e+09, 2.594965e-09
2.673842e+09, 2.339741e-09
2.866068e+09, 2.109533e-09
3.072113e+09, 1.901904e-09
3.292971e+09, 1.714650e-09
3.529707e+09, 1.545782e-09
3.783463e+09, 1.393502e-09
4.055461e+09, 1.256324e-09
4.347013e+09, 1.132396e-09
4.659526e+09, 1.020758e-09
4.994505e+09, 9.201045e-10
5.353567e+09, 8.293583e-10
5.738442e+09, 7.475468e-10
6.150986e+09, 6.740407e-10
6.593188e+09, 6.075283e-10
7.067181e+09, 5.475702e-10
7.575250e+09, 4.935219e-10
8.119845e+09, 4.448021e-10
8.703591e+09, 4.008865e-10
9.329304e+09, 3.613023e-10
1.000000e+10, 3.256229e-10
======================
Polynomial Coefficients largeC grains (0.1000 microns):
f(x) = -3.48539540e-03x^6 + 1.77076233e-01x^5 + -3.67731185e+00x^4 + 3.99688247e+01x^3 + -2.40235829e+02x^2 + 7.59430605e+02x^1 + -9.96716206e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.071891e+04, 0.000000e+00
1.148951e+04, 0.000000e+00
1.231551e+04, 2.126429e-18
1.320088e+04, 8.566775e-18
1.414991e+04, 3.177167e-17
1.516717e+04, 1.108547e-16
1.625756e+04, 3.525746e-16
1.742633e+04, 1.047682e-15
1.867914e+04, 2.920675e-15
2.002200e+04, 7.667556e-15
2.146141e+04, 1.902175e-14
2.300430e+04, 4.473283e-14
2.465811e+04, 1.000044e-13
2.643081e+04, 2.131296e-13
2.833096e+04, 4.338243e-13
3.036771e+04, 8.454072e-13
3.255089e+04, 1.580365e-12
3.489101e+04, 2.839153e-12
3.739937e+04, 4.915108e-12
4.008806e+04, 8.197399e-12
4.297005e+04, 1.320479e-11
4.605922e+04, 2.057664e-11
4.937048e+04, 3.243112e-11
5.291979e+04, 6.459732e-11
5.672426e+04, 9.801943e-11
6.080224e+04, 1.456170e-10
6.517340e+04, 2.120600e-10
6.985880e+04, 3.031019e-10
7.488104e+04, 4.256717e-10
8.026434e+04, 5.879881e-10
8.603464e+04, 7.996356e-10
9.221979e+04, 1.071617e-09
9.884959e+04, 1.416297e-09
1.059560e+05, 1.847687e-09
1.135733e+05, 2.380960e-09
1.217383e+05, 3.032609e-09
1.304902e+05, 3.820187e-09
1.398713e+05, 4.762023e-09
1.499268e+05, 5.876785e-09
1.607053e+05, 7.182865e-09
1.722586e+05, 8.697673e-09
1.846425e+05, 1.043646e-08
1.979167e+05, 1.241118e-08
2.121452e+05, 1.486050e-08
2.273966e+05, 1.748366e-08
2.437444e+05, 2.043269e-08
2.612675e+05, 2.372962e-08
2.800504e+05, 2.739370e-08
3.001836e+05, 3.144381e-08
3.217642e+05, 3.589759e-08
3.448962e+05, 4.077133e-08
3.696913e+05, 4.607981e-08
3.962689e+05, 5.183614e-08
4.247572e+05, 5.805117e-08
4.552935e+05, 6.473503e-08
4.880252e+05, 7.189446e-08
5.231099e+05, 7.953407e-08
5.607170e+05, 8.765553e-08
6.010277e+05, 9.625359e-08
6.442364e+05, 1.053277e-07
6.905514e+05, 1.148619e-07
7.401960e+05, 1.248353e-07
7.934097e+05, 1.352166e-07
8.504489e+05, 1.465185e-07
9.115888e+05, 1.579462e-07
9.771242e+05, 1.698050e-07
1.047371e+06, 1.820769e-07
1.122668e+06, 1.947460e-07
1.203378e+06, 2.077904e-07
1.289890e+06, 2.211874e-07
1.382622e+06, 2.349128e-07
1.482021e+06, 2.489407e-07
1.588565e+06, 2.632351e-07
1.702769e+06, 2.777842e-07
1.825183e+06, 2.925500e-07
1.956398e+06, 3.075014e-07
2.097046e+06, 3.226061e-07
2.247806e+06, 3.378305e-07
2.409404e+06, 3.531387e-07
2.582619e+06, 3.684886e-07
2.768287e+06, 3.838429e-07
2.967302e+06, 3.991480e-07
3.180626e+06, 4.143438e-07
3.409285e+06, 4.301570e-07
3.654383e+06, 4.454379e-07
3.917101e+06, 4.606179e-07
4.198707e+06, 4.757140e-07
4.500558e+06, 4.907060e-07
4.824109e+06, 5.055946e-07
5.170920e+06, 5.203890e-07
5.542665e+06, 5.351081e-07
5.941134e+06, 5.497811e-07
6.368250e+06, 5.644496e-07
6.826072e+06, 5.791626e-07
7.316807e+06, 5.940013e-07
7.842822e+06, 6.090443e-07
8.406653e+06, 6.243910e-07
9.011018e+06, 6.401548e-07
9.658832e+06, 6.564417e-07
1.035322e+07, 6.734211e-07
1.109752e+07, 6.912056e-07
1.189534e+07, 7.099163e-07
1.275051e+07, 7.296521e-07
1.366716e+07, 7.513159e-07
1.464971e+07, 7.766468e-07
1.570290e+07, 8.022308e-07
1.683180e+07, 8.299665e-07
1.804186e+07, 8.600638e-07
1.933892e+07, 8.926730e-07
2.072922e+07, 9.279115e-07
2.221947e+07, 9.658400e-07
2.381686e+07, 1.006450e-06
2.552908e+07, 1.049621e-06
2.736440e+07, 1.095228e-06
2.933166e+07, 1.142958e-06
3.144035e+07, 1.192423e-06
3.370064e+07, 1.243130e-06
3.612343e+07, 1.294490e-06
3.872039e+07, 1.345827e-06
4.150405e+07, 1.396375e-06
4.448783e+07, 1.445373e-06
4.768612e+07, 1.491981e-06
5.111433e+07, 1.535377e-06
5.478901e+07, 1.574763e-06
5.872787e+07, 1.609628e-06
6.294989e+07, 1.638884e-06
6.747544e+07, 1.662226e-06
7.232634e+07, 1.679156e-06
7.752597e+07, 1.689346e-06
8.309942e+07, 1.692599e-06
