Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.738665e-02x^5 + -1.972187e+00x^4 + 2.687958e+01x^3 + -1.822488e+02x^2 + 6.173319e+02x^1 + -8.459550e+02x^0 

Original Data (Tgas, Yield):
4.328761e+07, 1.432855e-06
4.862602e+07, 1.511783e-06
5.462277e+07, 1.581102e-06
6.135907e+07, 1.637195e-06
6.892612e+07, 1.677162e-06
7.742637e+07, 1.698813e-06
8.697490e+07, 1.700983e-06
9.770100e+07, 1.683625e-06
1.097499e+08, 1.647388e-06
1.232847e+08, 1.594048e-06
1.384886e+08, 1.525883e-06
1.555676e+08, 1.445516e-06
1.747528e+08, 1.356057e-06
1.963041e+08, 1.260363e-06
2.205131e+08, 1.161229e-06
2.477076e+08, 1.061181e-06
2.782559e+08, 9.623295e-07
3.125716e+08, 8.665978e-07
3.511192e+08, 7.753138e-07
3.944206e+08, 6.895200e-07
4.430621e+08, 6.098235e-07
4.977024e+08, 5.366232e-07
5.590810e+08, 4.700388e-07
6.280291e+08, 4.099939e-07
7.054802e+08, 3.562723e-07
7.924829e+08, 3.085093e-07
8.902151e+08, 2.663148e-07
1.000000e+09, 2.293161e-07
======================
Polynomial Coefficients smallSil grains:
f(x) = 2.678950e-02x^5 + -9.895628e-01x^4 + 1.465134e+01x^3 + -1.089037e+02x^2 + 4.058004e+02x^1 + -6.122672e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 6.988909e-16
2.257020e+04, 3.855407e-15
2.535364e+04, 1.807292e-14
2.848036e+04, 7.298476e-14
3.199267e+04, 2.599670e-13
3.593814e+04, 8.235028e-13
4.037017e+04, 2.346844e-12
4.534879e+04, 6.076344e-12
5.094138e+04, 1.441096e-11
5.722368e+04, 3.151675e-11
6.428073e+04, 6.391171e-11
7.220809e+04, 1.207520e-10
8.111308e+04, 2.388903e-10
9.111628e+04, 4.173983e-10
1.023531e+05, 6.957930e-10
1.149757e+05, 1.110322e-09
1.291550e+05, 1.700992e-09
1.450829e+05, 2.508039e-09
1.629751e+05, 3.567001e-09
1.830738e+05, 4.904931e-09
2.056512e+05, 6.534650e-09
2.310130e+05, 8.452159e-09
2.595024e+05, 1.063539e-08
2.915053e+05, 1.304432e-08
3.274549e+05, 1.562843e-08
3.678380e+05, 1.835788e-08
4.132012e+05, 2.111082e-08
4.641589e+05, 2.383232e-08
5.214008e+05, 2.644077e-08
5.857021e+05, 2.885364e-08
6.579332e+05, 3.098985e-08
7.390722e+05, 3.277411e-08
8.302176e+05, 3.414222e-08
9.326033e+05, 3.504651e-08
1.047616e+06, 3.543670e-08
1.176812e+06, 3.535095e-08
1.321941e+06, 3.479329e-08
1.484968e+06, 3.377392e-08
1.668101e+06, 3.240341e-08
1.873817e+06, 3.072800e-08
2.104904e+06, 2.882212e-08
2.364489e+06, 2.676008e-08
2.656088e+06, 2.460403e-08
2.983647e+06, 2.243168e-08
3.351603e+06, 2.028790e-08
3.764936e+06, 1.821494e-08
4.229243e+06, 1.624480e-08
4.750810e+06, 1.439991e-08
5.336699e+06, 1.269444e-08
5.994843e+06, 1.118359e-08
6.734151e+06, 9.755811e-09
7.564633e+06, 8.485228e-09
8.497534e+06, 7.353091e-09
9.545485e+06, 6.351014e-09
1.072267e+07, 5.469268e-09
1.204504e+07, 4.697424e-09
1.353048e+07, 4.024897e-09
1.519911e+07, 3.441259e-09
1.707353e+07, 2.931391e-09
1.917910e+07, 2.497244e-09
2.154435e+07, 2.124136e-09
2.420128e+07, 1.811825e-09
2.718588e+07, 1.537199e-09
3.053856e+07, 1.302775e-09
3.430469e+07, 1.103026e-09
3.853529e+07, 9.330903e-10
4.328761e+07, 7.895180e-10
4.862602e+07, 6.669071e-10
5.462277e+07, 5.629894e-10
6.135907e+07, 4.750023e-10
6.892612e+07, 4.005692e-10
7.742637e+07, 3.376523e-10
8.697490e+07, 2.845066e-10
9.770100e+07, 2.395286e-10
1.097499e+08, 2.013425e-10
1.232847e+08, 1.694926e-10
1.384886e+08, 1.426461e-10
1.555676e+08, 1.200256e-10
1.747528e+08, 1.009725e-10
1.963041e+08, 8.492921e-11
2.205131e+08, 7.142399e-11
2.477076e+08, 6.005988e-11
2.782559e+08, 5.051607e-11
3.125716e+08, 4.246750e-11
3.511192e+08, 3.569781e-11
3.944206e+08, 2.992796e-11
4.430621e+08, 2.515302e-11
4.977024e+08, 2.113847e-11
5.590810e+08, 1.776359e-11
6.280291e+08, 1.492682e-11
7.054802e+08, 1.249901e-11
7.924829e+08, 1.050193e-11
8.902151e+08, 8.823604e-12
1.000000e+09, 7.413242e-12
======================
Polynomial Coefficients largeSil grains:
f(x) = 2.567515e-02x^5 + -9.025952e-01x^4 + 1.275880e+01x^3 + -9.133556e+01x^2 + 3.328179e+02x^1 + -5.009607e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 4.767301e-16
2.257020e+04, 2.609866e-15
2.535364e+04, 1.214059e-14
2.848036e+04, 4.865130e-14
3.199267e+04, 1.721459e-13
3.593814e+04, 5.423340e-13
4.037017e+04, 1.539671e-12
4.534879e+04, 3.979513e-12
5.094138e+04, 9.443614e-12
5.722368e+04, 2.071415e-11
6.428073e+04, 4.221890e-11
7.220809e+04, 8.031216e-11
8.111308e+04, 1.732075e-10
9.111628e+04, 3.182221e-10
1.023531e+05, 5.648943e-10
1.149757e+05, 9.722641e-10
1.291550e+05, 1.626491e-09
1.450829e+05, 2.649226e-09
1.629751e+05, 4.206317e-09
1.830738e+05, 6.517305e-09
2.056512e+05, 9.861369e-09
2.310130e+05, 1.457917e-08
2.595024e+05, 2.106406e-08
2.915053e+05, 2.973463e-08
3.274549e+05, 4.118502e-08
3.678380e+05, 5.734009e-08
4.132012e+05, 7.718184e-08
4.641589e+05, 1.022780e-07
5.214008e+05, 1.335428e-07
5.857021e+05, 1.719185e-07
6.579332e+05, 2.183109e-07
7.390722e+05, 2.734973e-07
8.302176e+05, 3.380008e-07
9.326033e+05, 4.119418e-07
1.047616e+06, 4.948613e-07
1.176812e+06, 5.856607e-07
1.321941e+06, 6.825297e-07
1.484968e+06, 7.836813e-07
1.668101e+06, 8.848952e-07
1.873817e+06, 9.831151e-07
2.104904e+06, 1.074718e-06
2.364489e+06, 1.156259e-06
2.656088e+06, 1.224698e-06
2.983647e+06, 1.277830e-06
3.351603e+06, 1.314129e-06
3.764936e+06, 1.332993e-06
4.229243e+06, 1.334653e-06
4.750810e+06, 1.320069e-06
5.336699e+06, 1.290763e-06
5.994843e+06, 1.248708e-06
6.734151e+06, 1.195876e-06
7.564633e+06, 1.134644e-06
8.497534e+06, 1.067131e-06
9.545485e+06, 9.953844e-07
1.072267e+07, 9.212718e-07
1.204504e+07, 8.464466e-07
1.353048e+07, 7.723307e-07
1.519911e+07, 7.001101e-07
1.707353e+07, 6.305972e-07
1.917910e+07, 5.648010e-07
2.154435e+07, 5.031157e-07
2.420128e+07, 4.461024e-07
2.718588e+07, 3.934983e-07
3.053856e+07, 3.455610e-07
3.430469e+07, 3.022185e-07
3.853529e+07, 2.633102e-07
4.328761e+07, 2.285459e-07
4.862602e+07, 1.977885e-07
5.462277e+07, 1.706687e-07
6.135907e+07, 1.468735e-07
6.892612e+07, 1.260881e-07
7.742637e+07, 1.080048e-07
