Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains (0.0100 microns):
f(x) = -1.19072860e-02x^6 + 5.31262797e-01x^5 + -9.75119978e+00x^4 + 9.42766571e+01x^3 + -5.07163026e+02x^2 + 1.44345239e+03x^1 + -1.71123716e+03x^0 

Original Data (Tgas, Yield):
2.327202e+09, 5.173441e-09
2.494508e+09, 4.665194e-09
2.673842e+09, 4.207653e-09
2.866068e+09, 3.794870e-09
3.072113e+09, 3.422410e-09
3.292971e+09, 3.086311e-09
3.529707e+09, 2.783076e-09
3.783463e+09, 2.509103e-09
4.055461e+09, 2.262506e-09
4.347013e+09, 2.039834e-09
4.659526e+09, 1.839098e-09
4.994505e+09, 1.658055e-09
5.353567e+09, 1.494784e-09
5.738442e+09, 1.347547e-09
6.150986e+09, 1.215026e-09
6.593188e+09, 1.095312e-09
7.067181e+09, 9.873416e-10
7.575250e+09, 8.899933e-10
8.119845e+09, 8.022109e-10
8.703591e+09, 7.230845e-10
9.329304e+09, 6.521250e-10
1.000000e+10, 5.877804e-10
======================
Polynomial Coefficients largeC grains (0.1000 microns):
f(x) = -3.29498706e-03x^6 + 1.68553666e-01x^5 + -3.52363924e+00x^4 + 3.85376711e+01x^3 + -2.32946022e+02x^2 + 7.40119867e+02x^1 + -9.75895904e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.071891e+04, 0.000000e+00
1.148951e+04, 0.000000e+00
1.231551e+04, 2.126429e-18
1.320088e+04, 8.566776e-18
1.414991e+04, 3.177168e-17
1.516717e+04, 1.108547e-16
1.625756e+04, 3.525748e-16
1.742633e+04, 1.047683e-15
1.867914e+04, 2.920679e-15
2.002200e+04, 7.667575e-15
2.146141e+04, 1.902182e-14
2.300430e+04, 4.473308e-14
2.465811e+04, 1.000052e-13
2.643081e+04, 2.131320e-13
2.833096e+04, 4.338307e-13
3.036771e+04, 8.454236e-13
3.255089e+04, 1.580404e-12
3.489101e+04, 2.839238e-12
3.739937e+04, 4.915287e-12
4.008806e+04, 8.197752e-12
4.297005e+04, 1.320545e-11
4.605922e+04, 2.057782e-11
4.937048e+04, 3.248171e-11
5.291979e+04, 6.469769e-11
5.672426e+04, 9.821088e-11
6.080224e+04, 1.459706e-10
6.517340e+04, 2.126916e-10
6.985880e+04, 3.041961e-10
7.488104e+04, 4.275130e-10
8.026434e+04, 5.910038e-10
8.603464e+04, 8.044502e-10
9.221979e+04, 1.079122e-09
9.884959e+04, 1.427734e-09
1.059560e+05, 1.864752e-09
1.135733e+05, 2.405920e-09
1.217383e+05, 3.068432e-09
1.304902e+05, 3.870690e-09
1.398713e+05, 4.832020e-09
1.499268e+05, 5.972220e-09
1.607053e+05, 7.310948e-09
1.722586e+05, 8.866963e-09
1.846425e+05, 1.065690e-08
1.979167e+05, 1.270345e-08
2.121452e+05, 1.523496e-08
2.273966e+05, 1.795827e-08
2.437444e+05, 2.102817e-08
2.612675e+05, 2.446960e-08
2.800504e+05, 2.830501e-08
3.001836e+05, 3.255656e-08
3.217642e+05, 3.724542e-08
