energy[ev]	n     k
      1606.30      0.99973966   4.1061656e-05
      1606.40      0.99973969   4.1052417e-05
      1606.50      0.99973973   4.1043180e-05
      1606.60      0.99973976   4.1034263e-05
      1606.70      0.99973979   4.1025030e-05
      1606.80      0.99973982   4.1015788e-05
      1606.90      0.99973986   4.1006559e-05
      1607.00      0.99973989   4.0997332e-05
      1607.10      0.99973992   4.0988108e-05
      1607.20      0.99973995   4.0978885e-05
      1607.30      0.99973998   4.0969970e-05
      1607.40      0.99974002   4.0960751e-05
      1607.50      0.99974005   4.0951534e-05
      1607.60      0.99974008   4.0942319e-05
      1607.70      0.99974011   4.0933106e-05
      1607.80      0.99974014   4.0923883e-05
      1607.90      0.99974018   4.0914674e-05
      1608.00      0.99974021   4.0905467e-05
      1608.10      0.99974024   4.0896262e-05
      1608.20      0.99974027   4.0887375e-05
      1608.30      0.99974031   4.0878163e-05
      1608.40      0.99974034   4.0868964e-05
      1608.50      0.99974037   4.0860083e-05
      1608.60      0.99974040   4.0850888e-05
      1608.70      0.99974043   4.0841694e-05
      1608.80      0.99974047   4.0832808e-05
      1608.90      0.99974050   4.0823619e-05
      1609.00      0.99974053   4.0814748e-05
      1609.10      0.99974056   4.0805562e-05
      1609.20      0.99974060   4.0796379e-05
      1609.30      0.99974063   4.0787502e-05
      1609.40      0.99974066   4.0778323e-05
      1609.50      0.99974069   4.0769461e-05
      1609.60      0.99974072   4.0760285e-05
      1609.70      0.99974076   4.0751111e-05
      1609.80      0.99974079   4.0741928e-05
      1609.90      0.99974082   4.0733074e-05
      1610.00      0.99974085   4.0723906e-05
      1610.10      0.99974088   4.0714740e-05
      1610.20      0.99974092   4.0705892e-05
      1610.30      0.99974095   4.0696719e-05
      1610.40      0.99974098   4.0687875e-05
      1610.50      0.99974101   4.0678716e-05
      1610.60      0.99974104   4.0669560e-05
      1610.70      0.99974108   4.0660721e-05
      1610.80      0.99974111   4.0651558e-05
      1610.90      0.99974114   4.0642408e-05
      1611.00      0.99974117   4.0633575e-05
      1611.10      0.99974120   4.0624428e-05
      1611.20      0.99974124   4.0615599e-05
      1611.30      0.99974127   4.0606445e-05
      1611.40      0.99974130   4.0597304e-05
      1611.50      0.99974133   4.0588481e-05
      1611.60      0.99974136   4.0579344e-05
      1611.70      0.99974140   4.0570209e-05
      1611.80      0.99974143   4.0561381e-05
      1611.90      0.99974146   4.0552249e-05
      1612.00      0.99974149   4.0543120e-05
      1612.10      0.99974152   4.0534308e-05
      1612.20      0.99974156   4.0525183e-05
      1612.30      0.99974159   4.0516049e-05
      1612.40      0.99974162   4.0507243e-05
      1612.50      0.99974165   4.0498123e-05
      1612.60      0.99974168   4.0489006e-05
      1612.70      0.99974172   4.0480205e-05
      1612.80      0.99974175   4.0471080e-05
      1612.90      0.99974178   4.0461969e-05
      1613.00      0.99974181   4.0453174e-05
      1613.10      0.99974184   4.0444066e-05
      1613.20      0.99974188   4.0434960e-05
      1613.30      0.99974191   4.0425845e-05
      1613.40      0.99974194   4.0417058e-05
      1613.50      0.99974197   4.0407958e-05
      1613.60      0.99974200   4.0399174e-05
      1613.70      0.99974203   4.0390078e-05
      1613.80      0.99974207   4.0380973e-05
      1613.90      0.99974210   4.0372195e-05
      1614.00      0.99974213   4.0363105e-05
      1614.10      0.99974216   4.0354016e-05
      1614.20      0.99974219   4.0345244e-05
      1614.30      0.99974223   4.0336148e-05
      1614.40      0.99974226   4.0327066e-05
      1614.50      0.99974229   4.0318299e-05
      1614.60      0.99974232   4.0309535e-05
      1614.70      0.99974235   4.0300458e-05
      1614.80      0.99974239   4.0291686e-05
      1614.90      0.99974242   4.0282613e-05
      1615.00      0.99974245   4.0273856e-05
      1615.10      0.99974248   4.0264787e-05
      1615.20      0.99974251   4.0256033e-05
      1615.30      0.99974255   4.0246957e-05
      1615.40      0.99974258   4.0238207e-05
      1615.50      0.99974261   4.0229146e-05
      1615.60      0.99974264   4.0220400e-05
      1615.70      0.99974267   4.0211656e-05
      1615.80      0.99974270   4.0202589e-05
      1615.90      0.99974274   4.0193849e-05
      1616.00      0.99974277   4.0184797e-05
      1616.10      0.99974280   4.0176061e-05
      1616.20      0.99974283   4.0167012e-05
      1616.30      0.99974286   4.0158269e-05
      1616.40      0.99974289   4.0149224e-05
      1616.50      0.99974293   4.0140496e-05
      1616.60      0.99974296   4.0131455e-05
      1616.70      0.99974299   4.0122416e-05
      1616.80      0.99974302   4.0113369e-05
      1616.90      0.99974305   4.0104647e-05
      1617.00      0.99974308   4.0095614e-05
      1617.10      0.99974312   4.0086583e-05
      1617.20      0.99974315   4.0077554e-05
      1617.30      0.99974318   4.0068829e-05
      1617.40      0.99974321   4.0059804e-05
      1617.50      0.99974324   4.0050781e-05
      1617.60      0.99974327   4.0042072e-05
      1617.70      0.99974331   4.0033053e-05
      1617.80      0.99974334   4.0024024e-05
      1617.90      0.99974337   4.0015009e-05
      1618.00      0.99974340   4.0005995e-05
      1618.10      0.99974343   3.9997296e-05
      1618.20      0.99974347   3.9988286e-05
      1618.30      0.99974350   3.9979267e-05
      1618.40      0.99974353   3.9970574e-05
      1618.50      0.99974356   3.9961570e-05
      1618.60      0.99974359   3.9952880e-05
      1618.70      0.99974362   3.9943880e-05
      1618.80      0.99974366   3.9935183e-05
      1618.90      0.99974369   3.9926187e-05
      1619.00      0.99974372   3.9917504e-05
      1619.10      0.99974375   3.9908512e-05
      1619.20      0.99974378   3.9899833e-05
      1619.30      0.99974381   3.9890833e-05
      1619.40      0.99974385   3.9882159e-05
      1619.50      0.99974388   3.9873173e-05
      1619.60      0.99974391   3.9864502e-05
      1619.70      0.99974394   3.9855521e-05
      1619.80      0.99974397   3.9846843e-05
      1619.90      0.99974400   3.9837865e-05
      1620.00      0.99974404   3.9829202e-05
      1620.10      0.99974407   3.9820228e-05
      1620.20      0.99974410   3.9811568e-05
      1620.30      0.99974413   3.9802587e-05
      1620.40      0.99974416   3.9793931e-05
      1620.50      0.99974419   3.9785277e-05
      1620.60      0.99974423   3.9776624e-05
      1620.70      0.99974426   3.9767662e-05
      1620.80      0.99974429   3.9759003e-05
      1620.90      0.99974432   3.9750356e-05
      1621.00      0.99974435   3.9741711e-05
      1621.10      0.99974438   3.9732755e-05
      1621.20      0.99974442   3.9724114e-05
      1621.30      0.99974445   3.9715464e-05
      1621.40      0.99974448   3.9706514e-05
      1621.50      0.99974451   3.9697879e-05
      1621.60      0.99974454   3.9689245e-05
      1621.70      0.99974457   3.9680612e-05
      1621.80      0.99974461   3.9671971e-05
      1621.90      0.99974464   3.9663031e-05
      1622.00      0.99974467   3.9654405e-05
      1622.10      0.99974470   3.9645780e-05
      1622.20      0.99974473   3.9636845e-05
      1622.30      0.99974476   3.9628213e-05
      1622.40      0.99974479   3.9619283e-05
      1622.50      0.99974483   3.9610665e-05
      1622.60      0.99974486   3.9602050e-05
      1622.70      0.99974489   3.9593125e-05
      1622.80      0.99974492   3.9584191e-05
      1622.90      0.99974495   3.9575581e-05
      1623.00      0.99974498   3.9566661e-05
      1623.10      0.99974501   3.9558055e-05
      1623.20      0.99974505   3.9549139e-05
      1623.30      0.99974508   3.9540526e-05
      1623.40      0.99974511   3.9531614e-05
      1623.50      0.99974514   3.9522704e-05
      1623.60      0.99974517   3.9514107e-05
      1623.70      0.99974520   3.9505201e-05
      1623.80      0.99974523   3.9496596e-05
      1623.90      0.99974527   3.9487694e-05
      1624.00      0.99974530   3.9479104e-05
      1624.10      0.99974533   3.9470205e-05
      1624.20      0.99974536   3.9461619e-05
      1624.30      0.99974539   3.9452714e-05
      1624.40      0.99974542   3.9444131e-05
      1624.50      0.99974545   3.9435550e-05
      1624.60      0.99974549   3.9426661e-05
      1624.70      0.99974552   3.9418084e-05
      1624.80      0.99974555   3.9409188e-05
      1624.90      0.99974558   3.9400614e-05
      1625.00      0.99974561   3.9392043e-05
      1625.10      0.99974564   3.9383473e-05
      1625.20      0.99974567   3.9374595e-05
      1625.30      0.99974571   3.9366018e-05
      1625.40      0.99974574   3.9357454e-05
      1625.50      0.99974577   3.9348581e-05
      1625.60      0.99974580   3.9340021e-05
      1625.70      0.99974583   3.9331462e-05
      1625.80      0.99974586   3.9322584e-05
      1625.90      0.99974589   3.9314029e-05
      1626.00      0.99974593   3.9305476e-05
      1626.10      0.99974596   3.9296614e-05
      1626.20      0.99974599   3.9288064e-05
      1626.30      0.99974602   3.9279506e-05
      1626.40      0.99974605   3.9270650e-05
      1626.50      0.99974608   3.9262106e-05
      1626.60      0.99974611   3.9253563e-05
      1626.70      0.99974615   3.9244713e-05
      1626.80      0.99974618   3.9236164e-05
      1626.90      0.99974621   3.9227627e-05
      1627.00      0.99974624   3.9219091e-05
      1627.10      0.99974627   3.9210249e-05
      1627.20      0.99974630   3.9201717e-05
      1627.30      0.99974633   3.9192867e-05
      1627.40      0.99974636   3.9184339e-05
      1627.50      0.99974640   3.9175813e-05
      1627.60      0.99974643   3.9167289e-05
      1627.70      0.99974646   3.9158457e-05
      1627.80      0.99974649   3.9149926e-05
      1627.90      0.99974652   3.9141098e-05
      1628.00      0.99974655   3.9132581e-05
      1628.10      0.99974658   3.9124065e-05
      1628.20      0.99974661   3.9115243e-05
      1628.30      0.99974665   3.9106721e-05
      1628.40      0.99974668   3.9098211e-05
      1628.50      0.99974671   3.9089394e-05
      1628.60      0.99974674   3.9080888e-05
      1628.70      0.99974677   3.9072383e-05
      1628.80      0.99974680   3.9063561e-05
      1628.90      0.99974683   3.9055060e-05
      1629.00      0.99974686   3.9046561e-05
      1629.10      0.99974690   3.9037755e-05
      1629.20      0.99974693   3.9029260e-05
      1629.30      0.99974696   3.9020447e-05
      1629.40      0.99974699   3.9011956e-05
      1629.50      0.99974702   3.9003466e-05
      1629.60      0.99974705   3.8994669e-05
      1629.70      0.99974708   3.8986182e-05
      1629.80      0.99974711   3.8977379e-05
      1629.90      0.99974715   3.8968896e-05
      1630.00      0.99974718   3.8960415e-05
      1630.10      0.99974721   3.8951628e-05
      1630.20      0.99974724   3.8943150e-05
      1630.30      0.99974727   3.8934664e-05
      1630.40      0.99974730   3.8926191e-05
      1630.50      0.99974733   3.8917410e-05
      1630.60      0.99974736   3.8908940e-05
      1630.70      0.99974740   3.8900472e-05
      1630.80      0.99974743   3.8891995e-05
      1630.90      0.99974746   3.8883530e-05
      1631.00      0.99974749   3.8875067e-05
      1631.10      0.99974752   3.8866606e-05
      1631.20      0.99974755   3.8857839e-05
      1631.30      0.99974758   3.8849371e-05
      1631.40      0.99974761   3.8840915e-05
      1631.50      0.99974764   3.8832461e-05
      1631.60      0.99974768   3.8824008e-05
      1631.70      0.99974771   3.8815558e-05
      1631.80      0.99974774   3.8807099e-05
      1631.90      0.99974777   3.8798652e-05
      1632.00      0.99974780   3.8790207e-05
      1632.10      0.99974783   3.8781456e-05
      1632.20      0.99974786   3.8773014e-05
      1632.30      0.99974789   3.8764564e-05
      1632.40      0.99974792   3.8756126e-05
      1632.50      0.99974796   3.8747382e-05
      1632.60      0.99974799   3.8738948e-05
      1632.70      0.99974802   3.8730515e-05
      1632.80      0.99974805   3.8721766e-05
      1632.90      0.99974808   3.8713030e-05
      1633.00      0.99974811   3.8704603e-05
      1633.10      0.99974814   3.8696177e-05
      1633.20      0.99974817   3.8687447e-05
      1633.30      0.99974820   3.8679014e-05
      1633.40      0.99974823   3.8670287e-05
      1633.50      0.99974827   3.8661869e-05
      1633.60      0.99974830   3.8653452e-05
      1633.70      0.99974833   3.8644730e-05
      1633.80      0.99974836   3.8636307e-05
      1633.90      0.99974839   3.8627589e-05
      1634.00      0.99974842   3.8619179e-05
      1634.10      0.99974845   3.8610465e-05
      1634.20      0.99974848   3.8602059e-05
      1634.30      0.99974851   3.8593645e-05
      1634.40      0.99974855   3.8585242e-05
      1634.50      0.99974858   3.8576535e-05
      1634.60      0.99974861   3.8568136e-05
      1634.70      0.99974864   3.8559740e-05
      1634.80      0.99974867   3.8551334e-05
      1634.90      0.99974870   3.8542941e-05
      1635.00      0.99974873   3.8534243e-05
      1635.10      0.99974876   3.8525853e-05
      1635.20      0.99974879   3.8517465e-05
      1635.30      0.99974882   3.8509068e-05
      1635.40      0.99974886   3.8500683e-05
      1635.50      0.99974889   3.8491994e-05
      1635.60      0.99974892   3.8483613e-05
      1635.70      0.99974895   3.8475234e-05
      1635.80      0.99974898   3.8466846e-05
      1635.90      0.99974901   3.8458471e-05
      1636.00      0.99974904   3.8450097e-05
      1636.10      0.99974907   3.8441419e-05
      1636.20      0.99974910   3.8433048e-05
      1636.30      0.99974913   3.8424669e-05
      1636.40      0.99974916   3.8416302e-05
      1636.50      0.99974920   3.8407937e-05
      1636.60      0.99974923   3.8399268e-05
      1636.70      0.99974926   3.8390906e-05
      1636.80      0.99974929   3.8382536e-05
      1636.90      0.99974932   3.8374178e-05
      1637.00      0.99974935   3.8365516e-05
      1637.10      0.99974938   3.8357162e-05
      1637.20      0.99974941   3.8348809e-05
      1637.30      0.99974944   3.8340448e-05
      1637.40      0.99974947   3.8332099e-05
      1637.50      0.99974951   3.8323751e-05
      1637.60      0.99974954   3.8315100e-05
      1637.70      0.99974957   3.8306756e-05
      1637.80      0.99974960   3.8298403e-05
      1637.90      0.99974963   3.8289758e-05
      1638.00      0.99974966   3.8281419e-05
      1638.10      0.99974969   3.8273082e-05
      1638.20      0.99974972   3.8264747e-05
      1638.30      0.99974975   3.8256403e-05
      1638.40      0.99974978   3.8248072e-05
      1638.50      0.99974981   3.8239742e-05
      1638.60      0.99974985   3.8231414e-05
      1638.70      0.99974988   3.8223087e-05
      1638.80      0.99974991   3.8214752e-05
      1638.90      0.99974994   3.8206430e-05
      1639.00      0.99974997   3.8198108e-05
      1639.10      0.99975000   3.8189789e-05
      1639.20      0.99975003   3.8181471e-05
      1639.30      0.99975006   3.8173145e-05
      1639.40      0.99975009   3.8164831e-05
      1639.50      0.99975012   3.8156519e-05
      1639.60      0.99975015   3.8148208e-05
      1639.70      0.99975018   3.8139899e-05
      1639.80      0.99975022   3.8131582e-05
      1639.90      0.99975025   3.8123276e-05
      1640.00      0.99975028   3.8114973e-05
      1640.10      0.99975031   3.8106671e-05
      1640.20      0.99975034   3.8098370e-05
      1640.30      0.99975037   3.8090062e-05
      1640.40      0.99975040   3.8081765e-05
      1640.50      0.99975043   3.8073470e-05
      1640.60      0.99975046   3.8065177e-05
      1640.70      0.99975049   3.8056885e-05
      1640.80      0.99975052   3.8048585e-05
      1640.90      0.99975055   3.8040297e-05
      1641.00      0.99975058   3.8032011e-05
      1641.10      0.99975062   3.8024031e-05
      1641.20      0.99975065   3.8015444e-05
      1641.30      0.99975068   3.8007153e-05
      1641.40      0.99975071   3.7999177e-05
      1641.50      0.99975074   3.7990595e-05
      1641.60      0.99975077   3.7982319e-05
      1641.70      0.99975080   3.7974045e-05
      1641.80      0.99975083   3.7966067e-05
      1641.90      0.99975086   3.7957492e-05
      1642.00      0.99975089   3.7949223e-05
      1642.10      0.99975092   3.7940956e-05
      1642.20      0.99975095   3.7932690e-05
      1642.30      0.99975098   3.7924417e-05
      1642.40      0.99975101   3.7916155e-05
      1642.50      0.99975104   3.7907894e-05
      1642.60      0.99975108   3.7899636e-05
      1642.70      0.99975111   3.7891379e-05
      1642.80      0.99975114   3.7883114e-05
      1642.90      0.99975117   3.7874860e-05
      1643.00      0.99975120   3.7866609e-05
      1643.10      0.99975123   3.7858359e-05
      1643.20      0.99975126   3.7850110e-05
      1643.30      0.99975129   3.7841854e-05
      1643.40      0.99975132   3.7833609e-05
      1643.50      0.99975135   3.7825366e-05
      1643.60      0.99975138   3.7817125e-05
      1643.70      0.99975141   3.7808885e-05
      1643.80      0.99975144   3.7800637e-05
      1643.90      0.99975147   3.7792401e-05
      1644.00      0.99975150   3.7784167e-05
      1644.10      0.99975154   3.7775934e-05
      1644.20      0.99975157   3.7767703e-05
      1644.30      0.99975160   3.7759464e-05
      1644.40      0.99975163   3.7751237e-05
      1644.50      0.99975166   3.7743011e-05
      1644.60      0.99975169   3.7734787e-05
      1644.70      0.99975172   3.7726564e-05
      1644.80      0.99975175   3.7718334e-05
      1644.90      0.99975178   3.7710115e-05
      1645.00      0.99975181   3.7701595e-05
      1645.10      0.99975184   3.7693379e-05
      1645.20      0.99975187   3.7685468e-05
      1645.30      0.99975190   3.7676944e-05
      1645.40      0.99975193   3.7668733e-05
      1645.50      0.99975196   3.7660525e-05
      1645.60      0.99975199   3.7652318e-05
      1645.70      0.99975202   3.7644113e-05
      1645.80      0.99975205   3.7635900e-05
      1645.90      0.99975209   3.7627698e-05
      1646.00      0.99975212   3.7619498e-05
      1646.10      0.99975215   3.7611300e-05
      1646.20      0.99975218   3.7603103e-05
      1646.30      0.99975221   3.7594898e-05
      1646.40      0.99975224   3.7586705e-05
      1646.50      0.99975227   3.7578514e-05
      1646.60      0.99975230   3.7570324e-05
      1646.70      0.99975233   3.7561834e-05
      1646.80      0.99975236   3.7553638e-05
      1646.90      0.99975239   3.7545453e-05
      1647.00      0.99975242   3.7537270e-05
      1647.10      0.99975245   3.7529089e-05
      1647.20      0.99975248   3.7520910e-05
      1647.30      0.99975251   3.7512722e-05
      1647.40      0.99975254   3.7504546e-05
      1647.50      0.99975257   3.7496372e-05
      1647.60      0.99975260   3.7488200e-05
      1647.70      0.99975263   3.7480029e-05
      1647.80      0.99975267   3.7471850e-05
      1647.90      0.99975270   3.7463682e-05
      1648.00      0.99975273   3.7455215e-05
      1648.10      0.99975276   3.7447051e-05
      1648.20      0.99975279   3.7438888e-05
      1648.30      0.99975282   3.7430718e-05
      1648.40      0.99975285   3.7422559e-05
      1648.50      0.99975288   3.7414703e-05
      1648.60      0.99975291   3.7406548e-05
      1648.70      0.99975294   3.7398394e-05
      1648.80      0.99975297   3.7390232e-05
      1648.90      0.99975300   3.7382082e-05
      1649.00      0.99975303   3.7373933e-05
      1649.10      0.99975306   3.7365786e-05
      1649.20      0.99975309   3.7357942e-05
      1649.30      0.99975312   3.7349789e-05
      1649.40      0.99975315   3.7341647e-05
      1649.50      0.99975318   3.7333507e-05
      1649.60      0.99975321   3.7325368e-05
      1649.70      0.99975324   3.7317532e-05
      1649.80      0.99975327   3.7309086e-05
      1649.90      0.99975330   3.7301254e-05
      1650.00      0.99975333   3.7293122e-05
      1650.10      0.99975337   3.7284992e-05
      1650.20      0.99975340   3.7276864e-05
      1650.30      0.99975343   3.7268727e-05
      1650.40      0.99975346   3.7260602e-05
      1650.50      0.99975349   3.7252780e-05
      1650.60      0.99975352   3.7244658e-05
      1650.70      0.99975355   3.7236538e-05
      1650.80      0.99975358   3.7228410e-05
      1650.90      0.99975361   3.7220294e-05
      1651.00      0.99975364   3.7212179e-05
      1651.10      0.99975367   3.7204066e-05
      1651.20      0.99975370   3.7196255e-05
      1651.30      0.99975373   3.7188135e-05
      1651.40      0.99975376   3.7180027e-05
      1651.50      0.99975379   3.7171921e-05
      1651.60      0.99975382   3.7163816e-05
      1651.70      0.99975385   3.7155713e-05
      1651.80      0.99975388   3.7147902e-05
      1651.90      0.99975391   3.7139802e-05
      1652.00      0.99975394   3.7131704e-05
      1652.10      0.99975397   3.7123608e-05
      1652.20      0.99975400   3.7115513e-05
      1652.30      0.99975403   3.7107411e-05
      1652.40      0.99975406   3.7099319e-05
      1652.50      0.99975409   3.7091230e-05
      1652.60      0.99975412   3.7083142e-05
      1652.70      0.99975415   3.7075356e-05
      1652.80      0.99975418   3.7067261e-05
      1652.90      0.99975421   3.7059179e-05
      1653.00      0.99975424   3.7051097e-05
      1653.10      0.99975427   3.7043018e-05
      1653.20      0.99975431   3.7034940e-05
      1653.30      0.99975434   3.7026854e-05
      1653.40      0.99975437   3.7018780e-05
      1653.50      0.99975440   3.7010707e-05
      1653.60      0.99975443   3.7002636e-05
      1653.70      0.99975446   3.6994866e-05
      1653.80      0.99975449   3.6986789e-05
      1653.90      0.99975452   3.6978722e-05
      1654.00      0.99975455   3.6970658e-05
      1654.10      0.99975458   3.6962595e-05
      1654.20      0.99975461   3.6954534e-05
      1654.30      0.99975464   3.6946465e-05
      1654.40      0.99975467   3.6938408e-05
      1654.50      0.99975470   3.6930352e-05
      1654.60      0.99975473   3.6922297e-05
      1654.70      0.99975476   3.6914544e-05
      1654.80      0.99975479   3.6906483e-05
      1654.90      0.99975482   3.6898434e-05
      1655.00      0.99975485   3.6890386e-05
      1655.10      0.99975488   3.6882340e-05
      1655.20      0.99975491   3.6874296e-05
      1655.30      0.99975494   3.6866243e-05
      1655.40      0.99975497   3.6858203e-05
      1655.50      0.99975500   3.6850163e-05
      1655.60      0.99975503   3.6842126e-05
      1655.70      0.99975506   3.6834090e-05
      1655.80      0.99975509   3.6826344e-05
      1655.90      0.99975512   3.6818013e-05
      1656.00      0.99975515   3.6809982e-05
      1656.10      0.99975518   3.6802252e-05
      1656.20      0.99975521   3.6794224e-05
      1656.30      0.99975524   3.6786189e-05
      1656.40      0.99975527   3.6778164e-05
      1656.50      0.99975530   3.6770142e-05
      1656.60      0.99975533   3.6762419e-05
      1656.70      0.99975536   3.6754400e-05
      1656.80      0.99975539   3.6746671e-05
      1656.90      0.99975542   3.6738655e-05
      1657.00      0.99975545   3.6730641e-05
      1657.10      0.99975548   3.6722628e-05
      1657.20      0.99975551   3.6714916e-05
      1657.30      0.99975554   3.6706897e-05
      1657.40      0.99975557   3.6698889e-05
      1657.50      0.99975560   3.6691181e-05
      1657.60      0.99975563   3.6683177e-05
      1657.70      0.99975566   3.6675174e-05
      1657.80      0.99975569   3.6667462e-05
      1657.90      0.99975572   3.6659462e-05
      1658.00      0.99975575   3.6651464e-05
      1658.10      0.99975578   3.6643468e-05
      1658.20      0.99975581   3.6635772e-05
      1658.30      0.99975584   3.6627769e-05
      1658.40      0.99975587   3.6620076e-05
      1658.50      0.99975590   3.6612087e-05
      1658.60      0.99975593   3.6604099e-05
      1658.70      0.99975596   3.6596112e-05
      1658.80      0.99975599   3.6588416e-05
      1658.90      0.99975602   3.6580433e-05
      1659.00      0.99975605   3.6572452e-05
      1659.10      0.99975608   3.6564770e-05
      1659.20      0.99975611   3.6556792e-05
      1659.30      0.99975614   3.6548806e-05
      1659.40      0.99975617   3.6541129e-05
      1659.50      0.99975621   3.6533156e-05
      1659.60      0.99975624   3.6525184e-05
      1659.70      0.99975627   3.6517215e-05
      1659.80      0.99975630   3.6509534e-05
      1659.90      0.99975633   3.6501568e-05
      1660.00      0.99975635   3.6493603e-05
      1660.10      0.99975639   3.6485640e-05
      1660.20      0.99975642   3.6477976e-05
      1660.30      0.99975645   3.6470006e-05
      1660.40      0.99975648   3.6462048e-05
      1660.50      0.99975650   3.6454388e-05
      1660.60      0.99975654   3.6446434e-05
      1660.70      0.99975657   3.6438480e-05
      1660.80      0.99975660   3.6430519e-05
      1660.90      0.99975662   3.6422866e-05
      1661.00      0.99975665   3.6414918e-05
      1661.10      0.99975668   3.6406971e-05
      1661.20      0.99975671   3.6399323e-05
      1661.30      0.99975674   3.6391369e-05
      1661.40      0.99975677   3.6383428e-05
      1661.50      0.99975680   3.6375487e-05
      1661.60      0.99975683   3.6367846e-05
      1661.70      0.99975686   3.6359909e-05
      1661.80      0.99975689   3.6351964e-05
      1661.90      0.99975692   3.6344327e-05
      1662.00      0.99975695   3.6336395e-05
      1662.10      0.99975698   3.6328465e-05
      1662.20      0.99975701   3.6320536e-05
      1662.30      0.99975704   3.6312599e-05
      1662.40      0.99975707   3.6304970e-05
      1662.50      0.99975710   3.6297046e-05
      1662.60      0.99975713   3.6289124e-05
      1662.70      0.99975716   3.6281204e-05
      1662.80      0.99975719   3.6273571e-05
      1662.90      0.99975722   3.6265654e-05
      1663.00      0.99975725   3.6257738e-05
      1663.10      0.99975728   3.6249824e-05
      1663.20      0.99975731   3.6242208e-05
      1663.30      0.99975734   3.6234288e-05
      1663.40      0.99975737   3.6226379e-05
      1663.50      0.99975740   3.6218471e-05
      1663.60      0.99975743   3.6210565e-05
      1663.70      0.99975746   3.6202957e-05
      1663.80      0.99975749   3.6195045e-05
      1663.90      0.99975752   3.6187144e-05
      1664.00      0.99975755   3.6179541e-05
      1664.10      0.99975758   3.6171643e-05
      1664.20      0.99975761   3.6163747e-05
      1664.30      0.99975764   3.6155843e-05
      1664.40      0.99975767   3.6148246e-05
      1664.50      0.99975770   3.6140355e-05
      1664.60      0.99975773   3.6132761e-05
      1664.70      0.99975776   3.6124873e-05
      1664.80      0.99975779   3.6117273e-05
      1664.90      0.99975782   3.6109388e-05
      1665.00      0.99975785   3.6101800e-05
      1665.10      0.99975788   3.6093919e-05
      1665.20      0.99975791   3.6086334e-05
      1665.30      0.99975794   3.6078447e-05
      1665.40      0.99975797   3.6070865e-05
      1665.50      0.99975800   3.6062990e-05
      1665.60      0.99975803   3.6055412e-05
      1665.70      0.99975806   3.6047541e-05
      1665.80      0.99975809   3.6039956e-05
      1665.90      0.99975812   3.6032088e-05
      1666.00      0.99975815   3.6024516e-05
      1666.10      0.99975818   3.6016650e-05
      1666.20      0.99975821   3.6008787e-05
      1666.30      0.99975824   3.6001210e-05
      1666.40      0.99975827   3.5993350e-05
      1666.50      0.99975830   3.5985786e-05
      1666.60      0.99975833   3.5977928e-05
      1666.70      0.99975836   3.5970368e-05
      1666.80      0.99975839   3.5962504e-05
      1666.90      0.99975842   3.5954947e-05
      1667.00      0.99975845   3.5947096e-05
      1667.10      0.99975848   3.5939541e-05
      1667.20      0.99975851   3.5931694e-05
      1667.30      0.99975854   3.5923838e-05
      1667.40      0.99975857   3.5916288e-05
      1667.50      0.99975860   3.5908446e-05
      1667.60      0.99975863   3.5900899e-05
      1667.70      0.99975866   3.5893059e-05
      1667.80      0.99975869   3.5885507e-05
      1667.90      0.99975871   3.5877670e-05
      1668.00      0.99975874   3.5870130e-05
      1668.10      0.99975877   3.5862297e-05
      1668.20      0.99975880   3.5854759e-05
      1668.30      0.99975883   3.5846920e-05
      1668.40      0.99975886   3.5839386e-05
      1668.50      0.99975889   3.5831559e-05
      1668.60      0.99975892   3.5823734e-05
      1668.70      0.99975895   3.5816205e-05
      1668.80      0.99975898   3.5808373e-05
      1668.90      0.99975901   3.5800847e-05
      1669.00      0.99975904   3.5793028e-05
      1669.10      0.99975907   3.5785211e-05
      1669.20      0.99975910   3.5777690e-05
      1669.30      0.99975913   3.5769866e-05
      1669.40      0.99975916   3.5762348e-05
      1669.50      0.99975919   3.5754537e-05
      1669.60      0.99975922   3.5747022e-05
      1669.70      0.99975925   3.5739215e-05
      1669.80      0.99975928   3.5731693e-05
      1669.90      0.99975931   3.5723889e-05
      1670.00      0.99975934   3.5716086e-05
      1670.10      0.99975937   3.5708578e-05
      1670.20      0.99975940   3.5700779e-05
      1670.30      0.99975943   3.5693265e-05
      1670.40      0.99975946   3.5685469e-05
      1670.50      0.99975949   3.5677674e-05
      1670.60      0.99975952   3.5670174e-05
      1670.70      0.99975955   3.5662383e-05
      1670.80      0.99975957   3.5654877e-05
      1670.90      0.99975960   3.5647089e-05
      1671.00      0.99975963   3.5639595e-05
      1671.10      0.99975966   3.5631810e-05
      1671.20      0.99975969   3.5624320e-05
      1671.30      0.99975972   3.5616528e-05
      1671.40      0.99975975   3.5608748e-05
      1671.50      0.99975978   3.5601262e-05
      1671.60      0.99975981   3.5593485e-05
      1671.70      0.99975984   3.5585709e-05
      1671.80      0.99975987   3.5578219e-05
      1671.90      0.99975990   3.5570447e-05
      1672.00      0.99975993   3.5562676e-05
      1672.10      0.99975996   3.5555200e-05
      1672.20      0.99975999   3.5547432e-05
      1672.30      0.99976002   3.5539949e-05
      1672.40      0.99976005   3.5532185e-05
      1672.50      0.99976008   3.5524715e-05
      1672.60      0.99976011   3.5516954e-05
      1672.70      0.99976014   3.5509194e-05
      1672.80      0.99976017   3.5501719e-05
