energy[ev]	n     k
      1515.10      0.99970829   5.0624628e-05
      1515.20      0.99970833   5.0612584e-05
      1515.30      0.99970837   5.0600528e-05
      1515.40      0.99970840   5.0588489e-05
      1515.50      0.99970844   5.0576453e-05
      1515.60      0.99970848   5.0564420e-05
      1515.70      0.99970851   5.0552389e-05
      1515.80      0.99970855   5.0540347e-05
      1515.90      0.99970859   5.0528322e-05
      1516.00      0.99970862   5.0516299e-05
      1516.10      0.99970866   5.0504280e-05
      1516.20      0.99970869   5.0492263e-05
      1516.30      0.99970873   5.0480234e-05
      1516.40      0.99970877   5.0468222e-05
      1516.50      0.99970880   5.0456214e-05
      1516.60      0.99970884   5.0444208e-05
      1516.70      0.99970888   5.0432205e-05
      1516.80      0.99970891   5.0420190e-05
      1516.90      0.99970895   5.0408192e-05
      1517.00      0.99970899   5.0396197e-05
      1517.10      0.99970902   5.0384204e-05
      1517.20      0.99970906   5.0372234e-05
      1517.30      0.99970909   5.0360426e-05
      1517.40      0.99970913   5.0348634e-05
      1517.50      0.99970917   5.0336846e-05
      1517.60      0.99970920   5.0325060e-05
      1517.70      0.99970924   5.0313277e-05
      1517.80      0.99970928   5.0301482e-05
      1517.90      0.99970931   5.0289704e-05
      1518.00      0.99970935   5.0277928e-05
      1518.10      0.99970939   5.0266156e-05
      1518.20      0.99970942   5.0254386e-05
      1518.30      0.99970946   5.0242604e-05
      1518.40      0.99970950   5.0230840e-05
      1518.50      0.99970953   5.0219078e-05
      1518.60      0.99970957   5.0207318e-05
      1518.70      0.99970961   5.0195562e-05
      1518.80      0.99970964   5.0183793e-05
      1518.90      0.99970968   5.0172042e-05
      1519.00      0.99970972   5.0160293e-05
      1519.10      0.99970975   5.0148547e-05
      1519.20      0.99970979   5.0136804e-05
      1519.30      0.99970983   5.0125049e-05
      1519.40      0.99970986   5.0113311e-05
      1519.50      0.99970990   5.0101576e-05
      1519.60      0.99970994   5.0089843e-05
      1519.70      0.99970997   5.0078113e-05
      1519.80      0.99971001   5.0066371e-05
      1519.90      0.99971005   5.0054647e-05
      1520.00      0.99971008   5.0042925e-05
      1520.10      0.99971012   5.0031205e-05
      1520.20      0.99971015   5.0019488e-05
      1520.30      0.99971019   5.0007760e-05
      1520.40      0.99971023   4.9996048e-05
      1520.50      0.99971026   4.9984340e-05
      1520.60      0.99971030   4.9972633e-05
      1520.70      0.99971034   4.9960942e-05
      1520.80      0.99971037   4.9949238e-05
      1520.90      0.99971041   4.9937552e-05
      1521.00      0.99971045   4.9925868e-05
      1521.10      0.99971048   4.9914187e-05
      1521.20      0.99971052   4.9902509e-05
      1521.30      0.99971056   4.9890818e-05
      1521.40      0.99971059   4.9879145e-05
      1521.50      0.99971063   4.9867475e-05
      1521.60      0.99971067   4.9855807e-05
      1521.70      0.99971070   4.9844141e-05
      1521.80      0.99971074   4.9832464e-05
      1521.90      0.99971078   4.9820804e-05
      1522.00      0.99971081   4.9809147e-05
      1522.10      0.99971085   4.9797492e-05
      1522.20      0.99971088   4.9785840e-05
      1522.30      0.99971092   4.9774176e-05
      1522.40      0.99971096   4.9762530e-05
      1522.50      0.99971099   4.9750885e-05
      1522.60      0.99971103   4.9739244e-05
      1522.70      0.99971107   4.9727605e-05
      1522.80      0.99971110   4.9715954e-05
      1522.90      0.99971114   4.9704320e-05
      1523.00      0.99971118   4.9692689e-05
      1523.10      0.99971121   4.9681061e-05
      1523.20      0.99971125   4.9669435e-05
      1523.30      0.99971129   4.9657798e-05
      1523.40      0.99971132   4.9646177e-05
      1523.50      0.99971136   4.9634559e-05
      1523.60      0.99971139   4.9622944e-05
      1523.70      0.99971143   4.9611331e-05
      1523.80      0.99971147   4.9599707e-05
      1523.90      0.99971150   4.9588099e-05
      1524.00      0.99971154   4.9576494e-05
      1524.10      0.99971158   4.9564892e-05
      1524.20      0.99971161   4.9553292e-05
      1524.30      0.99971165   4.9541681e-05
      1524.40      0.99971169   4.9530087e-05
      1524.50      0.99971172   4.9518495e-05
      1524.60      0.99971176   4.9506906e-05
      1524.70      0.99971179   4.9495319e-05
      1524.80      0.99971183   4.9483721e-05
      1524.90      0.99971187   4.9472140e-05
      1525.00      0.99971190   4.9460561e-05
      1525.10      0.99971194   4.9448985e-05
      1525.20      0.99971198   4.9437412e-05
      1525.30      0.99971201   4.9425827e-05
      1525.40      0.99971205   4.9414258e-05
      1525.50      0.99971208   4.9402693e-05
      1525.60      0.99971212   4.9391130e-05
      1525.70      0.99971216   4.9379569e-05
      1525.80      0.99971219   4.9367997e-05
      1525.90      0.99971223   4.9356442e-05
      1526.00      0.99971227   4.9344889e-05
      1526.10      0.99971230   4.9333339e-05
      1526.20      0.99971234   4.9321792e-05
      1526.30      0.99971237   4.9310233e-05
      1526.40      0.99971241   4.9298691e-05
      1526.50      0.99971245   4.9287151e-05
      1526.60      0.99971248   4.9275614e-05
      1526.70      0.99971252   4.9264080e-05
      1526.80      0.99971255   4.9252534e-05
      1526.90      0.99971259   4.9241005e-05
      1527.00      0.99971263   4.9229478e-05
      1527.10      0.99971266   4.9217954e-05
      1527.20      0.99971270   4.9206432e-05
      1527.30      0.99971274   4.9194900e-05
      1527.40      0.99971277   4.9183383e-05
      1527.50      0.99971281   4.9171870e-05
      1527.60      0.99971284   4.9160359e-05
      1527.70      0.99971288   4.9148850e-05
