# Object	Reference	Metallicity	[Fe/H]	[C/Fe]
BD+03_740	M.Asplund+ApJ6442292006	-2.65	-2.65	
BD+05_3640	D.Yong+ApJ59913572003	-1.34	-1.34	
BD+05_3640	R.G.Gratton+AAP4041872003	-1.15	-1.2	
BD+05_3640	I.U.Roederer+ApJ7249752010		-1.3	
BD+05_3640	E.Caffau+AAP4415332005	-1.19	-1.19	
BD+05_3640	J.Simmerer+ApJ61710912004	-1.3	-1.3	-0.02
BD+06_0648	W.Aoki+PASJ60L72008	-2.1	-2.14	-0.03
BD+06_0648	J.Melendez+ApJ5568582001	-2.1	-2.1	-0.58
BD+06_0648	D.L.Burris+ApJ5443022000	-2	-1.93	
BD+06_0648	M.Aoki+ApJ83782017	-2.11	-2.11	
BD+07_4841	P.E.Nissen+AAP511L102010	-1.39	-1.39	
BD+07_4841	P.E.Nissen+AAP4693192007	-1.46	-1.46	
BD+07_4841	Y.Takeda+PASJ63S5372011	-1.46	-1.46	
BD+07_4841	C.J.Akerman+AAP4149312004	-1.52	-1.52	0.38
BD+07_4841	C.Charbonnel+AAP4429612005	-1.25	-1.25	
BD+07_4841	E.Caffau+AAP4415332005	-1.59	-1.59	
BD+07_4841	D.Fabbian+AAP50011432009	-1.46	-1.51	0.31
BD+07_4841	H.L.Yan+AAP5851022016	-1.39	-1.39	
BD+07_4841	P. E. Nissen+AAP530A152011	-1.39	-1.39	
BD+07_4841	P.E.Nissen+AAP4159932004	-1.52	-1.52	
BD+08_3095	J.Melendez+ApJ64210822006	-0.6	-0.78	
BD+08_3095	C.J.Akerman+AAP4149312004	-0.76	-0.76	-0.07
BD+08_3095	P.E.Nissen+AAP4159932004	-0.76	-0.76	
BD+10_2495	M.N.Ishigaki+ApJ753642012	-2.02	-2.02	
BD+10_2495	M.Ishigaki+PASJ621432010	-2.17	-2.17	
BD+10_2495	I.U.Roederer+ApJ7115732010	-2.45	-2.31	-0.2
BD+10_2495	I.U.Roederer+AJ1471362014	-2.14	-2.16	-0.2
BD+10_2495	L.Zhang+ApJ70610952009	-2.1	-1.93	
BD+10_2495	J.A.Johnson+ApJ5796162002		-1.9	
BD+10_2495	C.Charbonnel+AAP4429612005	-1.83	-1.83	
BD+10_2495	J.A.Johnson+ApJ5548882001	-2	-1.91	
BD+10_2495	B.W.Carney+AJ1252932003	-2.14	-2.14	
BD+10_2495	J.A.Johnson+ApJS1392192002	-2	-2.06	
BD+11_4725	J.P.Fulbright+AJ12018412000	-0.8	-0.95	
BD+11_4725	R.G.Gratton+AAP4041872003	-0.8	-0.85	
BD+11_4725	B.E.Reddy+MNRAS36713292006	-0.79	-0.84	0.61
BD+11_4725	R.Smiljanic+AAP4991032009	-0.8	-0.8	
BD+11_4725	K.A.Venn+AJ12811772004		-0.97	
BD+12_853	R.G.Gratton+AAP4041872003	-1.13	-1.18	
BD+12_853	I.U.Roederer+ApJ7249752010		-1.25	
BD+12_853	E.Caffau+AAP4415332005	-1.17	-1.17	
BD+12_853	J.Simmerer+ApJ61710912004	-1.25	-1.25	-0.02
BD+17_3248	M.Spite+AAP4306552005	-2.07	-2.07	-0.28
BD+17_3248	S.M.Andrievsky+AAP509A882010	-2.07	-2.07	
BD+17_3248	P.Francois+AAP4769352007	-2	-2.07	
BD+17_3248	I.U.Roederer+ApJ747L82012	-2.08	-2.08	
BD+17_3248	J.A.Johnson+ApJ5796162002		-1.93	
BD+17_3248	J.A.Johnson+ApJ5548882001	-1.95	-1.94	
BD+17_3248	J.A.Johnson+ApJS1392192002	-1.95	-2.09	
BD+17_3248	S.M.Andrievsky+AAP4814812008	-2.07	-2.07	
BD+17_3248	S.M.Andrievsky+AAP49410832009	-2.07	-2.07	
BD+17_3248	R.Cayrel+AAP41611172004	-2.07	-2.04	-0.37
BD+17_3248	J.P.Fulbright+ApJ59511542003	-2	-2.01	
BD+17_3248	M.Spite+AAP541A1432012	-2.07	-2.07	
BD+17_3248	D.L.Burris+ApJ5443022000	-1.8	-1.85	
