# ngamma, nT
50 30
# T_centers_log10(K): 
1.100000e+00 1.300000e+00 1.500000e+00 1.700000e+00 1.900000e+00 2.100000e+00 2.300000e+00 2.500000e+00 2.700000e+00 2.900000e+00 3.100000e+00 3.300000e+00 3.500000e+00 3.700000e+00 3.900000e+00 4.100000e+00 4.300000e+00 4.500000e+00 4.700000e+00 4.900000e+00 5.100000e+00 5.300000e+00 5.500000e+00 5.700000e+00 5.900000e+00 6.100000e+00 6.300000e+00 6.500000e+00 6.700000e+00 6.900000e+00
# gamma_centers_log10(K**0.5 cm**-3):
-4.000000e+00 -3.795918e+00 -3.591837e+00 -3.387755e+00 -3.183673e+00 -2.979592e+00 -2.775510e+00 -2.571429e+00 -2.367347e+00 -2.163265e+00 -1.959184e+00 -1.755102e+00 -1.551020e+00 -1.346939e+00 -1.142857e+00 -9.387755e-01 -7.346939e-01 -5.306122e-01 -3.265306e-01 -1.224490e-01 8.163265e-02 2.857143e-01 4.897959e-01 6.938776e-01 8.979592e-01 1.102041e+00 1.306122e+00 1.510204e+00 1.714286e+00 1.918367e+00 2.122449e+00 2.326531e+00 2.530612e+00 2.734694e+00 2.938776e+00 3.142857e+00 3.346939e+00 3.551020e+00 3.755102e+00 3.959184e+00 4.163265e+00 4.367347e+00 4.571429e+00 4.775510e+00 4.979592e+00 5.183673e+00 5.387755e+00 5.591837e+00 5.795918e+00 6.000000e+00
# Columns: median values for each T bin from left to right
1.414573e+00 6.960710e-01 1.950322e-01 4.526215e-02 2.168068e-02 1.244435e-02 7.652723e-03 5.450048e-03 3.704258e-03 3.111369e-03 2.341527e-03 1.781989e-03 1.427412e-03 1.067505e-03 8.613912e-04 6.918119e-04 5.822190e-04 3.968524e-04 3.309501e-04 2.787728e-04 2.117087e-04 1.590239e-04 1.247363e-04 1.055919e-04 7.987207e-05 6.959126e-05 5.269822e-05 3.974678e-05 3.471611e-05 2.627847e-05
1.177431e+00 2.491303e+01 4.228900e-01 6.953678e-02 2.484807e-02 1.569216e-02 8.931806e-03 6.713212e-03 4.384046e-03 3.631342e-03 2.621110e-03 2.082684e-03 1.669301e-03 1.249343e-03 1.005344e-03 8.181388e-04 6.623858e-04 5.380096e-04 3.891106e-04 3.167972e-04 2.470886e-04 2.005088e-04 1.566915e-04 1.373771e-04 9.927263e-05 7.576774e-05 6.198227e-05 4.824520e-05 4.051774e-05 3.300770e-05
1.037212e+00 2.581474e+01 5.522196e-01 9.042573e-02 3.716723e-02 2.137974e-02 1.183357e-02 7.821682e-03 6.075234e-03 4.428520e-03 3.306805e-03 2.526548e-03 1.952172e-03 1.579600e-03 1.361251e-03 1.028147e-03 7.785497e-04 6.309159e-04 4.734822e-04 4.102379e-04 3.315159e-04 2.528160e-04 2.036184e-04 1.652826e-04 1.176797e-04 9.553345e-05 8.313358e-05 6.343268e-05 5.108769e-05 3.991808e-05
9.770306e-01 3.179866e+01 8.823631e-01 9.876230e-02 4.027426e-02 2.495677e-02 1.534285e-02 1.042100e-02 7.197788e-03 5.735168e-03 4.176939e-03 3.306471e-03 2.639343e-03 1.991677e-03 1.598487e-03 1.283645e-03 1.045749e-03 7.841125e-04 6.634009e-04 5.567256e-04 3.958234e-04 3.315723e-04 2.587273e-04 1.974532e-04 1.602985e-04 1.242905e-04 1.013310e-04 7.403331e-05 6.441506e-05 5.396047e-05
1.221772e+00 2.375409e+01 2.172016e+00 1.156714e-01 6.349401e-02 3.401321e-02 1.881702e-02 1.314040e-02 1.034624e-02 7.231456e-03 5.487245e-03 4.184005e-03 3.461558e-03 2.511257e-03 2.170586e-03 1.518043e-03 1.318557e-03 1.068087e-03 8.042782e-04 7.019601e-04 5.522339e-04 3.734752e-04 3.043106e-04 2.549005e-04 2.021160e-04 1.628104e-04 1.321657e-04 9.632483e-05 8.122116e-05 6.541002e-05
5.429870e-01 1.293607e+01 8.014368e-01 2.195102e-01 8.024773e-02 3.971398e-02 2.406582e-02 1.657005e-02 1.180624e-02 9.587695e-03 6.634747e-03 5.260370e-03 4.533159e-03 3.157692e-03 2.540982e-03 2.054101e-03 1.662533e-03 1.255570e-03 1.058446e-03 8.583471e-04 6.197876e-04 5.048441e-04 3.975106e-04 3.090684e-04 2.528676e-04 1.975970e-04 1.666441e-04 1.271530e-04 1.024070e-04 8.031215e-05
