# ngamma, nT
50 30
# T_centers_log10(K): 
1.100000e+00 1.300000e+00 1.500000e+00 1.700000e+00 1.900000e+00 2.100000e+00 2.300000e+00 2.500000e+00 2.700000e+00 2.900000e+00 3.100000e+00 3.300000e+00 3.500000e+00 3.700000e+00 3.900000e+00 4.100000e+00 4.300000e+00 4.500000e+00 4.700000e+00 4.900000e+00 5.100000e+00 5.300000e+00 5.500000e+00 5.700000e+00 5.900000e+00 6.100000e+00 6.300000e+00 6.500000e+00 6.700000e+00 6.900000e+00
# gamma_centers_log10(K**0.5 cm**-3):
-4.000000e+00 -3.795918e+00 -3.591837e+00 -3.387755e+00 -3.183673e+00 -2.979592e+00 -2.775510e+00 -2.571429e+00 -2.367347e+00 -2.163265e+00 -1.959184e+00 -1.755102e+00 -1.551020e+00 -1.346939e+00 -1.142857e+00 -9.387755e-01 -7.346939e-01 -5.306122e-01 -3.265306e-01 -1.224490e-01 8.163265e-02 2.857143e-01 4.897959e-01 6.938776e-01 8.979592e-01 1.102041e+00 1.306122e+00 1.510204e+00 1.714286e+00 1.918367e+00 2.122449e+00 2.326531e+00 2.530612e+00 2.734694e+00 2.938776e+00 3.142857e+00 3.346939e+00 3.551020e+00 3.755102e+00 3.959184e+00 4.163265e+00 4.367347e+00 4.571429e+00 4.775510e+00 4.979592e+00 5.183673e+00 5.387755e+00 5.591837e+00 5.795918e+00 6.000000e+00
# Columns: median values for each T bin from left to right
-9.999939e-01 -9.999958e-01 -9.999961e-01 -9.999973e-01 -1.000134e+00 -1.197037e+00 -9.108976e+00 -3.384449e+01 -3.399809e+01 -3.399957e+01 -3.399993e+01 -3.399998e+01 -3.399999e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01
-9.999896e-01 -9.999923e-01 -9.999938e-01 -9.999958e-01 -1.000757e+00 -1.131957e+00 -7.984404e+00 -3.318050e+01 -3.399459e+01 -3.399941e+01 -3.399994e+01 -3.399998e+01 -3.399999e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01
-9.999822e-01 -9.999895e-01 -9.999909e-01 -9.999935e-01 -1.000023e+00 -1.074943e+00 -3.697003e+00 -3.389382e+01 -3.397633e+01 -3.399906e+01 -3.399989e+01 -3.399997e+01 -3.399999e+01 -3.399999e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01
-9.999756e-01 -9.999819e-01 -9.999837e-01 -9.999875e-01 -1.000032e+00 -1.055957e+00 -3.185271e+00 -3.302687e+01 -3.399229e+01 -3.399908e+01 -3.399977e+01 -3.399995e+01 -3.399998e+01 -3.399999e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01
-9.999610e-01 -9.999744e-01 -9.999731e-01 -9.999830e-01 -9.999885e-01 -1.030823e+00 -3.520697e+00 -2.605318e+01 -3.394848e+01 -3.399826e+01 -3.399957e+01 -3.399990e+01 -3.399996e+01 -3.399999e+01 -3.399999e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01
-9.999381e-01 -9.999507e-01 -9.999634e-01 -9.999685e-01 -9.999807e-01 -1.022779e+00 -2.409743e+00 -2.805673e+01 -3.396450e+01 -3.399456e+01 -3.399954e+01 -3.399988e+01 -3.399994e+01 -3.399998e+01 -3.399999e+01 -3.399999e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01 -3.400000e+01
