Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.740e-02x^5 + -1.973e+00x^4 + 2.688e+01x^3 + -1.823e+02x^2 + 6.174e+02x^1 + -8.460e+02x^0 

Original Data (Tgas, Yield):
4.862602e+07, 1.505256e-06
5.462277e+07, 1.573969e-06
6.135907e+07, 1.629476e-06
6.892612e+07, 1.668895e-06
7.742637e+07, 1.690051e-06
8.697490e+07, 1.691795e-06
9.770100e+07, 1.674092e-06
1.097499e+08, 1.637601e-06
1.232847e+08, 1.584106e-06
1.384886e+08, 1.515890e-06
1.555676e+08, 1.435574e-06
1.747528e+08, 1.346265e-06
1.963041e+08, 1.250814e-06
2.205131e+08, 1.152006e-06
2.477076e+08, 1.052358e-06
2.782559e+08, 9.539642e-07
3.125716e+08, 8.587366e-07
3.511192e+08, 7.679884e-07
3.944206e+08, 6.827499e-07
4.430621e+08, 6.036134e-07
4.977024e+08, 5.309678e-07
5.590810e+08, 4.649237e-07
6.280291e+08, 4.053956e-07
7.054802e+08, 3.521644e-07
7.924829e+08, 3.048599e-07
8.902151e+08, 2.630896e-07
1.000000e+09, 2.264792e-07
======================
Polynomial Coefficients smallSil grains:
f(x) = 2.678415e-02x^5 + -9.894069e-01x^4 + 1.464965e+01x^3 + -1.088955e+02x^2 + 4.057829e+02x^1 + -6.122555e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 6.988908e-16
2.257020e+04, 3.855405e-15
2.535364e+04, 1.807289e-14
2.848036e+04, 7.298453e-14
3.199267e+04, 2.599654e-13
3.593814e+04, 8.234937e-13
4.037017e+04, 2.346801e-12
4.534879e+04, 6.076170e-12
5.094138e+04, 1.441036e-11
5.722368e+04, 3.151492e-11
6.428073e+04, 6.390679e-11
7.220809e+04, 1.207403e-10
8.111308e+04, 2.388457e-10
9.111628e+04, 4.172989e-10
1.023531e+05, 6.955869e-10
1.149757e+05, 1.109922e-09
1.291550e+05, 1.700260e-09
1.450829e+05, 2.506771e-09
1.629751e+05, 3.564911e-09
1.830738e+05, 4.901635e-09
2.056512e+05, 6.529664e-09
2.310130e+05, 8.444901e-09
2.595024e+05, 1.062519e-08
2.915053e+05, 1.303048e-08
3.274549e+05, 1.561016e-08
3.678380e+05, 1.833449e-08
4.132012e+05, 2.108169e-08
4.641589e+05, 2.379697e-08
5.214008e+05, 2.639891e-08
5.857021e+05, 2.880520e-08
6.579332e+05, 3.093498e-08
7.390722e+05, 3.271318e-08
8.302176e+05, 3.407584e-08
9.326033e+05, 3.497543e-08
1.047616e+06, 3.536179e-08
1.176812e+06, 3.527320e-08
1.321941e+06, 3.471373e-08
1.484968e+06, 3.369353e-08
1.668101e+06, 3.232316e-08
1.873817e+06, 3.064879e-08
2.104904e+06, 2.874478e-08
2.364489e+06, 2.668535e-08
2.656088e+06, 2.453258e-08
2.983647e+06, 2.236397e-08
3.351603e+06, 2.022431e-08
3.764936e+06, 1.815575e-08
4.229243e+06, 1.619015e-08
4.750810e+06, 1.434985e-08
5.336699e+06, 1.264883e-08
5.994843e+06, 1.114238e-08
6.734151e+06, 9.718836e-09
7.564633e+06, 8.452255e-09
8.497534e+06, 7.323851e-09
9.545485e+06, 6.325220e-09
1.072267e+07, 5.446617e-09
1.204504e+07, 4.677624e-09
1.353048e+07, 4.007658e-09
1.519911e+07, 3.426337e-09
1.707353e+07, 2.918489e-09
1.917910e+07, 2.486122e-09
2.154435e+07, 2.114584e-09
2.420128e+07, 1.803632e-09
2.718588e+07, 1.530188e-09
3.053856e+07, 1.296788e-09
3.430469e+07, 1.097921e-09
3.853529e+07, 9.287454e-10
4.328761e+07, 7.858248e-10
4.862602e+07, 6.637718e-10
5.462277e+07, 5.603309e-10
6.135907e+07, 4.727504e-10
6.892612e+07, 3.986637e-10
7.742637e+07, 3.360410e-10
8.697490e+07, 2.831451e-10
9.770100e+07, 2.383812e-10
1.097499e+08, 2.003741e-10
1.232847e+08, 1.686759e-10
1.384886e+08, 1.419574e-10
1.555676e+08, 1.194452e-10
1.747528e+08, 1.004836e-10
1.963041e+08, 8.451748e-11
2.205131e+08, 7.107735e-11
2.477076e+08, 5.976650e-11
2.782559e+08, 5.026918e-11
3.125716e+08, 4.225978e-11
3.511192e+08, 3.552307e-11
3.944206e+08, 2.978150e-11
4.430621e+08, 2.502987e-11
4.977024e+08, 2.103493e-11
5.590810e+08, 1.767653e-11
6.280291e+08, 1.485354e-11
7.054802e+08, 1.243742e-11
7.924829e+08, 1.045016e-11
8.902151e+08, 8.780099e-12
1.000000e+09, 7.376682e-12
======================
Polynomial Coefficients largeSil grains:
f(x) = 2.567526e-02x^5 + -9.025685e-01x^4 + 1.275807e+01x^3 + -9.132861e+01x^2 + 3.327893e+02x^1 + -5.009175e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 4.767299e-16
2.257020e+04, 2.609865e-15
2.535364e+04, 1.214057e-14
2.848036e+04, 4.865114e-14
3.199267e+04, 1.721448e-13
3.593814e+04, 5.423276e-13
4.037017e+04, 1.539640e-12
4.534879e+04, 3.979388e-12
5.094138e+04, 9.443175e-12
5.722368e+04, 2.071281e-11
6.428073e+04, 4.221528e-11
7.220809e+04, 8.030350e-11
8.111308e+04, 1.731704e-10
9.111628e+04, 3.181365e-10
1.023531e+05, 5.647104e-10
1.149757e+05, 9.718930e-10
1.291550e+05, 1.625784e-09
1.450829e+05, 2.647944e-09
1.629751e+05, 4.204099e-09
1.830738e+05, 6.513622e-09
2.056512e+05, 9.855478e-09
2.310130e+05, 1.457006e-08
2.595024e+05, 2.105042e-08
2.915053e+05, 2.971481e-08
3.274549e+05, 4.115635e-08
3.678380e+05, 5.730003e-08
4.132012e+05, 7.712694e-08
4.641589e+05, 1.022041e-07
5.214008e+05, 1.334449e-07
5.857021e+05, 1.717906e-07
6.579332e+05, 2.181463e-07
7.390722e+05, 2.732881e-07
8.302176e+05, 3.377383e-07
9.326033e+05, 4.116166e-07
1.047616e+06, 4.944637e-07
1.176812e+06, 5.851807e-07
1.321941e+06, 6.819563e-07
1.484968e+06, 7.830059e-07
1.668101e+06, 8.841099e-07
1.873817e+06, 9.822135e-07
2.104904e+06, 1.073696e-06
2.364489e+06, 1.155114e-06
2.656088e+06, 1.223431e-06
2.983647e+06, 1.276445e-06
3.351603e+06, 1.312631e-06
3.764936e+06, 1.331391e-06
4.229243e+06, 1.332960e-06
4.750810e+06, 1.318299e-06
5.336699e+06, 1.288932e-06
5.994843e+06, 1.246835e-06
6.734151e+06, 1.193979e-06
7.564633e+06, 1.132743e-06
8.497534e+06, 1.065244e-06
9.545485e+06, 9.935308e-07
1.072267e+07, 9.194677e-07
1.204504e+07, 8.447064e-07
1.353048e+07, 7.706666e-07
1.519911e+07, 6.985318e-07
1.707353e+07, 6.291120e-07
1.917910e+07, 5.634137e-07
2.154435e+07, 5.018288e-07
2.420128e+07, 4.449169e-07
2.718588e+07, 3.924132e-07
3.053856e+07, 3.445739e-07
3.430469e+07, 3.013257e-07
3.853529e+07, 2.625075e-07
4.328761e+07, 2.278280e-07
4.862602e+07, 1.971496e-07
5.462277e+07, 1.701028e-07
6.135907e+07, 1.463746e-07
6.892612e+07, 1.256501e-07
7.742637e+07, 1.076218e-07
8.697490e+07, 9.199575e-08
9.770100e+07, 7.853275e-08
1.097499e+08, 6.691183e-08
1.232847e+08, 5.691686e-08
1.384886e+08, 4.835057e-08
1.555676e+08, 4.102450e-08
1.747528e+08, 3.477111e-08
1.963041e+08, 2.944254e-08
2.205131e+08, 2.490903e-08
2.477076e+08, 2.105728e-08
2.782559e+08, 1.778673e-08
3.125716e+08, 1.501657e-08
3.511192e+08, 1.267082e-08
3.944206e+08, 1.067744e-08
4.430621e+08, 9.000992e-09
4.977024e+08, 7.584767e-09
5.590810e+08, 6.389119e-09
6.280291e+08, 5.380258e-09
7.054802e+08, 4.525683e-09
7.924829e+08, 3.809030e-09
8.902151e+08, 3.205146e-09
1.000000e+09, 2.696466e-09
