Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.725e-02x^5 + -1.968e+00x^4 + 2.683e+01x^3 + -1.820e+02x^2 + 6.166e+02x^1 + -8.452e+02x^0 

Original Data (Tgas, Yield):
4.862602e+07, 1.577052e-06
5.462277e+07, 1.652429e-06
6.135907e+07, 1.714381e-06
6.892612e+07, 1.759834e-06
7.742637e+07, 1.786431e-06
8.697490e+07, 1.792855e-06
9.770100e+07, 1.778962e-06
1.097499e+08, 1.745255e-06
1.232847e+08, 1.693459e-06
1.384886e+08, 1.625813e-06
1.555676e+08, 1.544939e-06
1.747528e+08, 1.453978e-06
1.963041e+08, 1.355853e-06
2.205131e+08, 1.253449e-06
2.477076e+08, 1.149419e-06
2.782559e+08, 1.045982e-06
3.125716e+08, 9.452098e-07
3.511192e+08, 8.485683e-07
3.944206e+08, 7.572212e-07
4.430621e+08, 6.719247e-07
4.977024e+08, 5.931772e-07
5.590810e+08, 5.211904e-07
6.280291e+08, 4.559776e-07
7.054802e+08, 3.973513e-07
7.924829e+08, 3.450025e-07
8.902151e+08, 2.985669e-07
1.000000e+09, 2.576847e-07
======================
Polynomial Coefficients smallSil grains:
f(x) = 2.683704e-02x^5 + -9.909252e-01x^4 + 1.466569e+01x^3 + -1.089701e+02x^2 + 4.059264e+02x^1 + -6.123255e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 6.988927e-16
2.257020e+04, 3.855432e-15
2.535364e+04, 1.807318e-14
2.848036e+04, 7.298705e-14
3.199267e+04, 2.599829e-13
3.593814e+04, 8.235930e-13
4.037017e+04, 2.347274e-12
4.534879e+04, 6.078086e-12
5.094138e+04, 1.441702e-11
5.722368e+04, 3.153511e-11
6.428073e+04, 6.396085e-11
7.220809e+04, 1.208689e-10
8.111308e+04, 2.393359e-10
9.111628e+04, 4.183923e-10
1.023531e+05, 6.978540e-10
1.149757e+05, 1.114322e-09
1.291550e+05, 1.708309e-09
1.450829e+05, 2.520716e-09
1.629751e+05, 3.587909e-09
1.830738e+05, 4.937893e-09
2.056512e+05, 6.584510e-09
2.310130e+05, 8.524739e-09
2.595024e+05, 1.073732e-08
2.915053e+05, 1.318276e-08
3.274549e+05, 1.581119e-08
3.678380e+05, 1.859180e-08
4.132012e+05, 2.140209e-08
4.641589e+05, 2.418576e-08
5.214008e+05, 2.685932e-08
5.857021e+05, 2.933808e-08
6.579332e+05, 3.153861e-08
7.390722e+05, 3.338334e-08
8.302176e+05, 3.480603e-08
9.326033e+05, 3.575729e-08
1.047616e+06, 3.618577e-08
1.176812e+06, 3.612848e-08
1.321941e+06, 3.558890e-08
1.484968e+06, 3.457783e-08
1.668101e+06, 3.320593e-08
1.873817e+06, 3.152009e-08
2.104904e+06, 2.959549e-08
2.364489e+06, 2.750741e-08
2.656088e+06, 2.531858e-08
2.983647e+06, 2.310880e-08
3.351603e+06, 2.092373e-08
3.764936e+06, 1.880683e-08
4.229243e+06, 1.679126e-08
4.750810e+06, 1.490044e-08
5.336699e+06, 1.315056e-08
5.994843e+06, 1.159570e-08
