Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.740e-02x^5 + -1.973e+00x^4 + 2.689e+01x^3 + -1.823e+02x^2 + 6.174e+02x^1 + -8.461e+02x^0 

Original Data (Tgas, Yield):
3.764936e+06, 1.017196e-06
4.229243e+06, 1.136121e-06
4.750810e+06, 1.252952e-06
5.336699e+06, 1.362986e-06
5.994843e+06, 1.461900e-06
6.734151e+06, 1.544988e-06
7.564633e+06, 1.609006e-06
8.497534e+06, 1.651503e-06
9.545485e+06, 1.671150e-06
1.072267e+07, 1.667988e-06
1.204504e+07, 1.642980e-06
1.353048e+07, 1.598074e-06
1.519911e+07, 1.535915e-06
1.707353e+07, 1.459546e-06
1.917910e+07, 1.372387e-06
2.154435e+07, 1.277695e-06
2.420128e+07, 1.178661e-06
2.718588e+07, 1.077958e-06
3.053856e+07, 9.780666e-07
3.430469e+07, 8.809647e-07
3.853529e+07, 7.881878e-07
4.328761e+07, 7.008585e-07
4.862602e+07, 6.197048e-07
5.462277e+07, 5.451457e-07
6.135907e+07, 4.773930e-07
6.892612e+07, 4.162431e-07
7.742637e+07, 3.615380e-07
8.697490e+07, 3.129367e-07
9.770100e+07, 2.700070e-07
1.097499e+08, 2.323583e-07
1.232847e+08, 1.994248e-07
1.384886e+08, 1.707691e-07
1.555676e+08, 1.459190e-07
1.747528e+08, 1.244667e-07
1.963041e+08, 1.059935e-07
2.205131e+08, 9.012885e-08
2.477076e+08, 7.653758e-08
2.782559e+08, 6.492553e-08
3.125716e+08, 5.501162e-08
3.511192e+08, 4.656749e-08
3.944206e+08, 3.938039e-08
4.430621e+08, 3.328232e-08
4.977024e+08, 2.810961e-08
5.590810e+08, 2.372659e-08
6.280291e+08, 2.001627e-08
7.054802e+08, 1.688093e-08
7.924829e+08, 1.422826e-08
8.902151e+08, 1.198788e-08
1.000000e+09, 1.008705e-08
======================
Polynomial Coefficients largeC grains:
f(x) = 2.527691e-02x^5 + -9.633106e-01x^4 + 1.447846e+01x^3 + -1.076217e+02x^2 + 3.971506e+02x^1 + -5.907587e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 8.056231e-15
2.257020e+04, 3.586244e-14
2.535364e+04, 1.388836e-13
2.848036e+04, 4.744832e-13
3.199267e+04, 1.449111e-12
3.593814e+04, 4.001866e-12
4.037017e+04, 1.009730e-11
4.534879e+04, 2.346112e-11
5.094138e+04, 5.058447e-11
5.722368e+04, 1.017988e-10
6.428073e+04, 1.921042e-10
7.220809e+04, 3.411367e-10
8.111308e+04, 6.166084e-10
9.111628e+04, 1.019593e-09
1.023531e+05, 1.621033e-09
1.149757e+05, 2.487369e-09
1.291550e+05, 3.695706e-09
1.450829e+05, 5.332739e-09
1.629751e+05, 7.492851e-09
1.830738e+05, 1.027585e-08
2.056512e+05, 1.378360e-08
2.310130e+05, 1.811557e-08
2.595024e+05, 2.336102e-08
2.915053e+05, 2.958992e-08
3.274549e+05, 3.688447e-08
3.678380e+05, 4.568112e-08
4.132012e+05, 5.552682e-08
4.641589e+05, 6.667726e-08
5.214008e+05, 7.916781e-08
5.857021e+05, 9.301780e-08
6.579332e+05, 1.082256e-07
7.390722e+05, 1.247824e-07
8.302176e+05, 1.426497e-07
9.326033e+05, 1.617695e-07
1.047616e+06, 1.820519e-07
1.176812e+06, 2.033640e-07
1.321941e+06, 2.256290e-07
1.484968e+06, 2.493480e-07
1.668101e+06, 2.734511e-07
1.873817e+06, 2.981960e-07
2.104904e+06, 3.234310e-07
2.364489e+06, 3.490092e-07
2.656088e+06, 3.747807e-07
2.983647e+06, 4.006109e-07
3.351603e+06, 4.263651e-07
3.764936e+06, 4.519231e-07
4.229243e+06, 4.771575e-07
4.750810e+06, 5.019728e-07
5.336699e+06, 5.261858e-07
5.994843e+06, 5.516807e-07
6.734151e+06, 5.762801e-07
7.564633e+06, 6.011896e-07
8.497534e+06, 6.268204e-07
9.545485e+06, 6.537066e-07
1.072267e+07, 6.825829e-07
1.204504e+07, 7.142624e-07
1.353048e+07, 7.496857e-07
1.519911e+07, 7.898442e-07
1.707353e+07, 8.356663e-07
1.917910e+07, 8.878908e-07
2.154435e+07, 9.467941e-07
2.420128e+07, 1.016141e-06
2.718588e+07, 1.090810e-06
3.053856e+07, 1.171480e-06
3.430469e+07, 1.256207e-06
3.853529e+07, 1.342269e-06
4.328761e+07, 1.426285e-06
4.862602e+07, 1.504538e-06
5.462277e+07, 1.573185e-06
6.135907e+07, 1.628627e-06
6.892612e+07, 1.667985e-06
7.742637e+07, 1.689087e-06
8.697490e+07, 1.690785e-06
9.770100e+07, 1.673043e-06
1.097499e+08, 1.636525e-06
1.232847e+08, 1.583013e-06
1.384886e+08, 1.514790e-06
1.555676e+08, 1.434480e-06
1.747528e+08, 1.345188e-06
1.963041e+08, 1.249763e-06
2.205131e+08, 1.150992e-06
2.477076e+08, 1.051387e-06
2.782559e+08, 9.530441e-07
3.125716e+08, 8.578718e-07
3.511192e+08, 7.671826e-07
3.944206e+08, 6.820052e-07
4.430621e+08, 6.029303e-07
4.977024e+08, 5.303458e-07
5.590810e+08, 4.643610e-07
6.280291e+08, 4.048898e-07
7.054802e+08, 3.517125e-07
7.924829e+08, 3.044585e-07
8.902151e+08, 2.627348e-07
1.000000e+09, 2.261672e-07
======================
Polynomial Coefficients smallSil grains:
f(x) = 2.678356e-02x^5 + -9.893895e-01x^4 + 1.464947e+01x^3 + -1.088945e+02x^2 + 4.057809e+02x^1 + -6.122541e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 6.988907e-16
2.257020e+04, 3.855405e-15
2.535364e+04, 1.807289e-14
2.848036e+04, 7.298451e-14
3.199267e+04, 2.599653e-13
3.593814e+04, 8.234927e-13
4.037017e+04, 2.346796e-12
4.534879e+04, 6.076151e-12
5.094138e+04, 1.441029e-11
5.722368e+04, 3.151472e-11
6.428073e+04, 6.390625e-11
7.220809e+04, 1.207390e-10
8.111308e+04, 2.388408e-10
9.111628e+04, 4.172880e-10
1.023531e+05, 6.955642e-10
1.149757e+05, 1.109878e-09
1.291550e+05, 1.700180e-09
1.450829e+05, 2.506632e-09
1.629751e+05, 3.564681e-09
1.830738e+05, 4.901272e-09
2.056512e+05, 6.529116e-09
2.310130e+05, 8.444103e-09
2.595024e+05, 1.062407e-08
2.915053e+05, 1.302896e-08
3.274549e+05, 1.560815e-08
3.678380e+05, 1.833192e-08
4.132012e+05, 2.107849e-08
4.641589e+05, 2.379309e-08
5.214008e+05, 2.639431e-08
5.857021e+05, 2.879987e-08
6.579332e+05, 3.092894e-08
7.390722e+05, 3.270648e-08
8.302176e+05, 3.406853e-08
9.326033e+05, 3.496761e-08
1.047616e+06, 3.535355e-08
1.176812e+06, 3.526464e-08
1.321941e+06, 3.470498e-08
1.484968e+06, 3.368469e-08
1.668101e+06, 3.231433e-08
1.873817e+06, 3.064008e-08
2.104904e+06, 2.873628e-08
2.364489e+06, 2.667713e-08
2.656088e+06, 2.452472e-08
2.983647e+06, 2.235652e-08
3.351603e+06, 2.021732e-08
3.764936e+06, 1.814924e-08
4.229243e+06, 1.618414e-08
4.750810e+06, 1.434435e-08
5.336699e+06, 1.264381e-08
5.994843e+06, 1.113784e-08
6.734151e+06, 9.714769e-09
7.564633e+06, 8.448628e-09
8.497534e+06, 7.320635e-09
9.545485e+06, 6.322382e-09
1.072267e+07, 5.444126e-09
1.204504e+07, 4.675446e-09
1.353048e+07, 4.005761e-09
1.519911e+07, 3.424695e-09
1.707353e+07, 2.917069e-09
1.917910e+07, 2.484898e-09
2.154435e+07, 2.113533e-09
2.420128e+07, 1.802731e-09
2.718588e+07, 1.529417e-09
3.053856e+07, 1.296129e-09
3.430469e+07, 1.097359e-09
3.853529e+07, 9.282675e-10
4.328761e+07, 7.854186e-10
4.862602e+07, 6.634270e-10
5.462277e+07, 5.600384e-10
6.135907e+07, 4.725027e-10
6.892612e+07, 3.984541e-10
7.742637e+07, 3.358637e-10
8.697490e+07, 2.829953e-10
9.770100e+07, 2.382550e-10
1.097499e+08, 2.002676e-10
1.232847e+08, 1.685860e-10
1.384886e+08, 1.418816e-10
1.555676e+08, 1.193813e-10
1.747528e+08, 1.004298e-10
1.963041e+08, 8.447219e-11
2.205131e+08, 7.103922e-11
2.477076e+08, 5.973423e-11
2.782559e+08, 5.024203e-11
3.125716e+08, 4.223693e-11
3.511192e+08, 3.550385e-11
3.944206e+08, 2.976539e-11
4.430621e+08, 2.501632e-11
4.977024e+08, 2.102354e-11
5.590810e+08, 1.766696e-11
6.280291e+08, 1.484548e-11
7.054802e+08, 1.243064e-11
7.924829e+08, 1.044447e-11
8.902151e+08, 8.775314e-12
1.000000e+09, 7.372660e-12
======================
Polynomial Coefficients largeSil grains:
f(x) = 2.567527e-02x^5 + -9.025656e-01x^4 + 1.275799e+01x^3 + -9.132785e+01x^2 + 3.327862e+02x^1 + -5.009127e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 4.767299e-16
2.257020e+04, 2.609865e-15
2.535364e+04, 1.214057e-14
2.848036e+04, 4.865113e-14
3.199267e+04, 1.721446e-13
3.593814e+04, 5.423269e-13
4.037017e+04, 1.539637e-12
4.534879e+04, 3.979374e-12
5.094138e+04, 9.443126e-12
5.722368e+04, 2.071266e-11
6.428073e+04, 4.221488e-11
7.220809e+04, 8.030255e-11
8.111308e+04, 1.731663e-10
9.111628e+04, 3.181271e-10
1.023531e+05, 5.646902e-10
1.149757e+05, 9.718522e-10
1.291550e+05, 1.625706e-09
1.450829e+05, 2.647803e-09
1.629751e+05, 4.203856e-09
1.830738e+05, 6.513217e-09
2.056512e+05, 9.854830e-09
2.310130e+05, 1.456906e-08
2.595024e+05, 2.104892e-08
2.915053e+05, 2.971263e-08
3.274549e+05, 4.115319e-08
3.678380e+05, 5.729562e-08
4.132012e+05, 7.712090e-08
4.641589e+05, 1.021959e-07
5.214008e+05, 1.334341e-07
5.857021e+05, 1.717765e-07
6.579332e+05, 2.181282e-07
7.390722e+05, 2.732651e-07
8.302176e+05, 3.377094e-07
9.326033e+05, 4.115809e-07
1.047616e+06, 4.944199e-07
1.176812e+06, 5.851279e-07
1.321941e+06, 6.818932e-07
1.484968e+06, 7.829317e-07
1.668101e+06, 8.840236e-07
1.873817e+06, 9.821144e-07
2.104904e+06, 1.073584e-06
2.364489e+06, 1.154988e-06
2.656088e+06, 1.223292e-06
2.983647e+06, 1.276292e-06
3.351603e+06, 1.312467e-06
3.764936e+06, 1.331215e-06
4.229243e+06, 1.332774e-06
4.750810e+06, 1.318104e-06
5.336699e+06, 1.288731e-06
5.994843e+06, 1.246629e-06
6.734151e+06, 1.193770e-06
7.564633e+06, 1.132533e-06
8.497534e+06, 1.065037e-06
9.545485e+06, 9.933269e-07
1.072267e+07, 9.192693e-07
1.204504e+07, 8.445150e-07
1.353048e+07, 7.704836e-07
1.519911e+07, 6.983582e-07
1.707353e+07, 6.289486e-07
1.917910e+07, 5.632610e-07
2.154435e+07, 5.016873e-07
2.420128e+07, 4.447865e-07
2.718588e+07, 3.922938e-07
3.053856e+07, 3.444653e-07
3.430469e+07, 3.012275e-07
3.853529e+07, 2.624192e-07
4.328761e+07, 2.277490e-07
4.862602e+07, 1.970793e-07
5.462277e+07, 1.700406e-07
6.135907e+07, 1.463197e-07
6.892612e+07, 1.256019e-07
7.742637e+07, 1.075797e-07
8.697490e+07, 9.195905e-08
9.770100e+07, 7.850087e-08
1.097499e+08, 6.688424e-08
1.232847e+08, 5.689304e-08
1.384886e+08, 4.833008e-08
1.555676e+08, 4.100690e-08
1.747528e+08, 3.475603e-08
1.963041e+08, 2.942965e-08
2.205131e+08, 2.489803e-08
2.477076e+08, 2.104790e-08
2.782559e+08, 1.777875e-08
3.125716e+08, 1.500979e-08
3.511192e+08, 1.266506e-08
3.944206e+08, 1.067256e-08
4.430621e+08, 8.996860e-09
4.977024e+08, 7.581270e-09
5.590810e+08, 6.386163e-09
6.280291e+08, 5.377761e-09
7.054802e+08, 4.523575e-09
7.924829e+08, 3.807251e-09
8.902151e+08, 3.203646e-09
1.000000e+09, 2.695201e-09
