# ====================================================================
# CALIMA Dust Chemistry Solver  —  Evolution Output
# Generated  : 2026-05-27 12:14:45
# Config     : solvers/configs/example_ic.json
# ====================================================================
#
# INITIAL CONDITIONS
#   T_gas    = 1.000000e+02 K
#   n_H      = 1.000000e+02 cm^-3
#   n_e      = 1.000000e-03 cm^-3
#   G0       = 1.000000e+00  (Habing units)
#   mu       = 1.4000  (mean molecular weight)
#   rho      = 2.341671e-22 g/cm^3
#
# INITIAL DENSITIES
#   Gas phase:
#     H     = 1.653219e-22 g/cm^3
#     He    = 6.439594e-23 g/cm^3
#     C     = 5.547418e-25 g/cm^3
#     N     = 1.948270e-25 g/cm^3
#     O     = 1.342948e-24 g/cm^3
#     Mg    = 1.508036e-25 g/cm^3
#     Si    = 1.571261e-25 g/cm^3
#     S     = 7.985097e-26 g/cm^3
#     Fe    = 2.945822e-25 g/cm^3
#   Dust / PAH:
#     DustBin_01    = 8.000000e-28 g/cm^3
#     DustBin_02    = 8.000000e-27 g/cm^3
#     DustBin_03    = 6.000000e-28 g/cm^3
#     DustBin_04    = 6.000000e-27 g/cm^3
#     PAHbin_01     = 1.000000e-29 g/cm^3
#     PAHbin_02     = 5.000000e-30 g/cm^3
#
# DUST BINS  (ndust = 4)
#    Idx  ID              Comp.             a [µm]           m [g]     sigma [cm2]  Elements
#   ----------------------------------------------------------------------------------------
#      0  DustBin_01      graphite      1.0000e-02      9.3829e-18      2.2400e+00  C
#      1  DustBin_02      graphite      1.0000e-01      9.3829e-15      2.2400e+00  C
#      2  DustBin_03      silicate      5.0000e-03      1.7279e-18      3.3000e+00  Mg, Si, O, Fe
#      3  DustBin_04      silicate      1.0000e-01      1.3823e-14      3.3000e+00  Mg, Si, O, Fe
#
# PAH BINS  (npah = 2)
#    Idx  ID                  Nc           m [g]     sigma [cm2]
#   ------------------------------------------------------------
#      0  PAHbin_01           54      1.0770e-21      2.2400e+00
#      1  PAHbin_02           96      1.9147e-21      2.2400e+00
#
# ACTIVE PROCESSES  :  accretion, sputtering, coagulation
#
# SOLVER SETTINGS
#   Type     = RK4 (adaptive Runge-Kutta 4th order)
#   errmax   = 1.00e-01  (max accepted relative error per step)
#   countmax = 10000  (max ODE iterations)
#   t_end    = 100 Myr  (3.153600e+15 s)
#
# SOLVER DIAGNOSTICS
#   Substeps   : 367 accepted, 0 rejected, 367 total
#   h changes  : 231 increases, 136 reductions
#   h_step [s] : min = 1.000000e+10  max = 1.473303e+13  mean = 8.592916e+12
#   rel. error : min = 1.093733e-04  max = 9.543553e-02  mean = 8.763137e-02
#   Wall time  : 0.9180 s
#
# MASS CONSERVATION  (gas + dust + PAH per element)
#    Element    M_init [g/cm3]   M_final [g/cm3]       |dM|/M0
#   ------------------------------------------------------------
#          H      1.653219e-22      1.653219e-22    0.0000e+00
#         He      6.439594e-23      6.439594e-23    0.0000e+00
#          C      5.635568e-25      5.635568e-25    1.6296e-16
#          N      1.948270e-25      1.948270e-25    0.0000e+00
#          O      1.346737e-24      1.346737e-24    4.0915e-16
#         Mg      1.517408e-25      1.517408e-25    1.5130e-16
#         Si      1.582019e-25      1.582019e-25    4.3537e-16
#          S      7.985097e-26      7.985097e-26    0.0000e+00
#         Fe      2.953808e-25      2.953808e-25    7.7726e-16
#   ------------------------------------------------------------
#      TOTAL      2.325082e-22      2.325082e-22    0.0000e+00  OK
#
# COLUMN DESCRIPTIONS  (ncols = 19,  nrows = 368)
#   Row 1 is the initial state (t = 0); h_s and error are NaN there.
#   Col 001:  time_s                Time  [s]
#   Col 002:  time_Myr              Time  [Myr]
#   Col 003:  h_s                   Accepted timestep  [s]  (NaN at t = 0)
#   Col 004:  error                 Max relative step error  (NaN at t = 0)
#   Col 005:  DustBin_01            DustBin_01 mass density  [g/cm^3]
#   Col 006:  DustBin_02            DustBin_02 mass density  [g/cm^3]
#   Col 007:  DustBin_03            DustBin_03 mass density  [g/cm^3]
#   Col 008:  DustBin_04            DustBin_04 mass density  [g/cm^3]
#   Col 009:  PAHbin_01             PAHbin_01 mass density  [g/cm^3]
#   Col 010:  PAHbin_02             PAHbin_02 mass density  [g/cm^3]
#   Col 011:  H_gas                 H gas-phase mass density  [g/cm^3]
#   Col 012:  He_gas                He gas-phase mass density  [g/cm^3]
#   Col 013:  C_gas                 C gas-phase mass density  [g/cm^3]
#   Col 014:  N_gas                 N gas-phase mass density  [g/cm^3]
#   Col 015:  O_gas                 O gas-phase mass density  [g/cm^3]
#   Col 016:  Mg_gas                Mg gas-phase mass density  [g/cm^3]
#   Col 017:  Si_gas                Si gas-phase mass density  [g/cm^3]
#   Col 018:  S_gas                 S gas-phase mass density  [g/cm^3]
#   Col 019:  Fe_gas                Fe gas-phase mass density  [g/cm^3]
#
# --------------------------------------------------------------------
# DATA  (column names below, then rows)
#                   time_s                  time_Myr                       h_s                     error                DustBin_01                DustBin_02                DustBin_03                DustBin_04                 PAHbin_01                 PAHbin_02                     H_gas                    He_gas                     C_gas                     N_gas                     O_gas                    Mg_gas                    Si_gas                     S_gas                    Fe_gas
# --------------------------------------------------------------------
   2.610716293804754e+13     8.278527060517358e-01     7.875598186612540e+12     8.992838861412222e-02     9.626062787572856e-28     8.149404180367409e-27     7.982452527496012e-28     6.086260080526198e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.544297688948751e-25     1.948269989120000e-25     1.342784817448699e-24     1.507631907466748e-25     1.570797269166761e-25     7.985096950600000e-26     2.945477438826736e-25
   3.398903258698084e+13     1.077785153062558e+00     7.881869648933297e+12     8.999386809353015e-02     1.017888490675703e-27     8.195038709381511e-27     8.700824307318354e-28     6.112539947675063e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.543288521539426e-25     1.948269989120000e-25     1.342728498264794e-24     1.507492581262662e-25     1.570637338383197e-25     7.985096950600000e-26     2.945358717202127e-25
   4.187143928236539e+13     1.327734629704636e+00     7.882406695384558e+12     8.999038776275475e-02     1.076338514481126e-27     8.240923397181344e-27     9.483814860589535e-28     6.138932308624055e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.542245174423373e-25     1.948269989120000e-25     1.342668405391852e-24     1.507343919451550e-25     1.570466691374667e-25     7.985096950600000e-26     2.945232040588433e-25
   4.975468792948616e+13     1.577710804461129e+00     7.883248647120773e+12     8.998986977948262e-02     1.138139522984853e-27     8.287061079592410e-27     1.033726212490671e-27     6.165438478464027e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.541165787514224e-25     1.948269989120000e-25     1.342604202977392e-24     1.507185091178844e-25     1.570284374413744e-25     7.985096950600000e-26     2.945096701003944e-25
   5.763882399924000e+13     1.827715119204719e+00     7.884136069753838e+12     8.998916270890880e-02     1.203483257466104e-27     8.333453085058413e-27     1.126750368822958e-27     6.192058893622417e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.540048430114752e-25     1.948269989120000e-25     1.342535526993356e-24     1.507015195887328e-25     1.570089353762214e-25     7.985096950600000e-26     2.944951931072440e-25
   6.552390954640888e+13     2.077749541679632e+00     7.885085547168880e+12     8.998839905639081e-02     1.272572528935304e-27     8.380100829702855e-27     1.228144830649534e-27     6.218794029507563e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.538891059953615e-25     1.948269989120000e-25     1.342461980604270e-24     1.506833251858577e-25     1.569880502517944e-25     7.985096950600000e-26     2.944796894259209e-25
   7.341001160719225e+13     2.327816197589810e+00     7.886102060783365e+12     8.998756716774216e-02     1.345621764625796e-27     8.427005749357344e-27     1.338662596089324e-27     6.245644360022122e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.537691518400166e-25     1.948269989120000e-25     1.342383131317192e-24     1.506638189162322e-25     1.569656592521539e-25     7.985096950600000e-26     2.944630678863104e-25
   8.129720322497972e+13     2.577917403125942e+00     7.887191617787471e+12     8.998666116480412e-02     1.422857684492479e-27     8.474169305010538e-27     1.459124373537611e-27     6.272610359159180e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.536447523644967e-25     1.948269989120000e-25     1.342298507773432e-24     1.506428841719571e-25     1.569416285245705e-25     7.985096950600000e-26     2.944452291253436e-25
   8.918556397103338e+13     2.828055681476198e+00     7.888360746053662e+12     8.998567433665440e-02     1.504520013897197e-27     8.521592985316492e-27     1.590424664231441e-27     6.299692500730720e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.535156663547861e-25     1.948269989120000e-25     1.342207596257311e-24     1.506203938665754e-25     1.569158121881112e-25     7.985096950600000e-26     2.944260648510395e-25
   9.707518053920794e+13     3.078233781684676e+00     7.889616568174567e+12     8.998459937563619e-02     1.590862239657150e-27     8.569278309553510e-27     1.733538390479438e-27     6.326891258157929e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.533816388047891e-25     1.948269989120000e-25     1.342109836891682e-24     1.505962094938935e-25     1.568880512532721e-25     7.985096950600000e-26     2.944054570405148e-25
   1.049661473942314e+14     3.328454699208251e+00     7.890966855023474e+12     8.998342830892044e-02     1.682152412200064e-27     8.617226830919291e-27     1.889528117959906e-27     6.354207104236571e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.532424001108804e-25     1.948269989120000e-25     1.342004619492459e-24     1.505701801024481e-25     1.568581724447820e-25     7.985096950600000e-26     2.943832770661141e-25
   1.128585674797830e+14     3.578721698369577e+00     7.892420085551563e+12     8.998215243795053e-02     1.778673997041927e-27     8.665440140206020e-27     2.059551925105968e-27     6.381640510879087e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.530976652167518e-25     1.948269989120000e-25     1.341891279051744e-24     1.505421411780901e-25     1.568259869189345e-25     7.985096950600000e-26     2.943593847432457e-25
